,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
DCN,0.03113739588855699,0.021379263739835813,-0.07218673662251542,-0.006824783361988676,-0.005601307339042742,-0.08511573617584392,0.02526131641527688,0.030654629346985884,0.0950800193097935,-0.026211503738887497,-0.016212623647544062,0.010931202928887438,-0.022718598700366195,0.04652912221139078,-0.042549117781045025,0.08219070316078603,0.05819964876869172,-0.04298433514652233,-0.026776898060855165,-0.0048859032957702855,-0.1191630329832878,-0.05238917042395468,-0.03374223257364333
RARRES2,0.06754864841017366,-0.019031497047624416,-0.04458553742075151,0.02065820171993531,0.06658534364678033,0.047060541516323925,0.04482871575481147,0.04516913829147152,0.04537205230818537,-0.02435452707362232,-0.02196623104509461,0.0012329925518549166,0.01706301241663174,-0.0021682496927083526,0.020593487377901256,-0.04512128947892012,-0.019019081204912757,-0.05037777125445529,0.0553903175065352,0.02612569946911155,0.047179150600676456,0.07440231218456618,0.05567404049011876
SEMA4A,0.1584842221698784,0.08701600046829717,-0.02077858306825751,-0.04489488532442673,0.05785435001898311,-0.07802582088647028,-0.018730281586906553,0.023181079611687097,0.02066201828314686,0.06271637594563102,0.0020564082728501895,0.12093411766701018,0.025572540742791177,0.11370683792310433,-0.07334781411726707,0.04331051357177375,-0.04770721861905041,0.09824787482596069,-0.009714001591348227,0.0028594483026027173,0.03307627318407853,0.02020806121301587,-0.06004308205205997
GDF11,0.011949520731822653,0.02457968220407343,0.00810522596962922,0.03492200103090689,-0.028525015622274014,-0.006267759775788469,-0.04333684239072409,-0.0012082472440599257,0.01893917717909084,-0.014593116389870412,-0.004110339685495931,-0.010774827075621553,-0.037745300826082004,0.006144320414205137,-0.04841981855651011,0.05429829022688553,0.012592621221960063,-0.012574059486249482,0.009643104145127613,-0.03674096645145186,0.08660306478291863,0.041355270040638215,0.02137255572713571
GPC3,0.03407581237437982,0.1302165460916135,-0.0368532193654823,-0.013671656607341372,0.021235905485933813,0.0007279375204047762,0.006379037905161426,0.02813093683566826,0.021848087943207053,0.028009446246395175,0.024094482176799176,-0.017967808365215807,0.08940159047318633,,0.033561703724902046,-0.025785347188906457,-0.008739623334838438,0.015078715755052813,-0.029096372426283622,0.002828809130979278,0.020976980092779075,0.0009795268205432808,
OSTN,,,,,-0.02364782122626183,-0.032831849073015985,0.03945124503422423,,-0.017108365265724092,-0.017057317232706315,0.02893572849201889,,,,,,,,-0.035143370485934126,,,0.003835674864644999,
GRN,-0.10302396873366744,0.04115984767753669,-0.09697014964312313,0.05144379568622959,0.027260409024428556,-0.0306378405493232,-0.017454072856343573,-2.2135576481945986e-06,0.07304909082491706,-0.025368108191267152,0.005303522489736411,-0.05189036516004169,0.057787043312416894,-0.017510193824881927,-0.034379323644341445,0.04679017124396202,0.029428481324913262,-0.02417239919229462,-0.06988328218079362,-0.022772654530044376,-0.05030497678737366,-0.035379698236046066,0.005333970655723001
CALM1,-0.005736410089779628,0.02695931747857606,-0.006651865538684938,-0.07259480239766553,-0.10066538748570453,-0.11510437858048107,-0.03205208262429675,0.015649550822079764,-0.06916663848058628,0.015994359873172208,-0.027775041490569044,0.12497272932980412,0.011152167016320106,0.05491906112179134,-0.018737785294870853,-0.07577853279358225,0.012532405380996463,-0.017194277428381408,0.033733517494625304,0.06567798752118352,0.1355084464320533,-0.035903901832501174,-0.0005987093671397013
ANGPTL4,-0.04240985597281657,-0.03013621997208816,-0.027080290694183634,-0.049235710567708126,0.10752818208238268,0.10301068344640464,0.10213733285747303,0.03289867394634455,0.1030328674057222,0.027103531423678193,0.04316417738930518,-0.09476206813588409,-0.0683397868508042,-0.007266585305067145,-0.011939075314179575,0.008712402411434887,-0.004320351232762173,-0.10545515031011404,-0.008119840016984077,0.028921348311940136,0.00942943957435443,0.0396174122616757,0.03380552331743289
BMP8B,-0.01083650851832911,0.08660222731580466,0.036360955612423945,-0.01909031891343664,-0.03366950853362589,0.007903897468436937,-0.036563576211685815,0.007595225606280982,0.014724146214861787,-0.024075299228467135,-0.021223851191487404,0.05327404165152411,0.053156665674711646,0.018759030680813648,0.00933659862174788,0.024112641258965457,0.023841036159802292,-0.014303556577615383,-0.009920424800733463,-0.08596050302759571,0.05034316269556731,0.034454025592359265,-0.023306651859697096
