,UKF248,UKF259,UKF266,UKF269,UKF275,UKF334,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,0.01102495868765847,,,,0.04337795705256443,,-0.015471711932623509
BMP1,0.02576897758211832,0.0658868103790823,0.053174047490138134,0.05764425526544517,0.02798343060011095,0.02839219399744691,0.019258332105507946,0.06460672963071322,0.0348588346588272,0.04087270774544481
NDP,0.03965868557582026,-0.019276934668694744,-0.005172924560643999,0.019714750421947258,-0.04450160164015991,0.06313583328587409,0.0685277626874433,0.03854806451753351,-0.031149684521057763,0.027237843075045873
TNFSF18,-0.031230432526669526,,-0.011638504180994316,-0.004257490827506245,-0.011390333515494821,,,0.09777593239513366,,0.0762232227024829
IL36G,,,,,,-0.015082913624073224,,,,
RTN4,0.06071756117846781,-0.021065103614822913,-0.06285308251589575,-0.13668546639142914,0.0035050384314489883,0.02080241544727495,0.03995692471201544,-0.028405277023243674,0.015592149728656069,-0.04313762022512572
HEBP1,0.04690205528535178,-0.025254756267466778,0.025511282275684416,0.0446832990855074,-0.003952414088178363,-0.011539542860140771,0.05531915799362397,-0.027149145405630258,-0.031968358268933024,-0.035295010908929496
WNT7B,0.03422780734082155,0.03488339978804632,-0.015495938318653058,-0.03724196135903218,-0.024375224305406423,-0.016577860248930827,0.03969941825188343,-0.03580443922136896,-0.022338912311980718,-0.019436134781038797
PTMA,-0.05586099257705461,-0.008657113773498757,0.11162944616802789,-0.07419912862230514,0.01424924956474056,0.030846372838821832,0.0014807078100075534,-0.09097681900477157,0.015729226477317313,0.08101610672493388
FASLG,,,,,,,,,,-0.013418610480913574
CEACAM1,0.0861722296290314,-0.025112435351178086,,-0.0018865639634582962,-0.002818945781600697,,0.001113309335355711,0.12294751332719955,0.010307948443034872,-0.01867002564904712
PDAP1,-0.019781032144417635,-0.00021865792644246233,-0.008635053209342481,0.06625611111998739,-0.015591986344330806,0.02076823883090513,-0.02239837307507311,0.02208253980374218,-0.03471622193550624,0.007152783701242164
