,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.009821819413323957,,,,,,,,,,,-0.027761428310465384,,,-0.032828291564796906,
BMP1,0.06298161999827334,0.010793158090657973,0.017263970151454658,0.08283048082857887,0.005105890955197875,-0.02494153505664914,-0.04660498823742578,0.0962013348149794,-0.039563945270456945,-0.03567387814953456,-0.0007254457395975199,0.12233465033891297,0.031101177196186127,0.0761094229294224,-0.0507128845742906,0.04242436867286171,-0.012531067888174761,-0.06632949181447947,0.056025223800207045,-0.015454105605451157,0.10929733621700702,0.022315825872771568,-0.027481608280971105
NDP,0.016104208172324774,-0.0027884177328288233,0.025991041120152485,-0.004752262169028623,-0.023526840530095388,-0.043595093787368915,-0.017610633988462413,0.022026031814124127,0.015174561742595646,0.02802953522668063,-0.08855275408029971,0.045560881309518304,0.019767866099020776,0.056423983890672096,0.005896603271154987,0.08138331655215855,0.016654022766914644,0.048712967230798154,-0.00714448957968895,0.023304107122508716,0.025601181507329072,0.08983542808351262,-0.0005252428039426467
TNFSF18,-0.021409011479720047,-0.02076826789010184,-0.029989523937692886,,,,0.0035546339870913563,0.10280002722452415,-0.021996925682264742,,,,-0.0270503104085294,,-0.028530945239627733,,,,-0.02862987099859694,,0.18461830898359913,0.04283343854511727,-0.038817610182758464
IL36G,,,,,,,,,,,,-0.0364664066584469,,,,,,,,,,,
RTN4,-0.04696305652452661,-0.005116719749718842,-0.05253790489355459,0.0400461877176696,-0.023841482048432235,0.03187395095314988,0.0780515066256591,-0.13294160945156985,-0.03902516722878267,0.0659893950439753,0.18062269306219705,-0.055735363697201924,-0.054951155912113976,0.0771011468897748,0.05068915098806489,-0.05184252591506822,-0.008431372790106799,0.03721532549284792,-0.004767916962184372,0.075738183252386,0.0021516903751652686,-0.0031087244775270862,0.051676983860524675
HEBP1,-0.028306323686962172,0.03937934762367388,-0.01490223316808032,-0.031237024551529,-0.014644287769368802,0.006076828537806126,-0.018639383167266675,0.03479912181573218,0.028885594473259467,-0.019961647990191556,-0.03304002821118926,0.020911891737225803,0.023432021417355373,-0.025038069230172204,0.012383565664033378,-0.057727179606982565,0.08841601181422824,0.033113925565803594,-0.007062130012410131,-0.0035354352750942715,-0.027785070709131287,0.07685582184277354,0.03114101526477941
WNT7B,-0.01886066856474724,0.0014864984442187555,-0.018628562632144897,-0.04398541430213045,-0.019246591615680715,-0.022444020840950353,0.028224385693115143,-0.019651194498569682,0.03338268507199664,-0.020148256666901336,,-0.00035224310184299944,0.07579029767313616,0.06506581600590872,,0.01583558129536184,0.007341102541090045,0.04609130561828407,-0.0015663865421597157,0.04371069947801774,0.015065464953090309,-0.026506442070613808,0.08682255301246918
PTMA,-0.04715250536996198,0.019854681528543482,0.031688499026988275,-0.004910383475497848,0.019286896648882224,0.014329446391575594,-0.04336599203061496,-0.06319114117440613,-0.017790163994064537,-0.009426351783252426,-0.19656257458856852,0.03813148683676642,0.014029047671362678,-0.0010475907471120943,-0.0753334995423208,-0.10269123203586816,-0.09273317774527291,0.003926411008527189,-0.016118557420259326,0.013110236866889481,0.05623461073696226,-0.05135924575009334,-0.010035273585312861
FASLG,-0.018860673896609927,,,,,,,,,,,,,,,,,,,,,-0.02847196607461485,
CEACAM1,0.009549070975588703,-0.03736606420544287,-0.014296301387575148,,-0.011520402928903026,-0.008753571050221488,,0.01854413320008409,-0.026139853158224494,,,,,0.05892464781182189,0.04867078509954955,0.02810435993280669,0.032948862396719396,0.019149677531078994,0.0473344118730837,-0.010500861992888593,,-0.039614559022184845,
PDAP1,0.009878031514116179,-0.012683602808703343,0.03371867379957263,-0.0012392375460625123,-0.020009388360955692,0.04852960597199676,-0.019426620473490606,0.17944704576183743,-0.014467670916003714,-0.03431321292411521,0.052134152688825236,0.09153008056763293,-0.02318670268254224,0.04107578138415224,-0.05427256888585782,0.061024549326655395,-0.021464146800489633,-0.04211503058170002,0.02623678913981702,0.013330994947007029,-0.08858963347349856,0.03370949121259488,0.019391310998320362
QDPR,-0.07912410460716947,-0.04298727993901322,0.007215886713726071,0.04842269389074711,0.009719051580556526,-0.05786553938174224,-0.028798671431695688,-0.10390878945015412,-0.014233638450430158,-0.052227253585388746,-0.17153327321458403,-0.03770099638105478,-0.0032900219843066503,0.06448101607794259,-0.005007985398277733,-0.08820474100653286,0.007832585376213693,0.08385131975935484,-0.06016495235266793,-0.054611429769384635,-0.024020965099553933,0.041532249162044205,-0.03976142484464237
POMC,-0.045420501454980854,0.022593751930040325,-0.02540224669666195,,0.04288248711095036,-0.025794391747726752,0.05863608503843153,-0.015097505659785052,-0.025523493085791604,-0.05419081600990941,-0.04219112641145267,0.05404948688068983,0.08664244561665363,-0.05515184660846538,-0.061343944611821105,0.00891043259109233,0.03453306888566917,-0.00818444789528342,-0.009112728085278276,0.011022494816759227,,-0.04363069836959121,0.07233072220651805
CCL18,,-0.04662931763216715,,,,,,,,,-0.02890408467883871,,,-0.05581233849912541,,-0.029210130371709005,0.015071412731221912,-0.08147218083016756,,0.036144574400031486,,,
CCL17,,,,,-0.017631565268554927,,,,-0.016894632431791016,-0.024937893633975,,0.08203087086340122,,,,,-0.040394896454551604,0.02102682808203357,-0.008105626996584025,,,0.006933982058196546,
VEGFD,,0.016356000751320533,-0.004142941591469245,,0.03696456817662152,-0.020031580245688144,,0.105409209741119,-0.02922908496726266,-0.018292246565080526,0.11402734233700101,0.08020322885731142,,0.166982884627145,0.022885033779892823,,,-0.0005205284003262475,-0.03860364363239143,,,,
TNFSF13,,0.046457501110879526,,,0.12357441638578855,,0.09306844906368418,,,,,,,,,,0.01941843922534215,0.0597864564698797,0.025253885138842278,0.023001037373315207,,-0.0012205462925053469,-0.042228022947105974
WNT5A,0.0300530781275861,0.014257535849208835,-0.02623537697820431,-0.014223994624809853,0.05707218862008985,-0.007862654769806176,-0.013589945690039006,0.1127818661546285,-0.005007570554750758,0.024419156983000713,0.06062258356493489,-0.004367462679937069,0.04093474888370915,0.01802575812038943,-0.08446466039694106,0.10219260222705889,0.04722998088098345,0.02182504785582103,0.057154861769381705,0.018639313995269333,0.02257727351310119,0.025212267093370017,0.03541639954279775
CXCL8,,0.015206159006607751,-0.019173059084690403,-0.012643869528902738,0.00042540468488869637,0.021617268652471135,0.051989510393800384,0.09839683552845196,0.02490432981996141,-0.017034535374726035,-0.05919662171753117,0.013788906367279623,,0.022207749296940717,-0.07731579025528058,-0.02231677137888109,-0.1014150050324314,-0.16225155819435944,0.03879180802261706,-0.038961140372145486,0.027719112598119485,0.003154394919289318,0.0825243520859611
