,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.022166776997086645,,,,,,,,,-0.0207194981082586,,0.03737687727106812,
BMP1,0.01729748363918584,-0.06735460936291858,0.0661128724394216,-0.019049427831078387,0.07283119230295054,0.016194231872369767,0.016587922400335364,0.0753642587892463,0.09376948463506292,9.136567857381353e-05,-0.008260608646025989,0.005347649246459452,-0.004437290383210335,-0.04159735164078943,-0.08850815020454093,0.0035293878242019226,-0.03704650639747272,-0.04069749748302513,-0.01896189685422734,0.12293574372944349,0.044838800634303025
NDP,0.040354823730696765,-0.05724509102832486,0.0518167277728294,-0.014888454014298532,0.07506521206854366,-0.07643210149841408,0.019866667391610963,-0.014663978159169701,0.00525901984112908,-0.039535110229216776,-0.0008779909037376698,0.004478864539670903,0.0372545890571692,5.6976475213951555e-06,-0.10407794996301911,0.01615988574851768,0.012644315528922982,0.039269594909071136,-0.058097704306908235,0.046516367977110805,-0.08002264313339806
TNFSF18,0.029021014095941725,-0.02687242850363756,0.07959009124452532,-0.02528979701665318,,,,-0.014453491469353224,0.07338075659299391,-0.01815624394490343,,,,-0.024124881543293283,0.08613789353000237,,,0.00170554350750507,,0.018191034624689035,0.0005741119495225266
IL36G,,,,,,,,,,,,,0.004896977788520235,,,,,,,,
RTN4,-0.0008837372397942049,-0.03173016622726148,-0.05634931434241069,-0.0009135979716752806,0.0021156014058667104,-0.01301060498183618,-0.0031407846859097836,-0.09501696998762313,-0.09899334971776501,0.01591238598133832,-0.07240052267109451,0.08661602387764966,0.040983276644718285,-0.07297713724255425,-0.06195329100732263,-0.030727305668714476,-0.09302589767239343,-0.03715587129469958,0.004191218975191851,-0.009683068201321587,-0.06032794207518806
HEBP1,0.019044636736524977,-0.054469919955584964,-0.043738613167240634,0.011661040241974032,-0.002001128604748201,0.036578285796577896,0.050435630748870204,0.024227859002023802,0.07034480893731303,-0.0011111886722774652,-0.005221649974628536,0.058340387710867636,0.02960881528191887,0.02289898174896813,0.04287650460312242,0.060221105124283365,0.043490848604614295,0.07393985799214248,0.05095873167695861,0.05912029826156896,0.037130321367675315
WNT7B,-0.016985059835830783,0.07106142089986792,-0.032440306704383845,0.02626195439873782,-0.043259695861667495,0.010615281406381231,0.03216444325837454,0.04630441718629634,-0.021607210615631832,-0.010712777300994354,-0.012182917796204808,,-0.01773998313265984,-0.026559139860214957,,0.009613524879696788,0.037305158167498936,-0.04468149034871701,-0.042601094423003145,0.08775346598332144,0.012704695710064063
PTMA,-0.04679336445299754,0.020990375764182688,0.02234031099276623,-0.026160211352222084,0.11472414737189633,0.07045258629726762,-0.023444221373782884,0.12764787537839944,-0.04828431277056313,0.01489763221455168,0.03418540714035603,0.016765346586359208,-0.02736855485252809,-0.08312121940684258,0.06262028262310902,0.04816693100357043,-0.058318544283040105,-0.03434077129146906,0.009323154075431578,-0.04476496249626588,0.0005160402452691917
FASLG,-0.016985064637463687,,,,,,,,,,,,,,,,,,,-0.0344325648750244,
