,UKF266,UKF296,UKF304,ZH881inf
BMP1,-0.07352735194832502,0.012112919209121348,-0.007702591532131161,-0.07177975250641151
NDP,-0.044368460785371336,0.0003155469803873516,0.030439493384523595,0.08276343344725712
TNFSF18,-0.014769703914002534,,,0.06829236419636871
RTN4,0.10553812432538245,-0.007047736926849655,0.08539409934026261,-0.018068160131237257
HEBP1,-0.02740954812980631,-0.029941143810206974,0.011267121873438377,-0.029295609087002274
WNT7B,0.003436929774832448,-0.0037077806336444897,,0.06130157750021657
PTMA,-0.04964496901299062,0.017783962259157304,-0.1094496043014173,-0.017299063037165843
PDAP1,-0.06111542766607669,0.019009625444806316,0.021900407568442665,0.029398486000390783
QDPR,-0.009410472858999605,-0.002210540411883027,-0.07861192181854636,0.03713654801707051
POMC,-0.007500746046770034,0.013021338175294146,0.14850000824674497,
CCL18,,,-0.07035248646520527,
CCL17,,-0.011769869448548466,,
VEGFD,,-0.017326860071753235,0.023338428005001636,
TNFSF13,-0.014323531662539189,,,
WNT5A,-0.09241439491878478,0.009948615306319897,-0.017569503391087357,0.012267678774435048
CXCL8,-0.020374294777793244,-0.01613552549573942,-0.05230862902509028,-0.10504543349084014
GRN,-0.0772237195249184,0.04063245874792202,-0.03131026734838464,-0.004662915366956642
MIA,-0.02589970769955622,-0.005000872693407429,,
COL4A4,-0.013628207557320658,-0.03310393213379105,,
TAC1,0.15461063739111278,-0.024625341230237942,0.08576588575122181,0.04944152203736019
RARRES2,-0.11335401183954374,-0.015732328632810336,-0.02421177457600791,0.14424976666096576
FGF7,-0.02845529193147183,0.028192177821301758,0.07697186873812276,0.07355837503143624
HBEGF,-0.07143308137461607,-0.0444970380087817,-0.05373236752012408,0.06381103673656105
CSF3,,,,-0.02889383311569256
PCSK1N,0.10533696205993395,0.0026897041956017893,0.10265253131638392,0.06150376770622384
NTS,-0.016636944987283308,0.0013157378073041085,0.005193743167716027,
SFRP1,0.056590492791174486,-0.011819459974588583,-0.05907473325465799,-0.0037770885410678442
MICA,0.08986917095439602,0.01605073283528216,-0.01849781607061756,-0.048065378754134025
TG,-0.019203420234876957,-0.017094978395488465,,
ADA,-0.03751576775248238,-0.027763619693350866,-0.043723674674242936,0.05620386993516282
LAMC3,-0.07533074266842356,0.015924909498887793,0.007852112176516273,-0.03721209027915241
NGF,0.0645298004913475,,-0.020667622079263582,
TNFSF15,-0.022250826788794677,,,
HMGB1,-0.04287481117182237,-0.005383689532463291,-0.1088422946008415,-0.03591372386361855
ITGB3BP,-0.0027579106130784102,0.021270637404695748,0.07448489759048345,0.048498099094610864
AANAT,,-0.019705655424943857,-0.019430604263078605,
RELN,-0.04197541589126016,0.03717524464354682,-0.017296905735416836,-0.05238512905880576
