,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.022404953952844215,,,,,,,,,,,0.04088194792844921,
BMP1,0.016479567147742832,-0.07990880933838335,-0.04807256361665296,0.02807775826907269,0.022778645776290827,-0.0009346563046967719,0.10415553175618847,-0.0067179501074182265,-0.013534405921000848,0.11331403912202959,0.010085242552315977,-0.07664439803419378,0.002748718019263726,-0.04801850637260233,0.009338033918123868,-0.008278129293449413,-0.016221008819548296,-0.006112075640534669,0.03691219374952773
NDP,-0.0049064768050392895,0.0803313423435797,0.02731170584214936,-0.00643719059307526,0.07873498074260131,0.039861481949582216,0.030823817621257976,0.04636358592468834,0.014940783324136914,0.03864839497755811,0.053391854992266875,0.021298145021291803,-0.02265294045880625,0.03933116111904663,0.047000684827066666,0.06936218063861148,0.031172060469974863,0.14317702269202734,0.059694064688397115
TNFSF18,-0.02089569263178725,-0.029214564480833,-0.007733818850458876,-0.029361827598365694,,,-0.010666709329968624,0.038807859477631955,,,,,0.008624945771409077,,,,,0.018302555899398325,-0.018787874699200017
IL36G,,,,,,,,,,,-0.018081045500644814,,,,,,,,
RTN4,0.008608941451855374,-0.06112410633589549,-0.049219603328945885,-0.008458178415049304,0.007388334686450225,0.1007763762652135,-0.08684172034561875,0.012796318712528138,0.09249932910178386,-0.011544680391317447,-0.022970125939962057,-0.032105918340023624,-0.024941018063061045,-0.04063148261659793,-0.01439756977119564,-0.03098147396583419,0.0817031063123713,0.003580658261467726,-0.10885814401036212
HEBP1,-0.0716749335959902,0.019074372983943332,0.0394796020096242,-0.0375753483009371,-0.06325866412307005,0.0655677509056472,0.09703123674210347,0.020584076887986028,-0.051334884906022095,0.00789730754144122,-0.02565245779146642,0.0027169488043327717,-0.023858267067435875,-0.1000864333304687,-0.02596336823842203,-0.04511732771120166,-0.02366344421268699,0.05768312673681357,0.09702516884322232
WNT7B,-0.01840845073731185,-0.016700155236569668,-0.014448856382520532,0.12366167627243121,0.03334874770057198,0.008208212509412598,-0.02209287290864178,-0.025896387675229702,0.02540354569545415,-0.009494152170736963,-0.0198731526901963,0.09920758502838704,,-0.024826870924197778,-0.020020239065457055,-0.031921723223986315,-0.022872896044114722,-0.03701886894794718,0.05430075871033328
PTMA,-0.0545908105891264,-0.05968126463664069,-0.025824415986043913,0.039904722152425,-0.07375170226704986,-0.08032419952933306,-0.002733215341867683,0.0025103079807717405,0.01321632553392701,0.05337236609128403,0.041452213501473316,0.020233865161080063,0.05097876596851104,-0.10337955079810245,0.05535328242573157,0.00393000248263037,0.030524154292051155,-0.1169471398890606,0.01832857046508338
FASLG,-0.018408455941333716,,,,,,,,,,,,,,,,,-0.026104123755684352,
CEACAM1,0.0510302339146767,,-0.020060546250927562,-0.013997072361281056,-0.03108422475141509,-0.019268556318645144,-0.04378232519387888,-0.011260280520968467,,,,-0.05582860752593776,0.02543366889647625,-0.03782458534715558,0.027123113047048987,-0.020435811735284606,-0.015181073761027364,0.06027306425022419,
PDAP1,0.022384591048149365,0.005333086808197664,-0.01977385106376585,0.050996065139150594,-0.018022511120684884,-0.022865866844297724,0.12411442546144126,0.003224975163601478,-0.06291617346356258,0.07445842471607682,0.0329763162131357,-0.03377738907259699,0.042898844670346215,0.03744833828918393,-0.037062402281028965,-0.0692828882612362,0.046725802997159865,0.011363884409721062,-0.0006560416914909384
QDPR,0.02308889711052436,-0.01863241543046599,0.0046278135989852075,-0.015614439222979616,-0.03312093739642499,0.030024177519280413,-0.08849460241194208,0.020541447182618223,0.02521136232210437,0.028655811302650797,-0.030638749577370557,0.028044753978840934,0.0009661401472642813,-0.16500742957502154,-0.009456248801386232,0.04432828105673948,0.01709892480656715,0.11885271875148694,-0.09975750208416279
POMC,0.035244297777964374,0.011023248875647066,-0.006788722434896827,-0.024870564456713474,0.06310278603786629,0.0008482740691433106,-0.01392862775222874,-0.022228640268066705,-0.017414680187666114,-0.04122637527290714,0.055423966869566195,0.06910039378960116,-0.08228620528321663,0.0056473509560403526,0.038742941835952345,0.014350364876587796,-0.024834242401698868,0.04525743080626934,0.07481237939624245
CCL18,,0.04006082488897788,0.032890143317100495,,,,,,,0.03141254868152798,,0.02790278839064614,,-0.02681825290697251,-0.03383626755530806,0.012352354888317783,-0.022191203529843495,,
CCL17,,,,,0.054067471647221026,,,0.07079315218644494,-0.02434748734172161,,-0.016517548385546758,,,,-0.013117680337905533,-0.02950037718857521,,0.048641873863444436,
VEGFD,,0.054698900964770154,-0.025033674269322174,-0.004104031478535571,-0.018893387896311543,0.0011102803672913462,0.09133512594347201,0.030681359929437334,-0.01785917640967813,-0.014298624166560131,-0.01770236820837906,0.0956936114840167,0.031822465362099955,,,-0.020435811735284606,,,
TNFSF13,,,-0.018891213929525648,,0.055731599765318884,,,,,,,,,,-0.025170858262625714,0.018575558181534432,0.07068790145392713,0.018135724943044974,0.052554913489893294
WNT5A,0.07995188544575461,-0.035215749904834545,-0.012566272295321469,0.04512314800536048,-0.007554490407975998,0.0037828327604824646,0.012487790143633002,0.04630022930083642,0.004378071209846449,0.08461885732244563,-0.016081799595197132,0.0011665082316278433,0.009902129083537228,0.06733292520206884,-0.04379713766522986,0.023269628992001634,-0.0028378429757515036,-0.006696146824008096,0.037615870538537856
CXCL8,,-0.061365872038613926,0.015686387773423162,-0.018771756982457363,-0.013090916595293918,-0.05371305735341826,0.022166585662698385,-0.06869915374212962,-0.016631241615498945,-0.03253288043149251,-0.04012503485014953,0.11664388974169422,-0.015260581323088012,-0.0011260810842426423,-0.01739918649538482,-0.08428791560024014,0.0013056017158311762,-0.007824805528241259,0.06552666594717557
GRN,0.03298829665376455,-0.07133527152833799,-0.020238033518401758,-0.02729254142003371,-0.06074226989714879,-0.0002481634235810793,0.07575078344828466,0.03864059358389362,0.0019416426395476491,0.09734644348833807,-0.07448558939228711,-0.050320286304763234,0.04842907797774718,-0.015147535189308317,-0.05013665688732468,-0.05116848441931245,-0.08438211409823017,-0.07657094016585642,-0.05318870230290688
MIA,-0.024095081058240608,0.09907704878449668,-0.0022929173518259553,0.038647553588727304,0.04579580816080563,0.009461950740784032,-0.0025029820305563564,0.01834540114242202,-0.020311052058477688,-0.037775306946445736,-0.024244204517720788,0.022091678112380612,-0.04695378069700448,0.08741016431963983,0.09920917782925917,0.06645558150347901,-0.0868937078040709,0.07329808954246715,0.1264370083638185
COL4A4,-0.02131923503847297,-0.03088595490476664,0.06432576618907887,0.052447269905619064,-0.04101167145238799,-0.0266817357510197,0.012988655318058862,0.019792153088424733,-0.025520188395804562,,0.005155149204616488,,0.09117748080503782,0.13470451091804783,0.01641629545533218,-0.03272092990949319,0.04677005157556407,0.023100565517575687,0.10112049167652035
TAC1,-0.018408445926050274,-0.02044046019078563,-0.0021052401942364416,0.03624255223269115,0.05111610731115964,0.059769616709824995,-0.045182484861556634,0.09604109523366593,0.02354691694185464,,-0.04167842415116769,,,,,,-0.012253791223745699,-0.017632863503394974,-0.07336683310868279
RARRES2,-0.00884843663171394,0.01493819107364851,-0.006209892175883963,-0.04314728615228182,0.04210123596940727,0.010694489068247466,0.11765057965717914,0.021513199449302026,-0.06372831639109577,0.02679091586907775,0.05842890130249083,0.025580865307321923,0.08154536583057441,0.06264964666813634,0.011454996955250379,-0.02410523850230582,0.028954504803231952,0.0369202597340601,0.04938232777409233
FGF7,0.09499483513235991,0.022878078848551673,,0.03445493128102935,0.03140770539843334,0.005278143757137588,0.002992976467476727,-0.013788422298357294,-0.03236100754125372,0.06931811879882618,0.0001520866979211795,0.10712349199591438,0.0014770464329502814,0.062339117382620934,-0.006373356685492289,-0.032545424555540055,-0.009972059094918318,0.073380685043897,0.016088781041065613
EFNA2,,,,,,,,,,,,,,,,-0.019422871426982073,,,
HBEGF,0.0210911689396961,-0.06485345046327104,-0.05315060578515327,0.05623246354610565,-0.02777555178460322,-0.010093023057186682,0.05536928163861288,-0.04729601474640677,-0.004931208647940443,0.019428697303148612,0.012203238383999858,0.13098622450780517,0.040223227866296785,0.033312656150671374,-0.004158912191919999,-0.0024555801947308514,-0.03397692797904046,-0.0676106367992612,0.04218156077096799
CSF3,,-0.044438032633516075,,,0.08442070479492635,-0.019004770100067483,0.008744432348701894,,,0.026724959925641154,,,,,-0.0014180683550562168,-0.09178598552011119,0.04986999385075035,0.043852485162996425,0.1245688334481878
PI3,,-0.05264347629752295,0.02653407049100091,,-0.020280858121228762,-0.030792374281012152,0.032569146358412335,,,,,-0.07662753532897201,,,-0.030499682752086983,-0.10920275372908156,-0.015268952717976495,-0.037267359177757774,-0.01189856155920103
PCSK1N,0.02041152462485302,-0.014629381409475369,0.006494626182062091,0.07052026889625664,0.05144813113481093,-0.022959731310529054,0.002259820607690586,-0.014141587236558005,0.011485087390817822,0.00473192237786942,-0.02042921791752629,-0.012742299516956318,0.023070656632631397,0.0038864165110313446,-0.04627650503646957,0.023280911145305828,0.040851808684177454,0.1122013238391159,-0.06424113423940142
NTS,,,,,,0.01133307464752758,-0.014882725305438563,-0.02849668995860452,0.041777363933657,,,,,,-0.03060218272813482,-0.0236630830831951,0.1455262031568875,0.04383768351650224,
SFRP1,0.010648202410389097,0.06315497964977594,0.022568834754482098,0.05868042590126858,-0.006567415148383248,-0.02103121519634882,0.050404594607199406,-0.03154246298735754,-0.024347487586920805,0.05481899130838106,0.009991277429049856,-0.13584277805021738,0.06770830566025869,-0.022220759901690045,-0.029684367557791323,0.01546127829064062,-0.013034984467183203,-0.03603229435777435,-0.05150022740034603
CXCL13,,,,0.0035952804416636876,,-0.020842202840468695,,,,0.05035147845812371,,,,,-7.703267853657218e-05,0.04951884518283142,-0.0355018461810937,,0.014171868889976439
MICA,0.01170049451182592,-0.012388227954431725,0.007684873116303834,-0.029087499274225652,-0.003599549796999208,0.025337049630661215,0.09013953345557349,-0.012731614119696547,0.005770232099691987,-0.02207547725286486,0.02883707163006033,-0.031952911790345324,0.06667589222440444,0.011882732608933468,-0.024271794167299018,-0.048807755261460334,0.027571645959242826,0.02681391224644618,0.010354708666528854
TG,-0.02131923023410127,0.06700184325439726,-0.01980640697410306,0.04763276253927496,0.0689078691745625,-0.027278861036126468,-0.028191670908448423,-0.024071201627003793,-0.017620170857290972,0.03555190646881651,0.029849860027758,-0.07563884640423105,-0.07921956178060707,-0.04366638578258906,0.03299928832691358,0.05629046742323345,-0.01791222408901545,0.11583437030860357,0.027322925329584642
