,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.016337613596758907,,,,,,,,,,0.17623836840168253,,0.039679072522062764,
BMP1,0.06077339427418209,0.0037943503629606903,0.05860623825927083,0.07919698714790156,0.0388687728453536,0.09778194848967242,0.03657978559438118,0.04217178066624182,0.06265206834105445,0.01790502041163674,0.05665683054532127,-0.00914783426934031,-0.011099459289298438,-0.03879572269592718,-0.019800346725713132,-0.05638819938954853,-0.0031820218087222954,0.046679919801326165,0.03415593518914987
NDP,0.07452002190082326,0.02922031499291348,-0.0043543582933775705,-0.02420108681319839,0.017904878375987178,0.02532409325675204,-0.007753442045645574,0.024607659011968083,-0.024851129841588666,0.018235377366474473,0.0447499927140356,0.09965837244182671,0.003368750096133991,-0.00019873504524472733,0.11650090984816505,0.06630086423310863,-0.04823579870255798,0.019396169460978045,0.0030210521717745163
TNFSF18,0.13494555788837914,0.013176995343664366,0.011968908672105833,,,-0.024260865722586476,-0.014105908782956327,,,-0.02412490869988541,,0.15089933757044396,,,,-0.02313092817392323,,-0.01807116289678881,-0.03858436449296141
IL36G,,,,,,,,,-0.015082913624073224,,,,,,,,,,
RTN4,-0.10721772341281721,-0.02232271302883702,0.03229092443565247,-0.019695971478885212,-0.029807299401080865,-0.14234508644882055,-0.010737652809077382,-0.012316130137398816,-0.00645871178730165,-0.014899923382714987,-0.1356858112136305,0.04927582922967562,-0.03570460819817084,-0.010129423957387987,0.017438485743200186,0.048356352323921006,-0.025207730319825167,-0.026184308433948072,-0.08709474137460767
HEBP1,0.02750842521355036,-0.02629278400452269,0.038853756586724915,-0.02767070311262678,-0.02842220850914351,0.035137647058442835,0.008521658253991864,0.010262118345263554,0.021742210426300212,0.08334971950211388,-0.0624351269404587,-0.025495350150294173,0.023165793995559816,0.022892881097956244,0.04074817333228591,-0.07809411309012138,-0.023254568702504117,-0.015296137670863902,0.08257377072956258
WNT7B,-0.0467334963553067,-0.02335463122390384,-0.010558313615018812,-0.02105124478902766,-0.021096667704945563,-0.005935285682430531,0.016786155598434743,0.03814253899596954,-0.016577860248930827,-0.02655916975697226,-0.0719345773340863,,0.02005725840011892,0.012254330033898052,0.01113649803864781,0.04810545789304625,-0.0016508739664005262,-0.017934224225362942,-0.05328251271250246
PTMA,-0.10019602744441429,0.07343383061552944,0.026382122741109175,0.006913611541698033,0.08405542622738985,-0.06758163674637234,-0.07318996718877731,0.1364109833108376,0.014783241603952573,0.022970862552115102,-0.09423059096388636,-0.10383416483331027,-0.02289357693003529,-0.016748661387012725,0.0017788400963123713,0.025584640643599593,0.04864861622838971,-0.00802786657995086,-0.03342932346549888
FASLG,,,,,,,,,,,,,,,,,,0.0034680949206477886,
