,MGH258,UKF243,UKF248,UKF259,UKF269,UKF275,UKF313,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1
ICOSLG,0.05439166078905746,0.05807701927067987,-0.01610452668963182,-0.018649143709055096,0.10690274053382047,0.059134105586755005,0.024661823314829287,0.061225794362511445,0.04844240786075021,0.053359965021604124,-0.01838639964006825
WIF1,,-0.020082150636496272,0.023250280897476272,,-0.07944542257765858,-0.020383032419221635,,,,,-0.02519539143681133
NPPC,-0.02837712638804708,-0.049369792740156695,-0.003626693729451357,-0.02921724672290246,0.013765849497167073,-0.008883783937109863,,-0.046291120275182604,-0.03629279462646724,0.009395784566814998,-0.04153259342270148
LYZ,-0.0480937262798871,-0.019829939349789705,-0.019907006654319413,0.016954592437164892,0.06192762544251182,-0.01175993708130578,0.02720487882031542,0.07340127057884155,-0.015500878712377807,0.05629833859274998,0.02019539036697474
EREG,,,,,,,0.05327532279913712,,-0.06582154414018854,-0.07153463162783272,-0.03375795048003784
SPTAN1,0.023814882531149474,-0.015576364972551769,-0.031182042070829457,0.017067321239481355,-0.061748029733093936,0.019410243099223387,0.0002602501169999352,-0.1012268383333018,0.07013741966000749,-0.006548024536061517,-0.0017121397681706442
PTH2,,,,,,,,,,,-0.02508257029321715
LIPC,-0.02518448154298258,-0.016415743363239508,0.00973707206415922,0.0010156857149084609,-0.003920751048044924,0.04316715251231591,-0.026219254809041453,0.08322823175052678,,,
COL8A1,-0.03355589131001168,0.0894641315029014,0.03783384460229039,-0.004901803102990844,-0.0319344292719969,0.05246628513720103,-0.04515581252665143,-0.059395076193091076,0.05159382723859774,0.05699189015696166,-0.00989833653395153
GSTM2,0.011724006574886882,-0.01099121187046752,-0.02336232654848562,0.023582425071224274,0.10993623117584517,-0.034541952399005836,0.07457013088088123,-0.12092123373937404,0.03284196223008544,-0.014179414213089036,-0.042982938941382894
IL4,,,,,,,,-0.04363728377435836,,,
SPX,0.03407753467780609,-0.04744448761781286,-0.0038033133454529245,-0.033077743217715616,-0.02797846448035882,-0.014841820195632878,,,0.0030037857827806685,0.06498737533072668,0.0754641818695626
MFGE8,-0.009961025585611485,0.011632050519617465,0.018320066298887657,0.04992109573810492,0.0317469111591149,0.02496633398378609,-0.06092919439932971,-0.0012944132593900913,-0.029982038387856846,-0.0020541794944759855,-0.02440243572334032
TGFA,0.051769067600994784,0.02373470574767558,-0.035474304857406366,0.030454957677507576,0.0017042318959085466,0.06887760436643277,-0.01408837499776335,0.038133161699916,0.06506780550716587,0.03123975619274823,-0.0672625782474524
SLIT2,-0.020244080844826505,-0.03624264206213796,-0.015374809719913174,0.02917864231541104,-0.02912023222825268,-0.013788425661922626,-0.012213642320523188,0.0012990334715435017,0.04759580250453045,0.0782005976030823,0.044429743546231484
PLTP,0.06553460731415754,-0.016119447287734033,0.02636370576195295,0.020387414187218327,0.0484647278759741,-0.04683101482040059,5.175923527429519e-05,0.0185049527480996,-0.0010658795481793967,-0.06086217174817622,0.012030380814668482
APOD,-0.05371349272633602,0.03326462966293032,0.008247802572499211,0.04065059460850925,0.040040459662426,0.012397269081704392,-0.0385603453549933,0.10962074105662695,0.09377488577643937,0.07510408959599593,0.04033543952049271
B2M,0.020970996167817505,0.041320090683755695,-0.03179794559336009,0.04007346347928525,0.06995756107040732,0.03044607220130641,0.01236232040325508,-0.08037371433023055,0.03533068944982785,0.07834608569215212,0.00905817044102449
OMG,-0.024400236724715287,-0.027200751228781673,-0.012573436005523398,-0.031340510883601236,-0.03868710641115825,-0.009741119345142267,-0.013279891288316274,-0.03604322113339957,0.06824159118462364,0.048138256047658305,0.0055907581909322495
CXCL3,-0.015840938197892136,0.010773601794044864,-0.016077390516351434,-0.011301980654647619,0.053353973334269486,-0.011930955770121252,0.099998639195275,0.03920161037587183,-0.0728979597662572,-0.05517684650662446,-0.012284551394711823
CXCL10,0.013660254296783903,-0.038948087701390535,-0.026062928356773343,0.048595642388024954,0.056761282354626345,0.037815502790298,-0.018095212290569346,-0.05539517736458582,-0.03675517174202035,0.033796889196876075,0.03931588646761608
RSPO3,,,0.028284207205783975,-0.021872816297093325,-0.02618320359862181,-0.03279612155259524,,,0.00029944403179342456,0.0646226067216357,-0.017373893747620994
CORT,-0.019670779987698374,-0.02712208681300363,0.0211533863439533,-0.012188171382538927,-0.045315900020321966,0.001266983139233651,,,0.06905551450265453,-0.025501847946919256,-0.011593072724516644
NCAN,-0.013676433123986385,-0.07970195687878556,-0.032181044716979905,-0.019040796060360823,0.02100195008987073,0.012751539979745251,,-0.06812963636558389,0.09171971331487083,0.05356025432443096,0.04244092352655964
PRG4,,-0.004854400970975554,-0.00961574646039262,-0.021587526420522783,0.04609078017782496,0.0400830756620386,,,-0.028034003966760097,0.04258357550468505,-0.033267453806734085
ZG16B,,,0.02626250762188674,-0.0007704680006464782,-0.024488613444328913,-0.002372665729668112,-0.023656124236689936,,,,
TGM2,0.07503425545331893,0.13615601990476403,0.039150519332010934,0.012910405559691912,0.0252879188290234,-0.020433507974933082,0.02034388002361527,0.1571059860356761,-0.06503225932573815,-0.028044183082182556,0.014161088744597513
VEGFC,0.003967333079712152,-0.026559202792767883,0.04227539552261246,-0.02345826063254518,-0.029904486948657025,-0.048592725841021873,-0.02825592852034392,-0.04946591805983478,0.011600837369457011,-0.01748379848246132,0.07946097374837645
WNT6,,-0.033684144742373114,-0.023462691017944366,0.011623129662539356,0.045306345789322855,-0.00440269614919091,-0.026452382443130893,0.33234640913952435,0.05575123767281238,0.007308715177104031,0.059845139482743184
NRG4,,-0.025102619559641243,0.052761398481765365,-0.004548413423806391,-0.0008592395882784229,0.023082799523344164,,,,,-0.013290224321094415
PMCH,,,-0.027003625958569206,0.04917548837109977,,-0.026413965360009305,,,0.05153294127515105,-0.03578045700344963,-0.02060695952341728
COL9A1,0.01828720675358956,-0.039106749062599575,0.01146360405242362,0.017719963946886377,0.10363066100784193,-0.010740790441663529,,-0.13547399770148574,0.05798867634628326,0.05122026127983901,0.00725951846553812
GDF11,0.05222973599004207,-0.04800575663014036,-0.05057810568362945,0.027105129224947865,0.00978824325212257,0.04535939232401521,0.05055854130807601,-0.06694201943004426,0.024041785466814434,0.010478453253194171,0.04958840261624367
IL24,,,,,,,-0.014917470960272843,,0.00468929501009471,-0.02398132137998577,
SORBS1,-0.0057252873808538805,0.0031049158359993372,0.026768978584711316,-0.010116267658375857,0.07201000375301354,-0.015271582158709256,0.012301576461319816,-0.09553530918367392,-0.031607516158113795,0.018774141594286854,0.04131336774043118
DLL1,0.09149750264023622,-0.050532245483955636,-0.019617945781649992,0.011176247690883311,0.02744179963801384,0.03215698663181998,-0.002492597828989886,-0.03447453368082117,0.10516908702090196,0.07529136398144204,0.007431833868301226
TLN1,-0.0016531818089393774,-0.028904538993613997,0.004161632830092474,-0.024781646258714225,0.04998386569786292,0.05778746479901317,-0.00044473354731748886,-0.03452799409372566,-0.04345452999175523,-0.07810676939239491,0.03215056324330848
COL2A1,-0.018475893032150806,-0.025694184173092993,0.020287244899899623,,0.03384805766057165,,,,0.11364981095237077,-0.03416415418864279,0.0018895936492927116
SHH,,,,0.00319304100642992,-0.016457897211462163,0.049384739234973885,,0.00502600878856889,-0.015287892216071658,0.04264207818128632,-0.052233527931923776
PON2,-0.02658056414375283,-0.039074233800782864,-0.0009192737146214872,0.009200686679553975,0.07100563121813692,-0.048637537193033646,0.013817007372835447,-0.06003195664804946,0.06297697752644106,0.0950522776771301,0.015848962793998767
ICAM5,,-0.023520749582700517,-0.009268354631728731,0.09291672881710505,-0.040910138196488754,0.0023738552434313096,-0.014121219154531536,,0.07527172275208095,0.020944328704928773,0.014318436931449284
