,UKF259,UKF266,UKF275,UKF296,ZH1007nec,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.009258133990788972,,-0.022198085238250818,
BMP1,0.02019058080222868,0.013213836187594726,0.002701020304554603,0.02267473130636496,0.06825088385006646,-0.05219523679987697,0.06936179841280748,0.008110386789166686,-0.01621107828995767,-0.021346960992198186
NDP,0.0294006773652927,-0.022649852329076636,-0.017903790332039513,-0.027725512171239978,0.07500092690005024,0.055124872699445014,-0.03974417664541386,-0.035308828877321896,-0.015714914878457418,0.07013082976699699
TNFSF18,,0.01655835589382947,-0.015129094257039812,,,,0.08936623881934024,,0.0550165764809017,-0.03146931065410711
RTN4,0.025279785259096053,0.018651376667741706,0.050965611814927474,-0.012404096232759657,-0.02773537355509551,-0.053942114190701655,-0.07126006767087946,0.0475740155907089,-0.011505106979576036,0.051040932869905256
HEBP1,-0.026146526504860722,0.03175311426381541,0.02130011631343575,0.03939882870068703,0.016196602811465375,-0.0003292276796712704,-0.006440225801152183,-0.03580356804743268,0.021358510718696832,0.02623868544909452
WNT7B,-0.013455083260637431,-0.03692062159869489,-0.04336614035576354,-0.011878754606001173,-0.0564069398129513,0.057220806803025125,-0.03928924846287587,-0.00875589001493438,0.012301511501986698,0.05919406025447677
PTMA,-0.004567982502527053,0.0034701027851113337,-0.009627924072815843,0.030801839935072767,-0.16072182145685915,-0.021604409962588562,0.04203859075183048,-0.03388389680566035,0.0002726597305062437,-0.04603012359574482
FASLG,,,,,,,,,-0.01925239175414872,
CEACAM1,-0.004415187115687144,,0.04828647553501848,,0.03742116038231593,-0.01769328077364225,-0.02699778293844337,-0.016034982149125996,0.0658500158798747,
PDAP1,0.031210989863412558,0.0009649941758919295,0.05246336251285823,0.012613067169439544,-0.020231379013458912,-0.062083321180379944,-0.09027344312573912,-0.0019313365883625404,0.00277484869306718,0.044253344096115144
QDPR,-0.05067446473137275,0.037164670826302995,-0.002945185618698577,0.031390784560977,0.044477781508040326,0.02575990903103396,0.0102770107852685,0.0031737777880155595,0.045152124780906876,0.08289010169961972
POMC,0.13126758730572696,0.0593319146076828,-0.01755460459527672,0.004577778442292206,0.02207133719626554,0.08399440035618178,-0.0176795538820951,-0.026231124350413554,-0.013658204952524218,0.01810220595470642
CCL18,,,,,-0.036420812329001274,-0.015369112752210676,,-0.013654261273338098,,
CCL17,-0.02148559878181948,,0.05519032007331284,-0.014702568255207072,,-0.02554136157090326,-0.024020741467869016,,0.030488741870549063,
VEGFD,0.0014828482005925315,,-0.020103244785396462,-0.010784511619608873,-0.04103211625677498,0.09590882165992307,0.015847703970645895,,,
TNFSF13,-0.014820285177799245,-0.01220229861184417,,,,0.04647591926716297,-0.025759138787289932,-0.018006210248312143,0.045341689508374756,0.05386166325802062
WNT5A,0.022578634237766165,-0.01776272318804308,0.052362981569213284,-0.04302274388485251,0.012834648555972552,-0.029817271156782794,-0.015685793375691932,0.021671933290311432,-0.002952448513627709,-0.06467080520951181
CXCL8,-0.011224437760747217,-0.017356978344564063,-0.005031981121245485,-0.010043006146334582,-0.04134896696802275,-0.06471004011301539,-0.004640096584672735,-0.05841397596221696,0.007393525156870939,-0.06473639241645268
GRN,0.00836377030611475,-0.009251478766287976,-0.004914346052012282,-0.0065382580305180845,0.02324020199648679,-0.020792254645264026,0.06186919278442769,-0.01810805620188828,0.0036722849302966536,-0.04026380142044855
MIA,0.06804281118876004,0.12850896487389254,-0.029315531027087997,-0.012265110770305735,0.17119574063712414,0.09232210482873945,0.012677298725256718,-0.013432219308535748,0.05180802672442635,-0.01090905842217748
COL4A4,-0.051783194645509976,-0.011609948026542657,-0.005464888593474515,0.061046556703915095,,-0.013677361076847127,0.06998359361494162,0.04135251394901041,0.03566982478175991,-0.03826181411925196
TAC1,-0.021277211667729775,0.05566752172188465,0.07633169281689593,0.026850092827448876,,,,-0.013776917051445445,-0.022939971214160172,0.04469060946204495
RARRES2,0.00584919906086259,-0.0517791821777125,0.016197290130132387,-0.007147912675931986,0.0028040506304692564,0.022578252110584826,-0.04153784955785967,-0.0233144527719333,0.06703128502439482,-0.04189451373216255
FGF7,-0.008002335760499779,0.05719389673031118,0.046828985067590936,-0.029177805677398003,-0.013171069011549321,0.020573913476031956,0.018929351600982355,-0.003424892832239419,0.01886934050922183,0.07425861617234082
EFNA2,,,,,,-0.016816279286552223,,,,
HBEGF,0.011737196617979588,0.01933131745843331,-0.03173302048649248,0.0056365506245835695,0.019118417401363375,0.029461571857526223,-0.0020975545055290177,-0.00987898442165321,0.01444324429210832,-0.03189402497142559
CSF3,-0.02560896035331167,,,,,-0.05762309222585338,,-0.022988337267941205,-0.01837229563073906,0.06306343712419234
PI3,-0.02397650359139649,,,,0.004514356910466501,-0.06819458755189636,0.004378452702163805,-0.038820898047662575,0.032065610109284264,-0.04125996634850796
PCSK1N,0.06937808778994373,0.017451679253274194,-0.028747572733103816,0.023183987399448266,-0.01610256152565761,-0.06146272373215683,0.052715148014064614,0.08653966708147845,-0.01779251548113384,0.02403288047557228
NTS,,-0.014173108665273597,-0.02250466598337745,0.03486512092540823,,-0.020487445195930418,,-0.045559048322041926,-0.027206864560524322,
SFRP1,-0.018747015432674215,0.02994014582345698,-0.04178644341001639,-0.01470256840327401,-0.06044609592712151,-0.06630950424807336,0.030378391345930768,0.07891694682676192,-0.02657464595514778,0.004409919724157413
CXCL13,,,,,,-0.02397694078447419,,-0.01627563534478591,,-0.03264582522892791
MICA,-0.017054741280707202,0.0340570464912807,0.007701694272211273,-0.00992116386292467,-0.05754570294902353,0.030676661924637694,-0.045809017769578256,0.06919322084374768,0.04646234979635763,0.05888866981038547
