,UKF243,UKF248,UKF251,UKF255,UKF260,UKF266,UKF269,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.025112039521206414,,,,0.01078387985251095,,,,
BMP1,-0.03893999891915451,-0.030564955754946232,8.674098332325975e-05,0.1697042273899805,-0.032511970992328894,0.13910093426631182,-0.08169641874178347,-0.08700245311541403,-0.06150189317431524,-0.03258637070795699,0.015373287260290932,-0.11446765808839689,-0.007826512787408842,-0.04269391736591097,-0.03811954000438896
NDP,-0.04060935974980936,0.032283202325902954,-0.04331607090719079,0.08052390095811586,0.03972923144097954,-0.026700038969274646,-0.0228788786420598,0.021805303386454634,-0.031967457308109584,0.03330507382391228,-0.09209060669576022,0.03203322353915402,0.07628867904947692,0.07031654820175821,0.08586818922249187
TNFSF18,0.016535246726126746,0.0707240769692394,0.01943304049943702,,,0.027443839976184173,-0.03729062480490639,-0.023078299155842114,,,-0.027669880173248975,,0.05420738643996394,-0.026348571113319657,
RTN4,0.22915759685755493,0.017577933445704682,0.01951620020170753,0.04123999551438024,0.09906719752149837,-0.1253581400745331,0.10122528214686292,0.03967346853799319,0.08248256495045649,-0.06713788342378892,0.009560156061276841,0.2007348199138549,0.0024034227773534313,0.05774354524291557,0.06344908693505603
HEBP1,-0.13256009015868278,0.06973826598032874,-0.03182827303846883,0.022671822514928216,0.10246600379866955,0.10719217881191152,-0.012821829414009504,-0.04707800595416165,0.0593549659831298,0.009027040756786947,-0.00937653431025792,0.04318089063069246,0.08239089693613054,0.04572783388308485,0.006369148845198601
WNT7B,0.25034047036620904,-0.042204072829449615,-0.017840747852955783,0.06725835109400015,0.008277500589952733,0.04240711667628439,0.0533495961166216,0.04453031503400028,-0.05369575222111638,0.043910556777329704,-0.004796443133899423,0.11617250362213026,-0.06721561980731272,-0.010646628329679124,-0.019948563489144772
PTMA,-0.00524029049012175,0.03175970262199845,-0.0135662289450004,0.24104605281639271,-0.044664537079081024,0.2017367932545757,0.11585453833660654,0.050514779173782554,0.030332483303193297,-0.00898996939853262,-1.509799027054302e-05,0.001889543616422842,0.018051516604582516,-0.008701766243330243,0.06573842950789004
CEACAM1,,0.018733317428057637,-0.013691700928415797,,-0.0063077325897367325,,-0.04113800058724658,0.004508097882820518,0.11940921519390923,0.1115371687182164,0.07561350054647056,-0.0055000274843759744,,,
PDAP1,-0.08721120213304501,-0.011195238350467035,-0.014992451690644257,0.07465779034784659,-0.030704122104812825,0.1087558642319694,-0.04669917140935892,-0.015605856965765455,0.0012534113395632452,0.023036016349867627,0.05454098848756177,0.0012535527366650673,0.1269478046145982,-0.04809113000371003,-0.061686617980691354
QDPR,0.16141889070256238,-0.02557010821767727,0.049059934290460794,0.16280169898216246,0.08703148732558923,-0.0551545611518167,0.0582133318972439,0.06434282149379213,0.08332267642992609,0.09226180537087106,0.048860527622153295,0.05409505953352029,0.12755952536811682,0.047283318204344026,0.007155991451936787
POMC,0.1286871569165338,0.010201432310160592,0.04357197300999476,,0.05226108216079816,0.04910678302281108,0.04033173027339139,-0.02677823335153081,0.046754976045745085,0.025398124886059695,0.08397050563783164,-0.009078550855434221,,0.052796967953180236,-0.05023007825660014
CCL18,-0.01807329185709804,-0.022650941045983378,,,,,,,-0.05506136328802211,-0.036243676196625,,-0.037416576289559765,,,
CCL17,,,,,,,,-0.028783132254167246,-0.021346248116785975,-0.004768641889719632,0.09170924575705307,,,,
VEGFD,-0.010382893039747843,-0.022650948238718063,-0.01961061462267731,,-0.04564364474480399,,-0.04206940234604013,0.09836220050763851,,-0.021930868730990063,-0.023063306981923607,,,,
TNFSF13,,-0.017093132405601973,,,,0.049368213835283635,,,0.05558415882404064,0.015053491472837115,0.02014366083555789,0.039159343478387273,,-0.02866348701937654,
WNT5A,-0.07612726093654595,-0.016660298619280676,0.007595497723604358,0.12666277549420632,0.05352161047362063,0.18497790616829016,-0.0364967566011593,-0.01515104160176698,0.0950071681897189,0.03818168028098184,0.008642168341077925,0.03209782146597754,0.018048582551019578,-0.013631025212177267,-0.014539090022838432
CXCL8,-0.13248476640294676,-0.07655997080666707,0.016343127369617207,-0.2089704695399809,-0.10304075193303991,0.045142260835765995,-0.041343282403638666,-0.08611671307634657,-0.0881458484948121,-0.097567495721218,-0.01678508721068574,-0.1798830062777377,-0.06836530921551172,-0.056031419520703014,-0.08332965244090143
