,UKF248,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,-0.019515426926907196,,,,,,,,,-0.016113801855969282,,0.005090565568253681,
BMP1,0.02208128094516174,0.14144652507885974,0.0007364058159700704,-0.010091208373054817,0.07608145326220928,0.013871021936390088,0.08895788511256306,0.0654381929248402,0.037572715320571694,-0.011120553250256396,0.006342269859186711,-0.0036915094487249356,0.012023115787321034,-0.021169797518953235
NDP,0.032567597245065,0.06112323362153826,-0.015864540905609625,0.027478870729599515,0.020055047300126097,-0.014572604429503271,0.08087224123898584,0.002917274303969863,0.10736929150241037,0.03586008321913214,0.07378494480184358,-0.02412275890102851,0.033808209142407265,-0.014253070356370164
TNFSF18,-0.018454272671426134,0.010332832195160827,-0.012358478658726475,,,,-0.018714762942759488,,,,-0.016617879428755474,,0.09460851837173923,0.05442706008492127
IL36G,,,,,,-0.013349796065576394,,,,,,,,
RTN4,-0.02266867843582808,-0.15360537112987172,0.004352574631773347,-0.04432800780183463,0.01563994389412063,-0.05088254576311797,-0.1311226995981061,-0.009196095703820807,-0.028751878145300114,-0.066234392006153,-0.10155087597498783,0.04031617355025779,0.009896491172213015,-0.046917837839509716
HEBP1,-0.007453526560793863,0.06716558820642293,0.020129952778499726,0.013597781269682039,0.020203112022295914,0.068356807285722,-0.06977796574306626,0.022049099897328922,-0.021347642431090132,0.03851371972651023,-0.029734504047713002,0.06801153185708975,0.03339661459887359,0.01609691549263836
WNT7B,-0.004021924447066112,-0.04182356470412385,-0.03542442865333194,-0.0156303775659787,-0.018444312014036107,0.030966160395910713,,-0.011460869529394922,0.009405016548303334,-0.0041005232049955535,0.03828503378619597,-0.030440103615721623,0.08519911465817703,0.006217982746398716
PTMA,0.01774142863129212,-0.07348230171460904,0.03173139788660206,-0.0026481463434326422,0.10420507203818324,0.07604295238795665,-0.015287449406121385,-0.04117661675457986,-0.0019855487861341046,0.03230548608153983,-0.09621752632089185,0.06805223523801464,-0.046015179218499805,-0.057898527985609884
FASLG,,,,,,,,,,,,,-0.015589440607130604,
CEACAM1,-0.023605602987463836,-0.005975864186834001,-0.019436942719909513,,,,0.00035502226541615263,0.10466518596256796,0.03333688391830447,0.03477999847061684,0.018106720031281328,0.017196418580699275,-0.02169041693276794,
PDAP1,0.040050611345366915,0.09550362233228402,-0.018343630950774237,-0.0006785096392435771,0.051478113591179334,0.03495956952101288,0.008481799656248921,0.046993018382755436,-0.030375613171527458,0.0046731811197602705,-0.04808593675132749,0.02351495847116224,0.009652859254355406,-0.0717030435486989
QDPR,-0.0018204184903823342,-0.1491784960600987,-0.026503470739773674,-0.023586860474211515,0.07159175728627792,-0.0878672558958808,-0.08297321261070116,-0.018903189813251668,0.0782163652636298,0.003372256140812769,-0.08457719274340568,0.03990574800745149,0.004597799531901996,-0.0003570769505811928
POMC,-0.006463035860250016,-0.016538984765365278,-0.014339801350114504,0.03647011805567652,0.08859597329900265,-0.028602081155392787,0.09291987087008104,0.03291571721306406,0.097343949711723,0.002561011941373086,0.04023889805171491,-0.033050336541015815,0.021174575065107965,0.042776002381806344
CCL18,-0.029457562175920878,,,,0.049985573637454137,,,-0.027926432981194467,0.04201362198269998,-0.00429612003556342,,0.03427305019002798,,
CCL17,,,-0.015413429009320242,-0.019346025794855667,,-0.012195417706485835,,,-0.02374868527315385,0.11979389113503822,0.025525005975196045,,0.04476917871957383,
VEGFD,-0.018093038160277016,-0.03269357499415732,0.0009188195317239173,-0.014190543880249134,0.027700019312075524,-0.01307020688882043,0.055542375473171084,,,0.16261089638402448,-0.022407041073470538,,,
TNFSF13,-0.022229628764521298,,,,,,,,0.16779991594059898,0.04321238974061362,-0.02278264042606615,0.045242462739138206,-0.0230237809357933,-0.03854837229074218
WNT5A,-0.00985585280977376,0.09926496542583794,-0.016451564378846265,-0.013046990496634131,0.05564527598880509,0.041051081244084145,-0.007289447967802936,0.020816448207362857,0.038852761412391995,0.010995297266172793,-0.0038668312859619857,0.012376424106802297,0.030336742401290407,0.04562349032591065
CXCL8,-0.009999379723989841,0.0664539619512564,-0.007338202476322673,-0.013214851486649084,0.03643221335181731,-0.03929711098253066,-0.023306497241256805,-0.049168882091293824,-0.08333362676418188,-0.016909955579266993,-0.030163434936206285,-0.05230951541710898,-0.03335603708562107,-0.03966566066055612
GRN,-0.024991057488876943,0.12128203449845819,0.005511130591100528,-0.028969500546340756,-0.05995744483561064,-0.004105762155739433,-0.004279142195311357,0.09752368141263856,0.031008331225727544,-0.023051378417637918,0.11916788495599849,0.035041700192470646,-0.054766748009166984,-0.08603866609533897
MIA,-0.023706528341158654,0.0977683883662238,-0.0024541789228140695,-0.016138755163068952,-0.02304566678512377,-0.017900247309933275,0.0660131532665319,-0.014034717446005504,0.0812994351023043,0.10606604003793976,-0.00677119829473157,0.016609883928285985,0.05200991129991735,0.033558495492753734
COL4A4,0.016369126419925613,-0.019231004700641756,-0.0160920967567471,-0.015817100612213458,,-0.017363903973671744,0.026688047607816102,-0.03530773699357557,0.007885013386929018,-0.04520829753290333,-0.03272638528574511,-0.031525772725164464,-0.008863079959991112,-0.02006192224217527
TAC1,0.005313074483793398,-0.09792922298204887,0.02995628548793959,-0.03975596867706324,,-0.0307724717983172,,,,,,-0.00337702313913933,0.0706243430015747,0.03955716184711179
RARRES2,-0.03936765916356578,0.10981070990046278,-0.04210042457849408,0.03744319941396799,-0.07673452226205907,0.044078772748495365,0.06409326178724944,-0.014932327610177633,-0.06913966306721411,0.024104537492718688,-0.01894454374474134,0.02489046220710777,0.029170270555160614,0.028787100480284336
FGF7,,0.07196793869662117,-0.028589325648133483,0.04141089606522969,0.030563608448985993,0.02150693465655948,0.0743990938836245,0.0080053074669619,0.08307213933347833,0.05399945322761934,-0.03495329603484928,0.06828802091618728,0.11692459891895747,0.08726511232219542
EFNA2,,,,,,,,,,-0.02683526882772301,,,,
HBEGF,0.003400581963071021,0.019312419904385026,-0.07748283461962793,-0.002402390851848621,0.11446907235595412,-0.04293528625651118,0.0590008842809794,0.010188168198570671,-0.03959279960918751,0.05409642670213908,0.023795964473157568,-0.0002666741827650643,0.001047750531024863,0.04766769461099282
CSF3,,0.016516503483534766,,,-0.025529147143369547,,,,-0.04039030388758975,-0.003947517537756427,,0.022949869119224236,-0.014876791164938348,-0.04531906292650741
PI3,-0.030990597391564623,-0.022909901496592028,,,,,,,-0.054294746121420316,-0.0381003035295393,-0.018051191834894103,-0.005130958105873303,-0.01978480668083577,-0.015134338968256129
PCSK1N,-0.02293641223131594,-0.015574742011477622,0.0008329739891650804,-0.014664792443621887,0.05434408199632416,-0.04323125381791887,-0.005432186680928501,-0.002971314035485374,-0.016850188124282538,-0.0008789617242537951,0.0891228043697533,0.04253310095693277,0.009010900957776598,-0.05177623999799083
NTS,,0.00576665797462658,0.11582752349484067,0.03246365868135808,,,,,-0.0016019042451120601,-0.0326936827140884,,0.06513528930104254,-0.022030499097918158,
SFRP1,-0.010189302470610785,-0.009518716456257414,-0.01549461259180863,-0.004559128611657483,0.06958144820507188,-0.015693815052927548,-0.04482112422518847,0.07933702509235115,0.04834605242937127,0.06956462682525713,0.0023361406528410993,0.006607302119901318,0.05344776038730209,-0.05653917989664497
CXCL13,,,,,0.05706150262913991,,,,0.01297834141431864,0.004650220547656786,,-0.03927649690502957,,0.019175621453715545
MICA,0.015097618898708608,0.021471849956680167,-0.002831946343520552,-0.01028571360185925,-0.01994387511076568,0.0009208974452160119,-0.06670268885277524,0.023953845899347997,0.05545793848067449,0.0036207173183237756,0.01976894318146917,-0.03773119531867334,0.004464832948481489,0.04251698873377493
TG,-0.0233893007099162,-0.02455584129827674,-0.015528446428892093,-0.014000634855276674,0.018985553486503572,0.0182724498271901,0.023968088679054665,0.04883325191850302,-0.03155606521641356,0.031154976680663898,,-0.023838256257801248,-0.029012580406175853,-0.015224125744623243
