,UKF243,UKF266,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,-0.015352602362082543,,-0.008902807420011349
BMP1,0.07723159290557714,-0.0011170656025481383,0.0022198216814813924,-0.05911028156063774,0.0328635513488161,0.07159188405543637,0.1078591360242117
NDP,0.04563550666479573,-0.04679118127399721,-0.009025846301313952,0.04646665496515354,0.039226846886778015,-0.008530719347788028,-0.03487355538322413
TNFSF18,-0.021544819657962642,-0.01583009734335634,,,0.1143866103154152,,0.11187712050174116
RTN4,0.08033395140732053,-0.009195521887831962,0.037565519665668165,-0.013951666204690622,-0.03012180789933572,-0.036820472646985083,-0.09814375006655734
HEBP1,0.0463401783574442,0.01985775464049676,0.041804802814135136,0.03492892622782461,-0.06718444945307935,0.059773481394080535,0.05214342477459677
WNT7B,0.02359176892367539,0.007530898445194611,-0.0358356559179125,-0.02632985381321187,-0.033107807471246475,-0.022067364386985835,0.01524678846381399
PTMA,-0.035622899948980075,-0.012864343593695945,-0.03705525329577568,0.017984593766572212,-0.0338155910040362,-0.0011997473145062539,0.20742069915823186
FASLG,,,,,,,0.01439180086775557
CEACAM1,,,-0.02008048549225662,0.004358674658913895,-0.022750178093151018,-0.0146464306847798,0.013634637658183872
PDAP1,-0.08253020314331162,0.02957527404683252,0.025639273361680932,-0.022765460718559682,-0.009058170548437364,0.011160679024190719,0.013591549548844142
QDPR,0.02279685194682257,-0.04665002848082469,0.007169460805540317,0.0396568196651326,-0.05755400386068564,-0.06243351697538825,0.006726082041688067
POMC,0.046274705380737184,0.0142684368272913,0.07087837731864169,-0.02104829357450082,0.10746345795273587,-0.007877305459509208,0.10462638860239389
CCL18,-0.028893374667460815,,0.11264562892648428,0.023316640635182052,,0.0075502960304834445,
CCL17,,,-0.014246132533938185,-0.02637682940699412,-0.020241519371037155,,-0.02629686283402583
VEGFD,-0.032554388157324844,,,0.025998429547823578,0.024952713669749015,,
TNFSF13,,-0.015351892078464534,0.053713327667376735,0.030582203775284693,0.04789408248005653,-0.016446960018090838,-0.02204982184896207
WNT5A,-0.0320863363501572,0.045899802650952046,0.004196180679584789,0.04476311272729646,-0.008321376424865728,0.07580933545625537,0.10021943697706003
CXCL8,-0.04860635359471917,-0.021837070770858828,-0.03543510218805161,-0.07490276465283961,0.009471465647745198,-0.02475506594384657,0.05782535196288053
GRN,0.025148730701446846,0.04212706964649613,0.10788886768076242,-0.054755561020867184,-0.012040192080303332,0.08165402920892835,0.1100401553895221
MIA,-0.040622359095993814,-0.02775918166238606,-0.11662943299073532,0.08533087000156503,0.08840786026294178,0.012477497639334088,-0.017548623939410982
COL4A4,-0.032771673103543224,-0.014606647059682799,-0.03764231153995155,-0.029256384782604127,-0.031180424367340046,-0.01635035644222366,0.11870475315687777
TAC1,0.04256072962889164,-0.02300823554427918,,,,-0.02526926544292302,0.05550583516717929
RARRES2,0.06970946049207641,0.01708073181619903,-0.06613167920752631,0.018037269714088467,-0.062292668740880734,0.04639125783080666,-0.040368896692543225
FGF7,-0.03398063612473628,-0.03226789373748656,0.08381447368121923,0.03644488517761073,-0.05104315535647865,-0.0534413128765915,-0.0214566428556484
EFNA2,,,,-0.017366346299527775,,,
HBEGF,0.07868151363494412,0.07542734502208574,0.004700781480060771,0.015609250102326718,0.007812121371609772,-0.0015053383975714852,-0.007248267765275449
CSF3,0.056205665133444216,,-0.04706737929930045,-0.05287771375498351,,-0.020997659069523392,-0.01268895943135497
PI3,-0.038822902999032606,,-0.05528635889264548,-0.06961907640913759,-0.017198472022922254,-0.018956034383467303,-0.03528557991989289
PCSK1N,0.08238514110257347,0.05317438814621255,0.058198179889258156,-0.04153635467232402,0.00254927009282961,-0.09929017471221223,-0.14579037977320722
NTS,,0.04444736328452408,0.07589331809225033,-0.021157597468641414,,-0.011041952873377963,0.0009313949218800747
SFRP1,0.035272779035592575,0.023068315137118177,-0.028916235650906848,0.06171076268343889,0.04759304429312346,-0.0020843525296114183,0.11164836832582684
CXCL13,,,-0.03199973453764562,0.0305123683018311,,-0.03425155146851183,
MICA,-0.012887828266110393,-0.027801225673685113,-0.04052811649722329,-0.019099070892789023,0.04698128118827092,-0.02167378858658701,0.07791885199568623
TG,0.08442815833102553,-0.020582133089024162,-0.01892954840034071,-0.02605789415557178,,-0.017281396076442853,-0.0018313593815279458
ADA,-0.023203213642089975,0.0675678968765757,0.04832145954744185,0.07724351493693749,0.07394806376581198,0.10657611790904888,0.15354397154556246
LAMC3,0.08282010796640601,-0.019291066642394897,0.019225518377592038,0.04465915222319972,0.04784081083917063,0.09760360781902845,0.14455317520025204
CCL7,,,-0.021351668925965153,,,,-0.029012809918289206
NGF,0.04351425939374851,-0.0008167947851981231,-0.024659468279150786,0.02955653941661065,,0.1035889836475602,0.24834692063579072
TNFSF15,0.0022971568193194372,-0.023848328719903705,-0.020815479617180648,,,-0.013039185796846472,0.13671930842845786
HMGB1,0.08158187848431794,-0.02759880897909822,0.015814497039869996,0.026936858095763565,-0.029111087063338613,0.029585926072495848,-0.04494156831155651
ITGB3BP,-0.07076213217813694,0.017415375938425064,-0.03695300702527571,-0.021791178110938888,0.04211762238192503,0.05436699713616311,0.02569476539990462
AANAT,0.0549542896946956,,-0.018731438340180245,0.04612932038416497,0.03863635853791466,,-0.030696762790919166
RELN,0.04195831823512088,0.010402557059706498,,,0.04770946338448861,0.00798063299595404,
IL15,0.16691412671888411,0.004363443346238866,-0.021815384978125834,0.018666391760454534,-0.031180420415957585,-0.00809956170393187,0.03871919737067229
UTS2,,,-0.015951190655460995,,,,
BSG,-0.04528987479403041,0.014316698251851452,-0.046119023077450666,-0.01198489428828567,0.001845327933610613,0.03211671751850014,-0.053353802209420716
ADAMTS3,0.07903409424714068,0.013881110838487073,-0.021854166297535182,0.03850371220538403,0.05463991197093209,0.06333173838874967,-0.005390880475617597
CD34,0.1704926495912423,0.03557523998126533,0.10698815465079163,0.013744851307300252,0.045118966734253564,0.10486399421697279,0.14769880961744658
PLAT,0.07777451367017031,0.0770587544008941,0.05056465648102033,0.0591453373581334,0.06559244750897328,0.04693339397285255,0.01772269114193528
NTF3,,,0.018737808854243605,0.09617551118811082,,-0.05921673232022464,
LTA,,,,,,,-0.04131321660339751
CKLF,0.06501959061159075,-0.03347479754636345,0.08316734978677989,0.013470157903929312,0.028133999066627686,0.0536903427534862,-0.08755261027912489
CD24,-0.04091998559940544,0.02675153159559101,0.011532890802481514,-0.016860581601376004,-0.005484873972273788,-0.036227952744659925,-0.12386269329901192
HSP90AA1,0.020401361097906235,-0.016988076955482455,-0.011021897887967225,-0.07337078733534784,0.001606750313185965,0.012230813093222376,0.05511989453707303
BMP4,-0.040862404590975114,-0.025849848928433148,-0.06383053132117188,0.06338305364691592,0.0014970753746650258,-0.017810717747601394,0.13448784540408273
SCGB3A1,,-0.02166187153842834,-0.03249814274466066,-0.007208220117239532,,0.0007953183712753718,-0.02545309732566644
IGFBP4,0.11031947339867668,0.10396332402990394,0.07460191024289053,0.015503878899416413,0.04180569427974633,0.0602633396317666,0.21820507488316443
RSPO4,-0.023064683297977798,,,,,-0.018236065462725184,-0.054487808158796364
LEFTY2,-0.006812421383204228,-0.02334147588628945,-0.018125149032578555,0.0005451787189581492,0.03870854908612007,0.036475958695349496,-0.043069962545444374
PF4,,,,-0.015917458711682556,,,-0.030571189633227965
ANGPTL2,0.07499431051446566,0.028237911124963693,0.0345602135837258,0.02481323092585973,-0.046166679618871664,0.030083320032252166,0.05177710518656472
LRIG2,-0.0036688212198559556,0.01095505858387183,-0.03272620130331278,0.0039475001622486005,0.015759462248139882,-0.0703293118483292,0.0029941858207084876
ICOSLG,-0.007535169149652296,0.012079845126990119,0.01205062440608347,0.052478906469134584,-0.03696478901528669,-0.04598437634835631,0.019122180254246383
WIF1,0.0812129510634381,0.045237768211604586,,,,0.026384932434962077,
NPPC,-0.021757559494161628,-0.0030615820596949068,0.05660864886219872,-0.016242484267743447,-0.023753864379382057,-0.002580227498167828,
LYZ,0.009620978895086486,0.009311928364291696,0.011358227125704709,0.03170021081210775,0.01432949268472608,-0.011642891201603998,0.10815147404184366
EREG,,,-0.04334005933833824,-0.009316607691541337,,-0.022713326995173196,0.014554211453876021
SPTAN1,0.07103566633307223,-0.015023145688729868,0.030226525847038138,0.0034367051483969757,0.0400278021593359,-0.03762903047861599,0.044642629131670594
PTH2,,,,,,0.02354612376554546,
LIPC,-0.03620161179355297,-0.0263153489549008,,,0.043354704756620926,,-0.04376947998346381
COL8A1,0.006053171058489891,0.0582401011732042,-0.023050762689539008,-0.013995264616835658,-0.03418316643682157,0.05215303002003796,-0.013444477757258325
GSTM2,0.008115506205189414,-0.014350000324875663,-0.0010342492978757673,-0.040173739872127155,0.006951505972307083,-0.029059490584738785,-0.021266166364355563
SPX,0.085732721944297,0.010181263320453451,-0.021527736163068724,-0.019763559537636498,0.014467357371093795,0.021466354469796774,-0.027650278491420856
MFGE8,0.0135734511992562,0.06788593223666439,-0.011090839613080213,-0.05858775466575222,0.03831430610594037,0.03949384830274612,0.11171619375714067
TGFA,-0.0669593691606361,0.015566279075390639,-0.04020558284137074,0.000493307783073676,-0.08298367332211302,0.005528235598654517,0.005114894345559003
SLIT2,0.057854547667372934,-0.00930666214151409,0.03164154480032941,0.013086844117958754,0.028596223133890375,0.01944972902885315,-0.001892001975240643
PLTP,-0.01446820242246224,0.029899299352621662,0.13421530264846795,-0.0016967653279184498,-0.019992363353427904,0.045262239738785875,0.15844857654377742
APOD,0.11313862809804996,0.0077665080192960536,-0.022378331918756045,0.098497810212012,-0.029742722590841517,0.0877685023261708,0.11506843960309389
B2M,0.10180370597448905,0.013071686493544295,0.05559301198528267,0.08828097958356147,0.04846769514089821,0.08830959392422884,0.13732132129756314
OMG,-0.00032424010433836623,0.05563879062388946,-0.0012926198565331641,0.03480771543570046,0.01492822485983107,0.02489664678108363,-0.05793566018004199
CXCL3,0.052621231066375465,,-0.03604406283426094,-0.0009712511325164164,-0.017631849170439726,-0.012432830689351184,0.010128531307271815
CXCL10,0.02823218597635173,0.040053081822048836,-0.022048337320271557,-0.02134992654775319,0.06408610290532454,0.005544501709512178,0.047384683460153315
RSPO3,,0.04952263688498883,0.01601742242793584,0.050361779782279646,,-0.006454345778455429,-0.02944232888890522
CORT,-0.02585957370761275,0.031132580344238284,-0.02434655302266176,-0.016656811519364732,,-0.030329022626564926,
NCAN,0.08442347853638926,0.021814985961334715,0.050438107757652485,0.049188655081324015,0.044422883443688665,0.03452570566155005,-0.037340448918600035
PRG4,0.0786490760059677,,0.0879348061080516,-0.024578144694508357,,0.12327580000769961,0.08413129865721386
ZG16B,,,,,,,0.037699557617503585
TGM2,0.08701597211099849,0.008382528767680161,-0.00662134155690124,0.02317295237069271,0.05440013316699711,0.06776326517364903,0.14211430967250896
VEGFC,-0.02532289152270267,0.02092119162002635,0.021456107133312363,-0.0210586077362873,-0.02325669959605313,0.018343801111490858,0.2010548169964842
WNT6,0.0930975074748149,0.025958811139116734,-0.03187419558258281,0.022940884131354713,,0.06989731553403768,0.02140151389149247
NRG4,0.14301359115333098,-0.021307527659286625,,,-0.018674793856032455,-0.02408119759080653,-0.029442332188687848
PMCH,,,0.07758058084292412,-0.023370397691324655,,-0.013864959317019249,-0.034123289257727875
COL9A1,0.04176390879934066,-0.020597922392206012,0.003919449587213835,0.0124127721159017,-0.05140483491853754,0.008937308434537524,0.05538862793453308
GDF11,-0.009575792574628853,-0.017132014009270377,0.04008817604339897,0.027992929074019214,0.03212423415677095,0.02651565773224491,0.003824107283916816
RAET1E,,,,,,,0.03667825232700417
IL24,,,-0.016180862311636478,-0.01566366292525834,,,
SORBS1,0.05748486251035851,-0.024295796426442553,0.014434862919044167,-0.02237113916420074,0.017872988747760166,0.010164100555629796,-0.08910550828295398
DLL1,0.17073078272878658,0.04209721985193458,0.00015696830706842237,0.013391305312636301,-0.017304464369562185,0.042721725725224834,0.06658614891853136
TLN1,0.050729579412092,-0.0077392168275531225,-0.0058100385695370555,-0.014211763751729575,0.047962830039620964,0.04941472754454358,0.11241963276019133
COL2A1,0.023340457984625012,-0.018856673663703798,-0.02306827285942894,0.02190062338792326,,0.03447057568447166,0.00814616707997945
SHH,,-0.020582135289329707,-0.05552448221080196,0.04278607160045062,0.032050334865188185,0.09184294328829376,-0.035741373708641305
PON2,0.049218226665941556,0.032402842276624606,0.06359508113073875,0.08607910629832491,-0.03494438888078601,0.03142587231294499,-0.13611918284264019
ICAM5,0.12129402648256844,0.030046380434620934,0.00011751635759833224,0.00917579728025579,,-0.02747684906716765,0.019304463150300058
HPX,-0.022609540593635468,0.06786224381759044,0.039600022800261356,0.03483211056107886,0.034299543267555625,0.0021043298902244188,0.034415468253693106
SFRP2,0.09343235488920329,0.06263088177378245,0.039463980547731536,0.03140116126610652,-0.04939918883088738,0.03316990503100372,0.1999825637472608
CFC1,,-0.016244444925882607,,,,,
CD70,,,-0.031162827696107693,0.04966751911125429,,-0.03506830884287972,-0.017249730197967127
HP,0.13426652506984443,,0.030713123301917705,0.027463201665697094,0.06189284061020506,-0.021894322536809428,0.007140317040505874
CXCL2,-0.027141681701404304,-0.026900927848798484,-0.030409311415183132,-0.015908562423640218,0.07107171087676581,-0.04052682264486599,0.08087865925553295
NPPB,,,-0.01935743037537541,-0.02601950010863335,,-0.002619110781984266,-0.029865967006398517
CCK,0.12084544617031324,0.016513050831335935,0.015604039221393647,0.026059494384966145,-0.028510880634063582,-0.046670331840735324,0.09888422056868668
SEMA6A,0.01617338259247574,-0.0020658048704265794,0.002774577170974346,0.021502372128059916,0.033881392627524994,0.013376770506237359,-0.04757900326222729
IRAK4,-0.011467691197257613,0.03543171617311174,0.056418404756387715,0.053835526205526625,0.004034586602849937,-0.005152187515964274,0.09783934026440283
GSTP1,0.12029712245919112,0.024942468404219268,0.012751191565844845,0.11725570974251097,0.007328301569574098,0.01755573199579903,-0.011329359261480874
VCAM1,-0.019198319775822825,-0.0004792160567319583,-0.004078907263379246,-0.052235259004615855,0.03106308144492596,0.004139217020483406,0.07910888363226119
NXPH3,0.02172288431578721,-0.014300493790942503,0.06870477952282707,0.003935695457762097,0.07123953769034247,-0.026967798973431382,-0.05387158594154787
MTMR4,0.11821615085796411,0.007673650198699392,0.04481537261925395,0.0715885168967965,0.009308288256630359,-0.0015317076434948644,0.004453531446360238
