,MGH258,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,-0.012644890803003291,,,,-0.017079230149350557,,
BMP1,0.02510404339233416,0.008719761895129517,-0.02883479224252096,0.012716099035471341,0.15758870951683235,0.040070938912510054,0.05083394350676699,-0.021934972124938803,-0.017238549348473423,0.051620831308735265,-0.053769422356716924,0.06924736803410494
NDP,-0.03729343458488096,0.0224485303635914,0.018381493094072943,0.02176953568887732,0.0247862488885265,0.020365481026130033,0.03540548996244192,0.023702389518996947,0.1001607182564822,0.013992587990753988,-0.000768832851887457,-0.026445722588814204
TNFSF18,-0.022885152519951636,-0.0009382934060021725,0.004049605065483129,,-0.01363303806188857,-0.018777283232435518,-0.015882541823729453,,,-0.017613508586909483,,0.016248067427339127
RTN4,0.010262132366119692,0.04727623441820661,-0.041092131956237135,0.04000434770482106,-0.12213058085883342,-0.08807471038717217,0.0010402437366875254,-0.017402043352438036,0.006116588514160608,-0.0548706468175645,0.11978300703823329,0.018267294475574593
HEBP1,0.021587324173410867,0.008286718687893236,-0.017928229146579367,0.006897837714168666,0.05850505567319629,0.023482317971261716,0.026804644019424926,0.06007501853849405,0.08989766258595602,0.03020354906100786,0.006059158093563815,-0.05459352565624169
WNT7B,0.002566861758559441,-0.05665705649210116,0.008664516134117803,-0.027801494246450002,0.031167168314394162,-0.03549465883033522,-0.005046906711711646,0.03217699978547148,0.05363972956381376,0.047460121326656134,0.10769581735004642,-0.020699155036844274
PTMA,-0.032108715868327295,0.06701960984206112,0.007037821929015306,0.03438127215581123,0.14173474357574878,-0.05721726552657155,-0.031636621731085696,-0.016896762936602625,-0.03695397581374749,-0.06581021349787161,0.05541991099529017,0.001218341729914211
FASLG,-0.020161108286660272,,,,,,,,,,,
CEACAM1,0.040903225280349745,0.000385608516093791,-0.016246414353785214,0.013202586737724287,,0.0367257002430095,-0.02497945452666328,-0.015959471369496773,0.05681623240491779,0.01527956297276191,-0.020479623194857518,
PDAP1,0.04594472788973054,0.03781623256671117,0.08251490979730321,-0.016781867487506232,0.016675483474313968,0.08437142125683535,-0.005133757120743285,-0.09633165742082542,0.008563091469950032,0.08367626017212956,0.07832368886669794,0.04380866668642661
QDPR,-0.029368583118480517,0.03202819343930633,0.039162542638971,-0.008306982371338225,-0.056357463091104384,-0.07637735280990501,0.03817800862952968,0.07616235560959629,0.05301709125923785,-0.08501087807852849,0.017314988778858707,-0.006200965994995993
POMC,-0.005931458321493177,0.014586709558426614,-0.028867286311529045,-0.02989538824671593,-0.03596670406032714,0.05888186098166892,0.056805849588134026,0.053043500585664365,0.09768577536883737,-0.017693852556589226,0.02390295782186151,0.03278861764121701
CCL18,,-0.05211741350710803,,,,,,-0.010465385564777248,-0.0027789105151655564,,-0.024997869085247138,
CCL17,,,,0.05825412953429596,,,-0.019808621890102473,-0.050404582386951995,-0.038090508653415,-0.00035214692935656795,,
VEGFD,,-0.009307033879666778,0.00432366221024271,0.036070898017211854,,-0.02118358400814319,0.033248270578811114,,0.10372611324926656,0.038750015280079875,,
TNFSF13,,-0.0115586388807462,,-0.01283479840654116,-0.013221202907861445,,,0.08364871340101696,-0.02280962721267556,-0.003440999368505245,0.03522423868088471,0.051101494230073916
WNT5A,0.01740674016858865,0.01025322176279577,0.05381963856844041,0.015744640084844424,0.15705560821931844,0.061607444349461936,0.013516835046231888,0.008042201006530424,0.04909490060753669,0.048802110668602426,0.0263909740928479,0.04065779218832407
CXCL8,,0.006695295016182361,-0.02178839504532296,0.017609554664248628,-0.018806303620376368,0.021593347959917457,0.07356235441719784,-0.13960268103742615,-0.20936722802728802,0.04560710016869672,-0.051571479896312604,-0.02797715389773278
GRN,-0.034866303853136514,-0.0006117938725398484,-0.01195501371047294,0.00416418051274648,0.06534992646356057,0.026948146683422734,-0.03960718302915098,-0.04337163854425779,0.07385547228831205,0.05703198013921334,-0.05102974352487236,0.011429904593908318
MIA,0.010607884152969826,0.009434103671780226,-0.02069446970275894,0.019710973571049548,0.0675483882484871,0.040021360924844714,-0.009276870074677144,0.2203977959512955,0.08472632662196321,0.018319692908475974,-0.0063217893944894,0.03838671398901978
COL4A4,-0.023349020013911842,-0.02109464371394614,-0.01617923019948963,0.031158562239581567,-0.012579390448587578,-0.012460601317226533,-0.020680814105712455,0.08430772338826432,0.04338956054291905,-0.034687125437409004,-0.05903707201375203,-0.012208309010373048
TAC1,-0.020161097317830803,0.057778853341193266,0.04840087618716321,0.05513226595098006,-0.08668605499376904,0.008900389662579658,-0.01144274863221257,,,,-0.06930373384266365,0.007685905057075826
RARRES2,0.04042046881774698,0.010624380782388417,-0.01887047798356534,0.021622909989820985,0.022743609614308154,0.05577048575060979,0.004231747368700849,-0.07179080134012568,-0.0510275107518288,-0.004062330875989129,-0.022892711217941043,-0.004066789808740601
