,MGH258,UKF260,UKF304,ZH8812bulk,ZH881inf,ZH916inf
IGFL3,,,,-0.021494344200841158,,
BMP1,-0.01219835373699035,0.04463178947026222,0.07649448725064426,-0.0072114104970388065,-0.05802836999575925,-0.07056796725621765
NDP,-0.05749660286776728,-0.013334079932026045,0.041538627301028405,-0.048876076574922205,0.040147490124027796,0.059210628435549646
TNFSF18,0.1011273101678154,,,-0.02216673777687221,0.07078581874959997,
RTN4,0.020212250907536637,-0.0169579527840841,-0.0785813643778477,0.009732503864347417,0.04682317247259483,0.06406903495854915
HEBP1,-0.05090739361829171,0.03706673701622964,0.0195796903409891,0.014788525478828765,0.06116269282981395,0.1489845907853899
WNT7B,0.018262200953954946,-0.07113771933305754,,0.001498278956001947,0.017883208215799695,0.019834834546317574
PTMA,0.07217720690790491,0.0009506473128635711,0.10815010069836319,0.011135149274686904,0.05755441185211081,0.0303760700758185
FASLG,-0.022365599296848285,,,,,
CEACAM1,0.027798653004954724,-0.01620797514531824,,-0.031851287946618345,,
PDAP1,-0.058730975986206045,-0.036447006778937314,-0.026744655663256133,-0.04483203654122478,0.05415969582920605,0.07109936687446067
QDPR,0.11175530163378926,-0.022904614507606485,0.13312824213156013,0.012637231763811032,0.07110141526313044,0.11090466530595833
POMC,-0.0014493803940386402,0.013230021072220783,0.0069835432151226,0.019432234627085446,,0.02386832905170138
CCL18,,,0.08715750044028384,,,
CCL17,,,,-0.028339051207605766,,
VEGFD,,0.07704049328525363,-0.036031594300206755,0.00427612901844538,,
TNFSF13,,,,0.03745914928370879,,
WNT5A,-0.004549677068272455,0.05864486890710958,0.11198111346292115,0.057196280293911016,0.07099170534318536,0.01614796946458137
CXCL8,,-0.03773144827112286,0.10185963298406898,0.03533165694623741,0.01998132102418738,-0.0995673460416581
GRN,0.04443974122936979,0.016282511901852866,0.07728212446049267,-0.04261713449491029,0.05187627696603476,-0.029250083531607823
MIA,0.04968443728129307,-0.037814357079207064,,0.030757960541913924,,
COL4A4,0.13937990157613303,0.038543049074451094,,0.09454859871376997,,
TAC1,-0.022365587128645965,-0.052046608862164064,-0.09113771542411178,,-0.020353392097126968,0.06333159339174019
RARRES2,-0.06762917505305181,-0.06208901784482301,0.07787460810855568,-0.022881326844501622,-0.0970792504750116,-0.10113848369242912
FGF7,0.03973170358858163,-0.029691151873204487,-0.012421357738224564,-0.00957466298194293,0.02071644753276028,0.1076281401807497
HBEGF,0.0007828010469037618,-0.04499627744207039,0.03637855579095052,0.0016143604285502058,-0.10928915625784047,-0.06531074131333894
CSF3,,-0.05166481441791418,,,0.03208649279024794,
PI3,,-0.005693394902858332,,-0.024078645995693135,,
PCSK1N,-0.04878382762831253,0.012954597898665062,-0.10065069579698814,0.020541155282774944,0.03002212322798733,0.008557086217892987
NTS,,-0.009324033355092834,-0.0324400091946252,,,
SFRP1,0.06703767371253581,-0.017690656608685115,0.020438237142820326,-0.008136820361864127,0.018429163240886132,0.11721136052764805
CXCL13,,0.06473779892901595,,,,
MICA,0.04245807018017803,0.02594895758124021,0.08918612386406372,-0.05518950552938931,-0.055133635995407826,0.11976172348046922
TG,0.07974546348151842,-0.037521203785799095,,,,
ADA,-0.016048982816522193,0.028181342763233617,0.009493182677870261,-0.008201286338649836,-0.0860488124094693,0.1912710487529622
LAMC3,0.002711887244107826,0.05340409614409582,0.015945272620102723,-0.033207432228863035,-0.016900886359657058,-0.08794233757829144
CCL7,,-0.023243753116184002,,,,
NGF,,0.006547544163725667,0.07152562716072221,,,
TNFSF15,,-0.01720959593134575,,,,
HMGB1,-0.013022180796999919,0.05218239487598778,0.030118110749798123,0.048187012302023394,0.015206725088360634,0.10646791384801747
ITGB3BP,0.07274063193076613,0.043683870607364964,0.04967808403997631,0.021245585541090368,0.06192682897709599,0.04895777854342603
AANAT,,0.008518390007787488,-0.03049839955287519,-0.005665951152732055,,
RELN,0.02089125637365754,-0.007993810558075966,-0.03591497337294149,-0.0075506274711681426,0.06914591410028448,-0.0014353286871480724
IL15,-0.05985181495081204,-0.04242032270364593,0.016154165102823963,0.06474418698095862,0.11072417013896131,
BSG,-0.01962898418858865,-0.020914707136787395,-0.008770262313461591,-0.0006407063420962659,0.03867880186633965,-0.045371992693303415
ADAMTS3,-0.055772317363557894,0.06551122103736386,0.06418431101659017,0.11348896768394016,-0.040301347549407146,
CD34,0.015959879814635876,0.010356059696063806,-0.07002496142326925,0.048156524350822794,0.04992941825499351,0.05453073554745341
PLAT,-0.04453893033872268,0.02857785773089218,-0.02168147949831112,-0.008532290088514987,-0.0581769889077801,-0.023038936051139738
CKLF,0.11117722667874515,-0.022649972612210266,0.033330844294061975,0.00029182512643049764,0.05622334874581915,0.07131497081073729
CD24,0.02425757046214634,-0.0015838078402552625,0.03876718213297642,-0.024522645772016474,-0.01723213627567358,0.02024647167362309
HSP90AA1,0.024934439179747026,-0.004971621363780622,-0.07032042062881777,0.034187571042525816,-0.049474883506444606,-0.01689373813789525
BMP4,0.008970664729308119,0.01754293964039701,0.04787466734862249,-0.05366022632946874,,
SCGB3A1,,-0.018466774006356663,-0.010783032128264782,,,
IGFBP4,-0.03158054690104623,0.024448915433428024,0.027278662054580315,-0.049055106803579135,-0.006774223759659683,0.035236667422609634
RSPO4,,-0.021313659072793808,,,,
LEFTY2,-0.025645982273914316,0.0825878574422753,0.06978292092590709,0.002482455403262201,-0.015252265440664135,
ANGPTL2,0.001207724023464939,-0.0009833306203897963,0.09468738485862252,-0.024280165064457435,-0.02304923714042757,0.05821080998323568
LRIG2,-0.007768236668300489,-0.0064847141237152255,-0.01742853863170469,-0.044402334605055806,0.04754159388080899,0.026324040057797874
ICOSLG,-0.003821551520393698,0.00963132561637578,0.08783528294898665,0.03310125911015129,-0.07661842567709773,0.06992551177343849
WIF1,,-0.020878999918584617,-0.059111815513307055,,-0.0072833988939306335,-0.09468942994053688
NPPC,-0.014011329381442656,-0.03718003602705966,0.009078501022557006,-0.03325649456873447,-0.0435702829872395,-0.0910500656830234
