,UKF243,UKF248,UKF259,UKF260,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.01755368885559811,,,,,,,,,,-0.01586388626865211,,0.05474999355424643,
BMP1,-0.012274338434452435,0.21849024459569633,0.0638972200608777,0.06723345967172373,0.11203939185737194,-0.039746106839646994,-0.0011130622264071187,-0.04196369326066673,0.1361226912788396,0.17531850711194466,0.08778559484609343,0.03934889737714256,0.05596497132997202,0.06498995801660568,-0.011855214231826944,0.1804943463132794,0.3206653833069209,0.2353223700083518
NDP,-0.04621453938640592,-0.018883324406457857,0.018086687795174243,-0.0009455170090426592,0.06508809195686603,-0.04160640155033853,0.04387666079915435,0.03053703988275205,0.028355261139169852,0.09643832636140791,-0.13829351352116886,0.0013414597983682428,0.08273636501682274,0.07748639185441458,-0.035210892395884257,-0.09825543933958725,-0.007011347405375156,-0.027228156916966367
TNFSF18,-0.019285637042543106,0.037480407173798164,,,-0.026066700974383007,-0.012880578189226714,,,0.0882423240317479,,-0.050146468623629925,,,,-0.016360145894824443,,0.006695929863687871,0.011115778312732347
IL36G,,,,,,,,-0.017456439383249457,,,,,,,,,,
RTN4,0.12408288901949788,-0.050356169051603054,0.0010329030344535044,-0.004768465299351812,-0.08353221137901595,-0.010209108956033266,-0.03016932659263362,0.015729109722229007,-0.041454718123624404,-0.06821031033713844,0.08126697754728038,0.0033456985725439045,-0.08159888795288145,-0.04329402394916938,-0.012315820304342468,-0.09458432270991751,-0.030579572459465524,-0.10586705033302264
HEBP1,-0.006207268743784606,-0.0048209163177468225,0.015177989597494872,-0.035176515822383826,0.053312309226507086,-0.04552126107964631,-0.07173890924625538,0.07093702549960276,0.012365712821997013,0.035128037239734525,0.052366880214170276,-0.013523661905519683,0.07531537647216212,0.05430366342810759,0.018307080456690845,-0.0006749439197777775,0.024916271147247572,-0.015408558455896884
WNT7B,0.012281809712331698,-0.051118736040731326,-0.029388088713809102,0.021075578916687064,-0.07265417603183819,-0.012438063796267355,-0.004278163347206907,-0.01918663858669571,0.08738781254363191,-0.019617044754900538,,-0.036534007116123146,-0.006863846314689536,-0.013783205789465694,-0.034210388567442844,0.04220607409870948,-0.01685402504041257,0.0058662067985107025
PTMA,-0.0450723296534406,0.037536986953000936,0.021217485987265788,0.024521972265073546,-0.02596290729188854,-0.011296910200111785,0.06873217074792047,-0.05576293753637414,0.017430871851623397,0.1419098571636518,0.03416354309739158,-0.10279000861725521,-0.08269613542858084,-0.074429744500724,-0.07804600469553195,0.0338142736980873,0.15411069929951263,0.12606260336103586
FASLG,,,,,,,,,,,,,,,,,0.018168751333242607,
CEACAM1,,-0.004462238727839237,0.006123076124358313,-0.023515890594372903,-0.0343022938340117,-0.0202580808995073,,,,-0.02085477385635285,0.18956349430838423,0.0535638044924959,-0.03905415847537729,0.016300235212712465,-0.00234793889713778,-0.054112637885190294,0.0677450745337958,
PDAP1,0.05991848543089574,0.020763651602962993,-0.06900180829064685,0.017425100096234502,0.048125096398384325,-0.03386825955643866,0.07065447997582652,-0.06541859622982112,0.021599015906284644,0.10107716201400234,-0.09449081887504364,0.0004917954468169401,-0.007661799673044283,-0.00819995179647351,-0.027012390791275043,-0.011200699108912481,-0.03682145745510797,-0.01816334561437942
QDPR,0.014256200561909663,-0.03765235679261078,0.05847373896192104,-0.016046243906248432,-0.054345232560326036,-0.03349319061273298,0.026680498675823935,-0.05907742376380073,-0.023292159147720905,-0.013822672941677654,-0.05731373433414056,-0.10982765695312678,0.02400041800661777,0.042058509758582635,-0.05068158369031037,-0.12549847019274477,-0.04662968486781959,-0.09920861223786397
POMC,-0.0011405611545819104,0.01552585518173101,0.03806659305131244,0.0029215315339740566,0.019204973380610283,-0.014945604358648642,0.04527779246188285,-0.03740060847905831,0.019532820707354667,-0.010432422782719197,-0.006463683874562755,-0.015081795997260753,0.0954880297899242,0.04604351081328647,-0.030958113738563674,0.041575990973802886,0.09825527954942533,-0.016848793862385334
CCL18,-0.0026546242689806433,-0.048982353886916456,,,,,0.1271014787441434,,,0.05677453646835745,,-0.023230415173077976,0.017957413090796206,-0.001377691400341994,,-0.003420910102903936,,
CCL17,,,0.04404212296979876,,,-0.016064588773510347,,-0.015946952964744437,,,,,0.0005920965889914606,-0.02357616703116048,0.0037555940732515894,,-0.04754215057673305,
VEGFD,-0.008056099062531838,-0.005583874840046277,-0.027884961159830524,0.07751987451840195,0.010117221686228414,-0.017115460576562522,-0.0020761101621136185,-0.017090843422661095,,0.05741150379914789,-0.04793720665267016,,,-0.03893087304891468,0.025366026856729108,,,
TNFSF13,,-0.03696366781527537,-0.017264376682137348,,,,,,,,,,0.1625439571081061,0.04837694359190741,0.06773382312795165,0.003870247465745475,0.07904810868560787,-0.046882766872128646
WNT5A,-0.039075441528581646,0.01758527156232745,0.010701617019667809,0.03733300363861167,0.07785178831351788,0.007911268349352362,0.05287679632269873,-0.02438597552930248,0.039762708601970426,0.03697630619864817,-0.03790273249439912,0.02225489600634183,0.009808307067696375,0.04311672696292656,-0.0006833238541616487,0.09085263562170812,0.14145188447348603,0.07563194623859502
CXCL8,-0.04130572349595704,-0.10625650585570624,0.008983774332529114,-0.044229746328316104,-0.017623171554730466,0.007595827698817843,0.02821214583676606,-0.024925119575624138,,-0.0977216566484534,0.052112624859454636,-0.04090080338387776,-0.14452572330624303,-0.18331472124906292,-0.011413852195161464,-0.07512751229983508,0.015089026185326147,0.0017921197919934181
GRN,0.045568999870659196,0.21875868660480371,0.018425603117754766,0.045999269523728174,0.1129053501699089,-0.008326550936601708,0.01730426660059392,0.05645764603256599,-0.006218504929276435,0.05963916582967733,0.20864556339828694,0.07881053784137776,0.1454851096625081,0.13939551298748432,0.07388062235261295,0.190899802818225,0.2625428166098201,0.06844140121494215
MIA,-0.05505958091389365,-0.029302450437249054,-0.03460142806365043,0.0012647516538720975,0.0006644269073280639,-0.004595169561993513,0.0002877660375616983,-0.02340669329899107,0.04647968229006167,-0.06429370015861144,0.0254345120091593,-0.043973047701818965,0.12574122746488287,0.017027668338503953,0.04990671681976394,0.03945480759980547,0.03371837774207645,0.12390212281666761
COL4A4,-0.02933524637409627,0.03924415580545732,-0.014960498095754053,0.021728624064891722,-0.01729785744170286,-0.01677192769657961,,-0.022705360867239427,,,-0.03753577689548239,-0.004403888799881788,0.19288102075427746,0.017944732658805227,-0.03221881830232555,0.07871426804368363,0.09213874418373114,0.02423572038962733
TAC1,0.032983281860529505,-0.03662519109021386,-0.030601942939933735,0.006997569985869481,-0.07344729196858335,-0.02668541313800022,,-0.022759191257680916,,,,,,,,-0.06070065235759275,0.04109837230854068,-0.05686725234011779
RARRES2,-0.011301226433441962,-0.026686404432434873,-0.06812387564833763,-0.12023636242069205,0.08594012948463985,-0.016380317686329665,0.014294307499367314,0.019254424141023713,0.03913654614435956,-0.13524331445645302,-0.10413436937142205,-0.09765375096715341,-0.10181415195512065,-0.02450816886925847,0.03761714907061829,0.04926465586820204,-0.010700661092467895,-0.030475397636780626
FGF7,-0.01251440397766283,,-0.031471489781816735,-0.043078414966157545,0.07098429365703994,-0.00989881388783801,-0.0021036637281289052,-0.00489776533182416,0.034358949288403544,-0.07589784424284801,0.02588754034004438,0.0024127311063054176,-0.009477546357314145,0.04480091699361445,-0.011135024022341006,-0.007366886890453155,0.015006150415277818,0.027999605838192995
EFNA2,,,,,,,,,,,,,,-0.03518421168883141,,,,
HBEGF,0.030527884953868205,0.22637393272276915,0.025143461754164487,-0.03715134262866614,-0.0021049769390637536,0.008707781722612305,0.06412911641270526,0.02362441394685897,0.08000697167921067,0.12288128541056866,0.044837117820480055,0.012169407040369703,0.03545481244994046,0.03142931851617847,-0.012368518261399137,0.1041463429386016,0.05109746007201251,0.16856561860371447
CSF3,-0.029335223149294088,,-0.0298322692629284,-0.07495964872460904,-0.01830080023090973,,0.007693298731442195,,,,,,-0.09223335156340573,-0.12103820773133363,,-0.05556177000007796,-0.02299245903046514,0.043432181381641545
PI3,-0.034751946317660806,-0.03807741927110506,-0.051481490105446136,-0.0572871490213809,-0.020606942604422498,,,,,0.04839146818625555,,,-0.1426586511293286,-0.09976674988114118,-0.017771228468736584,-0.059392012254323515,-0.10875190884019216,-0.03935857633440541
PCSK1N,0.05916246708195034,-0.02038878400931464,0.01977209471404948,-0.008681203002943344,-0.031556167832913276,0.008318643917322673,0.03302501998959069,0.047787868608412096,-0.0419126260502233,0.043735687991377156,0.04459419856073858,-0.05184885092600069,-0.10056017938504798,0.04273342485007749,-0.08250054704020017,-0.07974453514111286,-0.097843852351072,-0.07433178820701666
NTS,,,,0.07031784752462981,-0.0052102495659314945,-0.019159977781646857,,,,,,,-0.059375816610280324,-0.028342276693314232,,-0.027745639617154257,-0.028707942911784197,
SFRP1,-0.04529398241897983,-0.017801822136746616,0.031113613622482567,-0.01120044317101715,0.03960403026584381,-0.035576059111533706,0.03988959481275605,0.06134258214577585,-0.07496885925269982,-0.0025928214088788435,-0.00023713712734360444,0.03792771835307877,0.056519240807392464,0.08705309083409052,-0.03904636256545491,0.0156745937092114,0.01894306151655444,0.005782117861240928
CXCL13,,,,-0.011107820619323205,,,0.00032978293134248055,,,,,,0.04579557780198466,-0.0025203706983242214,,0.08928700113614815,,0.16536502771874248
MICA,0.07279114710666651,0.21633198963049985,-0.02379167578054148,0.001797008734863925,0.05949741172117785,0.04967155650445245,0.009406844847226373,-0.003887979643407051,0.11532279276663186,-0.004830238902926845,0.06307267577185971,0.044957711670455126,0.16404613084868136,0.07887042338242342,0.046607739765894815,0.12152366703672052,0.10760312380226007,0.07647655674154553
TG,0.05384561659895521,-0.011505801455342187,-0.023567400854763856,0.06760412410794595,-0.02208742854316374,0.01844429171339266,0.035564093656620666,-0.02395457351497423,-0.037112860926810966,0.016309632562495967,-0.04987545440621702,-0.037824547123038024,-0.049611514559639296,-0.021386667177700595,,0.02941245790389427,0.021930256948454224,0.056490435098856644
