,MGH258,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,-0.01160420531744684,,,,,,,,,-0.018219037424096515,,0.013629316874216169
BMP1,0.05528755977562606,0.007424132129533881,0.05059845183259163,-0.044845588205051176,0.054746673171119885,0.06369946570000698,0.01834068991132124,0.0010144653348666034,-0.07865434547860482,0.07633093749553685,-0.0919607912952083,-0.015179822842275025,0.02732621708118059,0.011759767549636861,-0.008372937697539528,0.03128179138118012
NDP,0.04282940729769325,-0.017931356654191613,0.05715936393273516,0.041837363431809674,0.011411308566764908,0.05358085317957383,0.040975765404738525,0.013408324111794401,-0.0045564841548954285,-0.09312398583246238,0.024112875744292356,0.009160578676955276,0.056187693442387804,0.06693774397259798,-0.0195916311596924,0.09142049342662203
TNFSF18,0.05926808740862303,-0.01578095272015409,,,-0.017231896528618597,-0.011674763749846901,,,-0.03617472588310329,,-0.05182689720593359,,,0.08591491716710235,,0.014500771684184273
RTN4,-0.024213174144615886,0.011090083825261714,0.01928731544767047,0.06247906838041844,-0.06912966885022535,0.03913431722332796,-0.01853639247212237,-0.0874735028979634,-0.09255692237008002,-0.13389264460151215,-0.024268851815786852,0.04068555223935917,-0.05276026301609189,-0.036438071364357526,0.060349119783377016,-0.05299297142194364
HEBP1,0.05629405333068573,0.030087337541907594,-0.056884806136383866,0.001795649718462497,0.05636767416415233,-0.010777393222206534,0.021477467106512813,0.06126314895567184,-0.023756505219654774,0.015121341759986948,-0.03742073528054478,0.02925665736195169,0.018733313704000266,-0.018261842475985113,0.004525726836705697,0.010631757159072141
WNT7B,0.07447920523234436,-0.017434270271494728,-0.03040021292695157,0.0854434106601527,-0.001283154651235449,-0.03346462351245225,-0.014006904281507757,,0.07472460650782653,-0.09212910657878044,,0.09572741891255429,0.018741049163934893,-0.03928925983507334,0.04369708429218945,0.004058737111738761
PTMA,0.07360570598863492,0.05218991595923881,0.043472894716115276,-0.06734159566943379,0.0026212563856996616,-0.034327285812407224,0.031276427052812625,0.17774653897735498,-0.05728865852933263,0.04582238269879339,-0.05919011784906212,-0.06464090185752563,-0.12019449145354227,0.01872050606738809,0.03193086036661645,-0.07332454548503396
FASLG,-0.023489375836625144,,,,,,,,,,,,,,,0.028284170187303843
CEACAM1,-0.004607364347519849,-0.013379753832624713,-0.03510353032345652,-0.01354639514596344,-0.022676194376221873,-0.018361622052405126,,,,0.03722407388422205,-0.0364431045050923,0.07077524821936557,0.015270123307350178,-0.02699779075289976,-0.018079739357278645,-0.0008479194126128703
PDAP1,0.011223645430668873,-0.0066084446000448166,0.006719022227885618,-0.09795492447246378,0.055131853768729394,-0.016400718306220224,-0.05202508576239737,0.08225943471122325,0.04628030845151024,0.02194084784262519,0.005617573741466183,0.009235768807340538,0.0067985707211519345,-0.0127217393750826,-0.028256088274473803,0.06494515447859885
