,UKF334,ZH8812bulk,ZH916T1
IGFL3,,-0.016603063014764174,-0.00202273201223299
BMP1,-0.014820282355774884,-0.016463560713579767,0.026322360852927454
NDP,0.04025884407214004,-0.06411154960558017,0.04532732926894651
TNFSF18,,-0.017122445825854045,-0.01211376886039677
IL36G,0.08024379018602859,,
RTN4,-0.028288842001647302,0.043233147648498685,-0.07638306768460291
HEBP1,0.028292313029347604,0.0014194192322720335,0.057008776977494256
WNT7B,-0.015547028600054507,-0.03580441939168553,-0.04586181860762017
PTMA,0.05901768811393574,0.05454812757959628,-0.007904039700080304
FASLG,,,-0.018635516747683753
CEACAM1,,0.0601193721768954,0.03869075364234949
PDAP1,-0.023963582213899878,0.025593237726963463,0.04195679049720803
QDPR,-0.017099034087020255,0.07009423857185403,-0.008333177328603345
POMC,-0.007104620374003937,0.02176117579319712,0.10887262634428467
CCL17,0.03834168002097079,-0.0218901795087144,-0.01689100279763581
VEGFD,-0.01384879536300923,-0.023087382992699846,
TNFSF13,,-0.023474386616995958,-0.012270441331670403
WNT5A,0.0027864625784893254,0.03482385650757883,0.07616859318052663
CXCL8,0.09291078987990822,-0.031079283179968546,-0.025834725746498304
GRN,0.030532988796976242,-0.08674304474449192,0.006207726955968282
MIA,-0.0007416592027511994,0.002371405555120958,0.03729429422606948
COL4A4,0.09117954427666507,0.025901257398042932,-0.014240698385314087
TAC1,-0.032605579113930014,,-0.0028954825646514285
RARRES2,0.03957526408385366,0.09845480798310864,0.029332708932745793
FGF7,-0.007600041097075289,0.10049500392699633,0.06035160500951017
HBEGF,-0.01857778035517376,-0.017181932563944215,-0.02614110455708274
CSF3,,,-0.01778362020117607
PI3,,-0.018599277700272764,-0.03863789866853239
PCSK1N,-0.013162799034574202,0.018726330262044073,0.05978943578614977
NTS,,,0.18286098959400832
SFRP1,0.017881756694331518,-0.04869675425259054,-0.02572315513235932
MICA,0.050331070215739675,0.07498369991541057,0.02499521836049338
TG,-0.002189614907322379,,-0.009685587944441323
ADA,0.03346493838830201,0.013605802155215183,-0.03297378890090134
LAMC3,0.011132538536835223,-0.05010814195452906,0.02130600756030957
CCL7,,,0.004059926733285326
NGF,,,-0.018193232876352234
TNFSF15,,,0.07151490264946778
HMGB1,-0.008824503331584698,-0.02396423005038777,-0.05361247682861866
ITGB3BP,-0.0005915811113400124,-0.03930109881197714,0.01439421292033792
AANAT,-0.01733348647194065,0.04910844582857892,0.021931274202506727
RELN,-0.019189665639015675,-0.002676595730075555,
IL15,-0.016076007562012468,-0.0337200477667266,0.002344739413246137
BSG,0.038448629523776506,-0.07139768554435828,0.005312730380583277
ADAMTS3,0.02496150692837212,-0.04195472642092457,0.05524884598058049
CD34,0.03735160196032583,-0.04056477795951945,-0.020157006599750216
PLAT,0.024223077812500913,-0.09955070980977435,-0.015768467792123358
LTA,-0.016076009546442345,,-0.02653630821408863
CKLF,0.03317718648796839,0.02623605042286626,0.06719838451341678
CD24,0.046542974156984156,0.01085423357098269,0.03180726317583326
HSP90AA1,-0.030102596768265075,0.007524952102276581,-0.0780602828019263
BMP4,0.08384986974553632,0.03195807485204636,0.011854456058720032
SCGB3A1,-0.011217626865172569,,0.024541626941616167
IGFBP4,-0.0013749021231846533,-0.09230186138583252,-0.02903181868197861
RSPO4,-0.022299956116501637,,0.06273682542338742
LEFTY2,0.04793191453715633,-0.07927501673940689,-0.05352200886801403
PF4,,,-0.026536302073390076
ANGPTL2,-0.01931012622750804,0.06396031209385988,-0.006795259555470749
LRIG2,-0.011991014358968636,-0.018808989005545798,0.07613851662750884
ICOSLG,0.01104384752496416,-0.012342308855917533,-0.0025466458257179586
WIF1,-0.05368523597556999,,
NPPC,0.08325660923777768,-0.005461656457464175,
LYZ,0.09666389041372934,0.07144191649312613,0.04096355915539611
EREG,,,-0.017299409407492698
SPTAN1,0.0048594241714885935,0.032866682085388295,0.042601755464214644
LIPC,0.000751277025487334,0.0027093554825500673,-0.007798013008616849
COL8A1,0.039016406826517844,-0.04739292820630373,-0.020472656456740016
GSTM2,0.037411096266883305,-0.03214503860874416,-0.001434562834415746
SPX,-0.013374582689309411,0.04968618043189647,0.09635800736775897
MFGE8,0.053145988285055484,-0.013395447369169113,0.0060379235169690714
TGFA,-0.014164201730882313,0.02504980333353904,0.11306711552688954
SLIT2,-0.017715461109099873,0.0161372986761595,0.03224323315138961
PLTP,0.015785959965673467,-0.09055931320390614,-0.03615599064163041
APOD,-0.04746067065616719,0.08031114532235444,-0.001293019320177305
B2M,0.06461020281836898,-0.04855150132775366,-0.047062849052304484
OMG,-0.003000064674713625,-0.021489989634569412,0.07415513442115794
CXCL3,0.04692847844046624,-0.01906795316777281,0.010616171026662301
CXCL10,-0.018398267913550537,-0.005679166887463256,0.03919654027166731
RSPO3,-0.012098408593743979,,-0.018911398776736813
CORT,0.04175303942754857,,
NCAN,0.02087113976326299,-0.09786131418066936,0.03689153219827304
PRG4,-0.01414503958680323,,0.015537065213496407
ZG16B,,,-0.005820023267632906
TGM2,-0.017676263435987924,-0.012380971894219849,-0.030061146756373582
VEGFC,-0.014435576717677395,0.01517068369978736,-0.021768005155088293
WNT6,-0.012598642406933808,,0.0011849542783040712
NRG4,0.06255724895505997,-0.02019584509953913,-0.018911400896253424
PMCH,,,0.011354601083473885
COL9A1,0.05081227321717223,0.045293105349096766,0.059260852018282614
GDF11,0.016729138508638497,0.015346935268545208,0.011673895140231365
RAET1E,,,0.019352689597409437
SORBS1,0.038040249954413345,-0.0704063763206926,0.05113051340874792
DLL1,0.0032099698281024816,-0.00299916436925752,-0.01659127927957876
TLN1,0.032108587252002024,0.009682710597646622,-0.020074105977131166
COL2A1,-0.011753679514267971,,-0.02752247709644581
SHH,-0.011217625884682145,0.03211598455754882,0.06776317274409721
PON2,-0.015922534772871016,-0.05225425607720665,0.07726431659473687
ICAM5,-0.02190741741058579,,0.032641244096527224
HPX,-0.004646186454557759,0.04945012209622134,0.005398227548362398
SFRP2,-0.006857223297424023,-0.05342272441466416,0.03166507719201795
CD70,,,-0.02885275909729965
HP,0.016886158725196415,-0.025865677660727265,0.002062650433773378
CXCL2,0.008067502511823437,0.03691821358706384,-0.058860354742951176
NPPB,-0.014435577767618285,,-0.019183510042362982
CCK,-0.04801325352113074,0.02443147808932019,-0.024886191217209367
SEMA6A,-0.023187243715691492,0.011846593451171972,0.06700807984834942
IRAK4,0.06574875112689833,0.028043691643032526,0.005162251722759372
GSTP1,0.006108983956538996,0.013664225548743853,0.08835981055030326
VCAM1,-0.010328688901634617,-0.004199903895312881,0.006411086617110945
NXPH3,0.03544755541747688,-0.034034778985305006,0.03212617390593251
MTMR4,0.007334633953846728,-0.006512576815125784,0.04205865439141531
LAMC2,,0.03327215458176269,-0.0365504694903254
