,UKF259,UKF269,UKF275,UKF296,ZH916T1
IGFL3,,-0.01664926407430822,,,0.006275997796766233
BMP1,0.003731985671125164,0.06160214984089253,0.01685761739629189,-0.013838594386786444,-0.012347873996323097
NDP,-0.004749239406941189,-0.009309405534281967,-0.010755017031630846,0.0423784894544693,0.091685857680036
TNFSF18,,-0.024723657325743487,0.035288701398491024,,-0.02959461713762935
RTN4,-0.025568505014043192,-0.06700635237708905,0.018271687368055806,-0.04197756666417035,-0.024638417655827957
HEBP1,-0.021919013830926218,-0.005684564401631194,0.01545313384629773,0.03558594424543725,0.08279572978701445
WNT7B,-0.031140231648377894,-0.01865886957515472,-0.03346462409320398,-0.012182919019849227,-0.03744748698865502
PTMA,0.0504194827652316,-0.03529699636885921,0.014138262694521399,0.004436270044074247,-0.11954260792878262
FASLG,,,,,-0.015216432582108693
CEACAM1,0.0706890633195654,-0.008975961196308271,-0.01836162237105636,,-0.0013823125701789112
PDAP1,0.002720722042802872,0.04857966445058628,-0.006791065732874496,0.02247571844524288,0.04367366857117451
QDPR,-0.003837399535881163,-0.10375499499721956,0.0034375912478001253,-0.0513738336837238,0.014485886308657573
POMC,-0.01518148426474715,0.013471512026310571,-0.013546472871840229,0.0028612280870476668,0.12245470470035677
CCL17,0.036514713625526204,,-0.014560703655432758,-0.015079038533761932,-0.013791987031772554
VEGFD,-0.010413492332884687,-0.013645571000042581,-0.0155131981836042,-0.011060657121744144,
TNFSF13,-0.014376155180614384,,,,-0.02247289169789023
WNT5A,-0.07191968886238677,0.06765842717417529,0.03422635501333865,0.01469370889461063,-0.009449951162693055
CXCL8,0.10383292868622354,0.011473712630339254,-0.048744132559069946,-0.010300164845128563,-0.01346636118167933
GRN,0.002779109175846452,0.056726953535217284,0.003267447472173321,-0.003398050148612033,-0.020994466189540855
MIA,0.007468280655023225,0.07844713373844422,-0.01790040140488613,-0.012579168123283363,-0.01604155496544362
COL4A4,0.02940582215189268,-0.016406613950822227,0.11180830294129863,0.007138762154314702,-0.008997241250872312
