,UKF255,UKF260,UKF313,ZH916T1,ZH916inf
IGFL3,,,,-0.021845051535869596,
BMP1,-0.0710524494815319,0.011018516458750323,-0.05793160935143676,-0.027167298776394146,-0.002079243309178402
NDP,-0.07271087109127132,-0.05020132146535285,-0.03338701128834166,0.017959490435660842,0.03434641103577562
TNFSF18,,,,0.0344476799437794,
RTN4,-0.06247368513300437,-0.013972814335873779,-0.006540906735378614,-0.05528285899154224,-0.04907456507464954
HEBP1,0.04498680167922523,-0.04871297231748194,0.013691643745192205,0.019523412125259612,0.12547040345635835
WNT7B,-0.010207473162988088,0.02387173174677178,0.021528390356114233,0.027215834486614084,0.1414143104601689
PTMA,-0.04262203386466924,-0.023876639157731295,-0.020556874461541724,0.047073989443149444,0.04104721607699896
FASLG,,,,-0.01894620574451268,
CEACAM1,,-0.017528509108567805,,0.020841539026495996,
PDAP1,0.06652072703246607,0.023912841555110788,-0.0031068043815513885,0.009741315759431214,0.07376195094218134
QDPR,-0.05193696394108574,-0.022291033814616005,0.053073302320041475,-0.05999624674395406,0.01624691746388049
POMC,,-0.002736755242766404,-0.02885159953573627,-0.021068825239099823,-0.06180830775557238
CCL18,,,-0.0009858613349875258,,
CCL17,,,,-0.017172607476791505,
VEGFD,,-0.016770285083169995,0.1406728676403712,,
TNFSF13,,,,-0.027981330544125157,
WNT5A,-0.017579955624406254,0.0038140169017706923,-0.01886505109690829,0.011138861637231537,-0.06991813482609803
CXCL8,0.0250376005904258,0.08678754535004068,0.048720857203805965,0.012533687545485762,-0.09773274733322374
GRN,-0.05762392974419466,0.012394198607887886,0.054191627858298536,-0.004839483351925227,0.058253394120229125
MIA,-0.006090294983301174,0.11482137264010056,-0.02643642622335045,-0.010894903913835829,
COL4A4,0.030841525075991676,0.03095914328265583,,0.08386479066843541,
TAC1,-0.022773549000575908,-0.006946277379014909,,-0.022575138712467715,0.0189143532319573
RARRES2,0.06714609941215698,0.061034726243711146,0.0870331609936916,0.024915042564545402,0.0008283913400502413
FGF7,-0.03391181870630062,0.060107272103259377,0.03591731612110521,0.03067772438557489,-0.05362099265779353
HBEGF,0.04441898166699329,0.0322569016715618,0.08268162719672362,-0.01700575963361322,0.0005768580495761444
CSF3,-0.0077369217986731215,0.0672350196046006,0.06638894468446499,-0.018080106485677774,
PI3,0.033616060810783395,-0.0017837726141148992,,-0.03928206486684272,
PCSK1N,-0.06504589257444215,0.07469647511134914,-0.05746295402319384,-0.039940827571072375,-0.07352013433115828
NTS,,-0.012767822393214058,,-0.026774172279956116,
SFRP1,,-0.019131991055122862,0.05516465574530292,0.03774821009445791,-0.030086377472237448
CXCL13,-0.019713598687086473,0.01926647703385024,-0.05512245363440571,,
MICA,-0.005338625666752986,0.05626173836455414,-0.012647655237779182,0.018406502050557747,0.025418545234713423
TG,,-0.04057821883529884,-0.041607168061801994,-0.035259656289604285,
ADA,-0.043812148204703416,-0.03148517470686043,0.07106240545256381,-0.030138236803732062,-0.057876368485069864
LAMC3,0.0040115493963988275,-0.009290573997662031,-0.014778211635394535,0.09104435877078684,0.01635610487421664
CCL7,,-0.010867713438184639,,-0.018946199007468065,
NGF,,0.00039408117294129313,-0.05275808652105392,0.017367125265262073,
TNFSF15,,-0.018611736279994302,0.02268158321208018,0.012448851926487831,
HMGB1,-0.07999717021577911,-0.03243458743673785,0.05751273568420937,-0.004015890696647354,-0.0009751084536550777
ITGB3BP,0.08702444548213173,0.011716833787304683,0.029314413552112974,0.0007377045227089925,-0.029367707174258115
AANAT,,-0.0167702874772227,,0.062251640363638144,
RELN,0.03787183579694906,0.013457403850616223,,,0.06321549702758292
IL15,,-0.0029948856765960696,0.05484345482379448,-0.015164403538874808,
BSG,-0.0023214253407048634,0.08457122376722194,0.06667198460429173,0.013646536482752283,-0.05936158571432431
ADAMTS3,,0.08574591831683635,-0.025067548880220447,0.01675461444944909,
CD34,-0.04501651439700137,-0.02058583640010731,0.023113251976712944,0.029698647954634207,0.16998974734699013
PLAT,-0.09432128877764777,0.00962338637044416,0.019055177735528034,-0.01245243851959525,-0.018580999241381724
NTF3,,,0.01987814339434367,,
LTA,,,,-0.026978718214852527,
CKLF,0.024164430720019066,-0.036685493516695374,0.06433278104625398,-0.02084428263250546,0.04724721408073237
APELA,,,0.03531038402705509,,
CD24,-0.0009701856412777701,-0.025559668724479425,-0.03275901462310249,-0.0132279919253322,0.033648454740173334
HSP90AA1,-0.020032464129779673,-0.028387577910903485,0.018968787707751362,0.06858072140046483,-0.0606409407066394
BMP4,0.02948320028105889,-0.007438935206182051,-0.057995930773003114,0.003153196501791248,
SCGB3A1,-0.0290199088074877,0.016347418203967293,0.06511221446871011,-0.03972511390928483,
IGFBP4,-0.036382985620891414,0.009227687150452612,-0.004310032967711311,0.04541232162762697,-0.01860336887479209
RSPO4,,0.07358367792771467,,-0.03558210527572959,
LEFTY2,-0.08361111095888751,0.047416023690731716,-0.02108675395970744,0.02262228196273555,
PF4,,,,-0.011511257292049768,
ANGPTL2,-0.023657326503065547,0.03472404712735557,-0.07056390710598674,0.016404353213788612,0.04207350719980925
