,ZH1007inf,ZH8811Bbulk,ZH916T1
IGFL3,,,-0.019211056716543783
BMP1,0.031121693235912913,0.04555214937058005,0.006916695534182363
NDP,0.031466020010664786,-0.015030676749665062,0.058040307307259176
TNFSF18,-0.023342025219717226,,0.03224730170455249
RTN4,0.003158836314870915,0.025879976911676695,0.033645192903033395
HEBP1,0.09747876023132653,-0.0011417296095708228,-0.030788640956315984
WNT7B,0.0877325228681436,-0.030854027700403727,-0.041004381181267785
PTMA,0.13353114495553978,-0.026297780448373363,0.07605804954765547
FASLG,,,-0.01666174293631172
CEACAM1,,-0.014947339973110173,0.04714822835791212
PDAP1,-0.04729385371934416,-0.07618754471918822,-0.001307546985399002
QDPR,-0.06661200578550816,0.019925354748970125,-0.04466512050991777
POMC,-0.04766152826219634,0.02818675355776393,0.009237251142476933
CCL18,,-0.01079033875271787,
CCL17,,0.11534351561373397,-0.015101998531149392
VEGFD,,-0.014947339973110173,
TNFSF13,,-0.023453921784477576,-0.00788127801046175
WNT5A,0.11249650453060044,0.04119322056339157,0.08139266243186194
CXCL8,,0.04974304138413777,0.05065426314687101
GRN,-0.0774794952214062,0.018531091594005244,0.049973735179454394
MIA,0.035049012725911745,-0.003239435298792882,-0.012825464095310286
COL4A4,,0.04420924494413867,0.07490075067083346
TAC1,,,-0.019853112705041566
RARRES2,-0.12031369310632448,0.08126538815382192,-0.027116652411557363
FGF7,0.08195954095376738,-0.039915225986563836,-0.030283250937051812
EFNA2,,-0.014206446322454602,
HBEGF,-0.013694494128526951,-0.041044252627061954,0.031066090401466864
CSF3,,0.08161479997166395,-0.015900074695048328
PI3,,0.044643481438434704,-0.03454558003036667
PCSK1N,-0.014499165313558245,0.03109351486167006,-0.017253531606889996
NTS,,-0.017307858980016355,-0.023545842469823035
SFRP1,-0.07656486836295535,-0.01702014988957992,0.051644503850013776
CXCL13,,0.10105875109187543,
MICA,-0.00543580337265018,0.019067228831113607,-0.03801700883728154
TG,0.021103048777429172,-0.02131652036717707,0.010281814723375726
ADA,0.019238534732158342,0.03301949038220519,0.06337346484259819
LAMC3,0.12657973338890374,0.019315449370538914,0.06997008201127652
CCL7,,,-0.016661737011594808
NGF,,-0.014015487783161768,0.03903884111418813
TNFSF15,-0.027573038941025307,,-0.010390283168820232
