,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,-0.023790973615891515,,,,,,,,,,,-0.017104442464493483
BMP1,0.002179362513251008,-0.03481995526571001,0.01242015683269405,0.14122949874932528,0.11839850641610089,0.036663595067585555,0.00957521279607332,0.1720855513777153,0.11241835906718327,0.12793102689690475,0.050808312647268344,0.0495468344010392,0.04852629878593609,0.007988399298409022,0.08953842485285642,0.08742175634257901
NDP,-0.01207482656286061,0.016080003744924416,-0.019990548453879594,0.017048251476241484,0.07003954104330816,-0.02105539676358365,-0.024911240426009503,0.042696585713705555,0.02572674615337378,0.16544050052565495,0.05352541660798664,0.10788346823653265,0.10132287068870083,0.10803558449747691,-0.038822618472184676,-0.023671680814071224
TNFSF18,-0.026292535261000994,,,-0.02218109468920811,0.08870529989160682,0.02493447001197706,,,-0.007625924389579049,,0.01724781064128256,,,,,0.04718311499026495
RTN4,-0.02492985433338824,-0.02340101049574251,-0.028079640650489353,-0.14504031868109732,-0.13407319974437765,-0.11251604299971153,-0.05013759162627312,-0.01962149953834884,0.028232592114647147,-0.15948275653560942,0.0831479881003182,-0.10576325094601526,-0.04738995848002718,-0.09482750592567114,0.049460127132052056,-0.028647757103072567
HEBP1,-0.01571148890136641,-0.014954471450927658,0.007367765172369786,0.042199579754956834,0.09802424498233514,0.025168935551669817,-0.05104868771813714,0.041670705467233886,0.08545312066590896,0.06806505121636074,0.019209575310778267,0.055506966323295666,0.031217855775595223,0.0439121707523816,0.015615004693832908,-0.028143518645626798
WNT7B,-0.022175836677260814,-0.00969868751064652,-0.03493186790618628,0.015899676554606685,-0.0020086961891049963,-0.04929627568184385,-0.03631875005402839,0.07180038410067718,0.03455737463015526,-0.040854341888194486,,0.02943851459931714,0.03149308992520562,0.035199842581022,-0.008791802584722282,0.06506630125071758
PTMA,0.10855095555343035,0.03874251920535483,0.0017175059830827405,0.19058638903623343,-0.1325268652478276,-0.08908413888513261,0.02212388126850479,0.14077012597551603,0.029189461899936316,-0.24812997359337746,-0.06469489418879072,-0.097239529920928,-0.02406958282751328,-0.07440916893081877,0.00918299553105062,0.06377401008249593
FASLG,,,,,,,,,,,,,,,,-0.014834677114190335
CEACAM1,0.06174848987869276,0.04965797535813577,-0.005546287834390813,,0.023278450801071545,-0.004073580067650989,,,,0.10586654037354701,0.008859124269331376,0.015755249527855387,-0.02653576914386977,-0.023033467322162444,0.05206747564379994,-0.020640274386920687
PDAP1,0.03675257256616014,-0.008418282431345488,-0.03666331371786673,0.09938897788149739,0.09545575931609245,-0.04092481387566685,0.023150084292693468,0.08580710332010268,0.019842860912845043,-0.10281481088909561,-0.03261508968097784,0.06646804268766,-0.0020059005383820075,-0.007838790137353434,0.02764678150150203,-0.04150702112838549
QDPR,0.008820494078792531,-0.020929625818568626,-0.024412532851807764,-0.13835761985027095,-0.1828953672012038,0.007946172874570456,0.014621943097114141,0.09328883978847462,-0.035879548150296106,0.07852131399721993,-0.01151573990155501,-0.12590170585387142,-0.009822268814115215,-0.010564034155841697,0.03035794884448101,0.02138825333178813
POMC,0.0028550352435725906,-0.03129121678718721,0.022588263336797504,0.005738803004296974,0.08272289259124462,0.0033921787260035134,0.0026750251031985037,0.04184103945315448,0.07578684521161252,0.02347848859011087,0.07718385186712276,0.01064866702261425,-0.011495818108520158,0.12891202455195547,0.009361321764550023,-0.046091802423147886
CCL18,,,,,,,,0.1382950039004888,,-0.08110045532949553,,-0.03395030649729076,-0.04856013202977108,0.07071640001111953,-0.042445161409207274,
CCL17,,-0.012898768994702454,,,,0.04162259509185668,-0.014153539299355714,,,,,,0.02707858955641333,-0.02049936194682145,,-0.013445968578733241
