,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916bulk
IGFL3,,,,,,,0.011845813221256458,,,,,,,,-0.015090850954399961,
BMP1,0.008126068504817662,0.010605254717526708,0.047859418345055,0.000979986945045366,-0.08105310504115967,0.10568464918507145,-0.041258081446265166,-0.035382856404212876,0.0031108870560701157,0.05161760729508891,-0.013020173947735794,0.07795770986790532,0.009161277133575,0.016862101542237166,-0.027562770518160994,0.07181699884740848
NDP,-0.022185683617010756,0.005118444811803506,0.009995462734029946,-0.0536135961987198,0.08648958673012137,0.03809093919545975,-0.0016673358746709425,0.02601322565081915,-0.0030745027770476196,0.07459708067876727,-0.001308004948480963,-0.008801099217467212,0.012965986186476278,0.05971931328867201,0.013623779265332264,0.029938450362245097
TNFSF18,-0.011409180090306795,0.011974583907441768,,,,-0.026758555899100315,0.09620906174951943,-0.015129093876096057,,,,,0.02242801098147598,,-0.015562928220110794,-0.027630986186146917
IL36G,,,,,,,,,,,-0.001768723651044003,,,,,
RTN4,0.09326096306398128,-0.016242023375465656,-0.022629967570933836,0.0040579695781066405,0.0644188545507342,-0.05659560024193039,0.04853611570642026,0.02855671598705001,0.05536188619054546,0.09365155479779465,0.047068980827213495,0.017180841567777695,-0.05248180586188046,-0.04718722678132781,0.01188712603318405,0.001804804168211064
HEBP1,-0.03271945458986469,0.06049517145646656,0.019287660472699114,-0.03813682228628583,-0.012162069576390894,0.020587105084177285,-0.0113231652661612,-0.01626370233591047,-0.0327062847525535,-0.03146342196346243,0.017907620039832532,0.03330304319958253,-0.060813452061681386,-0.012527695995669353,0.029035874062402902,0.004768078887572519
WNT7B,0.05927852969495842,-0.015075444852553308,0.017274243968770836,-0.030413696150316187,-0.029831596361772364,0.017942243304924037,0.12600964876214,-0.011559765879544303,0.06049312248770386,,-0.021024703052600804,0.06834240243990024,,0.00278110352268674,0.00035508701896612844,-0.032002458248605835
PTMA,-0.10216160109619672,0.013646917580661347,0.006392056583642268,0.04116104718613636,-0.09258980457797601,0.13215560136320828,0.006718299896698707,0.07463588946070533,-0.04489593254881784,-0.061265815195698285,0.029447095007689054,-0.17586901925720028,0.0012756245572676,-0.11665321521723555,0.004265511900357644,0.033068514482756384
CEACAM1,0.0024576287158972194,0.007539087158493949,,0.03593494526084505,-0.01678583063554987,,-0.0075496854843550565,-0.023794460401982496,,,,0.004890373218980742,0.030250798277907352,0.0180101495130866,-0.02236230306060155,
PDAP1,0.030886383127904513,0.026074943469808952,0.0031850407031008402,-0.006757742307070231,0.028040107293121026,0.09422802376119621,-0.05662251879366543,-0.061764482213303024,-0.046674268419055503,0.08738697630299898,-0.03942574673729737,-0.05006866321985325,-0.02681224571421891,0.032568137617317056,-0.046145933356118836,0.028406502189708246
QDPR,-0.02911749367831954,-0.007151967430790411,0.07325037106035694,0.00339997412711435,0.10586814278875425,-0.03574876254308614,-0.03670555534561421,0.05869100086747124,0.008688516064569789,-0.005933100784389408,0.08344740875897691,0.01758495788315052,0.042030876360366225,-0.053146181472407725,-0.005137662077756023,-0.06862376102627737
POMC,0.03359905043436187,0.04203663628327682,,-0.01325834067987928,0.09839074152941711,-0.021853447866541215,-0.033890939939414354,-0.00164911780297483,-0.0038055150154262954,-0.0006427690291663843,0.05069197496517651,-0.011620902694338207,0.0767972066923663,0.07442844637959359,-0.024025596550998517,-0.05678498552602115
CCL18,0.036782914070252505,,,,,,,,,-0.02309121432678026,,-0.02746875972252747,,0.007846179315252172,,
CCL17,,,,0.05123203576755318,,,,-0.01886892560759401,-0.018444036389169086,,-0.017474658167065896,,,,-0.019896415260082737,
VEGFD,0.03772668163058154,-0.017659202749156225,,-0.03419338179935639,-0.01605973236927397,,-0.03713529338230544,0.03599267874213585,-0.013528923743036311,0.03814230156020213,-0.0187281324061167,-0.05811488850165025,-0.028500070271000835,,-0.020984577084370636,
TNFSF13,-0.008828558549316213,,,-0.02577491943087708,,-0.036100481939267064,,,,,,,,,-0.02133633230013244,-0.030058571695329047
