,UKF243,UKF248,UKF255,UKF260,UKF266,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,-0.019712701790832777,,-0.002322986776975401,
BMP1,-0.08372788725665335,-0.026974223122087304,0.04496242301253678,-0.06312956228564041,0.03335519526499138,0.013039264658458512,-0.0350014235484807,0.06092877811182879,0.014157177988355694,-0.04179389210457531,0.10928204693412717,0.030810357741229775,0.0011386048481816498,0.024247471651127703,0.0035199518391915543,-0.01275265014582006,0.0721179392017208
NDP,0.04257171148248865,-0.007735140820217274,0.008425837338972671,0.014471413561024889,0.026276653865694406,-0.01971243048965969,0.0077557996125800655,0.06927527924921406,0.09725359412615962,-0.05674493119033711,0.07408277279419773,0.06596623564600392,-0.005460756872907484,-0.009241834175832473,-0.006224751384804029,0.04011753016565689,-0.006953361494222518
TNFSF18,-0.03062558271603839,-0.025520299638161922,,,-0.012763180964257125,,,,-0.029717769151276094,-0.000600247177632314,,,,-0.020329361407265878,,-0.0010524374432106234,0.020671548032933463
IL36G,,,,,,,,0.01783411441483485,,,,,,,,,
RTN4,-0.14750446215834595,0.04967208872319506,-0.02060822175120873,0.055651707224035035,-0.09809344184870822,0.039065968626357334,0.04679287843485933,-0.040825740610628554,0.0459495969336116,0.09726769751844541,-0.08489405556882937,0.018267525268105284,-0.04766585395569425,-0.0625761246388219,0.03564612126307509,-0.0039647067339564895,-0.02802132435370924
HEBP1,-0.048165777479298455,-0.0023562209228988372,-0.02402818846750684,-0.009528932031350851,0.09216818315574743,-0.04615999905570591,-0.03803567406881419,-0.0077227388246616305,-0.023469622989468922,0.052693903272133684,0.03533909243843099,0.09369573629229656,0.018941052666401944,0.09175334090300617,-0.003007660562054821,0.038829305620696725,-0.05717611830277609
WNT7B,-0.043892122119100936,-0.006895013664206395,-0.02790547453567888,0.04838841729553429,-0.022775197609060785,,-0.04336513961987503,-0.026616166213778467,-0.032716363220516735,,0.11334924702714527,0.02024873669844351,0.007954467354215065,-0.017623483732153552,-0.010204059361956742,-0.006250315615884095,0.05409558537845921
PTMA,0.05198120035897632,-0.060590193718294334,0.11579781752370949,-0.020258113002761324,0.16204405953198833,-0.04680363272555127,-0.07754100667057484,0.08154662511447511,-0.006197140151821111,-0.03151992996048686,-0.21385795773995456,-0.05299881641524816,0.06711503460711868,-0.04471597469473197,0.05568963874913835,-0.09685128802083297,0.026809094558171768
FASLG,,,,,,,,,,,,,,,,-0.018791439343617444,
CEACAM1,,0.07208704284972528,,-0.017528510716406858,,,,,,-0.050901692289238944,0.05270243855126763,-0.03825645182519937,-0.010786776925027764,-0.010651661255685273,-0.038644271120474374,0.08728350044192122,
PDAP1,0.0525302567725617,0.021555919887330615,0.04615005043693899,0.030085991329054162,0.10203152363831758,0.028753434417127865,-0.04084805132398019,-0.00030673154178264487,0.058446460070371145,-0.05027359241213654,0.07358344550859212,2.2182186527293406e-05,0.005518593347432425,0.0390731164686348,-0.0033268992136107813,-0.023957932677074037,0.03374618922163133
QDPR,-0.017868598038485364,-0.025278381189346673,0.06954312794290701,0.04523341503812577,-0.08154358999173968,-0.0653441101618973,-0.04259371838565495,-0.011626040641467278,0.06827041968355282,0.058809952719033595,-0.21150132626662374,0.0993283149273825,0.01989062878676369,-0.054078616000883935,-0.07919852149930819,0.04295871594046969,-0.08429807069869912
POMC,-0.05782621116990049,-0.04820026211576913,,-0.013863473250942615,0.010124707911372594,0.04561902356565673,-0.0245357383475192,-0.004460112068600469,-0.01078468555241904,0.11284000012095946,-0.016401800888628502,0.023592980845371148,-0.04783356413189929,-0.01440867061742034,-0.03932461951370068,-0.01400852960515735,-0.042730443705054785
CCL18,0.017764871333416934,0.008704719665150669,,,,0.025052611007078604,-0.05353112847580431,,,,-0.051679767752263905,0.0063811922006416335,-0.020983163994775796,,0.053701742706875055,,
CCL17,,,,,,,,-0.02212199645055402,,,,0.051243634118470244,0.0782207645971935,-0.02599005860661756,,0.006948515158917619,
VEGFD,-0.04627549095838904,0.06123119606025807,,0.027098566425558687,,-0.02042609378225299,-0.01657733664684994,0.036401901884703596,,0.0012337008139115466,,,0.08426783757889064,-0.027411490016096936,,,
TNFSF13,,-0.01262533849487457,,,-0.012377622985585805,,,,,,,0.02327656673139267,-0.004722824649431421,0.06353639026976232,-0.011692595034346207,0.0025275485846433785,0.02094443170881011
WNT5A,0.040900445577782794,0.021915120230313008,0.01102233319480184,0.018774761025635977,0.13618748467436834,-0.051271248053639966,-0.007523312654659446,0.10257176990460912,-0.04239770383569262,-0.02755595910118278,0.16757833990086135,0.10018510568548719,0.055571004043089636,0.08684583736477053,-0.01726430639077493,-0.044275910504088564,0.04848435278197871
CXCL8,-0.021272433340997692,0.08194929596482226,-0.13501352908527833,-0.015562751943918809,0.06568521975065197,-0.046544237851277245,-0.06366780513209527,0.05767672397720416,,-0.03588794083251379,-0.07581703590196104,0.031019390980884864,-0.07628352791833905,-0.03690021778841433,0.08747484233312927,-0.04692053053162886,0.023145393830511885
GRN,0.0023363652955432686,-0.013402622778605044,0.0004406625931483525,-0.012878821484421666,0.10570486329462918,-0.05124950744776635,-0.008428771718661831,-0.011676867589078214,-0.0008020336368456237,0.013925702081406104,0.11773128314845988,0.03268394870422036,-0.0318245351842604,0.031476198027315376,-0.09315230541608724,-0.012072467325104641,-0.004515045149773
MIA,0.01162474196290102,0.04407974747687386,0.01572581876057876,-0.01232861328715746,-0.022381129521317423,,0.04918215431379656,0.02036068262823742,0.026174657156984266,0.13724474379912377,0.110710279849288,0.10334817828962865,0.10053457375796417,0.03151335342609156,-0.01496721786138504,0.05515331486976314,0.14395659738324124
COL4A4,0.055866188221157416,0.06526942423936832,0.02855147890671213,-0.013566416799266484,-0.011776761422254083,,,0.021836453744471677,,0.03263964625810533,-0.011173926566876798,0.04771909072679539,-0.017202722184140616,0.01594784896688036,0.024117074623257715,-0.01444811626666965,-0.052079974995959136
TAC1,-0.05834327624886915,0.05522212349280955,0.12160883454469554,0.06685247815242332,-0.1093922927731154,0.06598553426349818,,-0.029954302267002422,,,,,,,0.0023763993616083465,-0.02239072854531584,0.050849039442788485
RARRES2,0.019056534757336433,-0.01124010659352639,-0.015314421154336297,-0.03573314800220018,0.1024540980543429,0.04691216820123728,0.023966888902177314,0.11176968541069045,0.005902868242927713,-0.041159690175785024,0.04772018011421292,0.0403923752137428,0.03309102693402107,-0.07041939832814241,-0.013011643980914487,-0.009745659562899696,0.04905023008846982
FGF7,-0.06309321697274083,,-0.08404713532027765,0.09640597993927108,0.08207803208853541,-0.013680058978904416,0.009350396224676222,0.10399020037281065,0.05765567597391567,0.05260192425574362,0.08906052025557906,-0.023831892761903554,-0.00019707897564674232,0.0034193168690790127,0.09464018911430781,0.055827438045521365,-0.027221417312178885
EFNA2,,,,,,,,,,,,,0.029976809091871674,,,,
HBEGF,-0.05722220288111297,-0.021384473525895852,-0.013668231126699315,-0.03783752315052666,0.031611728542276674,-0.07108816892036156,-0.06177697664701937,0.02306644604969873,-0.003789963363141551,0.11281205875079874,0.0680741335922705,0.06540115377112236,0.031195221012020623,0.00734387563649414,-0.00925657154590873,-0.05050514509853224,0.10899925195564737
CSF3,0.0903546295682767,,-0.0002808321233346587,0.023248357936355525,,,0.0065632107860353235,,,,,0.036285920996591205,-0.0016543801459429793,,-0.06734505191809821,0.050832698998013945,0.05707833734464722
PI3,-0.010563799386619636,0.0034662775294235894,-0.0505626663595738,0.02487152733587593,,,,,,,,0.033612675817748384,-0.05832854811413686,-0.022082793669115683,0.06812398514437341,-0.006574150948397945,0.08930837430315822
