,UKF243,UKF259,UKF260
BMP1,-0.05501925067761042,0.05886395259389002,0.04469245874712698
NDP,-0.05389068145618343,0.013255788742272921,0.015694422381609587
TNFSF18,-0.01987257435431327,,
RTN4,0.09068099776900056,-0.058702588647026044,0.03688594704172405
HEBP1,0.029417918041200766,-0.006667650349192745,-0.04436674062938876
WNT7B,0.01063299795931847,-0.026412442068857764,0.030447307674141805
PTMA,0.07877393354665219,-0.006161597049828118,-0.01817964564551912
CEACAM1,,0.04953286741126013,-0.014777320781550952
PDAP1,-0.055128024734809246,-0.009174874214986813,0.053624906010874426
QDPR,-0.021328837138102536,0.0036206988987071203,0.008122843828331753
POMC,-0.03752273684902862,-0.028401718382213278,-0.004594018534511595
CCL18,0.06081897293867418,,
CCL17,,-0.01767748069273396,
VEGFD,-0.030027612645925027,0.09651418528181559,-0.014138103859097145
TNFSF13,,-0.012193530548147542,
WNT5A,0.0869625943034634,-0.019712480218692728,0.05628284785615841
CXCL8,0.1106121442758962,-0.0205687422300123,-0.03642049339736709
GRN,-0.04357310727553899,-0.003481764364988193,0.007660760068977541
MIA,-0.05673525915763038,0.011164827826695926,0.02350838866974036
COL4A4,-0.030228032576021864,0.04496739250090566,0.024544671902741136
TAC1,-0.03785825419487303,-0.0033067928813262665,-0.05446672135765057
RARRES2,0.0077726928335913464,-0.015173096558510759,-0.02211568446674717
FGF7,-0.025801332014166338,0.04486866292542187,-0.02707035713408205
HBEGF,0.035362349550603286,0.023658569336939727,-0.01343806732539488
CSF3,0.18131324391666875,-0.021070015632504525,-0.030531839601484978
PI3,0.16873834509636285,-0.0006028549402801564,0.06278276648998676
PCSK1N,-0.04175060704055712,-0.05885341381603559,0.024088779669009443
NTS,,,-0.015185978646720784
SFRP1,0.001826090035588187,-0.015424285202509953,-0.016129128111250647
CXCL13,,,0.0291331769424379
MICA,-0.02797884174766076,0.0020514901482465765,0.026946222427716354
TG,-0.024096547635906577,0.017291889460293624,0.03223714397628388
ADA,-0.035634857394400525,0.03536012165819605,0.0785680184196005
LAMC3,-0.022974606234365737,0.05334756891016204,0.06687234151352162
CCL7,,-0.012034487325101716,-0.02119206087653964
NGF,0.014695192046606279,-0.006423957746706297,0.07618538563849234
TNFSF15,-0.021544794503025714,-0.013400990235735972,0.03196664977839445
HMGB1,-0.04008604445519141,-0.027413695533034566,0.0753327448800872
