,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,,-0.014337207516996341,,,,,-0.01799641691184195,
BMP1,-0.011680743163819939,-0.030031686839040207,0.03296772922842994,-0.007240559481257181,-0.0619306107438271,-0.0003519121120922918,0.007777012098444985,0.01820276354820469,-0.0262665618596383,-0.019424494890158833,0.03762469327270663,0.03407920261262453
NDP,-0.05932026658955018,-0.021247628203846795,0.014719975697837163,0.027535876171228126,0.04161760564666936,0.01874271550908612,0.07806367440265345,0.05435009885917401,-0.02697445726937877,0.03192767500858455,-0.02685820842211131,0.000748618187845306
TNFSF18,-0.020634609304409194,0.04239247929827724,-0.0277342187591086,,,0.08831412945812271,-0.02360332964373997,,,,-0.018559387105769782,
IL36G,,,,,,,,0.055733098672241764,,,,
RTN4,-0.0033637371800069858,0.0028871437945152127,-0.02718123588753592,-0.046019362604526444,-0.02498158043251495,-0.027107583568821474,-0.005316580594967513,-0.05113001352652162,0.003994574317775811,-0.03357711997732198,0.06361481129046698,0.10810505449863804
HEBP1,-0.0668938063226975,-0.0012285448322127035,-0.049061217043513926,0.004778563533045083,-0.009977985823947867,0.019459668404305765,0.060914829948113924,-0.021187181372385257,-0.021686291973452596,0.03917110926815759,-0.03765619471571909,0.06866176858394216
WNT7B,-0.018178444503248986,0.015529063095072607,-0.01722763696686439,0.04017946834197837,-0.059178771669200665,0.003684163481393962,0.007279359012583487,-0.03110483951145104,0.001056574941259478,0.008558548671254681,-0.0118910952860224,0.05504397243145618
PTMA,0.003987323970881531,0.0008004190266913945,-0.03120170193591486,-0.06649562272885232,-0.00424080566506531,-0.005106792339830812,-0.005652488401227585,0.09016192739038151,-0.033079541316344906,-0.05420276747327588,-0.02428103185060209,-0.07872720013844976
FASLG,0.032930960698073566,,,,,,,,,,,
CEACAM1,-0.02524093642036748,0.018612640721599665,-0.013221175199477332,-0.01612477713752292,0.006520203062336971,-0.02801685213022152,-0.020820464686026535,,-0.02317792499895166,0.0482362083480558,-0.026667901644751652,-0.01312099532300998
PDAP1,-0.025143535862837216,0.007862790219660623,0.09230619089184959,0.06730746621792479,-0.005585152078817086,0.04409299538561977,-0.0011704436393883903,-0.0220368173632295,-0.013294044360942338,-0.028958550070798464,0.020161345488327292,-0.012195252199604592
QDPR,-0.014537226800161228,-0.00706868656861,-0.04367287272254781,-0.004001208337437574,0.013425081795008495,-0.021212220506224844,0.020607223499631448,-0.034681547170631516,0.02220557081237623,0.14393670221663266,-0.06224074056178939,0.05376624124725194
POMC,0.025307540813755604,-0.028123661146415235,0.03190590607275802,0.03471803781884813,0.012287318656388142,0.006047736066417562,0.04486267703653142,-0.03253693428886596,-0.0017228820807757609,0.06948129893212272,0.014360544287514255,0.06649287531240583
CCL18,,-0.023389572646298724,,,,,,,0.04117051565296738,0.03896716935009962,,0.026015398967047864
CCL17,,,,0.021629295797064043,,,-0.029437947492872065,0.053325130697932634,-0.016443615943652037,-0.019619918994690965,-0.02372723613489697,
VEGFD,,-0.02338958007358354,-0.018936680917251696,-0.0042214830013093995,-0.015506870825061324,-0.0240186684574879,0.0038798882355179838,0.022438513223628234,,-0.027844023879076855,0.05624042072026291,
TNFSF13,,-0.01765052769074801,,-0.023010882066399084,,,,,-0.031552829126861026,-0.003247401363838827,0.014987290483215296,-0.014733998345368633
WNT5A,0.015547762450550475,0.015430173631764245,0.026778105157564944,0.009922222342836967,0.0012595632289930335,0.06076731670723801,-0.011057450058290634,-0.030724220673255993,-0.011592237128992731,0.03426414180190414,-0.006668651204292751,0.0462037011714859
CXCL8,,-0.01317295334142509,-0.01773118559804074,-0.033947204574560116,-0.011372932013519405,-0.0005672255895122032,-0.052041198253579495,-0.040240047516414926,-0.023171491408252923,-0.09267419733164071,0.1063394523347123,0.04049108762667451
GRN,-0.0071321548573234205,-0.05494241670637938,0.05570136516450952,-0.036408331453567186,-0.018734062233018937,0.02657980614870538,0.0401986186525726,0.010399482192686408,-0.03388628682666703,-0.003799101654845536,0.03163915176355638,-0.01955681902198444
MIA,-0.023794022651276878,0.08893485669076694,-0.016840959712239822,0.038368898750861025,0.009655685316451062,-0.0024474978743158123,-0.027100572979348925,0.07178561637012676,0.11851937529933698,0.05805477251360734,-0.0016583530713899356,0.016122282595715434
