,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.008297052770451806,,,,,,,,,,0.06668699513032916,,,0.0021921150289703046,
BMP1,0.01642070695322325,0.053029608986345705,0.038770304914046136,0.04732557021957549,0.01269705979189721,0.007490442895766813,0.11073829958276564,0.017390354672292666,0.23863096283386045,-0.06857436987776627,0.014866970483258843,-0.01155961841131537,0.0550305774253606,-0.0041392706823473605,-0.062331160292658415,-0.02537125218275865,0.06151711635065406,0.041537095413339865,0.06665332469249254,-0.0635729020237807,-0.04344482039390012,0.038703605929031375,-0.06216867772401003
NDP,-0.005417043027624377,0.15348221698984757,0.005111391675534218,0.04725999357916967,0.0563766087211521,0.06724502204191178,0.025781998985213064,0.04004727425791983,0.05998435882644574,0.06932908877620964,-0.033038006582155055,0.1119144733944556,0.12131950274874341,0.007290289895138435,-0.04247363290064278,0.07095789772082875,0.08590356546639233,0.017615476389821975,0.05258121195432076,0.02101170023129847,0.014901567341614021,0.2073076048716664,0.06162188070059565
TNFSF18,-0.01871251841625192,-0.06750598013290139,0.025069221076989227,-0.0011312776675645748,,,,0.17960299458527984,0.08615249869202089,-0.037911713595027,,,,,,0.012962611974947141,,,-0.02220264422701661,,0.010353298599532764,0.010628873986995762,-0.02863176118709456
IL36G,,,,,,,,,,,,,,0.1018282963952113,,,,,,,,,
RTN4,0.032011038269127955,0.015618756567136982,0.0030666101665541346,-0.0043754703906517855,0.07454168690213513,0.04193753670800365,0.021295065973253213,-0.0435111838020205,-0.2639716186508834,0.09633799173986624,-0.06125303624602621,0.014519274574321357,0.023453203596051568,0.04149709690134455,0.19934488066542527,0.024402869533621207,-0.0550479082778373,-0.006898115236645081,-0.059428092027087154,-0.004524827456132614,0.08396054685710404,-0.08024496453220954,-0.08316540959942918
HEBP1,0.04743408148508622,0.13229389320837637,-0.014251613838422973,0.016545451067513626,0.025653882996900884,-0.002030171088372722,0.023508016312683077,-0.00844102764248465,0.10484198341092343,0.07451900639037096,0.024151311939164147,-0.031131656707702456,-0.006804906676890753,0.013670343740225287,0.09043084171863708,0.07399515965153826,0.001805761200842933,-0.0010849074621819006,0.033819871647825385,0.026546973797960574,0.10272274771139954,0.12604719141656512,-0.008591821550260618
WNT7B,-0.016485142632343127,-0.02560637212174302,-0.013588631327524888,0.03131143438955082,-0.045406231822829955,-0.021875265208323637,0.024404233112642035,0.023624587266354982,-0.08625491433893345,-0.04972884678881486,-0.02445327867273247,,-0.053877181867002674,-0.0042614185600757205,0.030842996937694267,,-0.03893900168199495,-0.031787887038221406,0.021150541580682736,0.0053396203190900155,-0.04154592847228958,-0.014266731288163137,-0.022126028927394566
PTMA,-0.048386225945513395,-0.15159870519247798,0.024860647155207177,-0.004475478484669063,0.060812407854864255,-0.04695768106099079,-0.00804668151739913,0.05047019558984434,-0.04209976040767858,0.027661313131258046,-0.019324833923564422,0.004089463920173921,0.02919503609813111,-0.020370305090960807,0.03795804011443038,-0.07059689191013545,-0.15372755305852437,0.004185471386576175,-0.10175622791761094,-0.01657971673696796,0.02405058968589073,-0.0688422243155677,-0.0593159818197313
FASLG,-0.016485147292650718,,,,,,,,,,,,,,,,,,,,,0.01206087746516781,
CEACAM1,-0.0228897712886982,,0.02345411161830739,0.01041416529296724,,-0.010359308674031764,0.10428205404534126,,0.05853400513596281,0.031352178958029255,,,,,0.15188400754812806,-0.047682765625818496,-0.06901668761977989,-0.015399751345296819,0.0700502479350455,0.007775964652273202,,-0.031359861552285394,
PDAP1,-0.006737873528725978,0.013307824599763589,0.021618431973402467,0.00922044758421879,-0.011757374401050482,-0.04075900893857372,-0.04099440778561196,0.07344454762902025,0.1446821900999934,0.012333526218033752,0.0032275487024497965,-0.017436257094014963,0.04142291751911254,-0.04977754603118301,-0.07884444727130219,0.015521444680820468,-0.0017065769681805297,-0.02158059281388637,-0.009636708096251334,-0.051231761711000176,-0.054654835339360726,0.04145515081797982,-0.05798351446401229
