,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.022286140366669666,,,,,,,,,-0.023683405508441085,,,0.05336661032546232,
BMP1,0.0032347652102008564,0.05951202899144293,0.04343398833094987,-0.041388177514286695,-0.053852028584911386,0.06856927748764187,0.01807685440523084,0.03846090106797557,-0.04627979035679882,0.0890288407306703,0.0015751355684472368,-0.06601574279264953,-0.027714610361599345,-0.0073147476800455545,0.06980612017460494,0.02054071272553006,0.06799938050321779,0.09239613485460874,0.046810088469078255
NDP,-0.06043534195979414,0.03232676285200834,0.012101601857248165,0.042494271584185984,-0.03223147923385857,0.02126355000373775,0.014183532826228156,-0.03472275771100208,-0.05119319285391415,0.022858314749018727,0.027741907462523925,-0.03181421994061158,0.06291693791474849,0.09253549535565098,-0.0010574280005363037,-0.0363449515832362,0.09145823331646404,-0.022164045754405205,-0.03000918324932476
TNFSF18,-0.025747753616314203,0.005557915867316094,,,0.03408481080424765,0.037707808495819,0.051094237930817764,,,,-0.023342039415892947,,,,0.018690972007980765,,0.009719150869971055,0.12763556792106615,-0.010950643925806174
IL36G,,,,,,,,,,-0.01698826933941487,,,,,,,,,
RTN4,0.006324092235093607,0.05891806143542456,-0.009524371552654502,-0.02748182534926727,0.053870522283881554,-0.09633177201061172,0.022607626729783493,0.029927132413537817,0.074062559160932,-0.044144086231252,0.0411939564422641,-0.03228562195662513,0.02062819132599454,-0.05383339223515628,-0.07657075706186219,0.10047860593508057,-0.032851162999132634,0.028138987793703062,-0.05627403318179117
HEBP1,-0.025373709330301374,-0.026978828696788117,0.022887102578108574,0.013174060603504264,-0.0058040589484016376,0.02113965177477602,-0.03858216681762565,-0.0031411884543830395,-0.01258548678469753,0.0035227716977848773,0.09787484143775307,-0.058195535557071056,0.055187726424410936,0.051202013183454125,0.005370219425331906,-0.007146064837877743,0.013712461336596225,0.0832093959709977,0.009026324472168107
WNT7B,0.00842645642342109,0.020877784455648887,-0.0035106295803172924,-0.04705550478042272,0.08409511844723526,-0.02194104293638312,0.05578881506326097,-0.012031755070084327,,-0.03167029608848982,0.03350642323722492,-0.0003981967400162565,-0.015203123396706788,-0.018502399509173584,0.03929992539732119,-0.009989832458323208,0.16815360170832339,0.05493660736675911,-0.02875317348951272
PTMA,-0.04290457199875503,0.06573210498720301,-0.03664860627026701,0.035188517893318325,-0.06890921930428479,-0.039042246316791894,-0.05964512412458845,-0.048074845694065595,-0.12128012337259914,0.02984364522781583,-0.005942885576410393,0.09653079154002273,-0.04747332769414103,0.0027218437973472306,-0.07564013957777879,0.06391687540877761,-0.06475376945266964,0.058377617377826305,-0.001137004598058448
FASLG,,,,,,,,,,,,,,,,,,-0.026337026359859655,
CEACAM1,,-0.015226896991785824,0.07189883588049767,-0.018762220776204305,,0.002362048666759022,0.038818731823445175,,,,,-0.056913989477561426,0.09695646752986349,0.08176683008842368,-0.006512735717279245,-0.016824693130115777,,-0.014000731057238926,
PDAP1,-0.03957123652636754,0.07510303328280062,0.04884973838661939,-0.04811034636044467,-0.038656840729753464,0.10478264585588427,0.007118323802687642,-0.025218309183071077,0.05198067929608988,0.03257931012604704,-0.026544847171024174,0.03810594898324683,0.0004643553448461117,-0.04306761873604482,0.03183854209115249,0.0565091828204624,-0.07377332768848692,0.032041325582824715,-0.0240691800966039
QDPR,0.03793147511408115,0.013275475025583164,-0.025249186253531206,0.0494288685460768,0.01504710284970075,-0.08169217971447823,-0.006286305097980951,-0.03127771233150023,-0.0610900302787476,0.015641326910596186,-0.13265832640485678,0.07836454161231303,0.04401471181820158,0.07550533027251383,-0.05623073184324885,-0.07233243548098146,-0.06727835524388255,0.05935403400882202,-0.014407848729106014
POMC,0.03873628325706302,0.007306090461186314,-0.007885661330942954,-0.02690164902510341,0.023721313132570383,-0.01004403086358004,0.08250974385443312,-0.023451449314584028,-0.042416456007808606,0.010052748456906742,0.04081617812324691,-0.04957697614537062,0.03343211545656421,0.07412618504038708,-0.054698271312947036,0.006263625316061095,,0.0021410718786009746,-0.04337949380115446
CCL18,0.06815555380932642,-0.034560471724697735,,,,,,,-0.046204861089789856,,,0.047449067220267954,0.04997151190748755,0.06312441783553345,,-0.010596517433427035,,,
CCL17,,,-0.0007854739422575215,,,,0.03220014976322821,-0.014891939939434346,,0.0273302681227073,,,-0.024430665017851343,-0.04027656387302368,0.017399063467075582,,,-0.0238715562304485,
VEGFD,0.01987674690565648,0.04629662203713679,0.039913700068495477,-0.01795063055628181,,-0.015111080127989486,0.07300977633368884,0.09221736994807966,0.05774235970202857,0.02107281574793092,,-0.05497952300865956,,-0.021004809948300843,0.012026952459185473,,,,
TNFSF13,,0.0007111114077605362,-0.012061409701804148,,0.07106336928104541,,,,,,,,0.009772125354205293,-0.029282661703637317,-0.018268363530426563,0.04781289520336704,,0.0263209050006136,-0.031396800621589775
WNT5A,-0.01621063464906399,0.0749915412386058,0.048839599695981846,0.06300007125299913,-0.01020880291445692,0.12778943222176717,0.04305649460030502,0.057058110339281216,0.045850284665752396,-0.006410579439417785,-0.009839419924133482,-0.0005433062067299288,-0.0004988519423971246,0.05943625133267336,0.06077596542561199,0.0730735018582096,0.021205019390580882,0.041577934801039655,-0.041020191507764404
CXCL8,-0.12002034786032423,-0.018053306501416906,-0.012039828835924261,-0.032277734003071074,0.009209753346491155,0.010495918775448183,0.032532114994526254,-0.010172361844986938,-0.03608317031495904,0.06582767038911205,,-0.05343533306042953,-0.09199381665210114,-0.12200501320861001,0.0020513080112182203,-0.0507126230779542,0.02511737841433827,0.015075796147796406,0.02350908504406829
GRN,0.011982162050430317,0.053234299691315254,-0.020182682747959674,-0.06513217282934643,-0.025150535376800714,0.10723306353271878,0.02572941721663324,0.022866097701605727,-0.02786936197104901,0.06483337851120471,-0.034200529646620854,-0.0398701200777287,-0.03272636374155057,-0.027249169195891106,0.04288980603552228,-0.006204924658076962,0.017282963779094097,0.03425100327398889,-0.04222984602647267
MIA,0.028857114567208266,-0.0294964410889985,-0.0020789553654610967,0.0887666611800905,-0.043784589618369056,0.053048570245940715,0.023517860239069006,-0.012423087570242327,,0.05335379884919486,-0.048913845838034674,-0.025587713223135865,0.0704271191830523,0.11007902772767515,-0.027532093480853066,-0.0295862901096958,,0.010343773076684413,-0.021900883542276078
COL4A4,0.09459165712619033,0.07633089184527453,-0.01341274652310195,0.04726970256840582,-0.023039081446524022,-0.021961337138859525,0.00942890157146571,0.09003859826383195,,-0.0006818812467444556,,,0.0714373484347816,0.08508594985297886,-0.03745611967665256,0.13743723241594702,,-0.03367454623063103,0.07976930696205183
TAC1,0.06663872882988994,0.05941345933372851,0.019275188041170243,0.0478445771916293,0.08657330916939196,-0.06205583852019823,-0.024080257860528722,0.009205424479521516,0.06662976365057807,-0.029405246757379485,,,,,,0.0338753247839294,0.031717593409893434,0.010735678045197209,-0.04147534581136046
RARRES2,0.017893305405426992,-0.017076474233942433,0.027806975100972603,-0.03580399670506745,-0.061961120938912116,0.08875388476389698,0.0008377400645308174,-0.023614078904456704,-0.011483284080791065,-0.022738932492306282,-0.026143437107924106,-0.0030023020730439954,-0.0400780049884808,-0.004449225087405832,0.01986201505360748,-0.022636988101677552,-0.06726474854426032,0.016328342257120095,-4.671000237445631e-05
FGF7,-0.03836897704603247,,0.04287187926618989,-0.011812824623779175,-0.012371818876798705,0.031731648855269336,0.01987787840603264,0.024126299464183213,-0.03210150113934929,0.033859838847335226,-0.0696859536854632,-0.026707938261492675,-0.011245255566879019,0.1026284114458436,-0.0505421308846129,-0.00029548217566948017,-0.0016045749999938283,0.024703951782026626,0.0037146005284943565
EFNA2,,,,,,,,,,,,,,0.03849075234793972,,,,,
HBEGF,0.04532141391255912,0.025793347238333438,-0.03570263421163067,-0.03404908755442336,0.016772515339617232,0.010526730050147464,-0.004054509828455088,-0.028052384892886445,-0.013603197931625713,0.0071403544719740985,0.01682109727872019,0.049472759894765704,-0.04013227778523411,0.004757205562709946,-0.03751179964060398,0.021947154750827275,-0.04053011874398177,0.002575423716599611,-0.002395277906704801
CSF3,0.06691379939020889,,-0.020841715200005263,0.02402053157889922,,-0.02323467198966356,,,,,,,-0.07573526575147758,-0.0621189510734383,,0.016162814431343174,-0.006684411916876509,0.025916755177015367,0.005709713306924994
PI3,-0.046396421829398744,-0.03635907338449599,-0.019703029782643506,-0.014553862910514193,,-0.026162547324837894,,,,,,-0.005479890223292491,-0.0946257870249903,-0.09360150234229682,-0.007101173559274505,-0.062455499178457274,,-0.006725675184435996,0.031003747083863747
PCSK1N,0.023473744456520985,-0.002896134211519335,0.0004414118283596252,-0.002830668569085583,0.007899936455770232,-0.009103925548139272,0.05340651216555475,0.02439321905281301,0.11794313899237824,-0.03350941889700803,-0.031170257396969873,-0.07438881879053873,0.051998875270893745,-0.029167737316580504,0.04807140390911597,0.06582242320674297,0.004159160092193094,-0.02879121510613152,-0.023989111819325042
NTS,,,,-0.024015696297871102,-0.028125483778493124,-0.0011821447693706624,0.041554633270791334,-0.015767117478729217,-0.022955708045583716,,,,0.01822947258418391,-0.03922245105017168,,-0.016246392545392084,,0.022463139179702746,
