,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.014389281614055541,,,,,,,,,,,0.06797774560973818,,,-0.014971915753403226,
BMP1,0.04371548628635273,0.001786513151324881,0.03546480692940864,0.06559111356809136,0.04363683039485566,-0.024486794630931397,-0.000801441999828628,0.04360182041844173,-0.019358060320560436,0.011302831099244995,0.006955214082070735,-0.015963739807433777,0.04497768556857844,0.14528099203676303,-0.014896233288729844,0.07434952019700143,0.09332676076008806,-0.003176726326314798,0.08352661154115948,0.12677846356122113,-0.03058731509623141,-0.02567075279107026,0.05466154915574608
NDP,0.007092350541602814,-0.010128219206290973,-0.003308295519054092,0.05492444782370434,0.018277514096657132,0.07358910022800029,0.04286384680925439,0.002006757434858237,0.005098893469705059,0.013405167259325597,-0.044594819187622974,0.030968669891012643,0.0007148517430282452,0.0237090799936478,-0.048405691577363685,0.12321820687284933,0.07047720868447668,0.201021425669522,-0.011130496454463986,-0.040724741513892694,-0.0243993117208125,0.11979906290157526,0.041854442919572105
TNFSF18,-0.020102982503754467,0.003651246722481314,0.02657967318786621,,,,0.0632843684256588,0.043072511520846284,0.0978590706769724,,,,0.09502755667966288,,-0.02433669790047988,,,,-0.03237755355185239,,0.12431282222426385,0.04507614612001561,-0.060839917598589005
IL36G,,,,,,,,,,,,0.04131964827849091,,,,,,,,,,,
RTN4,-0.02289161661375505,0.044734600035648386,0.03192472260464157,-0.005062515043407239,-0.005601769152697241,0.0874034547622815,0.017863753928605237,-0.07115366726967812,0.06693621887672432,0.026323681881456503,0.14180662601481192,0.09376869131015787,0.0038003087466147206,-0.027036631309550953,0.013824331573231319,-0.1488414120421454,0.026060766977866617,0.011662761916722438,-0.057135119477148,-0.021825138471508132,0.0683773861617902,-0.012323916022878054,0.0901201054615753
HEBP1,0.028999546905799794,0.009882427192957555,-0.00503347057375096,-0.01215803113105987,-0.01912368527572231,-0.06561918599221159,0.08596984569529013,-0.011007448566428284,0.04348558789435267,0.053488653737901,-0.023810127771854213,-0.053113314561194454,-0.017881410103679725,0.04812606494455687,-0.025917550852872527,0.025437094854470363,0.03273129741485837,0.11433027225679995,-0.027276774316620227,0.015480810067241264,0.05653728752009328,0.10824497774443445,0.0007838998496634353
WNT7B,-0.017710097942886603,-0.03666138768308044,-0.008507070403536788,0.015192494245596157,0.05284916598333901,0.06822361302751512,-0.086524717703265,0.02379616956958791,-0.04465852302742265,0.008193599668619515,,0.053408097779441055,0.015334176003547237,-0.009526232347592055,,-0.041889074300780794,0.021964136648189532,0.019242463641965444,0.08543366823179081,-0.003925624064626473,-0.02924283605758783,0.04697369652952311,0.030972757270802235
PTMA,-0.02475539321945746,0.04674520773129267,-0.030331037646027743,0.12031713340927234,0.023688068340855368,-0.029975214263889407,-0.005599314911001867,0.009109384830690794,0.052049101776778364,0.004529878115245367,-0.17644921826498158,-0.10285413981112726,0.05153029489918813,0.03398185403145385,0.0035082404617769384,-0.22198651556449597,-0.022852219550200975,-0.10360095156794807,-0.019964667854021786,0.03803552706694998,0.07306808552197006,-0.14499056081144726,-0.1188019623214811
FASLG,-0.017710102949485922,,,,,,,,,,,,,,,,,,,,,0.03737746917170449,
CEACAM1,-0.005124328108294659,0.06569652084564626,0.0010498344095626602,,-0.08212167654543745,0.04774075204182726,,0.04554121652257839,-0.04356853070521102,,,,,0.11557594384728542,0.03340682744820445,-0.008678124624763927,0.01329573950114171,0.045273026617424904,0.0800984296286814,-0.01582313128394466,,-0.008568056615458732,
PDAP1,-0.029714758691968747,0.0476054970833091,-0.017953641507902286,0.04373577842452799,0.022803287990485983,-0.013718376629762117,-0.08126377172626648,0.04081943891349664,-0.00015072204742194462,0.010653510299543735,-0.005293183681988435,-0.021603556492764957,0.019272659253227766,0.09482958792930839,-0.0014168907150763584,0.06450250883262791,0.045996710947943525,-0.03840509597121398,-0.007536395625569957,0.006899412610229629,0.0004719643801420821,0.03862236042121369,-0.016650939097277693
QDPR,-0.10886621986550062,0.11939341413305413,-0.04526404884061543,0.031582848121304685,0.02572572429357297,0.10395453198989846,0.2527049518924927,-0.10284753786670783,0.0803293214011921,0.008093404209684433,-0.19011425891309097,0.08907186363058055,0.011098468539483874,0.0759466994514173,0.014377078021451337,-0.2618890329020535,0.027247698316006572,0.08108901734196781,-0.026027525611223193,-0.02542646571541776,0.04752439788145361,0.06655369491442505,0.10807882846099631
POMC,-0.03558063924095482,0.010624949851469492,-0.010958639241567394,,-0.02571609249699937,0.10644850935561291,0.020864464277897225,0.06836578572430671,0.0018436469879418362,0.00831214388399356,0.045976809004399,0.052712948324207226,0.10654920148375718,-0.015660974437111716,0.012132923693586282,-0.0961141540012886,0.06931053775382098,0.10750066139992161,0.04747067144416081,0.011642333141015032,,0.04334069884319204,0.07666047903400655
CCL18,,0.024129197372374643,,,,,,,,,-0.0018583443392598087,,,-0.046446860311699784,,-0.07167468858403923,-0.017803801355549067,0.07749077541985654,,0.027333554404079852,,,
CCL17,,,,,-0.040226160347165356,,,,0.05500357132585333,-0.019193004836574427,,-0.019069655242810225,,,,,-0.049325979115255734,-0.014485677056456566,-0.014688087755927386,,,-0.0342749088413997,
VEGFD,,-0.048271385455656075,0.05965631032841602,,-0.04302373154288376,0.03058844003681048,,0.0499298935785007,0.03440092960477505,-0.0059716344296951536,-0.026918488766633556,-0.0326368706213123,,0.013524463948829734,0.07840758484904607,,,0.06343883145577853,0.09599235418891985,,,,
TNFSF13,,-0.042588365932189405,,,-0.0018670422367284203,,-0.006161087471854076,,,,,,,,,,0.01378728992742054,0.09918814359221005,0.011740986385515302,0.059578982976531435,,-0.03120158437958395,0.16240647396826355
