,UKF248,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.02925343279589592,,,,,,,,,0.010128714483876066,
BMP1,0.03448577033249083,-0.04801434672278066,-0.02569428030976626,0.094502370851767,-0.018267084081368103,0.05006551071701282,-0.08289712870314578,0.011320034248421049,0.009223673999801394,0.003281512868483731,0.082275431118394,0.0021624495103561856,-0.0018520890148265268,0.020647942114939245
NDP,0.014253333586255197,-0.020978054817647716,0.03735330198427473,0.06693403979759531,-0.04564548845970058,0.04044897718367537,0.08546030327860911,0.017598795138467693,0.035512645888009474,0.03558224761897689,-0.054948622238360105,-0.045908306861119935,0.11344032467745366,-0.02268497666706082
TNFSF18,0.0012979862444741394,,-0.022718925497598318,0.002346215362830884,-0.023677543770479186,,,,,0.12749709186280855,,,0.043447726561285746,0.08044115530308069
IL36G,,,,,,,,-0.013552787638953342,,,,,,
RTN4,0.039859165611641,0.02112272024537767,0.02855133772395254,-0.10050716180805012,-0.0029420488857623355,0.0581819596216252,0.11027559170739606,0.030762486528758813,-0.01516655546458778,0.07546758949300433,-0.018117786919163735,-0.035943342190735694,-0.004783950130801787,-0.0012707581428590133
HEBP1,-0.0029487373226793996,0.05218428015894276,0.0372446408409645,0.07710760022112947,0.026567856220983916,-0.018541352444661457,-0.02505149075041164,-0.04897883615128496,0.07410371895935168,-0.06745395695067179,-0.012594849334099248,-0.06170814349146545,0.060104741219227646,0.0068257260154706975
WNT7B,0.0165119277739278,0.015608411716043068,0.007245653346891899,0.02984863089454176,0.011188991714538505,-0.013874671449995405,,-0.014896075457424161,0.11008560452603024,,0.014283189080871598,0.03518907285213251,-0.04256745312783572,0.0518093646123672
PTMA,0.005495225339070259,0.0010911666449648584,-0.049809856538864355,-0.02814651858604371,-0.06538166912354966,0.006875550365931491,-0.01656354481034409,0.018626325996717926,-0.031135488501821428,-0.019667159523616137,-0.08441212394740133,0.032746969833884775,-0.10401389861393079,-0.045870109650290265
FASLG,,,,,,,,,,,,,0.05718196672358573,
CEACAM1,0.019831703338710253,0.036055806422055636,,0.007594915022929809,0.03949897096301016,,,,0.02701963951743917,-0.030603842339149787,0.023023383576023907,0.027843146304147984,-0.01426341207992898,
PDAP1,0.06467179957300165,-0.0005642786825649024,0.022271150094335616,0.0910179117638277,0.007095446744246191,0.007827399297537374,0.04272284525033263,0.016947401747360945,-0.011188979277385715,0.05133674125355441,0.027986237100835216,-0.05876972072756969,0.08637960763318815,0.050230306246699025
QDPR,-0.016978500024010787,0.03457598765180134,0.05213426251531012,-0.1460985033912509,0.03689917608511066,0.033941423618655576,-0.05169478040752468,0.025964478306050583,-0.08405767338601428,0.11440911005443083,-0.028187627401585237,0.01393700466813951,0.07032635639536934,-0.03570932326549853
