,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk
IGFL3,,,,,,,,0.08670749275733847,,,,,,,,,0.08021641531831472
BMP1,0.03435163850458659,0.006569835080636731,-0.02769271853568603,0.1485143403059613,-0.05934858369219853,0.018256466856284556,0.19714021483243852,0.3421439177452867,-0.07151645932890659,0.048319929090377314,-0.00046942571911410153,0.005541238345598226,0.012963650935872676,0.047524171363421575,-0.05296105781624387,-0.05458995963163658,0.013163219918203725
NDP,0.0036707158373050393,0.04333192782884183,-0.018486801336134947,0.011532595454601205,0.04848533709821988,0.002608874400993378,-0.020189908296417758,0.03344754113644449,0.0350465889083214,0.03013048671083233,-0.015071633801932596,0.006919016552037429,0.12356937436633914,-0.038213527764785475,0.04962036371082773,0.08948221862511548,0.09239588306094988
TNFSF18,0.002501387374987511,0.02799871873737031,0.004308130993328209,,,,0.04815907038161104,0.05324498159181983,-0.023177577268521394,,-0.025625185774447553,,-0.04352269688758497,,,,-0.025137231740298967
IL36G,,,,,,,,,,0.04254317813023174,,,,,,,
RTN4,-0.07822182842729312,-0.03158240756564792,0.003242254090161727,0.033034977528192185,0.012598884671331984,0.011444540848631756,-0.34311931784361077,-0.46082934116579916,0.11732998266616891,-0.013210537104654719,-0.0024161953737415693,-0.0736236075487882,0.08118038202929939,-0.007669196684070158,-0.072464151422222,-0.14623216920844664,-0.0251303603429637
HEBP1,-0.002064038807313351,0.03050295746634587,-0.0432013124507073,-0.015299731046789267,0.005955901852775352,0.044003556647018376,0.16221175702393334,0.17302792609315248,0.004912742996930751,-0.0042771790693734765,-0.04297470983376605,0.09330436810474678,0.04401295831963475,-0.043848474545108866,0.04120438768385055,0.044354606494977175,0.02958736199714085
WNT7B,0.011756060995087544,-0.048605740971170826,-0.024526043725785186,0.0503821921099472,-0.02036978198278429,0.08662066916012026,0.03678384829861568,-0.15412205653968578,-0.041235753418935914,0.04307873895721125,0.1054622036618956,0.019700079890556617,,0.07882210611096731,-0.029875893699255317,0.07906867579960251,0.015822563334575487
PTMA,0.003363016341731378,0.019004652539028236,0.046747382679714664,0.18192584801038197,0.002604029231400522,0.008899199407314205,0.4696269041164805,-0.21842611249379681,0.0640516442132135,0.07969765815289644,-0.1021680767171923,-0.13444170761493737,-0.009472201738938348,-0.001622372420116902,-0.07649226202050408,-0.0017756110282017813,-0.03452510902829958
FASLG,0.041886661910273855,,,,,,,,,,,,,,,,
CEACAM1,-0.015654617500171383,0.033548566631054266,-0.018822263417341268,,0.017273589587614088,-0.013261763203114642,,0.134343759941332,-0.007081451764010004,,,0.01790037950772465,-0.030603842339149787,0.10344752355293559,-0.041336919174552456,-0.002774047048571227,0.12284012261940201
PDAP1,0.11912836254968164,0.039540793279722146,0.031741515083348236,0.04965205347297957,-0.006574190041998222,-0.030559308577958463,0.1705497046942275,0.33937411895113434,0.05148376720337393,-0.007325616339660479,0.035197874135012394,-0.05487358709678051,-0.010291956729702787,0.012139073582080455,-0.11585122919626972,-0.07997273859396023,-0.0029812321818626294
QDPR,-0.11359528560024447,0.03387897288801666,-0.0809631681214903,0.02601241932457349,0.002939028760055368,0.11697179271570003,-0.1764959392288862,-0.3738644655761195,0.0585770190413645,-0.021394926493653724,0.09040372258340201,0.010282616865028498,0.06636154555914504,-0.0497127173700525,0.09274117870001396,0.16054655913153676,-0.06752433027779654
POMC,-0.021489495060937187,-0.016815144803336728,0.018515371505920537,,0.00496666590945997,-0.006610157879726489,-0.03766759266754172,-0.006035983159234519,0.019745154842965844,-0.027157642032754382,-0.042067888823127945,-0.03631012859352405,-0.03158942757062605,0.1217508714902038,0.030883001332053343,0.11544336080088624,-0.0011370102072721909
CCL18,,-0.017681729065589787,,,,,,,,,,-0.05497255225668743,,-0.027042908702390202,-0.010554163727084322,0.015202597174344561,
