,UKF266,UKF269,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
DCN,0.024335665938693928,-0.012382391011655365,0.016498832841965964,0.029227228150932462,-0.03141073796099242,0.02666763336476623,0.00848014027557397,-0.10250902943415728,-0.05351333252278301
RARRES2,-0.038954548352239424,-0.014684334817962703,0.07667985907871132,0.028350304540967788,0.03720898721815404,0.013596627574457398,0.008753709417122916,0.1101481844866833,0.054634372772615354
SEMA4A,-0.00466017855475617,0.007304647027072821,-0.0623836258985485,0.07014029193628668,0.07323428780978848,-0.024687401359130307,0.019338865537661808,-0.06386026965951719,-0.015747623453167686
GDF11,-0.021971755613387437,0.022318080609450525,-0.0420173039531145,0.01919814576786685,-0.04788669229574644,0.03864627676428349,0.10216359612040128,-0.015694661340810535,0.05279537041175041
GPC3,-0.003293443450723101,0.001441568677552446,-0.04017286133103969,-0.025785347188906457,-0.05267773636929792,0.03448911694948346,0.018836389345710292,-0.03591254259834736,-0.01747944459980971
OSTN,,-0.014424575433019064,,,,,,,0.03427382697123615
GRN,0.0386350807955774,-0.0055219099717812165,-0.01971332085035436,0.031395950572516595,0.0010542072486009282,-0.015303212225104175,0.03873755858836297,-0.11201019962611637,-0.05883096880502797
CALM1,0.0018411436296811611,0.02112092549045657,-0.11706030232916077,0.048271470572121555,-0.022081869585189134,0.025578265915259128,0.049011687462482016,0.06569133889081562,-0.0441844077388336
ANGPTL4,-0.02591367555547901,-0.030751437705522355,0.06518210670881397,0.06353518342451783,0.059181122143390184,-0.04140212310195192,-0.00979748263663182,0.07243674440991628,0.02774979696685024
BMP8B,0.01731729692322923,-0.03903083506581101,0.01589168845903232,0.15528292408184002,0.054135639988448565,0.05191198387296803,0.05257707413693005,-0.04135463920624014,0.007405629738159913
TNFSF4,-0.013329010055106139,-0.022090100288562394,0.053590279463834004,-0.04714453551492465,0.07819910909655113,0.014546069151453404,-0.012303786095226428,-0.047658603505638435,0.09176006833215901
RBP4,0.023191980113589212,0.008739729399631016,,0.09222684054368023,0.048360592603174705,-0.03924058002496368,0.10733471117293372,0.0712863625254834,0.01954230415949699
DKK3,-0.0008828090830632432,0.008783205080826185,-0.06537244073392294,-0.018397525309793824,0.019670167650597606,0.04620357314926675,0.09505474500897501,-0.06765383212777387,-0.05276711843032789
COL11A1,0.005161066089008456,-0.009763313450431221,,0.016996475645349007,0.08236430975553774,0.08184592326238752,0.09746631886330437,-0.015949223202362427,0.07745285714011604
COL5A1,0.04983087692782912,-0.012824909428209966,-0.04679738878608628,0.022090190181317727,0.01839810037145421,-0.04857631001419448,0.033495457833598856,-0.0796454761856879,0.03561758256442944
KISS1,,,,,-0.022474282867188746,-0.019095057909988385,1.565994371612791e-05,,
MEGF10,-0.008374463328911206,-0.010569737047065972,-0.046660799646053845,0.008567615146788376,-0.02412884290663066,0.08142225339273254,-0.06120759593018544,0.07022610283857295,0.012200088923808364
CEACAM1,,0.05384204918434619,-0.016338735863224,-0.030919777511410115,-0.019033959572707006,-0.018648621548411855,-0.005030601122486222,0.04284209276100396,
EFEMP2,0.04545392095275328,-0.03502745157647131,0.02307526284932401,0.03547077423798792,0.03030013356783957,-0.012492739647658221,0.026124074538650205,-0.08221274208425017,-0.014284687037739644
IGF1,0.02727946956171207,-0.03351305947130072,0.18672280640411473,0.1578683774729509,-0.001297596741458445,0.029471475546648557,-0.014067378451921887,-0.05838567602975149,0.02688752215680925
COL6A3,0.04995080118066646,-0.0020534843828956648,-0.03635605457274067,0.05653105794722616,-0.046178456420333844,-0.017355080865338213,-0.045744593469486304,-0.11892726355726793,0.01374529412243279
RLN2,-0.015658463082422622,0.007700378150442739,,,-0.014675323482019326,,-0.02312167428061237,-0.022356061289050138,0.06191912339180991
WIF1,0.017435194683078335,0.01354773454893139,,,,,-0.02577416502096698,,0.022712997816024705
IL13,,-0.013742987454564341,,,,,,,
PLAU,-0.01335153558086647,0.007566894697207734,-0.010968078082035652,-0.01706301550237418,0.05314242963052548,0.06240069472299483,0.06347245896391142,-0.002072075953814247,0.05040471120405472
CXCL12,0.03927634203297099,0.03730043877466491,0.021192013623876058,-0.03513089406770824,0.013311755240890129,0.028048057447744534,0.005022608518961729,-0.0703238193446233,-0.06558344038919421
MMP9,0.08849433799847971,0.01650357167657332,-0.021581761178332205,0.12596824442946614,-0.0045086500681694825,0.0003800470101990707,0.010873731763296163,-0.043138202095415995,-0.09211168376856053
TNFSF14,,-0.02116519996268383,,0.12738710478318638,-0.020070771261500257,0.033466685054281,0.04289217591535159,0.03830988899886719,0.14260470498428643
HBEGF,0.020365525647479316,0.012530887909089135,0.12583630633264858,0.052730761667825456,0.0033432307854072167,0.0635873582425512,0.013065564509945123,0.01926149151085295,0.03985675272786492
