,UKF248,UKF260,ZH1019T1,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,,0.0716092187857315,
BMP1,-0.012609792571360887,0.04889062980860929,0.012994088142354457,-0.033595258345798316,0.030328432534992168,0.03901773833771275
NDP,0.06565383831546194,-0.03407333009040682,0.0520474551029687,0.03593295890797467,0.034479432462568085,-0.0038190837883173953
TNFSF18,0.027807010067433444,,0.09770918602124296,,-0.03102972036477948,-0.02763097907292411
RTN4,-0.03112135540200084,-0.020746344036234272,-0.06870444397807156,0.004919106843844829,-0.011491148858321023,0.016433191360195037
HEBP1,0.006453694359451665,0.026533745351008973,-0.016122204358161252,-0.024290036137987674,0.04563895191143786,-0.06893810754191174
WNT7B,-0.020525894071169008,-0.003276576885584085,,0.008812077221027451,-0.028282779582118344,0.049737937189446906
PTMA,-0.0010293537760119307,-0.018059009840775367,-0.05368021922913713,-0.029586613936938566,0.009651740198659737,0.051876337010309616
FASLG,,,,,-0.015954308372247934,
CEACAM1,-0.021128993455788146,-0.01697434784507453,-0.036443065305430254,0.016929928459017543,-0.022198076838608454,
PDAP1,-0.03511907670955978,0.03639113262758005,-0.05061380412420804,-0.0076599965391305255,0.009871897627710145,0.0437297901374445
QDPR,0.009496578251414513,-0.030616945947684625,0.030454148187993066,-0.03273748563407067,0.020960631648781498,-0.018260827471758022
POMC,0.006249191597212978,-0.034156401824559944,-0.020146988704660668,0.05209714586777535,0.007289522070923573,0.05727040572908711
CCL18,-0.026366987480431897,,,0.05358960194391092,,
CCL17,,,,-0.01579757538202127,-0.01446078855760622,
VEGFD,-0.026366995853185374,-0.016240094961849902,0.05591613283541856,,,
TNFSF13,0.01416765786402184,,,-0.030313174325872664,0.08222402922945068,-0.03005856395715726
WNT5A,-0.03781295301294951,-0.03482521022503612,0.017441556818273182,0.04957092089674107,-0.028989186527587096,0.03736836107181609
CXCL8,-0.024505809720020106,0.03278120670529589,0.01758926436231368,-0.08556084072995404,-0.011190528805962255,-0.011056553735141458
GRN,0.044007868748684065,-0.040983125858946985,-0.06638105252056554,0.0968776667363042,-0.007659949843125421,-0.06982855259589218
MIA,0.05389470565792092,0.05223098036843472,0.006851174237219951,-0.08452560004705832,0.10689277227574077,0.05303991516907562
COL4A4,-0.009665860903766183,0.0003395962093075508,-0.038793574335166184,-0.018649524843503712,-0.0424667900531249,0.011976070199867943
TAC1,-0.012610675809456566,-0.04132975224862195,,,-0.01901017699384464,-0.02918729477104817
RARRES2,-0.00909149977626966,0.047482817175602175,-0.02154497328039704,-0.0817256239724124,-0.0006685232328493718,-0.02404974524926785
FGF7,,-0.03109505877804167,0.014119666544012494,-0.05473002674005777,-0.017056712750421896,0.031223886431892917
HBEGF,-0.029531994752477374,0.04053651845955289,0.030064262329355863,-0.030504843584835448,-0.018476476737611113,-0.002509954806972031
CSF3,,-0.031476012837147266,,-0.0731786849433836,-0.015224979511220997,0.06972962267982678
PI3,-0.02773918250785955,0.0001216693479801458,,-0.028843054289734243,-0.03307882247429776,-0.05320625290593564
PCSK1N,0.04555793053598769,-0.03657500039781638,-0.008332236025531447,0.020772542730389705,0.010688716738607218,-0.007969806073944631
NTS,,0.03408385858090234,,0.03798002945541273,0.014708015655750329,
SFRP1,-0.0026046450748585773,0.06266337167635584,0.032441873825435376,-0.0012836380456641315,-0.02202220388333699,-0.021088884540610635
CXCL13,,-0.018360628322184134,,0.05447043636027067,,-0.028663993426278598
MICA,-0.02933148373931073,-0.0037883194718611735,0.009747862852503257,0.06993288865020757,0.05300100058356338,0.014230088218762994
TG,0.0002625582360115907,0.02778178418171145,0.012921094206108534,-0.020991028062500833,0.12871249640863072,0.03573902690196628
ADA,0.01578519461499428,-0.0009483070187963805,0.0037947583762741786,0.033037150454595196,0.055008451471969366,0.005943579499070831
LAMC3,0.001733219235941038,-0.031802629153961356,-0.009872862441262698,0.023496269984667636,0.01001094338262541,0.0338821651330507
CCL7,-0.016771631461732724,0.007306350775192326,,-0.005592591997766131,0.08599211881918611,0.0300590318651421
NGF,-0.02879605835590204,0.0022088095679110614,-0.040949655420508504,0.16965975834583447,-0.04776670142601301,-0.040048905082841764
TNFSF15,,-0.018023328947183326,-0.03879868989896864,0.014810328677209435,-0.03194055646142773,0.000969032635011564
HMGB1,0.05439454530821775,-0.05676086822518975,-0.10684653402059002,0.04326643345470237,-0.031824913838566636,-0.06616436449373489
ITGB3BP,-0.00166345720255971,0.0362742800989376,0.05073517969533516,0.026571623261238277,0.023180558576300123,-0.012993709368030777
AANAT,-0.024333085625396225,0.028644932530011435,,-0.02077134327423524,-0.016880317584807476,-0.021577395846992177
RELN,-0.010246719371429888,0.012728939935777409,-0.07401009861638677,,,0.025758889894247208
IL15,0.031045736107927446,0.022966747980216615,0.014721052480917448,0.02425539211528301,0.04505595389267122,-0.020351436110302462
UTS2,,,,-0.017688319002531313,,
BSG,0.06473230505217803,0.004192638399035644,-0.09323936447824394,-0.038954710472686505,0.06421978598432537,0.01671637557660853
ADAMTS3,-0.03858891188898384,0.04646201634257711,,0.02073672349267771,0.034949681264643186,0.05681959016614196
CD34,-0.018406100587230544,0.01809061669134672,-0.08029129424217507,0.000985944452613026,0.028230543933037817,-0.04153613767581318
PLAT,0.02218053776189362,-0.02833449824288904,0.022090603458642662,-0.009096625166075756,0.04430615274020967,-0.029129363502444036
NTF3,,,,0.03576521229507034,,
LTA,,,,,-0.02271836354423642,
CKLF,0.06647810609090533,0.026493064137732277,0.025691230836083517,0.04888600940405631,0.0872110382599818,4.642317287234287e-06
CD24,0.08326896162847279,-0.055038399434914176,0.03778397195704709,-0.03034127493176939,-0.02373429645897179,-0.005027740393501804
HSP90AA1,-0.019845656796098354,-0.035790266328440214,0.009536393455805838,-0.03580216886210342,-0.020058724653171406,0.010102459016377505
BMP4,0.04080287077043527,-0.006103628912788492,0.0650573418807331,-0.013755210527874347,0.03784179657919496,-0.059838924975894804
SCGB3A1,-0.016771629784591985,0.020068031511473523,0.1603652591758086,0.052818758197006405,0.005312212753096055,0.06568836125151235
IGFBP4,-0.00675056820699853,0.00837110976309726,-0.053313572271606206,0.09317111222798892,0.025405420293905568,-0.0008704289988678485
RSPO4,,0.04233274594286174,-0.04860623418472344,,0.03861701961870993,-0.008945753350406527
LEFTY2,-0.020306788159371644,-0.023739940083172335,,-0.020099027400622946,-0.016858873458169357,-0.04699955375577086
PF4,-0.017397873661133018,,,,-0.004269091771923241,-0.021313755107790412
ANGPTL2,0.024158342115328565,-0.027976809193476677,-0.01468712344698824,0.06099952647028936,0.04704317783550943,0.023710409170218355
LRIG2,0.02760621015828238,-0.01847353589103276,0.017931329214079594,-0.020140212871609647,0.026800742491989576,-0.015770675262803104
