,UKF243,UKF248,UKF251,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.014824751169704782,,-0.01754461506767216,
BMP1,0.0071638922867858544,0.03574811686301055,0.004918558835024722,0.0530666299225089,-0.04647771255954257,0.07300598522186579,0.02463374562643948,0.04481688347752407,0.02043244093122958,0.0295886198868687,-0.044292218826061776,-0.0017897013947605277,0.03856634921312307
NDP,-0.08401263049762635,-0.003260604545629035,0.0003678550562186891,0.003413461672760506,-0.04437288355658176,0.15788131735309596,0.11667918665405579,0.00904014260677445,-0.0043474520929978186,0.09714683015046503,-0.029642186826029895,0.07248774193744358,0.054276627075747465
TNFSF18,-0.02181207544120591,-0.0034745494567605052,0.030378380152500745,0.03083791822897981,,0.13430577922437673,,,,0.08457198663730513,,-0.02959462896395925,-0.027074047299750614
RTN4,0.0769890739609377,0.04975835178404087,-0.01743934128009915,-0.07167429660596356,-0.023493897751674802,0.009987071200297855,0.006639514191249711,-0.0222517851625615,0.024234543419482547,-0.0682000480785249,0.052204578547263215,-0.04367055475752412,-0.10290144856716939
HEBP1,-0.027731161406946276,0.0036603134875504324,-0.028905411637360535,0.034778193473335085,0.00507172838923594,0.031897393856289674,0.0022517050551095295,0.060040032451873504,0.08184176158733938,-0.015471962829157221,0.06401921782758588,0.04510479634086906,0.036468826588470886
WNT7B,0.1370317685627247,0.0019580345216067743,-0.015709237954485446,0.013770678695215963,-0.020100499424204287,0.03783133667428273,-0.09173967285029475,0.02214043006484498,0.007393704005617321,-0.03196949910901907,-0.021792634549372168,-0.015090921438326443,0.0325550296622494
PTMA,-0.007306662504381825,-0.008889196395476008,0.039638038799423965,-0.00568369680799782,0.016069705897017738,0.018138620080653287,0.002123825130160024,-0.018958849481023145,-0.03989608705758683,-0.09203755765289036,-0.0156418777661793,-0.10280455656301747,-0.05839454176257663
FASLG,,,,,,,,,,,,-0.015216438662760144,
CEACAM1,,-0.022315902860887468,-0.012055895283027524,-0.01977436935461173,,,-0.06023694184949137,-0.028267211689334232,-0.018272021637213254,0.07427249831082315,-0.014464088495967144,-0.021171439511190174,
PDAP1,0.003131040040943851,-0.0059831353367269646,-0.03980534299660062,0.0025715988756860983,0.020959658532111018,0.05253624252031922,0.07085519797715942,0.059731825172584394,-0.1426159120341181,-0.0239576609708269,0.002527156682388096,0.046660531941236344,0.003975805423146397
QDPR,-0.01179649785860038,-0.005951032716723114,-0.017478226436303812,-0.03929009505732159,-0.04327705268823046,0.05409854439799447,0.05531576894845227,0.0072534888375086716,0.014113225613031515,-0.07758864908162719,0.03279285728713502,0.05044372758885296,-0.03824098284482256
POMC,0.046430569421168216,-0.04623043064444659,-0.021421402489090368,0.026484821850130784,0.044535019782683066,0.06890354659531232,-0.001924386244131505,0.0730535386771265,-0.00395880580046465,0.061758147987024864,-0.023661348695282487,0.06436372565517517,0.08115219783350552
CCL18,-0.029251786647690105,-0.015133741785310214,,,0.017649858022894056,,0.03599366225789233,-0.016562910282252315,-0.013425719363321249,,-0.042478680830888495,,
CCL17,,,,0.01229291734441187,,,,0.1384489505716369,0.03544844177941077,-0.019545578065221288,,0.016701823490384904,
VEGFD,-0.03295821370068582,0.02161050472514706,-0.01726765122630833,0.026387395186340944,-0.015266416459021315,,0.01519269789766615,,-0.018272021637213254,-0.020614552129453016,,,
TNFSF13,,-0.02101510545636542,,,,,,0.006283483962344162,-0.014142592322685823,0.052000090539980226,-0.01624220196109,-0.022472900678301422,0.03706038101887256
WNT5A,0.03887325607743945,0.005721878257573526,-0.05350542456106344,-0.040033769294927996,-0.05357999101798557,0.11988776552107396,0.002953084840345762,-0.031218574997473304,-0.043181126809350386,0.13741569449409596,0.02768926456416681,-0.013994553111325978,0.02997134790521487
CXCL8,0.008705665222524687,-0.04373936678013904,0.06402182176874105,0.03226133590230861,0.06927474394801203,,-0.09619150466179945,-0.05593019580625985,0.0009696664986155977,-0.027750460217257043,-0.04456890952578679,-0.05788410093897853,-0.022514958828631918
GRN,0.013926502676435077,0.11936688451982556,0.035676778646618244,-0.021170256886762065,0.0017924055889613402,0.12547788810881091,-0.1422855253462131,0.027063851336259007,-0.07553138307384535,0.09159869478841938,0.03576294706012742,-0.009165444179906458,0.0400024602050511
MIA,0.011732069359375152,0.03926723659475278,-0.015356641425073547,0.0700843340547616,-0.0021555264043410663,0.10275677362994805,0.010489979557279403,0.048971935634829454,0.024451889546137553,0.03878305197262946,-0.023926228513851736,0.07165052149848523,0.09253023448160204
COL4A4,-0.03317819398895907,-0.0334453878074853,0.0005637839959494524,-0.016604647937377415,,,,-0.012938569763286995,-0.02925636363461397,-0.012133897379306261,0.009150430276592778,-0.04050274640370637,0.11089323001104992
TAC1,0.0780144400764847,-0.01564597074109283,-0.03527439499374599,-0.00441072039917661,,,,,,,0.00539980350341311,-0.018130976626866697,-0.052748692108722565
RARRES2,-0.051922434917768795,-0.013789671310611729,-0.00046318933818898867,-0.05668677942992234,0.07921698910551547,0.026068458207717873,-0.016397604387953183,-0.004755810604965774,-0.001932689888778329,-0.06296205129873556,-0.023135899505788836,0.05199191449484503,-0.08279846317765881
FGF7,-0.044834073173552515,,0.04825552730670413,-0.024682246830585647,0.0016327025544318546,0.04231569141166865,0.08166157024891915,0.03900707597046208,0.0074067896368564855,-0.02303443768234832,-0.025323321597080138,0.06709642252412132,0.07959013975288426
EFNA2,,,,,,,,,-0.01736633374625698,,,,
HBEGF,0.04944390158512972,0.010138863533703035,0.03607369156274674,0.06897931429118505,0.018733255949513628,0.09860699605127703,0.07899291143856678,0.048448688876679455,0.04431978753078951,0.018242193058675808,0.05166504113465081,-0.06196078291841113,0.07799136406682974
CSF3,0.15318275422620595,,,,0.09385007509059723,,,0.0019706319908004083,-0.0097685260014378,,0.014429984754491301,-0.014520840482014092,0.0679046367236123
PI3,-0.039304487227329876,-0.029297415590625066,,,,,-0.0937816128577546,-0.06682667901038432,-0.027485099561964915,-0.016607156378169004,-0.03208834585187741,-0.03154896229109075,-0.03609272089117866
PCSK1N,0.02278257342738492,0.03894624406983586,-0.04159107523041444,-0.019418893594144754,-0.01058300823019568,0.05757692669251404,-0.03211092256393245,-0.011748482931928296,0.050242450515063694,0.06440001124408995,0.07421456321193154,0.06397042961925321,-0.06794645473085521
NTS,,,,-0.03841036506495646,,,,0.001376331389726109,0.09381695559391248,,0.06761848360614522,-0.021503384674375826,
SFRP1,-0.028821714533268292,0.014588179984945396,-0.04444147580749148,0.03352657976737853,0.007149930479413232,0.07968731769902587,0.027010586992600373,0.11116980504358823,-0.023520840335046637,-0.07319679692646018,-0.0010973352358621727,-0.02100370049211858,-0.0385193605887753
CXCL13,,,0.026848617054678937,,0.01257885518857215,,,0.027748252004715333,0.004644290937521861,,0.0013086013805616178,,0.09752780756223119
MICA,-0.02613309819004215,0.08163055855155774,-0.015912271525660972,0.03717370240821003,0.053843492678906084,0.13726492540856147,-0.05716532390806415,0.04950513957555507,-0.04186916808591682,0.007798887554288525,-0.013894391474213239,0.039786282578065234,0.07367395486836405
TG,-0.02644829530065024,-0.025867335850872846,-0.016393588511232893,0.003041047439970025,-0.03258515128656368,0.10183132933539965,0.06274114316245655,-0.026647042573859442,0.005760323558810172,,0.1366160327824209,0.04670437411877001,0.03297641767682956
ADA,0.08470560961282085,0.03141260974576769,-0.03386697117769739,0.006197430896792677,0.029758644745878127,0.03894082577869668,0.05109381974746053,0.06489830756712567,0.011714578907988988,0.026773480607167655,0.07732438606893759,-0.014193978355761354,0.02990492393301504
LAMC3,-0.02843523903582902,0.05413051797990834,-0.01753609565484868,-0.02630045200045028,-0.00673924866779511,0.02298864538082286,0.03238774720769243,0.0071564626670467925,0.033734462059541344,0.02690251468283257,0.049970659053879186,-0.01698137634180959,0.05355533971632555
CCL7,,-0.01771376849076082,,,,,,0.00046100370922744015,,,,-0.015216433251976183,-0.06789929486430991
NGF,-0.019114885563596046,-0.019250169367025137,,,0.05206095110574914,,,0.017362256751691243,0.0066987541190907645,,-0.0034720212310965495,-0.006065522987657129,0.008177913428448208
TNFSF15,0.0008765987676879706,,,,0.08985468110016502,0.07486173556443163,,0.031977046085542395,,,-0.012876853162384027,0.027457943709919413,0.023399072959526538
HMGB1,0.03459790285826945,0.010470077122627678,0.03430871765641152,-0.036885015276289276,0.055811627422966185,-0.06315515077890013,0.0043104592034556655,0.041321164299028754,-0.09444611241911846,-0.08747565649121576,0.003081988877760396,-0.03359288844777775,0.010071410046008472
ITGB3BP,-0.016615607199440514,-0.05049016351251248,0.04673856990640116,-0.005666062128722519,0.01341979000821399,0.08014333713090667,-0.013268487000949594,0.037469843099822514,0.016190037408038857,-0.004068602652501553,0.004623916682682622,0.04740436517369235,-0.027541798219346818
AANAT,-0.00026623064865912154,-0.02569998311837444,,-0.009954469895252597,,,0.06631327572552562,-0.02636816390777828,-0.023370381626783593,-0.02417725300391801,,0.06202453327840643,0.05256535950539056
RELN,0.0358890957184204,-0.001324006925548318,0.015510041434745351,-0.006979526130222388,,,,,,-0.030235145667513105,-0.015553843125605834,,-0.03860849484097234
IL15,-0.033614511703185454,-0.004373153223394306,-0.020885180956027066,0.0075910057535357196,0.02498146018343078,0.05777209468007016,0.003728809220030902,-0.010778633727705692,-0.04237028451915148,0.004813894040884108,-0.03141060798380484,0.05371012291351494,0.09750091495990731
UTS2,,,,,,0.05797000201714328,0.018511487130286434,-0.022454421389797526,,,,,
BSG,-0.07464403149293475,-0.041990625517334415,0.03259687512160569,0.06193479335442963,-0.018020571134703574,0.17718647100276333,-0.03884647176852938,0.04020975885458286,0.017670572466931177,0.07943414999106208,-0.009351551109620762,-0.01256974514219523,0.12676564116646952
