,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.0574926453386092,,,,,,,,,,,0.0007839542077349905,,,-0.024860494382861566,,
BMP1,-0.03492404179073675,-0.015479495297243752,-0.030882858828171007,-0.04981580699838643,0.022784622242202335,0.024315011319659702,-0.0051470336544632,-0.007671430634850179,0.11154312356989839,0.05275853483097716,0.027037885573900758,-0.002043963819055495,0.16333092181845416,0.10813172364353489,-0.01589912773931519,0.02302115155894108,0.08515773115731569,-0.002369102624716483,-0.060231087483524244,-0.0671777209427028,-0.13928928813506916,0.12867777617277498,-0.020257250297039064,-0.022081561455322776,0.03366209401045953
NDP,0.010394215326260448,0.0778046230190689,0.021637865744245584,0.016912014368488944,0.06700020175296342,0.051455830403336934,0.08226109918707865,-0.03886972404505753,-0.035683620834048496,0.05360142254728163,0.010993308289285655,0.061590175391692335,0.08300897762115816,0.05862256235923419,0.01502470497339603,-0.004799827533509746,0.0008108540414279956,0.032104870866424606,0.13116277142524693,-0.012737670305969867,0.09425333506558428,0.022340829755955877,0.06330295928223566,-0.008389726182559412,0.14851486288818186
TNFSF18,-0.005638697278990119,-0.05634732650078592,0.042298151638977495,0.08736562631260023,,,,0.041501102603083186,0.03326554529064179,0.01369439641685814,,,,,-0.04623956621144349,0.05418562445729157,,,,-0.023151407578139774,,0.06339972284172281,0.020361703416785944,0.0035528605767680735,
IL36G,,,,,,,,,,,,,,-0.05058134189129644,,,,,,,,,,,
RTN4,0.03487568352085508,0.09245975880045709,0.04974367501153398,-0.01423229363444953,0.02801121698011331,-0.02103989790188376,0.008035925264213987,-0.07767192446337252,-0.20517145152998198,-0.03466443696076089,-0.06791489356807139,-0.0396628244242361,-0.051719284703466276,-0.07902177032890269,0.06686880720823733,-0.030629265362373703,0.05704309257663049,-0.04377824833737368,-0.07985705972070196,0.08724172478618203,0.1559029187378784,-0.09729047291191471,-0.08906859248461646,0.023372626444029303,0.13708610450326353
HEBP1,0.05741434216274586,0.012298602157555993,0.012379983861448533,0.04173543462011105,-0.025339634678609894,0.011906422287404864,0.020718240537210632,0.01368703039681013,0.07280922903042,0.038555480967294546,-0.0008720270126941827,0.0868620992740783,0.07584662951380858,-0.004164774662156227,-0.13850479037670607,-0.048813484361267805,0.0770954625092029,0.005390302728958638,0.09334055029542482,0.048142956538178884,0.0629242593306585,0.07768245619128235,0.07299778153105649,-0.0438394677343861,0.03859478284964778
WNT7B,-0.041370379228779855,0.0754531411401517,0.04131161014268634,0.006368824254165075,-0.01388356365141368,-0.013274613198790187,0.014293108959358519,-0.032007463684578755,-0.10195418931391893,-0.018641398870764114,-0.05763800335649889,,0.014958327250809852,0.003694843871028104,-0.005240346813358702,,-0.019726330013991544,0.12068598681044118,0.07161719381308368,0.004748308718975735,0.017648083637543388,0.07822271700847268,0.00751976291583731,0.08856850712239267,0.04542492544499204
PTMA,0.01915719733663269,0.03571265984301179,-0.004680215311482347,0.0051559692046908075,0.05331064907979963,-0.038439505576124446,-0.06340469133311755,0.09417672508938546,-0.03373904842335238,-0.008386274861671638,0.044441994039246986,0.12150212598692345,0.17154280947188547,0.12083928893630701,0.019742377847136793,-0.1299300962807263,-0.019121447952019564,-0.010725830026539662,0.02420309631819082,0.07487129995391083,-0.03307196608696186,0.028320781363896527,-0.046018751132945804,-0.02355079484044539,0.18368062553082448
FASLG,0.048131101601077815,,,,,,,,,,,,,,,,,,,,,,-0.021561498296975627,,
