,UKF260,UKF304,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.02254613578217418,
BMP1,0.016476284329078175,0.05693918912247045,0.0015150323708012648,0.07468294253981336,0.0038829431252419507,-0.04778848003317149,-0.0157384328195676,0.019996890720380297
NDP,-0.03233503697601965,-0.005272800685131132,-0.031536753367335045,0.020948574673769406,-0.015830166328449965,0.00788437853833275,0.1280338163267184,-0.03601944016778536
TNFSF18,,,-0.04723474423985288,,,,-0.03803130022920593,-0.028558115533022333
RTN4,0.0025673684458050847,-0.07916492788504653,0.04648812522258641,0.013980955742150816,-0.017777375620724418,0.06213507804780292,-0.02125246132679663,0.037630667959702276
HEBP1,0.025323801336536642,0.09678043920960983,0.04361509810392405,0.03922573236311358,0.029122166588420637,0.03240849907935645,0.04397817791615033,0.04882260486686509
WNT7B,-0.03730323800524165,,,-0.03139831269706411,-0.029475166133800197,-0.009094105128465205,-0.0388402920376729,-0.00773482121067044
PTMA,-0.016015033475744306,0.09121771212516773,0.04632314172103196,0.09295277079530778,-0.04003795569260562,0.03779238260111667,-0.1030277968020155,0.013813342956098066
FASLG,,,,,,,-0.0195542558721543,
CEACAM1,0.0514058051297102,,-0.033214041615579996,0.04931475091573406,-0.01124592159699913,-0.02209136965851118,-0.02720687504868206,
PDAP1,0.051328543511751465,0.011207171518026183,-0.07375125941093115,-0.017093452094181078,0.017399783331255338,0.018353506948681167,-0.012695237262456673,-0.03841493514561446
QDPR,-0.036498340275447225,0.07351772033848411,0.027974576461316944,-0.03629695366977864,0.027732165028195564,0.07269488343119954,0.01588912929171413,-0.0013430956255774537
POMC,0.02547662628104615,0.02674273208633172,-0.054615337810494415,0.06573358264922625,-0.021636935042232196,0.022593388140435173,0.02311167023448549,-0.05095191351074507
CCL18,,0.0009044304212761255,,0.05070904718914378,0.02505827021073663,-0.013150143255571975,,
CCL17,,,,,-0.019104827484128537,-0.03189027898574197,-0.01772373662154001,
VEGFD,-0.01967332450096192,-0.018564100905703616,0.08790962141089864,,,0.015030145394780856,,
TNFSF13,,,,,-0.0001879841588044523,0.06349625320284348,0.03169073548945128,0.10829913968082151
WNT5A,-0.07546373362516845,0.005674068965000551,-0.0064815328334580195,0.003959601938433475,0.007129891076144554,0.03715481700871509,0.03651718422176245,0.09207795239132645
CXCL8,0.04475633227742448,-0.04230137868068067,0.05269780479077917,-0.014455008621100105,-0.022171619549283973,-0.09815780974306376,0.028823596287251157,0.055175210105735346
GRN,0.06908708979077448,0.07619001080493072,-0.017416708696179697,0.048193100985353926,0.06201289686558525,0.03973135510148417,0.0009619391540568033,0.02387802598455824
