,UKF248,UKF251,UKF259,UKF260,UKF296,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.055064551076251154,
BMP1,0.10641990512982205,0.0441864081192459,0.05921947668098938,0.030698481974960713,-0.03834661541450575,0.020919628112394183,-0.059094655874374145,0.03817434345420746,0.08621625075943931,0.0036005854249882363
NDP,0.07688674435401223,-0.006410403765971852,0.048950880898742076,-0.03237023044232467,-0.013287604624341252,-0.021319212945975895,-0.017215293495434398,0.024831092021309387,0.04887282486163834,0.007059355176605704
TNFSF18,0.036904856599745364,0.01636124142448913,,,,-0.04957571829363109,,,0.057467723568632764,0.0830056410550069
RTN4,0.053713543705228316,-0.025988910991821285,-0.06231816209281274,-0.058160389283434574,0.0010919186477631546,0.04317004738273272,-0.059795848006876685,-0.01957457175784159,-0.04051054370672673,-0.05405383253499417
HEBP1,0.08015838803655942,0.0026598510609266088,-0.010502231702860607,0.013160567965761491,-0.008935715590508504,0.09873077875620537,-0.010525560315628934,-0.029297065510524554,0.053103911773152455,-0.0579106720554203
WNT7B,-0.0534701445527721,0.004763007881626231,0.022073879834477828,-0.021007720900385187,-0.011246854524369656,,-0.0361309154339275,-0.028576764732217225,0.00314926730851729,-0.04032014755454985
PTMA,0.014858065430491497,-0.006287504823512883,-0.04266355203413653,0.005525392360235832,-0.03411569543936318,0.08543916919320411,-0.06486267235958605,0.061761689141777716,-0.0033663720651627735,0.03369321204465414
FASLG,,,,,,,,,-0.02598702447852937,
CEACAM1,-0.03156136897414878,-0.017880851484440307,-0.0284614832472964,-0.017889045330894138,,-0.03486014367232789,-0.01067419436946564,0.024604429561789827,0.05840389669207938,
PDAP1,-0.010277001388095699,0.023722445124699457,-0.028595224612616127,-0.03119391936615374,-0.006688513404837764,-0.09408653723545589,0.10338919133243313,0.012261792761076697,-0.01806820256217972,-0.01347494464485316
QDPR,-0.07309915590887262,-0.038047491991841924,0.010711388300901951,0.01834957257054009,0.02627195779745934,-0.02812744836184069,-0.04035147714555825,-0.03803232977737497,0.029007501030795177,0.03628872076082869
POMC,0.04732408304914972,-0.001049226395892836,-0.015727949659435997,0.03550477333444748,-0.03024957614430006,0.11597652517301989,0.08277331367907656,-0.02551390901577391,0.07745616928708272,0.022875050451113103
CCL18,-0.03938560643449406,,,,,,-0.022974106383832495,0.007263978267492583,,
CCL17,,,0.0014563388074752073,,-0.013920453093406804,,,-0.027454173436640323,-0.02355431883710053,
VEGFD,-0.012636088197629562,0.049612389091151655,-0.018379064991107433,0.06882077225784297,0.10055728838715308,0.08338414128746868,,0.06658699607960496,,
