,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF304,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,0.010766778989905532,,,,,,,,-0.019211063869773948
BMP1,-0.002810333598821191,0.08389622748714172,-0.003874573268960229,0.02652073295891096,0.04559104971464093,0.1963645741049574,0.005910708521609702,0.05654229374250832,-0.013926816126319925,-0.037004906964739015,0.03966074642855117,-0.011626456462502387,0.049177973342141516,-0.011078954071453474
NDP,0.04309815120099784,0.043574894339786154,0.02137324948256902,0.03267697053810928,-0.027846849926629214,-0.005606272617202004,0.03472261996640638,0.023562270452649362,0.09409886810837974,-0.0842697559583882,0.06408461527900236,0.046677453434946475,-0.09305806862157479,0.04441039172364944
TNFSF18,0.0705209020901411,-0.03346924832244764,-0.021101716434409237,,,0.05520769807488017,-0.010336036015386987,,-0.030975995142596177,,,,,-0.03240563016264102
RTN4,-0.02683381815965092,0.04013342674048957,-0.052457415075809116,-0.004187630336772316,0.06004524877993744,-0.15092746336518612,-0.042457385004037555,-0.0865494101571114,0.00985756934901778,-0.00023775621891371912,0.08210366589743306,0.02951306369804199,0.01660701061202242,-0.012586928475159284
HEBP1,-0.024550127395067945,0.015305460728227301,0.08218991413198085,-0.03808406509464735,0.045144981580137744,0.036471028527895764,0.06322421806524126,0.13491070099295158,0.0676368648518301,0.08772006959924225,0.0027965291204133454,0.04893075069414308,0.05830125522239715,0.034550175677685646
WNT7B,0.10860166557748631,-0.006468263638484025,-0.019571379297212664,-0.02886730269125956,-0.008830124879203044,-0.06395686525233578,-0.029627285080660298,,0.01265710321431899,0.027270115016966346,-0.011306771757580901,0.022206982088009596,-0.025860407247953292,-0.0410043964492346
PTMA,-0.07249504538274591,-0.009938919099420728,0.040944629596957965,0.010460228423934993,-0.03289668998222782,-0.1445872043943502,0.026944744369285786,0.09363335147509419,0.03782704474205383,-0.12443506168278547,-0.018226394819651368,-0.11953630705264148,0.02125080676418786,-0.06953697881488026
FASLG,-0.021188871762906618,,,,,,,,,,,,,0.008061159382874472
CEACAM1,0.0016217948499736361,-0.02130225930915787,-0.015019856471410688,0.08119103361613082,-0.02208352246920957,0.07028039994343022,0.0189149790621084,,,0.06174860710673144,0.021327634603145268,0.04420905929340753,-0.017163928396483053,-0.023182376763224995
PDAP1,0.042326669294956584,-0.0010968684910679656,-0.023461358353780798,-0.0019751354003246695,0.0017315731463702548,0.12276750150141198,-0.006091787718697469,-0.04732034407346451,0.018083499258946326,0.00035223650963879906,-0.04207183991901115,-0.004441546223982926,0.011697460758377834,-0.01911719119956729
QDPR,-0.03351595896140446,-0.010286942002475881,0.005625471682685158,0.008995154717685297,-0.018016877179801993,-0.1503115756849961,-0.031073464229095935,0.09492187889584047,0.03908307323324137,-0.12421096559641842,-0.03300201619716023,0.023947687387218315,-0.025216686039025254,0.0340181036139593
POMC,0.05319191711948358,0.021390864871255594,0.04792837532167766,-0.0025902988880385194,0.04440696864491541,0.04447141975653248,0.07959077711615914,0.069914735031307,0.07911365525534299,0.028892082240185114,0.04856924166830378,0.06975906354327081,0.025347042372454262,-0.035198844661650644
CCL18,,-0.02658320689458171,,,,,,0.01260035488936761,,-0.04611565319771131,0.003099021353701334,0.02342464151781926,-0.03847250936412567,
CCL17,,,,0.03982460841488843,,,0.008732404706162775,,,,-0.019380256087271716,0.04065903955907982,,0.14871291586357135
VEGFD,,0.013176048761978186,-0.0215129309710128,-0.02152515364207775,0.013298691447571896,-0.029695071862657452,-0.013734322663189929,0.020742189896762932,,-0.0012527578208632846,,-0.028492821588758224,,
TNFSF13,,0.048730672748741516,,-0.013326838021673237,,,,,,,0.08229222287042162,0.020567702186880577,-0.01927394121925446,0.009358826250899387
WNT5A,0.04076358300666774,0.08168481462067166,-0.016070478693340915,0.0066490899908145055,-0.02089457071677128,0.11256729563784072,0.03631955819581073,0.029483197044489845,0.09698009774291962,0.0520310182921596,0.0071215862523876395,0.06142353793760739,0.04507372863501802,0.011637648084759485
CXCL8,,0.03872832927615206,-0.02014343344917209,-0.004534595599733414,0.020223562666318536,0.06500511069599389,-0.0014499183391281304,0.03448457895479272,,0.2028225643505082,-0.025078487251364683,-0.11785078630286126,0.008733491644921489,0.022576081832906224
GRN,0.06225204929209837,0.059924270861344935,0.04281554891056701,0.034685954053117904,0.013695397362810826,0.10118216533835428,0.0184669935066172,0.07704775321553117,-0.041760218213179136,0.03698455950467629,0.03855116543415077,0.034152317338381394,0.016659492723772613,0.05795805607188372
MIA,0.022255360660860958,0.02733284305138972,-0.019132096345614705,0.0015841785245378074,0.10987885891056086,0.02354021313998202,-0.025337527872791622,,0.09761733838794913,0.024437825209569528,0.018252694967473525,0.03960678848271552,0.033196651455517374,0.053636181789490214
COL4A4,-0.02453929535171763,-0.009816918387553301,-0.03217448762472943,0.03541130705437917,-0.0027202486460681944,0.02724654027614106,-0.01345865427565257,,,,0.02486846738478778,0.02015105276714732,0.03215938401605657,0.026707064953749172
TAC1,-0.02118886023491333,0.04345828139775472,-0.022664790355656134,-0.0257414575875159,0.0008848216198089915,-0.10758693194451757,-0.03207731675918479,-0.060177210646427275,,,,,-0.029612666186633788,0.0018539055937660746
RARRES2,-0.07169303762023793,0.0062163331209033005,-0.030799216726972438,-0.026155212049497487,0.012045925652217284,0.13433647695038603,0.0019108461603627926,-0.005666048633156861,-0.02922486766943256,0.012173902450502986,-0.007877249864968223,-0.025143717825992534,-0.04896143996951117,0.04274121739822896
FGF7,0.0515477673944339,,0.003770188563258105,0.038437571759078255,-0.00355218542370584,0.024529727212539282,-0.021453614143739207,-0.047498745403190955,0.09279018734941656,-0.029091944431064578,0.01401800779595045,0.03049483944888091,0.034539765507939364,0.0687429061269194
EFNA2,,,,,,,,,,,,0.034717602056464764,,
HBEGF,-0.032904315886981464,0.04117261111417956,0.021029778586059596,0.028660543704170413,0.030250553698334185,0.06058865949445296,0.02736120816916051,0.037130978048107555,0.049101753517756516,-0.057415233087500385,0.005094701533975337,-0.008583653880809814,0.01775757218438503,-0.02861782353268814
CSF3,,,,-0.02302833329032581,0.02522986702319612,0.05778371685429364,,,,,-0.026678042094613292,0.007365281272428906,-0.024606835926078797,-0.015900080615435512
PI3,,-0.015438461962781777,,-0.03192997354126011,-0.007125433649407448,0.04560671751513227,,,,0.061053416804392656,0.04057930538861327,-0.06532733625238908,-0.027977525807991212,-0.03454559289340116
PCSK1N,0.004989741381233271,0.0005794144403843089,-0.04305913156441891,0.029486287675739204,0.019247264510247598,-0.06894668975698057,-0.000538632039688397,-0.07600608408393711,0.05785964159899704,0.07574487218284906,0.05380546788861882,0.02740123949683553,0.0072680073101326756,0.0680103285216224
NTS,,,,,0.04366024578864968,-0.030050902863010005,0.002148130705787678,0.17538699742345085,,,0.04186241722329273,-0.020695863358164746,0.06960470713523148,-0.006051615101831304
SFRP1,-0.016114804611390244,0.02908098015936358,0.0032164942364189563,0.05042875688397241,0.035853986501902115,-0.05628666671420152,-0.028548052956963152,0.13645619287268845,0.05648290559309027,-0.04883526641432449,0.03183507596961409,0.018643687602327912,0.025825935854165864,-0.022998705306404302
CXCL13,,,-0.03631930154964915,,0.007351174018336749,,,,,,-0.04353202868124997,-0.05035045885576194,0.019304184757963562,
MICA,0.034553833216669674,0.08436160690808425,-0.03846728755482126,-0.009340441918323337,0.05069031438516641,0.08674163111032353,0.022654164695731584,0.04412968882099789,0.03009458302344928,-0.11832413458492506,-0.013568676729324065,0.07392812869700065,0.07430883341870666,0.019388251398712024
TG,0.012684813630901421,0.0395706463262376,0.011036592137599497,0.10832159514981937,-0.023197396809374767,-0.01647995238634137,0.030019599508339885,,-0.039697184174153896,0.02031507405732057,-0.025751514998266927,0.01091376151903124,0.017576209564425554,-0.004604513850624097
ADA,0.06351324666024366,-0.014795487719499236,-0.00704351262111396,0.027417180304092813,0.029438195067382704,0.06955163423812483,0.028622876214116598,0.02908044624168866,0.05878655744605097,-0.00637702083370038,0.04840259682619173,0.029003708548953077,0.042529685555766625,0.09108405836982292
LAMC3,-0.02410385705365368,0.07706803826141685,-0.03631930168626325,-0.0023159186844931103,0.020288125600001383,0.1834353432557994,-0.020852905419108187,0.07025213426397685,0.02754623503189536,-0.042529006493485844,0.011120958377908318,0.03394649298427369,0.06329722579646262,0.029647388902629385
CCL7,,-0.016909165274864912,,-0.01315301279003853,-0.03166983781797567,,,,,,0.03067209340074121,,,-0.016661743215586684
