,UKF248,UKF251,UKF260,UKF275,UKF304,ZH8811Abulk,ZH8811Bbulk
BMP1,0.03922799824291864,0.09244377632347081,-0.056009608161813794,0.0069735364645956855,-0.025312979215587124,-0.009037267548434775,-0.0353000842224381
NDP,-0.02036809576971113,-0.003923938397031615,-0.012222130200960784,-0.022149254045060903,-0.0032236002317537977,0.04898751077424814,0.027040273455989555
TNFSF18,-0.00381893016424844,0.0036197411295829287,,-0.013749101259490354,,,
RTN4,-0.02335867465605369,0.004472667519007199,0.016378271230797284,-0.013420477870224282,-0.026658338055436374,-0.04411612011481067,-0.02501328405985554
HEBP1,-0.03749562102101409,-0.004280662433503685,-0.031964273276842044,-0.018753277942670232,0.0294244528189826,0.030138285706463343,0.024836771435363763
WNT7B,-0.006882203404141257,-0.01524898736276575,-0.04122904285470946,-0.039410518888612335,,0.0209852478064584,-0.0049633324435631974
PTMA,0.07694915173363301,-0.011020151572790167,-0.0378221093621681,-0.03505471198912848,-0.023108945366827425,-0.013705647256219256,-0.051307586469367145
CEACAM1,0.019916741966857436,0.04372311490259399,0.0734613603258765,-0.008403216457665647,,-0.0187637893835166,0.012261636822908522
PDAP1,0.03292089424937714,-0.015323460447449118,-0.02424700840401344,0.049519932523746125,-0.038791631270056914,0.016809101607573578,-0.0788603466168432
QDPR,-0.04462432460209027,0.03902529606209777,0.026917727043211388,0.01679432371920812,0.011838775220777536,-0.0637129403841204,0.05608312980103824
POMC,0.025719608771248095,-0.020793796414267717,0.03909557702589517,-0.01595336984819601,0.052097149204314956,0.05047611626161555,0.08860484583949085
CCL18,-0.006435399028074058,,,,0.008243862459812039,0.014704804608518876,0.04327094029984951
CCL17,,,,0.015068938407970614,,-0.013312000374670204,-0.0215774233257444
VEGFD,-0.02214569356541577,-0.01676174210980351,-0.015318414505203418,-0.018269537059042603,0.05378141764014762,,-0.014947339757683552
TNFSF13,0.06290276509496313,,,,,0.02491537890659703,-0.023453921446450934
WNT5A,-0.02966777504153666,-0.04711469107321545,0.0400258422984674,0.03086368676148699,0.03516915589149416,0.045279335991879,-0.02206775762744849
