,UKF248,UKF259,UKF275,UKF313,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.02470153728214328,
BMP1,0.04401730914681023,-0.0915039240209284,0.05599951222905428,0.11612856975428018,0.02276226562590195,0.24653436429628073,0.1669763752463517,0.06753978977318338,0.04342377606476395,0.013836643068898626
NDP,0.0023467028095410345,-0.0690112182601176,-0.020952535709011302,0.08324174294278679,0.05559970006002362,0.11733788012601477,0.10669993769049693,0.010790473654072623,0.01488255223429443,-0.07040221086961654
TNFSF18,0.025273523592140613,,0.02310570090433011,,-0.003361034368078049,,,,0.010285333823748232,0.07237731512340659
RTN4,0.017001381087136603,-0.08246361810284539,-0.03892946873593457,-0.11348043221801732,-0.011689409090329953,-0.11543995247395952,-0.039655535631713076,-0.08588969779521523,-0.023638531339893264,-0.189463020166221
HEBP1,0.00769451914059764,0.05121141065994124,-0.01800213397935336,-0.031908685194263736,-0.07933198983381425,0.05926114962307798,0.12213319840105578,-0.054403642039219074,0.022390159269194923,0.0553524711485865
WNT7B,-0.035233131171448474,0.038071803071480316,-0.016826952391616135,0.07880735949308385,,0.013456802982105477,0.08988439102988346,-0.02994487655091909,0.031107050701771628,0.059450149399678826
PTMA,0.05040331251662099,0.12058529405019128,-0.0032874069575046017,0.1609321065675271,0.0034278863872757924,-0.1921363558561085,-0.09021346215164673,0.0013084299697798377,-0.07044343527524312,0.21099996503965684
FASLG,,,,,,,,,-0.021423634857751648,
CEACAM1,-0.032925947158599186,-0.005979719249671748,-0.031011048944527,,-0.033214017687798573,-0.058028256854547426,-0.005805613076972986,-0.03418988710844375,-0.029807841345344106,
PDAP1,-0.002941099127075584,-0.02351371702816266,0.0019042947164258858,0.1280442469916726,-0.02011917200245175,0.011854530060504475,0.013031539843439247,-0.001012505466895417,-0.04643354983963513,-0.00189122778438968
QDPR,-0.10350606141157884,-0.06630540432731435,-0.06674070289176683,0.08499291304301945,-0.04980951087740091,-0.004683682746774136,-0.06328898976330567,-0.01679229951956814,0.05439356615193213,-0.2313738525506494
POMC,0.036712191163396544,0.025207928233571552,-0.007235742590009954,0.0586091839594958,0.07526038420279596,0.05460295406053644,0.12071718365298527,0.0925695068640315,0.038293957776417066,-0.028486386587678356
CCL18,-0.023210824971094793,,,0.13873744904007257,,0.07426834487364621,0.1523666857600028,0.0736685663238647,,
CCL17,,0.006507286911465842,-0.010515307677822223,,,0.181209365596019,0.09737603026092624,,0.06484440033161909,
VEGFD,-0.022554511568092607,0.04116404288070328,0.011835998136717615,0.05717365691750496,0.039195473582864945,,0.044344770168931624,,,
TNFSF13,0.014173391799425613,-0.022027386840077393,,,,0.009133294242299033,0.008898448715450981,0.06686949754247262,-0.0057117681495492505,-0.0667516677482826
WNT5A,0.05238333354374959,-0.03601507762132442,-0.0003743261752149088,0.07221568214991274,-0.06356683050867531,0.08220873605596857,0.06227042587063099,0.023580703819584554,0.035281988474517155,0.20724953332686982
CXCL8,0.050181140989673044,0.2442280554582302,0.13932485449242116,0.07321291413873522,0.026768342144604215,0.18080628543175245,0.17240990642415555,0.09738334936476253,0.04418458961550524,0.2810840991292233
GRN,0.1339060150400853,-0.08704180069876376,-0.08681156129549766,-0.012263718756877704,-0.07559242277372415,0.10474373637226969,0.13926851021011163,0.07348719372079163,0.042952900065112334,-0.09882958690342905
MIA,0.00010963093097232688,0.0782396329869795,0.004538500590821057,0.05482466430981348,0.0890025228424874,0.0815045271923096,-0.03786017551446701,0.172758159649655,-0.029043736190722945,0.030418474180479986
COL4A4,-0.04397823343433545,0.0003244063976366219,-0.03159501036760514,,-0.03535625923182552,0.06013068734715373,0.007017436094401466,0.017512559468486222,0.013246771285023894,0.16670714086302932
TAC1,0.016088726507048495,-0.021598535123934233,-0.06217636283390213,,,,,-0.051577303603149605,-0.025527091553889485,-0.17518646289211606
RARRES2,-0.006879673705239083,-0.06891566412325364,-0.10798822505094108,-0.010816498987184045,0.07121362869095078,0.24319549822815198,0.259767551605507,0.04473300517074996,0.05747630671109047,0.24047157518258427
FGF7,,0.018299903969177415,-0.0005074780154298009,0.032679241430301466,-0.005990996197227052,-0.0392734806910981,-0.02291583184739492,-0.0029522689972127938,0.09903304911335013,-0.020463945230164746
EFNA2,,,,,,,-0.05147325063524015,,,
HBEGF,0.07735465988305958,0.055796639342871,0.06096533567799955,0.10270914681559339,0.05023649977637446,0.07160768656544751,0.07144792437056031,0.0676407343662173,0.026532824223895853,0.21735325956750542
CSF3,,0.3580342351640189,,0.05518216893860546,,0.2969567311876427,0.31156368095251247,0.12903718730337052,0.06100215058345364,0.36430605800471866
PI3,0.02996855684713062,0.20540582244479996,,,,0.1512069651035215,0.22463522229853905,0.17136865500559587,-0.034406574535763054,0.22400273646764768
PCSK1N,-0.029333445968877745,-0.12033860545651764,0.06309585711039695,0.025304158951521286,-0.015910532656146708,-0.010110874223761203,-0.13477921772153348,-0.004505017952169495,0.031712132017294836,-0.2801937260639956
NTS,,,0.010718007627619838,,,-0.06196699315927281,-0.06836428044146509,-0.07484677444874607,0.010580219273650472,
SFRP1,-0.012588320747487452,-0.006749358083992005,0.046256712533813256,0.0706120988820839,0.020533954034058242,0.11538110092167916,-0.02517824152531942,-0.06794651937395814,-0.0014889295990450412,-0.025069096913578247
CXCL13,,,,0.07988954033645851,,0.14902664284367964,0.20706851095703654,0.0010769709184923473,,0.05778027410182571
MICA,0.14988979966352037,0.15504899794935373,-0.03593523369872532,0.029248143311499122,-0.03122371010550507,0.09449054451125886,0.1391795219945069,0.04238408245370976,0.031261296535442226,0.07210416093248673
TG,0.026118662116246364,-0.02032268079149166,-0.0019817022928640083,0.03308426826820499,0.1283594469118178,-0.009147539234020391,-0.027438533879713862,0.00793668248857454,0.04748596403867108,0.02630670480203478
ADA,0.05639702839257859,0.06081835633884825,0.02433770127790521,0.10699225289215866,-0.06760214006696706,0.07952505540514491,0.034243671034337016,0.03424499177404191,-0.032986480354572766,0.05588396340983407
LAMC3,0.12120453394956669,-0.0023655165951398088,0.04693179931092342,0.10478308720114615,0.02964119264402962,0.05933471731238005,0.14481993117364808,-0.013067248876696814,-0.011770534885885059,-0.07351116978682247
CCL7,0.0019409266324418818,0.005841399780512372,,,,0.06778128592523243,,,0.17248264572402044,0.27260160995891963
NGF,0.024035887764470822,0.11846978350306021,,0.06654499178399843,0.009124288433879822,-0.03865373222583095,-0.00910326875889778,0.0769525523566738,0.056792773523375334,-0.013833194816875324
TNFSF15,,-0.024208640376720235,,0.04251429116452715,-0.014221730906075728,0.06535179202257907,,-0.01750178404192501,0.05209966691440066,0.23428669098873647
HMGB1,-0.07736530512196403,-0.13200837497097165,-0.024960779137512087,0.13329387823172273,-0.06525929828330895,-0.12103387917210671,-0.03105352306065452,0.051624624420896804,-0.06329880878843862,-0.10067358278176855
ITGB3BP,0.02273209438054622,0.03377926757554923,0.01218735046012852,0.09374380974285122,0.03315969156764965,0.10206421764480085,0.04676324473875927,-0.08500640511715093,0.05072173356823622,0.018151278376007298
