,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019inf,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.03699815317758022,,,,,,-0.03125656780271226,,-0.019010185305248138,,
BMP1,-0.009048372370561766,-0.035988197517122004,0.03611282291291158,-0.026671017736530436,0.013835346889139294,-0.011188940965722883,-0.031311326204652275,0.038541633765466245,-0.18313033118902655,-0.08122928864983023,0.01600367214655384,-0.139229091830631,-0.13898471008226815,-0.01013782253085538,-0.009395269422296293,-0.01460097948912231,0.14870839555550344,-0.07085520067240299,0.058454828477674046
NDP,0.03776600705934889,-0.06749224686604663,-0.03485401199226177,0.02613559105847649,-0.02909366783992623,0.0007513152646096449,0.037075374777061174,0.04918882330700837,-0.05580644445312146,-0.0021275027749537235,0.00018874504476433092,-0.07274527886316198,-0.0743287803313893,0.022384360164574162,0.01655159824202355,0.03958288272503793,-0.03915768005642713,0.15636587543502123,0.011123560895903222
TNFSF18,0.15930371446529396,-0.029008284192217727,-0.01423564942978521,-0.010647776491912094,,,,0.007222711855209106,-0.054941146753711284,-0.010555392094351504,,,,,-0.000303864536816445,-0.0394794656946963,0.09770750081469677,-0.03532042385464853,
IL36G,,,,,,,,,,,,,-0.0036968543486534263,,,,,,
RTN4,0.017528768505697935,0.17076227281355746,0.024920084409979632,-0.043205501122543136,-0.08100047513511209,0.04437945962057853,0.04636832567014944,0.15898907676517518,0.23480713725172653,0.05778404865845129,0.06995269743764435,0.31237834461042974,0.2226771423159419,-0.04001910524794865,0.029339803374675223,0.014722354909425781,-0.04558982954309034,0.196765062101512,-0.04333677883498786
HEBP1,0.035114039471979684,-0.09734171000344861,0.0035312637134272905,-0.017136747697568504,0.044284693429823774,0.01994056033281516,-0.04975776367691311,-0.021092688355882894,-0.07758473108231424,-0.031935859086104794,-0.0097550745797576,-0.17887504414396713,0.03823226351864797,0.049335962760237745,0.0350926770798501,0.053268485379984576,0.031361095771769695,0.05685343960218723,-0.02314421416578183
WNT7B,0.06931439982920048,0.26007158077274317,0.003229186525922132,-0.009373592797953516,0.013286194350998416,0.05872930727649615,0.057169316021488274,0.09493427794968219,0.2422972003944686,-0.037549360096663126,0.054844758051029716,,0.10578084470846225,-0.007586215493417798,-0.028736566797111417,0.06166598547240499,0.04102962422603031,0.05663701322085124,0.11940561886908976
PTMA,0.07605697655041872,-0.016417551252703503,-0.006000247609654808,-0.005780871785418199,0.00635303816543652,0.007760450192488424,-0.03522252911633492,-0.16794568723986972,0.013671041030842133,0.054795702114905205,-0.09375336495845799,-0.39115205546418036,-0.1660622903228976,-0.013030370196398772,0.04106343124803351,-0.05253914350885475,0.1324662412452269,-0.15522644783058037,-0.1695722571571535
FASLG,-0.015970530110490752,,,,,,,,,,,,,,,,0.2582976013077104,,
CEACAM1,0.12272557250031749,,0.020006771003987428,-0.04828122889555502,,-0.025040216594724864,-0.013491502885601076,,-0.050883178655235846,-0.009303256821930365,,,,-0.01910162177153346,-0.03574879782177325,,-0.004796044377576875,,
PDAP1,0.007110407355257213,-0.008430186237718889,-0.010888230032494233,0.03369540651579659,-0.011392445637272207,-0.03748551583380572,-0.03156916764375276,-0.0841302266961447,-0.12728708386923623,0.056723240395171425,-0.03897497219307089,0.0009544628269171835,-0.07701221544231511,0.005497320033905257,0.007444141727922564,-0.030938674578543317,-0.018879915464023483,0.03469517826836748,-0.10753199552567679
QDPR,0.05580134822388057,0.09406948951679775,0.019917021822765703,-0.04935385984015612,0.028460432250106287,0.01747670623807818,0.1066500680215407,0.08632893430622618,0.07469573351115485,0.08322947838411522,0.11582609521280432,-0.2547419346812288,0.011445858620051977,0.005215575105722754,0.02676384973851493,0.02304128532173748,-0.0758779938090867,0.13967897347146582,-0.08720768784412566
