,MGH258,UKF248,UKF260,UKF269,ZH1019T1
IGFL3,,,,0.10751627275843575,
BMP1,0.04705611450169372,0.058376352888699266,0.017662982375026493,0.007631813099651001,0.07363703751520528
NDP,-0.006031478419279092,-0.007528482161429115,-0.0437387013289061,0.027531220636347036,-0.06107798672971164
TNFSF18,0.10506563510082495,0.016109480694522914,,0.0007563091913662357,0.0007491099794800554
RTN4,0.03628338610715745,-0.03685628631348782,-0.022834963024649976,-0.0986747040956953,0.0647610878008252
HEBP1,-0.032392280173970216,0.04653065981022272,0.022173652161226,-0.03264355637853397,0.02688404173893239
WNT7B,-0.019520834947452766,-0.0032364853916982527,0.012926452045435348,-0.02324340961209978,
PTMA,0.022762315332972335,0.01757891060271417,-0.024374280613852994,-0.027210197921451518,0.05268641405104449
FASLG,-0.019520840465942803,,,,
CEACAM1,-0.027104857827251368,-0.01874306132535655,-0.01434378245247337,0.004771721368407047,-0.030603815919253267
PDAP1,0.01089841808087731,0.02393516656215041,-0.0024459156450373494,0.0892147884511016,-0.022562057212546303
QDPR,0.028694175139904188,0.06952897115666616,-0.007964216472574158,-0.06040259338568767,0.06627403402324693
POMC,0.023904334409929843,0.11642007426495148,-0.015028316792567746,-0.03235226871916335,-0.05090891325551024
CCL18,,-0.02338956961412949,,,
VEGFD,,-0.008665585350492139,-0.013723318931977561,-0.02151605940640949,-0.04160521709547232
TNFSF13,,-0.017650525402575078,,,
WNT5A,0.009070597844160398,0.030588091573989604,-0.021164645290123758,0.03535916253393861,-0.1167823223343435
CXCL8,,-0.06599045206294796,-0.03611721555821625,0.03712610553074504,0.018996649160227277
GRN,-0.08265710990814978,0.045229193494190995,-0.01537954424912296,0.0812112798872254,0.028280334659080853
MIA,0.045964550722978004,0.024112496992453946,0.09948789343323383,-0.036688219759618716,0.079061345643173
COL4A4,0.06131824598268735,0.08512420166149183,-0.021446136972556366,-0.012656169894479086,-0.03257770436852876
TAC1,-0.019520829845456708,0.00509047445913536,0.028420290290283323,-0.04695733246238821,
RARRES2,0.0741096099046386,-0.03546522198085625,-0.011556208442122833,0.11311339753018819,0.000549761701860291
FGF7,0.02953492303517724,,-0.026276164629707683,-0.03606815719220533,-0.0008326949899250021
HBEGF,0.11841909242907343,-0.002448295072717712,-0.0691013838342183,0.05090557527363472,0.051170397543588916
CSF3,,,-0.003087890866097479,-0.013389984147338095,
