,UKF248,UKF269,ZH1007inf,ZH1007nec,ZH1019T1,ZH8812bulk
IGFL3,,-0.015367752276146795,,,,-0.015610208088927944
BMP1,0.0980591474757045,0.11649115425788667,0.1695294396251776,0.10067478542670312,0.09715916930878865,0.10392722965380607
NDP,0.028288068738496507,0.01360034207221791,0.05224720002853794,0.10073212668467517,-0.041484655163641845,0.11249921083291031
TNFSF18,0.023173766192408574,0.010241754433572284,-0.009290929447526651,,-0.04287676975343615,0.20225703450770974
RTN4,-0.007410383089224058,-0.11680772693701261,0.04153286191087043,0.02579362142009476,0.03617662944319538,-0.16418073226107277
HEBP1,0.07778962534293567,0.011178698089526776,0.10730453573380713,0.03174656429651355,0.004938621361225428,0.012580027583619213
WNT7B,0.004102575158544237,-0.03837975464841412,0.16509865279106006,-0.05647729433058775,,-0.03366333288685628
PTMA,0.08845774476508424,-0.10954210487938362,0.09597696426937848,0.013905004109629958,-0.011457801212283162,-0.16525408828657348
CEACAM1,0.04843412807919388,-0.0035569985521262584,,-0.043908683279457135,-0.03014964594072513,0.019299954052261325
PDAP1,0.028947428121084057,0.07504122751390271,0.0026557214264831836,-0.06991161445260008,0.05057363845602015,-0.016421449808798276
QDPR,-0.0573367675582679,-0.13260807464177882,-0.0009080144614714771,-0.04928259337915349,-0.020196250345638128,-0.17692831906459994
POMC,0.014977463876186158,0.0738219989537868,0.12075718698594916,0.08517956157913645,0.05579365851359261,0.009498438613663191
CCL18,-0.025033666869240866,,,0.10003227510043483,,
CCL17,,,,,,0.02799893901260327
VEGFD,-0.0250336748186026,0.06374583506538258,,-0.01898126160243728,0.05449746753912492,-0.021706768951267493
TNFSF13,0.05153626965366985,,,,,0.13715787464118595
WNT5A,0.029366772348194767,0.08306891061507643,0.0980719609173491,0.041375598964592364,-0.011270476865425707,0.0717875749727946
CXCL8,0.02559816011180145,0.009488618163158248,,-0.059570911426040325,0.05326747674959603,0.004352961094976102
GRN,0.10978192245955044,0.09898488010591465,0.05517107232586456,0.07825720978477471,0.17229195932131117,0.16082024723603705
MIA,0.04866880048288172,0.025901128080470084,0.01707114289774727,-0.013178311757051177,0.004124264836919543,0.19580034574350094
COL4A4,-0.03006523051727271,0.035815081641646415,,,0.08694241465954718,-0.03170360966798553
TAC1,0.002672439918744134,-0.0603423408496038,,,,
RARRES2,-0.059355364157512976,0.10315471954829063,-0.0813110792900519,0.005798784983712592,-0.05833581339059339,-0.03773332605077576
FGF7,,0.039228745474068565,0.013147582563209192,-0.07249075034719968,0.005805028500263787,-0.03215558802283442
HBEGF,0.11072702128979241,0.061677078429752945,0.1509233539823779,-0.015613960495866611,0.1240103858362479,-0.014439591523135252
CSF3,,0.12898922972003274,,,,
PI3,-0.026336473009750713,0.06706642141110407,,-0.013918653259059503,,0.03932451294236258
PCSK1N,-0.050611475190096546,-0.01717360575066786,0.004809542018878053,0.03853409771450478,0.10156211106570141,0.06270431961558484
NTS,,-0.01969275255473777,,,,
SFRP1,-0.029548186929266064,-0.024679604797365914,-0.05552130475857255,0.05781609201469478,0.00559955364091428,-0.03452139646517928
MICA,0.11081443808123691,0.0625999340405596,0.16615660916807132,0.07406102491959043,0.049541498273569476,0.12692401672625675
TG,-0.03942195214933151,0.020788489082847025,-0.030079736060169806,-0.012556260241457092,-0.06546215029092838,
ADA,0.11504302970317182,-0.003567776801574982,-0.06273551768373013,0.09798422015184416,0.10730080174568114,0.12232590804361985
LAMC3,0.12047567084159688,0.09544440195606048,0.15792073429863174,0.24928909115522155,0.1266981615615885,0.13418615608443588
CCL7,-0.01592352691706967,,,,,
NGF,-0.027339904968812296,,,,-0.06389870630512691,
TNFSF15,,,0.012334370710889818,,0.09344476583086991,
HMGB1,-0.008418101348312492,0.047046712380699476,-0.05877586393581499,0.0370296284914411,-0.10243322798892908,-0.11580983523588137
ITGB3BP,-0.020077922747129977,0.05097210132163236,0.03713276511885872,-0.029532849395381214,-0.03477162624149828,0.05041160799156932
AANAT,-0.023102614961188005,-0.01445212145050068,,0.007264796625857692,,-0.025458231715961684
RELN,-0.03449048000528479,-0.04240705883406294,,,-0.029355319923211626,-0.01641159822515645
IL15,-0.000520300746391507,-0.03769702192180393,0.06833213010924308,-0.017168117844797784,0.08196348863835644,0.11041640419807554
UTS2,,0.038816772882180994,0.046390028839608195,-0.025160880044121328,,
BSG,0.05248978457757999,0.017531374993671113,0.09633006554718443,-0.09587414348199447,0.07188204710418107,0.1742671398200179
ADAMTS3,0.04672401834427986,0.06786826632804659,0.08776937147165534,0.11744063578369841,,0.14332264489372767
