,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.05016750092429298,,,,,,,,-0.043589017129078575,,,0.003217317535689997,,
BMP1,-0.016167919412868978,-0.03842292279027785,-0.004070954515014309,-0.007763684576835694,-0.021679996961171084,-0.07079041183135971,-0.13487925090107922,-0.05146088492132049,-0.0003405369269149091,-0.06702719076487837,-0.20540945392061663,0.15877667674822157,-0.009886482173813452,-0.015321394016400784,0.048542470478575385,-0.06750617979694398,-0.005073591742221672,0.046687771888476906,0.008732933294902235,0.04962557130199023
NDP,0.051344552790256195,0.029987021894559176,0.040201015361579176,0.011158296469118586,0.017050752725281518,-0.010480836443637393,-0.03894368265809791,0.0758454511586428,-0.01846542512930066,-0.09241178748076204,-0.009786421303823664,0.027343126712244186,0.07477547937811663,0.059979119777715834,0.042035068546460476,0.0020937857330582442,0.03159162500573819,-0.022382150507525657,0.06519868827311849,0.01547550383092432
TNFSF18,0.023282878218260798,-0.018956931199963035,-0.004317827140684146,,,-0.042319256678140536,0.007431647978994975,-0.036214395790305026,,,,-0.04164506373397725,,,-0.04495258397388387,,0.034826888095450606,-0.00289759986811469,-0.03618261476360911,
IL36G,,,,,,,,,,,-0.027247107047202897,,,,,,,,,
RTN4,0.08928926834100354,0.02285272933578783,0.033830935449625524,0.03764465990280851,0.04777593390512002,0.13713822249464816,0.15554184208979396,0.09609785430515602,0.03897950606536971,0.1903554382610847,0.24406803625917717,0.07841825283157702,-0.0007832126124458984,-0.022895739849600187,-0.030278687804595014,0.16215951316422747,-0.07800906793703608,-0.0431915932161186,0.051708396731396836,0.08378425522186919
HEBP1,-0.061483968417857415,5.4507432804612385e-05,-0.03820345216227189,-0.0031367639866212724,0.04451934197078374,-0.023804935880832632,-0.04907420389108484,0.0689676645477896,-0.00973880938218995,-0.14871051479890887,-0.03583731089704667,0.023407042745852903,0.07589753873999024,0.05128643190402698,-0.023932137145364785,0.023733618871312565,-0.04608738221940094,0.06780526099458246,-0.02051066200038787,-0.025217923547385508
WNT7B,0.25467768289298665,0.03711619058624953,0.0012670247988831537,-0.024717960010846262,-0.0064579831141120154,0.03911189100816987,0.18828852799569915,-0.11077404778514019,0.0939406872899517,,0.11979339644467595,,-0.03678501494677774,-0.015432303548018623,-0.0732004544375278,0.02156075951508515,-0.030785948167020436,-0.029885053381174333,-0.049372750405415375,0.009454653016892474
PTMA,-0.10897978443101065,0.022721028522687974,-0.005464047810855184,-0.006623114010557496,-0.038358758660010664,-0.11105279728696199,-0.013469180031636193,0.04582429325510434,-0.0351042916178188,-0.28875551791102977,-0.259023539801488,-0.06810515610643501,-0.03957720600777041,-0.0806028741172333,-0.02637374175477602,-0.04783165820399578,-0.054981152462077264,0.03885598117933049,0.008652397684513936,-0.05145494432705693
FASLG,,,,,,,,,,,,,,,,,,-0.016311584137523105,,
CEACAM1,,0.016700216060461414,-0.013221175199477332,0.05906836986743236,-0.00784437126588548,,-0.013896634561905406,-0.0099339217529211,,,,-0.04193664771750108,0.03150326213704374,0.013321778032129066,-0.009829143589719723,0.0061588058754729,,-0.004398065276077974,,
PDAP1,0.002187922280392736,0.04979470910978364,0.01276493238945673,-0.01047405574829391,-0.07622186973504569,-0.06164199596603812,-0.08707551568220902,0.0985161985113458,0.009144074409394179,-0.019202892600731266,-0.1038703735444085,-0.034827455323159055,-0.07155765404012603,-0.0903111895163462,-0.01129900761840363,0.005361185124989007,0.054238085982846365,-0.05119228036483747,0.02856659754153401,-0.03131872594549358
QDPR,0.15014020707609976,0.017317088629566733,-0.002793643919563193,0.010802120316998374,0.04729131783622852,0.04870724628740751,-0.04359273806126813,0.16578055505074932,0.043576376580116136,-0.21714425946999477,0.10865207985734651,-0.031294893183681616,0.05718033255295501,0.0759589829660971,-0.0550157110811623,-0.031063768906915312,-0.09462851351846029,0.01923686166598369,0.03355057858921324,-0.061246037826891406
POMC,0.09454185048367683,0.04775035283240592,-0.023491918988836902,0.0013490364731853883,0.0352926627576491,0.004706340862433191,-0.01039823604565053,0.011757294454410894,-0.04927181051350734,-0.07255316614172608,0.017589766749469025,0.04140546386068752,0.08805809893583594,0.02230916670995241,-0.004404368259665998,0.0483819350542554,,0.034993434893636294,0.0165640991220884,0.030359725968901054
