,MGH258,UKF243,UKF248,UKF259,UKF266,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881inf,ZH916T1
IGFL3,,,,,,,,,,,,,,,-0.019505714903358236,,-0.01880732175110864
BMP1,-0.0004162822472036199,0.025628763829246986,-0.013502546585019053,-0.017774145591326597,0.029135945985821525,0.04820037285451831,-0.01856466651767078,0.046839658932307744,0.039080649566176746,0.014235389629606892,0.0159520668762307,-0.004220346985924393,0.02673281761073869,-0.030978120585367114,0.0263825741826496,0.047149611315797764,-0.029614859146683964
NDP,0.022014506113945998,-0.08792487757569319,-0.004133819527353561,0.006116308608511838,-0.0230827336912483,-0.028777607073652588,0.02835715445623249,-0.03921201417024593,0.059280077938069,0.12925173350238336,-0.0005829965560542849,0.031154572876675495,0.011210794122734484,0.03530373979484627,0.05313349800284011,0.05013449152777413,-0.04440935610885143
TNFSF18,0.12315251358232139,0.011987077924560021,-0.0326463091289844,,-0.01311767221035217,-0.012622089446573373,,,,-0.011777931523052723,-0.04222238342138085,,,,-0.020115899483746504,0.0985627522763536,-0.03172458939013418
IL36G,,,,,,,,,-0.013349800102014286,,,,,,,,
RTN4,-0.013445967692095714,0.032386878215088705,-0.02396151512408564,0.01742023755693583,-0.004779665981494867,-0.033494833633404844,-0.03233770291036013,-0.05504974708624969,0.012405938225738855,-0.045914275209588316,0.08548944663737802,-0.035031708753591996,0.03040601273693226,-0.04662157561900612,-0.04097178854466771,0.11661665184678416,0.02228648122095736
HEBP1,0.0005262289183890053,-0.033989213719649455,0.06898294526317818,0.023719779285209536,0.04843096756744501,0.01897264515003116,0.051612139751930575,0.07424183642726848,-0.05433884830081666,0.08644104003479534,-0.040419360562392724,-0.004304437251181597,0.018160187960200237,0.03885497328236119,0.010139065912874052,0.049796707877717804,0.009712879591283032
WNT7B,0.0902082448512295,-0.030802885652852594,-0.032563070376211097,-0.019150030304228797,-0.014340974870114117,-0.027487154243542287,-0.010917753188812065,,-0.014672968761760304,0.004667762202755556,,-0.02950957449211772,-0.0436973236271207,-0.03085401569405805,0.009419862232725961,-0.028806775365849843,-0.04014264293005269
PTMA,-0.025057770045513596,0.05003665384686172,-0.018214087272609356,-0.03231602788096085,0.09706231216453032,0.03624878249737871,0.01288032918548337,0.07630010393012304,0.016706556781832832,-0.005979472408713559,-0.028262201575956027,-0.003881079992284395,-0.05921128148900281,-0.037755018862618325,-0.03873058896591224,0.08354119283891456,-0.03765399344649176
FASLG,0.010525982905883165,,,,,,,,,,,,,,,,0.009514938214372734
CEACAM1,-0.00423611990277428,,-0.004543992212376602,-0.016636256554090977,,-0.01985153968813039,,,,,-0.029689501290524747,0.08300907659293431,0.047263168629743196,-0.014947334156594664,0.00504940033479298,,-0.02269517303658453
PDAP1,-0.024640379891018454,-0.09303834751838404,0.07162052241471986,-0.006606768461305419,0.042862708780239504,-0.021270160607762635,-0.0567301832961197,0.0778949024681297,-0.02439247050772424,-0.0026194290379153,-0.020820518601603322,-0.027883953045237,-0.037987148189293704,-0.03841651240646995,0.0027063913483839205,-0.021091950599788124,-0.02653291461101767
QDPR,0.032846019337433315,0.04073012860723593,-0.044864657685300444,-0.011165128617717323,0.0006176539073691896,0.015559573830091263,-0.06782868966848306,0.02781070173002434,0.03274311333259793,0.008089710272812174,-0.0442197041788887,-0.01511579745095694,0.04412724286509993,0.015255776895081822,-0.023348598828603205,-0.053640052082366906,0.0633139574065761
POMC,0.024084376707071472,-0.018763822511551655,0.004866189431044566,-0.013229967352180447,-0.034607064999623134,-0.014645674462481979,-0.02936442413245806,-0.05230405252707747,-0.028602089803504233,0.005646519447914438,0.11283198950368044,0.0331662612530991,0.0940475889384179,0.050658555704787334,0.0268435658113353,,0.036139089289712684
CCL18,,-0.025461615121276846,-0.025929581135474916,,,,,-0.019086149639583477,,,,-0.01876387840112489,-0.023944401815761306,0.07830933887314455,,,
CCL17,,,,0.05414368978482362,,-0.01574220298520926,-0.013513117896291884,,-0.012195421393886444,,,,-0.017371465592713867,-0.021577415240220953,-0.025717158352083887,,-0.014784618548104289
VEGFD,,-0.028687798199769847,0.02998585497963321,0.004325563121692289,,-0.01677198578689285,-0.00991203539681523,-0.021584121741219563,-0.013070210840721873,,0.19992555573183016,,,-0.014947334156594664,-0.02712366447804158,,
TNFSF13,,,-0.019567300213739525,-0.013566565838184325,-0.012721405543252485,,,,,,,,0.017554015534795277,-0.02345391265776339,0.04415283052522911,,-0.024090301902166548
WNT5A,-0.04454539064748257,-0.006500044328967723,-0.027237506702020586,0.034341258348216344,0.043139329943117165,0.017465914181663683,0.020260166614365607,-0.031909635776910125,0.026374818200956517,0.06900409455266912,-0.03187734245344664,-0.02343548614891564,-0.0017065053144959099,0.015818845466446286,0.029729940175605308,-0.03301613200939202,-0.03778033807401828
CXCL8,,0.13373170220458105,-0.03148299553265244,-0.059917930694714114,-0.01809537428565516,0.00530452951839114,0.11391222197359535,0.09680530341978269,0.0006539892407105551,,-0.06438120594046476,-0.03303676217086367,-0.0728561211577573,-0.037974340705746394,0.01964069286786298,0.13397503977815103,0.013967997100514854
GRN,-0.00695309118129166,0.007796750175764406,-0.025597544761165072,0.04076652270741667,0.022947434710903266,0.021497825329056156,0.007730698505512403,0.042316252960235605,-0.011303316512422798,-0.019442298952803312,0.14158750461618833,-0.01497458073338058,0.05227520434098674,0.011656034947228066,0.08407144551167298,0.03044234918303309,0.00928464420839162
MIA,0.2720102616860479,-0.002058572125224045,0.0041325925600939365,-0.0022332812419435803,-0.02300275468789973,0.005899519429459597,0.1932703220530238,,0.019498432718937402,0.0766595119315139,0.06262860840584639,0.04889478411743045,0.07166958702274362,0.04531979536484703,0.003923241654144783,,0.004972307457077058
COL4A4,-0.019670773769079504,-0.02887927551025827,-0.008498679223439373,0.0017529902435157944,0.047630700016182845,-0.016435346959405277,-0.0189374962183038,,0.062415216957757355,,0.08543349834091506,-0.023723405134213962,0.024610469357054788,-0.023933019133624157,0.01131970370505734,,0.09152044400248437
TAC1,-0.01698505479198492,-0.03616904112040674,0.030861194227336842,0.06539899984122151,-0.03405183821786907,0.0031693133453175783,-0.033046276623701354,-0.0799456486214258,-0.01889062164837352,,,,,,,0.007385233155744811,0.12760297882948327
RARRES2,-0.042449535070721585,-0.05226701774684242,-0.05838162854527912,0.006335974357739354,0.058674436301076154,0.0013751560270400488,0.01390938867679871,0.0755623732728848,-0.0007779369253969823,-0.048537063688205324,-0.004147582210367471,-0.00844651781976932,-0.05102126975404535,0.009542606522714596,-0.08334917422531314,0.049689724624697194,0.00046753373818783975
FGF7,0.02641725536878573,0.09359388373741659,,-0.001412154391174128,-0.023488746865008424,0.009968791463908278,-0.004675228992650848,-0.029068536320164078,0.04792204992629695,-0.027427490051570365,0.10985955299539993,0.014566438324524155,0.013644464208281483,-0.014161401148911014,-0.02627242941845404,0.03448493515302247,0.05418223979148597
EFNA2,,,,,,,,,,,,,,-0.01420644079424587,,,
HBEGF,0.05749557370256631,-0.019089359086483144,-0.031555492496775576,-0.02539370570434531,-0.028740440846493825,-0.0022584396958632773,0.06576783761840169,0.04285218361840587,-0.015141680440317669,0.06490536053847307,0.1349296893773292,0.04913113219367596,-0.006091567828597131,-0.04212775516755016,-0.007463384200878899,0.08621282651001788,-0.01614236893309384
CSF3,,0.15297084723211388,,-0.023442574991815797,,,,,,,,,-0.07941458346931278,-0.06713488136576604,,-0.044777880764049115,-0.0155659225345431
PI3,,0.08955598031259392,-0.02727901259114601,-0.040454806902238176,,,,,,,,,-0.09257035336221454,-0.08758305346673513,0.1377376472832368,,-0.03381957839676125
PCSK1N,-0.060382950408590215,-0.04748452051106309,0.031150979702129912,0.008795251821030447,0.01747085852787885,0.03256537109696224,-0.03728621883751783,-0.07989337114364017,0.013084623921562306,-0.05341186315884984,0.1429281710036594,-0.021041742089155185,0.007749627331461008,0.01799927861573394,0.06389291655742191,-0.012225582842947716,-0.017806723505760295
NTS,,,,,-0.014776057272071775,-0.018775473414429384,-0.003353618903120154,0.007897893538544296,,,,,-0.017503037603783203,0.12428429462383452,,,-0.02305100868551023
SFRP1,0.06740009730502235,-0.031690905176465105,-0.002622193523074492,0.10043040403014382,0.043857950872779355,-0.03486211516793087,0.028804469059883212,0.04785468763825969,0.016430595887301773,0.0463579727283293,0.00820336014508866,-0.015097877692080576,0.029443952836795028,-0.06785950598322318,0.08001660116833181,0.05746395247583966,-0.022515361642049703
CXCL13,,,,,,,,,,,,,-0.039019873370714796,0.007709237249490959,,,
MICA,0.05409440611749559,-0.01636939561835786,-0.005425857496102696,-0.03272903262831966,0.05467111470691733,0.007422072585789509,0.044209336260307486,0.0034244183888534944,0.00025594903601000346,-0.01667941615201956,0.058696658317433835,0.04616669679893888,0.08579830778794882,0.09310658533369995,0.0066686463457976365,0.052521468855814143,-0.01061416574014299
