,UKF243,UKF248,UKF259,UKF260,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916bulk
BMP1,0.005117532109749604,0.0006235254671151156,-0.043283434537518074,0.009183101755064392,0.021385452641084154,-0.046001950026323894,0.08044265426794545,-0.02223226103193151,0.019660601927035715,0.040556976507731705
NDP,0.03754523038824179,0.011883426633955748,-0.10268358328701113,0.06494315920798975,0.002678733877299112,0.15160780455042125,-0.0012617933852812082,0.04747252253612558,0.10988413305665615,-0.029268318242723388
TNFSF18,-0.031601305420610314,0.009986200279831062,,,,0.008059989384094713,,,,0.18099497354093844
RTN4,0.05207158501892052,-0.009409962664125462,-0.0037204872246772974,0.03436427808272081,-0.020617796449357455,0.1013148470001221,0.00032564105497988175,-0.02692548785721665,-0.04480400526642462,-0.1232011684135228
HEBP1,0.004711033273557145,-0.05249618212352489,0.04458022866309308,0.000754049148383923,0.06868993282958363,-0.028069715788260483,0.03580810417218562,-0.030683618833463176,-0.014283623349761502,0.02496360572171382
WNT7B,-0.05427473876747525,0.00777510609042922,0.0069463553342361895,0.02756849553437992,0.008768486061195813,,-0.0025061737269565414,-0.007176590838436473,-0.03178788401209902,-0.05361752857439612
PTMA,-0.027256552306876514,-0.024334901684529325,0.01944571152745468,-0.05142641978916894,0.033582365464055894,0.031863892666704585,-0.056797083658508676,-0.03770199825092498,-0.07285316251860667,-0.03750070202261709
CEACAM1,,0.033594456109234935,0.03847043242938371,-0.017528509567950348,,0.031908622210541686,0.13269015956760188,-0.018489886464457306,-0.015399749879281405,
PDAP1,0.060698489089604686,0.0028675418174425277,0.016012029019729295,0.04197547118104289,0.01608185002290328,-0.05465355207937218,-0.023803264245855903,-0.015939658205971496,-0.0306245926263586,0.040425417470604935
QDPR,-0.022279345345860273,0.04163982973360462,-0.031317216924350064,-0.04294195389071135,0.05408371072889047,0.04566298677888544,-0.03072624160422604,0.03437404012319449,-0.0006169308398184323,-0.07813872520232261
POMC,-0.028318070598632623,-0.024060779315375272,0.0032320761781209737,0.0073316219782466,0.0037207384664213407,-0.02592343048384759,0.012270156208587719,0.08069849097411527,0.056389393302158905,0.029245856608112054
CCL18,0.04089722836667034,0.005872918082195948,,,-0.028754065210752962,,-0.0244765882132931,-0.03383626542202369,0.008613992014468478,
CCL17,,,0.006006315686545334,,,,,-0.013117679510871571,-0.022230505738322217,
VEGFD,0.04208540940010776,0.008739517507017453,0.04975273698236403,-0.016770285522681203,-0.0028196745263724845,-0.04049413642802051,,,-0.015399749879281405,
TNFSF13,,-0.03951426515310418,-0.02148229098541316,,,,,-0.025170856675671763,0.04314094641790309,0.10564035223470064
WNT5A,0.01850757170093825,0.01827349476336955,0.01583239061588744,0.016434564226022762,0.012603853616664797,-0.011137349188755221,-0.008015633008411514,0.027520506352428382,0.07498307202284478,0.040212649606251635
CXCL8,-0.0045854782797529435,-0.0012154571823442314,0.06335192847917172,0.01752042259646408,-0.03371570319404396,-0.03321963710290885,-0.0430948872226891,-1.602218038631131e-05,-0.06982187823133311,0.011692686902553968
GRN,-0.07980754876426291,0.009243320634342933,0.005887267446259058,0.01809496825141528,-0.036784578667491546,0.0006915067687109996,-0.0023759589557152054,0.010465682489764427,0.03705774544762254,0.04372477793756646
MIA,0.001078556409640899,-0.013740149711834659,0.0896714710580263,0.0006920971351693747,0.03008837679270405,0.00908849812004773,-0.010986874701555793,0.018584725676249633,0.029784112285120203,0.0713215508330346
COL4A4,-0.04806852261150011,0.07833762920985089,-0.008644369219655553,0.06739252049810132,,-0.035695092914258875,0.05712754134304138,0.044108199002390006,-0.024657407444876104,0.05762602424388585
TAC1,-0.06020207710248755,-0.00401202921692075,0.010884190272880541,-0.024291242160993227,,,,,,-0.09455038598970597
RARRES2,0.03185453287931536,0.060698176476073895,-0.010579517711436883,0.02059621528867464,-0.026390642700988995,-0.0010493677886456766,0.03868913684034926,0.029236262238818398,-0.036791637931234064,0.0112646508886035
FGF7,0.054904473069893885,,0.036118741774677894,0.015423242848124474,0.12953507001251943,-0.049682777250210766,0.01329329830196406,0.02302409807642469,0.027535666558310926,0.0030829065865704583
EFNA2,,,,,,,,,-0.014636431661607292,
HBEGF,-0.0014622727458491608,-0.036361659464018474,0.028334117584914748,-0.0479937255167774,-0.02188583628835224,-0.04213761608070893,0.03353159399035526,0.03865679375988014,0.017616649288558498,0.0729621401298564
CSF3,0.004496982642669108,,0.03433382334866543,0.00989876941586551,-0.0437893928564827,,,-0.005387764094675818,-0.029216003820618387,0.016866650072217142
PI3,-0.002105818934021399,-0.009221618976383312,0.04862404019519094,-0.01653127302669967,,,,-0.013040263659606132,-0.05140336704754164,-0.05909677569982457
PCSK1N,-0.009569304319575053,0.004425338421180908,-0.09231311671946045,-0.006723576719866955,0.013846585300443845,0.04787194200143831,0.0628205981572031,-0.013279878831067184,-0.007674094745778261,-0.10341020955343876
NTS,,,,-0.0025824359805356,,,,0.17371374157242486,0.005146544583410615,
SFRP1,-0.06597697769912825,0.03096076716724082,-0.005113564194994246,-0.019131991556529036,-0.03571716108111881,0.09434783109876045,0.008990341531257561,0.02153201542135409,0.016117551100656137,-0.0393460056595893
CXCL13,,,,0.057493003036775424,0.07261500912054827,,,0.03324228174444485,0.06222205826491751,0.01376302460495044
MICA,0.05126853127642544,-0.030418949066307068,0.035113755996171156,0.009523403866633341,-0.02898622495926814,-0.0053694942680675255,0.0370539548830505,0.09008851996862759,0.029126808977140633,-0.0024759319360552895
TG,-0.03831825448720951,-0.0300639084301898,0.0901766139315463,-0.02998422955072482,0.030706969466727033,-0.053619371537720444,0.0908575433680677,0.006867269495983005,-0.02196170573103182,-0.028190922722793815
ADA,-0.05666643848263811,-0.009051829442861236,-0.010794103416723372,-0.04845710136011138,0.0170470071915198,-0.05161229371181962,0.03088278280903204,0.03797793163777061,0.13057707556662473,0.02583971343825245
LAMC3,-0.027845642587420467,-0.012034442212384396,-0.03340863805163313,-0.05173133025896838,0.018354159298262784,-0.040859607557094835,0.08859794025232114,-0.02583343105924018,0.06618168992959747,0.027185340327739393
CCL7,,0.009046230898751076,-0.021202092171522663,0.07868979720030633,,,,0.02433929495055041,,-0.05340385365886852
NGF,-0.02769362037113042,0.05059564992656923,0.10362037652193112,-0.026831689514584606,0.022667434469244744,-0.09760441249041588,0.0017673219344088423,0.055570481666473055,-0.014439693395955152,0.02047621120571512
