,UKF260,UKF269,ZH1007nec,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,-0.01303894148327924,,,,
BMP1,0.0774172659104856,0.10514440074082677,0.09613746352284544,0.0017510660269530823,-0.003277730296792158,0.02358706700211536
NDP,-0.027432807302707,-0.009809293192914488,-0.01924497335169569,-0.009610481730895258,-0.01788539639771952,0.02632729592716128
TNFSF18,,0.001110881330970141,,,,-0.026674489673715173
RTN4,0.011801586676801944,-0.07496911749040097,-0.01730830928981293,0.014383918135544347,-0.006344041662997979,-0.0034419531141447876
HEBP1,-0.015773540559692607,0.022498680260754165,-0.006070481451125743,0.03155323546112386,0.03436366604158632,0.028470651661989078
WNT7B,0.011593276073116504,-0.03272713737208459,-0.03836466313896239,0.01504207213961219,0.004648282996156495,0.028855714546748235
PTMA,-0.00424234065689519,-0.06880286004094767,-0.12442787476764616,0.07930913626644906,0.025263464727368984,0.031120916044251764
CEACAM1,0.012892565445664077,-0.010113631864053046,0.14183999849113182,-0.01626885746750056,-0.017163928396483053,
PDAP1,-0.0526058676049511,0.06513747156967964,0.00670240422208177,0.062460696145926586,0.021026743377263866,0.0016689001445569043
QDPR,-0.007003957521744467,-0.07762143596045581,0.029975630901621753,-0.03029182000460978,0.0012171520972874919,-0.02726220477421796
POMC,0.011067076479452695,-0.03284495709523836,-0.06169094589565485,0.007188387174076482,0.08263598710736401,0.08124172451105285
CCL18,,,0.08557835214920388,0.0026099374176917155,0.028931208283041694,
CCL17,,,,-0.02348511710399895,,
VEGFD,-0.0021089382324378098,-0.021843724599243348,-0.042339872637283414,-0.01626885746750056,,
TNFSF13,,,,0.008564874418587054,-0.01927394121925446,-0.02901803992416568
WNT5A,-0.06928821435470663,0.08486307932729978,0.05712452276041883,0.044950790978431215,-0.0262315916217315,-0.07335744745986592
CXCL8,0.04230817053311855,0.03196057427885096,-0.04558654076667474,-0.009690937828197441,-0.03273529810973756,-0.039692837637304135
GRN,0.041098148277129605,0.035396865148589314,-0.008998618088956061,-0.032457536744342846,0.027038121792509147,0.053778989505987154
MIA,0.07442317316537671,0.130102162763284,0.08740136598354123,-0.025011376024016065,0.11714919788850628,0.020817841180034356
COL4A4,-0.039315403805845035,-0.01284890901416088,,-0.026048984586332466,-0.03459124812164298,0.013755118916142268
TAC1,0.012600758167547426,-0.07013911456464404,,,-0.029612666186633788,0.00865976223546224
RARRES2,0.020880468548764346,0.12123240459262745,-0.03221593109391264,0.005327345024922271,0.015779185567689948,-0.05293550443707687
FGF7,0.05006252997908112,0.04329183115382462,-0.001575740688279286,0.013499289511168272,-0.0021220271006720964,-0.0043142328943256624
EFNA2,,,,-0.015462460260855399,,
HBEGF,0.08136561085498982,0.08523274540835087,0.05549441711816737,-0.03727142149197618,-7.048316427224405e-05,-0.005294162390394146
CSF3,0.014063506025733521,-0.013593898426194049,,-0.03248172949344176,0.006382647560705296,-0.03411480950242348
PI3,0.006423808080484443,-0.015306909047933198,0.1178899904493709,-0.021267790389927013,0.03310511285020263,-0.033110913186514476
PCSK1N,-0.09838700477333555,0.013870316510304492,0.17164551419525326,-0.026615553099196023,-0.00576317734258463,0.05613908301254698
NTS,0.1266990800245261,-0.01670853639438707,,-0.0188380736184524,-0.04861735568993994,
SFRP1,0.008689738278867636,0.0013412585102442493,0.13215225092298907,0.0280851637162438,-0.05782130559981961,-0.04256097163185413
CXCL13,-0.02274687393447535,,,-0.017006921771239827,0.02028540313696251,-0.027671744625435486
MICA,-0.016321643941452916,0.06564459179647887,-0.04769776198865053,0.046577541411736464,-0.03386556775353979,-0.01565134070760649
TG,0.010478061376112275,-0.016406619181846643,0.02375294587809315,-0.02320114697200648,-0.020251804090095804,0.020030531787313843
ADA,-0.039656692892103634,0.06770435233164383,0.05853427699843266,0.0032656908182460607,0.01698567594376314,0.005776238807649594
LAMC3,-0.008552830390104234,0.10734253102460856,0.03347067245451207,0.006811758394711069,-0.0013536612170558203,0.025740995885541695
CCL7,0.04143333238766072,,,,,-0.022330234954938417
NGF,0.0030808491687735113,,,-0.015254618781130838,-0.01443241114813156,0.013656983861934624
TNFSF15,-0.022328995731905863,,,,-0.015280422662845954,-0.037756424867611584
HMGB1,-0.05345341818918728,0.0323908624995092,-0.09669918398684392,0.016884467157550764,0.004276381811267145,0.056716826260668325
ITGB3BP,-0.0453702884302479,0.10027805968498833,-0.04804334993592754,-0.0004340317478437072,0.03893744931368132,0.057367802927140034
AANAT,0.07424227382195062,-0.012262064257426413,-0.027898617871847723,0.019948224138749655,,-0.02083046066472037
RELN,0.05082874089056682,-0.03598074387713697,,,0.060802329635260104,0.01330618805852146
IL15,-0.038269831235906354,0.0959182014952151,0.03922934056732827,0.016716884269982545,-0.017332605992079603,-0.05909860001705336
UTS2,,0.1101796445898884,-0.015947971491090625,,,
BSG,-0.08227666364317274,0.006773434572953289,0.05861986961816437,0.04668813381590932,0.059538269686202176,-0.011686535733005406
ADAMTS3,0.04141259391205122,0.08847511291827388,0.024757769239073166,-0.01129179376535926,0.009367936216947266,0.019375489723898978
CD34,0.1004148901683879,0.07943471391472884,0.028839226467721652,0.016692923553349524,0.022042036315117,-0.09023409507058075
CCL23,,-0.013952282650365685,,,,
PLAT,0.0751528993707671,0.02586011318535016,-0.048941753512128455,-0.018380128064101737,0.047695401761784544,0.04247024738108683
NTF3,,,,-0.04416841931196425,-0.0030750420732130255,
CKLF,0.03199251022231316,0.03844450171978556,0.08851840971700968,0.014003319401898943,-0.02165880533458206,0.03891279642106909
CD24,-0.00046879824803179755,-0.029281471744068168,0.016462917140366864,-0.041608414103394574,-0.05458260724425097,-0.05102146487150001
HSP90AA1,-0.0037762286569398952,-0.11804313257555653,-0.07832092906061569,-0.043258462467976364,-0.003557510141664837,0.024334017933187478
BMP4,-0.01011828310627767,-0.03755912110488653,0.017307019629127108,0.044766937849114265,-0.003615913278140411,0.0001491116853363703
SCGB3A1,-0.008554078497755599,,0.008577059905106833,-0.02959912245846349,0.04123223606111889,0.032050490239528856
IGFBP4,0.055935618912266824,0.10141014740457814,-0.008497155128427945,-0.014713645178710565,0.025176963020847057,0.0170248063113423
RSPO4,0.05224818326885154,,,,0.04912527531279861,0.052298478179924834
LEFTY2,0.01154162289861362,0.1408362084111556,-0.05548972837941112,0.028556179999145663,-0.0035878511156482145,-0.01309618297473247
PF4,,,,0.0733521087353947,,-0.020575946260549316
ANGPTL2,0.010270194265906524,0.07211868435401322,0.0019581538733528837,-0.010994945084229367,-0.03560577133829704,0.05490714193466125
LRIG2,-0.012375191625210771,0.04235491265175021,0.019578317128909672,-0.04622113453466913,-0.03279522956483484,0.044893779196625426
ICOSLG,0.051359129390114236,0.02320219339313912,-0.07213199841675717,0.036918251021475966,0.010877342110529882,-0.030885859005467812
WIF1,-0.04928199980495556,-0.064553977046885,,,-0.019866011612618067,-0.023281292140440123
NPPC,-0.02350068991795406,-0.021460663158981028,-0.05289435305020005,-0.026815159951672978,-0.0460304311712277,0.09437594002227646
LYZ,0.10161880527022508,0.09101424831478098,0.014855105715515526,0.053725095161543474,-0.04627380470573518,-0.058271315858642536
EREG,0.17551140701659446,,,0.026522028522800747,0.046118933616539105,-0.023689009415859958
SPTAN1,0.015071017903658357,-0.04733751134853003,0.12388982005425812,-0.04862172159667511,-0.027379153360875326,0.009101530749558715
PTH2,,,,,0.0022095019127254213,
LIPC,0.0014210812559866698,0.10423527746115813,-0.03813495207076719,,,0.015593051872257428
COL8A1,0.05817651650887741,0.0068431887891377,-0.035486488838954236,0.025270054019269718,0.06545838999662774,-0.019909295559178943
GSTM2,0.08322852437861464,0.11083571193569693,-0.023663382452545793,-0.033647766524173894,-0.018002265418662466,0.018078074951783343
IL4,,,-0.03645337465214942,,,
SPX,-0.03813686153272938,-0.043004181750655845,,-0.017596865149007403,-0.05259180055783381,-0.002710055446806147
MFGE8,-0.014068938896249035,0.01186156196386768,0.04227913441960648,0.014304517915423417,0.01006788145186518,0.007467402121326844
