,UKF251,UKF266,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.08838783764185344,
BMP1,-0.030261975573745364,-0.015775587521645505,-0.05522746008889047,-0.02437646815813631,-0.011755442129307372,0.004496680280855083,0.027779327525553864,-0.030604104872237088,-0.002262645181803866,0.11478098147138711
NDP,-0.013989738293303244,0.01654252937972774,-0.01400805114565631,-0.015310145124482352,0.03588187820216324,0.03181840079887974,-0.005206457322761559,0.06138910844215317,0.06458053724259143,0.01642854590523114
TNFSF18,-0.029989522646924557,-0.01329155453939392,,,,,,-0.037760233614355924,0.008685197082064592,0.08504512192828781
IL36G,,,,-0.013752906916439574,,,,,,
RTN4,-0.012712771810468452,-0.00955995161828744,0.11190833269302215,0.04856267713588716,0.07441502457215342,0.00021847102110116078,0.040459951489696576,-0.08204620955529487,-0.009664637112592382,-0.17021205705565734
HEBP1,-0.02611305522963192,0.09728175831341787,-0.04833050444849828,-0.012107671297188292,0.04283067759393655,0.0627524277292212,-0.00926211934713101,-0.06152038015689146,0.06367214421735184,0.007770899229362011
WNT7B,0.10316424764060367,-0.015526045740872409,,-0.015116029605407132,0.010337656777830273,0.04439179620558795,-0.030777069845989487,0.06983946480909313,-0.011464397115504281,-0.016676298131890806
PTMA,0.0028935528833378384,0.00334120130968822,-0.08310384632853551,-0.06511713799249125,-0.04162550509105955,-0.034462107862116,-0.022462324987893568,-0.02630021108573245,-0.06734757147899466,0.05711405356461745
FASLG,,,,,,,,,0.0650930772132761,
CEACAM1,-0.014296300772253176,,,,0.12354142303857302,-0.0230334604206128,0.07445919465036918,,-0.0271322826421461,
PDAP1,-0.006713197464925091,-0.004293201643866789,0.04906426610434217,-0.018374951938335073,-0.03032641381905152,-0.09711212071595321,-0.010510249581939463,0.03513564720159351,-0.049286947226216904,-0.12128016139386848
QDPR,0.01609752382525445,-0.05998625797415558,-0.08659425562022288,-0.02527122220949426,0.0661070028108413,0.10561845205315883,-0.052633962793490995,-0.07407353083908261,0.0380281962164719,-0.15344075047594094
POMC,-0.025402245603332974,-0.03506580165403388,-0.021612831915176555,0.07677404256034455,0.022255542040930876,0.10859037003718934,0.04967320075654833,,-0.02609113355604067,0.10523076055167553
CCL18,,,-0.045517518593664645,,0.03964869744017076,-0.017421982480198654,-0.0663999103788292,,,
CCL17,,,,0.09491550105490179,-0.017067273369859953,-0.033250246144760374,,,-0.02520847268222335,
VEGFD,-0.020476582598490934,,-0.0179032384588661,-0.013464875256339248,,-0.0230334604206128,,,,
TNFSF13,,-0.012890035128522936,,,0.051338431035706414,0.010737697521103127,0.038852208555889355,,-0.03104020200717576,0.0717938748244541
WNT5A,-0.017605229390796215,0.07921290221525784,0.022717374883886806,-0.028947709709128248,0.05211671924388352,0.02497641259209724,-0.013106767395692607,0.02887736662488532,0.13407288015073845,0.15776080096860265
CXCL8,-0.019173058259469654,0.0024925396887379536,-0.04079549413709222,-0.02077151556887345,-0.07073926861016192,-0.13188854155815713,-0.05315592892433748,0.24288351298954916,0.02780932746576525,0.12819463528451597
GRN,0.0134695542333976,0.0018565141302624858,-0.0446373630280271,0.0865794996487754,0.0006696202555156481,0.015724101293757304,-0.041052031119863344,0.07837941244619809,0.025914296808085827,0.12802062657873242
MIA,-0.01821044057786155,0.009775329449874751,,0.03715387252533903,0.0512912050660194,0.08600955708250313,-0.00510393573830601,,0.009993048508111009,0.03309528772848696
COL4A4,0.013216126244944386,-0.012264298937677196,,-0.017888224949868706,0.04500131805595164,-0.01479173685363356,-0.011631639188775203,,0.12951052572349517,0.183242204643754
