,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.006142789967818622,,,,,,,,,,0.05982040233843689,,,0.038262378345199195,,
BMP1,0.006172960404017606,0.0006203184102764805,0.024798874188940688,0.0010933812431052736,-0.05325980329303872,0.04491989421213951,0.03699248754677093,0.029864346219143165,-0.04868797076813451,-0.06199275335953236,0.006391708651613872,-0.03857051043429965,0.014729906661621307,-0.004743218459728587,0.06220567300553749,0.12454617885236574,0.0627881924833724,0.0033372765398689687,0.008571269373940406,-0.06557575355518318,0.06202047635709088,0.010323319589916252,0.038951843567311545,0.058543316330307515
NDP,0.029651301127648445,0.04854892454872677,-0.012691788117587024,-0.057996263605122465,0.01676841355768279,-0.007140543450074064,0.009996815281155638,-0.005880898542229833,0.05411159646133369,0.02389982835879116,0.013049302389881064,-0.08210086886683862,-0.03211598613078927,0.0104677714304564,0.0014593847345087036,-0.07551544862531208,-0.0017023279255705612,0.030568498264030283,0.017750202594478206,-0.01937762527118975,0.07485475005260339,0.08762301259717199,0.04365429482879224,0.10601107644444195
TNFSF18,-0.018712510299293737,-0.0012979314941009665,-0.0024451670073999962,-0.004307542884627764,,,,0.001381349019141884,0.07717470140379408,-0.0219969281154251,,,,-0.025257697788900992,,-0.04782914444212001,,,-0.0045501750872978695,,0.06455449424738934,-0.03494686607761858,-0.031189181508427987,
IL36G,,,,,,,,,,,,,0.09587927101631892,,,,,,,,,,,
RTN4,0.006153976106543563,-0.0010607677879436415,-0.02276992516313947,-0.07607957203424166,-0.07962626423455824,0.009762472693679847,-0.02063048901455311,0.015885130280977995,0.051707332001315255,0.06878615978282593,-0.042786866019650614,0.0904591572847697,0.02643645801718082,-0.021674739891937758,0.048522966186185804,0.030548378175189676,-0.05108447849549235,-0.04270468428871242,0.03592718797788388,-0.05010215112990467,0.02618347880919654,-0.026375151794189994,0.023477480292461526,0.10221514019583117
HEBP1,0.03627604321183419,0.007498755454714007,0.05371540875031843,0.008014779043940453,0.03884941356613167,-0.005203208179446658,0.033030942422922295,0.0036177836179966567,-0.04248396584193207,0.016311394224025194,0.023534207705933393,-0.020935944531792296,-0.0030709021039023684,0.02311698610361715,0.0021032684714583087,0.05948912935246801,0.02275624722843036,-0.02903840562357259,0.010294383934875898,0.011587788144831943,0.03706185969406486,0.04749131772102443,0.036219837140004305,0.00015382302350660132
WNT7B,0.09911184180535605,0.019134433101138656,0.02798391445772738,-0.01722763696686439,0.00034890691084997873,0.03890775099542838,-0.012367989703339811,0.04567546785569057,0.03519291586835402,-0.033178835532100735,0.0393863726323543,,-0.025014605428188237,-0.027806259977635094,0.06456480347360408,,-0.009032170361345626,-0.03250134210779183,0.020044651963284154,-0.019463677271609255,-0.013841129501529962,-0.03343394136322775,-0.00394672801905384,0.04332788555037099
PTMA,0.002481236886406099,-0.05520365021618579,0.03559205450728835,0.07081908944591049,-0.013766829262567169,0.008708002132781025,0.020794841593462853,0.02111308179364692,0.041158161643416645,0.06631452015124982,0.011397205330996328,-0.06601673981240039,0.010410153211836205,0.031370754090621046,0.04911780879854529,-0.004654648656242858,-0.03849790965152582,0.014484994254792568,-0.00800232221934927,0.020287135726067582,0.06615946988604209,0.00189173868434315,0.0129809707896051,0.03080698662731544
FASLG,-0.01648514014186277,,,,,,,,,,,,,,,,,,,,,0.012549407870123598,,
CEACAM1,-0.02288976135976655,,-0.024380318858630682,-0.013221175199477332,,0.03993443088110509,-0.017160922205650127,,0.0741058793898814,0.031356988992647945,,,,,-0.007733644464912463,-0.03363200583603093,-0.05861851553104683,-0.018212105009864178,-0.02681323203741276,-0.012918325679058902,,0.03445995997527495,,
PDAP1,-0.05424129581514355,0.01749286886503309,0.02492487247726936,0.06266071304452865,0.05981393186066405,-0.0008245446429222166,-0.04881490750853556,0.013735108063805474,0.022248264753569547,-0.008125828316956494,-0.0050799812749252864,0.013064089375504299,-0.02290169816636672,0.03962171571400489,-0.03700799141053699,-0.05317115616793384,0.08336141822274112,-0.04170528490542793,0.07968545506585534,-0.02581868364271878,0.04678147933148566,-0.010735284800425043,0.026341315977992705,-0.041087886024322735
QDPR,0.02092898078149427,0.09648653997466027,0.02352377861363294,0.03577641004153028,-0.08939545466529195,-0.007476757337396438,-0.005403067563758549,0.03708785031483341,0.054884960553356635,0.0655258028120486,-0.019139585032837452,-0.014358544900283965,-0.0018062659593257395,-0.11720349410975155,0.05950406503662251,-0.04481403723045648,0.06258733830875267,0.030494899112356786,-0.0290036276097708,0.008213346148475815,0.03718409815431172,-0.024161609878548578,-0.04390270060536719,0.0028656234119092483
POMC,-0.033784559862539046,0.0037002087451860773,-0.02442075728077567,0.018320232329213124,,-0.03892003367232089,0.006882910415743105,-0.028072474318152126,-0.043207291031108,-0.003524426768302397,-0.02694938851472828,-0.05782442137323366,-0.006562630018859525,0.05122445497546134,-0.05721285279028502,0.14248987920476347,-0.042806667047000424,0.039047285666772395,0.005167064817036089,-0.021132683786929236,,0.018186019591915164,-0.03155990087106012,-0.06179158392387249
CCL18,,0.052844166627648036,-0.030424334384861678,,,,,,,,,-0.018350163174204452,,,0.14320313463249618,,-0.022138009170493016,0.03010279915967558,,0.009296722166007848,,,,
CCL17,,,,,,0.015897206692633812,,,,0.014054742565658902,0.05649092774658583,,-0.004088728810105495,,,,,-0.012920607013838082,0.018826576574213712,,,0.060818520607434055,,
VEGFD,,0.10402453543776802,-0.03042434404601284,0.048875860637047276,,-0.011135316352342701,0.11594266424293323,,-0.04188869816055661,-0.029229088200398594,-0.02041374936220318,-0.0019340642155832937,-0.006687566770371375,,-0.05012640473190469,0.01854332447462872,,,0.017706922706229967,,,,,
TNFSF13,,,-0.022959186328594856,,,-0.022027389208606838,,0.003407764432253251,,,,,,,,,,0.009419480969803495,-0.015886402374219705,-0.014506413918644928,,0.06850060830199738,-0.018580808984033425,
