,UKF243,UKF248,UKF259,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH916T1,ZH916bulk
LAMC3,-0.043912041464153735,0.023849041672826376,-0.06920268417999606,-0.016637198287630956,-0.022472362819043277,0.09910062440798964,0.12457425123880135,0.11185118322891636,-0.01184190311780389
CCL7,,-0.013758080298612627,-0.01588813670302723,,,,,0.040410599618381865,0.07936020605032862
NGF,0.00678260787588982,-0.023621940659021918,0.053775979612204775,,-0.029496559024288636,,,0.05815199591124638,0.038430744820444285
TNFSF15,-0.05336042359857987,,0.05676541085554252,,0.04192495797271049,0.08106671157846605,,0.10897908814215623,0.11980067249752605
HMGB1,0.022804673916831174,-0.04338601088165636,-0.06958888305393107,0.07417908869087518,-0.021937126093458527,-0.08897133795818324,-0.04609451133519487,-0.070559021124782,0.07870934732049786
ITGB3BP,0.015012725479785091,0.062379657502396116,0.05430220384777571,-0.0065300556000185035,0.07663769901629411,0.11511873388326463,-0.0912125662050035,0.14968486238459278,0.06722117629760592
AANAT,0.004883327086764744,-0.002456061416624808,0.017456109701810857,-0.029411628267020696,,,-0.013167269301893856,0.028340647463231828,0.07395655319945943
RELN,-0.019493572579012082,-0.04309308753365592,-0.014149448941587197,0.03256288540725418,,,,,-0.059734885276791876
IL15,0.00808772509164179,0.01324755846999197,0.011803370520747702,0.02733898642796807,-0.1434863499001129,0.13532724396101342,-0.08334816918049412,0.09376972073258508,0.04692203243964617
UTS2,,,,,,0.020135744328264035,-0.06061812121443176,,
BSG,-0.04576056917360175,0.020324540499645147,0.051018941650453245,-0.08106412613816791,-0.11735803281477498,0.1588722889896864,0.05286366626305668,0.16015583818364248,0.17523675125062935
ADAMTS3,0.013506080461759593,-0.019560529076830865,0.004760789451579264,0.013828122309647865,-0.07449694479615376,0.09536985251458575,0.17563862773417388,-0.010959641597095856,0.08469347641616896
CD34,0.009784316067931328,0.021207204723386636,-0.03956184568087881,0.012476991697247712,-0.006574453995420262,0.05281788089278114,0.17054581241837158,0.16317181041840367,0.09640818063426476
CCL23,,,,,,0.1360309363625317,,,
PLAT,0.05929325366788555,0.004681875975525318,-0.08469679357253955,-0.04087526964007414,-0.04249081539566758,0.04553095896496172,0.07759630823171652,0.1578925765200506,0.11502632000334696
NTF3,,,,,0.06943947395932591,,,,
LTA,,,0.00801335898337523,-0.02832646319217473,,,,0.026826245995264508,
CKLF,0.06938948412861902,-0.006333996203362708,-0.026000114100470217,-0.041123399199992305,-0.059513175924489174,0.06341224952539075,-0.008246629775356302,-0.1444865334642608,0.06670872684391184
APELA,,,,,-0.09949970203875054,,,,
CD24,0.03363274868811206,-0.03649556896330956,0.027136773198099096,-0.026550238743954943,0.23444009865589202,0.13902281054346166,0.0521227847574586,0.06715875424798744,-0.007767770857704981
HSP90AA1,-0.16438859638371667,-0.0812860920906716,-0.054308837570542313,-0.08449906699616065,0.038450002982614605,0.025888156665337593,-0.015528131398844194,-0.058420924439992084,-0.1956606817405043
BMP4,0.07715008048456694,-0.03239813988410706,-0.00041338739357992574,0.033694929713163416,0.12949722157102528,0.1000452249903137,0.042164782120620574,0.13040125519194065,0.07113961532266753
SCGB3A1,,-0.013758078922822981,,,-0.024911545122278462,-0.023967045366109763,-0.0021482503312806,0.07694928830685144,0.06744780536897743
IGFBP4,0.012035282844964636,0.003586866395418789,-0.06292446545091684,-0.0728381611958524,0.04663942510857602,0.06257341584245282,0.1518682714544254,0.17381092074340102,-0.06427876482158
RSPO4,0.0068336851729327705,,0.012853085962437491,-0.015146037605325641,,,,0.05195048092757244,0.11361970196818276
LEFTY2,-0.04456280442268126,0.050596720624230464,-0.005604431478122008,-0.035967537252837654,-0.1048272313678361,0.06566252082516061,0.04323274913919361,0.10956471731705457,0.07783111560785051
PF4,,-0.014271798387719678,0.026846954398671213,,,,,0.07543847638931057,0.04550651766091778
ANGPTL2,0.036672984798294124,0.01741525897780983,-0.01282379370791287,0.07190856557733712,0.2396239962614296,0.1351390730416869,-0.04305767052034699,0.21435024652532378,0.06521881742801355
LRIG2,0.03509855856302528,0.006198184104698456,0.057768965282585606,0.01128703409819852,0.03900010140008518,0.03337278063157359,0.02920819528202663,0.11978507133341275,0.11435705946002461
ICOSLG,0.027609557318539774,0.023441692988552355,0.032685216623792514,0.0034182169797438134,0.038818238939750505,0.10316231252986136,0.08683962675526045,0.07606577017625456,0.07227235368505103
WIF1,-0.03801253468900754,-0.011715362107674696,,-0.0029566620643623766,,,,,0.07458131153796196
NPPC,0.02483816609365309,-0.034573736263355775,-0.028052297286492774,0.1348101914205857,,0.0276690870895228,-0.018186001615834883,,-0.06844204683124104
LYZ,-0.003010220444971445,0.04034396254464659,0.026149380106399698,0.018860075101561912,-0.09258069672859653,0.1653527966546208,-0.010398284144912518,0.10832309813174004,-0.03457257560192629
EREG,,,,,-0.014229574039090453,,,0.035216792828330665,-0.009801492646659225
SPTAN1,-0.00287024658095314,0.014815525168419106,-0.08959228616076526,0.08793969408680691,-0.046817813356799076,-0.04952543538442235,0.17699758610754665,-0.06430584463997673,-0.16285072829113673
LIPC,0.07259452270499703,-0.017472432494445415,0.022278066747739092,-0.012992729871258919,0.10590339454377945,-0.016514422552502753,-0.04853689839327457,0.09141556607790606,0.05317859793341176
COL8A1,0.08052383937100863,0.012406724865618378,-0.022959875239988093,-0.04445670731722239,-0.008529629479681769,0.12653155024879267,0.2152684817257708,0.19250964399550802,0.17328933451230039
GSTM2,0.026808794497685723,0.03732851339645151,0.0748181590037645,-0.024910521250480454,-0.016214557300578074,0.07446454220102201,-0.033403613604911696,0.029849484137714665,0.005252385480093144
IL4,,,,,,,0.05145774025255878,,
SPX,-0.02594839417566487,-0.028258899111242936,-0.00710072936446752,0.07380638723066782,,-0.03807737153026293,,-0.20248594531814482,-0.13890285314701956
MFGE8,0.11032492922168331,0.012761875341235303,0.009403946944672047,-0.02234971334064162,-0.0660539314107542,0.08609497402673505,0.15309710366961182,0.17997730681458954,0.0785532259850843
TGFA,0.10996530761844323,-0.0018508001484423533,0.08458426757156573,-0.047066755693983164,-0.06452423674606088,0.08692986324120036,-0.027357709664822902,0.12559543467385767,0.057668633565128725
SLIT2,0.03481855789566241,0.042599581997801506,0.03174837850955672,0.09556039573862923,-0.028379579975789007,0.152361173610681,0.07048835902531034,0.251249568642534,0.15642596180681367
PLTP,-0.022693301159960277,-0.05610820510550141,-0.08443400730082687,-0.05636341010357328,-0.03934188779257981,0.07229592747359503,0.018133904458915204,-0.09399449250458972,0.027857035439048126
APOD,-0.04584601758016897,-0.03134859331681071,-0.05306148174544121,-0.061649594928346825,-0.0518367958102286,-0.21065898366909286,0.02089141362571206,-0.14946692275632617,-0.23815512901594882
B2M,0.061735407642810027,0.03226750961928662,-0.009608514275470695,-0.07745058686156804,-0.24220360492985257,0.13560771039603572,0.04883814398684286,0.06126724498133305,-0.020349123931442756
OMG,-0.01280043096128263,0.02132575874089146,-0.04957378450670547,0.028545819318511072,-0.018997825802759258,-0.05207720067477753,0.03890047069867685,-0.061321245658047425,-0.18988896876938668
CXCL3,0.01036744783908199,-0.03524377644116828,0.11510985870095004,-0.021290329619590997,-0.04181366613589783,0.0636218617915107,-0.059904508183762674,-0.007443004028887379,0.14098599125079025
CXCL10,0.09011132960118215,0.050721784544404104,0.016940101296865455,-0.09208269128768558,-0.0005434217477981034,0.06646601595136867,0.04018584895398868,0.020456665777703144,-0.012964780096099408
RSPO3,,-0.018688602114401074,-0.027234696083705705,0.014589327272882799,,,,0.016939817155779212,-0.029241700227340392
CORT,-0.002286912844709484,0.04918488259626512,-0.016994066467487464,-0.0026166869249702163,,,,,
NCAN,0.003603872882732444,0.007985378017026833,-0.08501980367871972,0.10002084693960335,,-0.18270053608185718,0.09294153898329993,-0.15240028948387133,-0.2080064508019011
PRG4,0.042814462205612476,-0.020690509703278247,0.018430656859105575,-0.04210291480451858,,,,0.03301061622430858,0.11482790074007371
ZG16B,,-0.01907830301265522,0.008369336793835029,0.041917096590284385,-0.0770621214270901,,,0.029009035170240234,-0.01242354039968545
TGM2,0.08141192189983007,0.0005560923448908021,-0.010304112234892929,-0.04330685287008786,0.0570234700561271,0.06362384033033297,-0.02111640065793501,0.11226621609740706,0.0408651880616261
VEGFC,0.01980559280481218,-0.02627071828856923,0.017153212500047487,0.031263843773028675,0.02178288567013179,0.08908620730833938,0.05005045273409725,0.04967662293313739,0.06031526634406007
WNT6,0.07284127128075904,0.039404690752409446,0.09017699725596659,0.021056379094253973,0.0405315828024231,,-0.018672753182804418,0.037971809786415456,0.04873111149798534
NRG4,-0.006052484213304323,-0.01267167496731286,0.00219445397324806,-0.04324140947132759,,,,0.04809402684613596,-0.02597576683650844
PMCH,,-0.014604787337762284,-0.01710403856646063,-0.024315529359301872,,,,0.11094295112654082,-0.015196939005640005
COL9A1,0.09041438809194453,0.032340026445215476,-0.03416691041344797,0.039178115963958184,,-0.0012466354411660775,0.0023118835658746057,-0.01662335018495115,0.05447418600012392
GDF11,0.05003445676380861,-0.024359987276291635,0.001462487436673978,0.04535120155633378,0.07064180739813393,0.09346825360926243,-0.027955512856539105,0.09434081213060937,0.03176892201736535
RAET1E,,,,,,,,0.005377172617221621,
IL24,,,,,0.049652564635531464,,,,0.05340043352050245
SORBS1,0.06962073016549865,0.041016765764342836,-0.0696075261706649,0.04509594381347312,0.04257595993174515,0.03790447886144407,0.12323303910011571,-0.08863773979008757,-0.05266955736499302
DLL1,-0.021806045853826554,-0.012040932601340724,0.01356356713098704,0.008584558899124298,0.029806962093073187,0.05977152118052022,0.05298997752810101,0.04603969022097944,0.05800268138791431
TLN1,0.04278721698951445,-0.01139681176759791,-0.04527482190064327,0.03002814652820332,-0.005099473112548254,0.10694592999486444,0.029605368452730964,0.09360355775759883,0.08260388024127428
COL2A1,-0.018405739111937547,0.02388133344521327,,,,,,0.10282967871906618,0.07766492412005269
SHH,,,0.03379214559339794,-0.09499181415661427,,0.16825944227561923,0.07452750961029002,0.04755350810596506,0.1071757456373443
PON2,0.1162731013178271,-0.008925782536121321,-0.1354187440991337,0.03144281005763413,-0.039029424402747606,0.11141494711341675,0.1452306255294978,-0.17220344636528429,0.08726667404836315
ICAM5,0.02386573271341568,0.03425647385979183,0.0043157483936186476,0.0736059497312861,0.02388402839239422,,,0.04516254213806286,-0.045713718015343754
HPX,0.05515418235349223,0.0941126123079331,-0.01889301623845361,0.0010104236654428379,-0.03239614394592595,0.003914260471656648,0.016789891421103414,-0.0034268014881950505,0.1227177852057899
SFRP2,0.022290666292396122,-0.01829140259234844,-0.0037418790046436297,-0.03681318155982521,-0.046428943277296,0.08929580357903522,0.03892645984488251,0.08997200429480273,0.08176446506923671
CFC1,,,,-0.018311040001999488,,,,,-0.07267001161478359
CD70,,-0.02282945295999852,-0.009866717277950163,-0.04717147143293771,-0.047846085976263476,,,-0.010539882434751909,0.08527720834566088
HP,0.07206984239291815,0.011519855515042877,0.00384253777359638,-0.06025401515204388,,0.019543244604640235,-0.039901422905768105,0.07507602646265621,0.09568560727348038
CXCL2,0.04581235595343086,-0.01420282868981831,0.03170365976921045,-0.04647806829074407,-0.0715235911624596,0.05987269395714573,-0.03541676683920988,0.04087377507687677,0.11725515802687157
NPPB,,-0.01774925338076398,0.10886445673955251,0.08128128550229458,,,,0.11057835016357626,
CCK,0.013866121324269875,0.04094157752523782,-0.005107874212506241,0.10310778041548312,,0.027975186597493835,,0.05521809301191028,-0.32214055180953877
SEMA6A,0.00857920590348706,0.030433008324800614,-0.016225574050850032,0.019474768445172725,-0.03729519112956723,0.1259437781509346,0.14980832411053951,-0.012579713127709365,0.18813529599467596
IRAK4,0.07171169231559905,0.033800751784710356,0.011350952702672357,0.04839941057994913,-0.010735592479626951,0.09860059719528158,0.11702949068872913,0.1478618416023468,0.048618123206608334
GSTP1,0.03960684819693736,-0.022116648265721867,-0.022424313733087974,-0.06983025225673013,-0.15690370989561192,-0.006730530510654781,-0.07285406825883596,-0.1007802017971468,0.13988047151664548
VCAM1,0.04716537206090793,0.04248960039296413,-0.0784354742097806,0.048953175444764664,0.1044571715608119,0.0544176205917611,0.03073477509702514,0.07997202183832192,-0.009792473642666532
NXPH3,0.09004807501529996,-0.00018424096482567965,0.06460413424256689,0.04003020546314517,0.03116773059140383,0.06610808189646647,-0.06823804459528747,-0.05574701575880601,0.049975723395167225
MTMR4,0.04605507683283198,-0.024264113471960492,0.01896400010033818,0.03611272522283679,0.12577195843640154,0.1095404937251384,-0.05023915393633419,0.0802595658688824,0.09250899556716531
LAMC2,-0.061040481836737784,-0.013931307985800173,0.09400307091267855,-0.03122522286350057,0.044154055515668054,,,0.03500848491294796,0.00630311328742143
IL10,-0.021197661186782447,-0.006384875115980456,0.013276292821220627,-0.07029528300694401,-0.04779042304280866,0.03615049489705847,-0.07479922057158907,0.08050715875121096,0.08677040424574134
SEMA4D,0.035570396035232994,0.031501200929968456,-0.03519368965786697,-0.0006543657302225634,-0.0007790968855856163,-0.06576659883225695,-0.11324968383088624,0.061066098981583716,-0.019858422889986866
TRH,0.05243390851330987,0.006722951104744976,0.04148925933353537,-0.060971661928023634,,0.03986177000263095,-0.07456465422724992,0.02021936199411004,0.1453540100764434
SEMA6D,0.019659354109695912,0.019510709252070952,0.009818396481979314,0.055375273347238824,-0.08618699194448262,0.09312403433322158,-0.058308238441271545,-0.07959825091118405,0.15397690820865156
CEL,,,,,,,0.058377299198000804,0.08700212053793666,0.07298906898226484
PDCD1LG2,0.05612991587601723,0.015803366969788846,-0.005831067204571176,0.02864226422066547,0.07760524109989296,0.032195045707618136,0.003498791302243813,0.14832936110027184,0.11781317739413825
SPINT1,-0.026549549064823003,-0.013476774651326098,-0.027566927371594673,0.03784129612979645,-0.012934750180373503,0.10028745414338093,0.05859710617046084,0.08323623293310531,0.06609227856972186
CTHRC1,0.05452748807094091,0.026703186171154896,-0.024269694060299773,-0.019298310039607407,0.3189055819590282,0.125522195526712,0.02003734894846788,0.1771300888812946,0.025256017278618124
PODXL,0.07700254408979286,-0.017733332688555984,-0.004251640302399656,0.02082009177819993,0.02038095135518316,0.17603294733457184,0.1130641092795926,-0.008399238587919997,0.1288662131766369
JAM3,-0.047815780871393064,0.045838597092197925,-0.007524447194548584,0.0019500310401422464,0.0841985336326472,0.024547789506055726,0.07135001329417019,0.0878430016989013,0.07998406955009552
TGFB2,0.045840455470601574,-0.00808101447758603,0.027481189599884884,0.037571226343439346,0.07191582227464448,0.09201715864582341,0.09378104889973028,-0.0264195927470199,0.18643368762050644
COL18A1,0.022316097966699706,0.007216678992484646,-0.0718369996938146,-0.021786483877429007,-0.017551400640987234,0.08812455179803735,0.1488253204730481,0.0838211799145173,-0.04993812211511587
NODAL,,-0.02862493663445835,0.008469741590388486,,,0.07378779234417557,0.05747640239578962,0.04387319209458157,-0.014736270920892847
INHBB,0.03368828230102887,0.014089334876040078,0.05849965802920513,-0.0006164253843204767,0.0448898928022506,0.009403113711164921,-0.021121915201965193,-0.019052032001141528,0.08230637598682157
LCN1,,-0.013931311120401193,,,,0.049068784933576255,,0.04910942303913851,0.045622264155282824
ARF4,0.03398098457523636,-0.00934431527729168,0.06789133032794469,-0.027983272174215548,0.0011050132682080163,0.11227332161584568,0.1363431290884351,0.08250743884795327,0.16879096274474453
CXCL14,-0.024271268391305095,0.04698917757778902,0.0649177777878259,-0.029502602795163077,0.11746387833726184,0.14266787056582927,-0.0006642214321446569,0.044940187308666016,0.1437751511254438
LIF,0.11081346450097279,0.06461831966494506,0.03409256860404029,-0.06749127635197662,0.07802608176099758,0.132403094497069,-0.03266434562660832,0.16965287948479155,0.19048602594923653
IL17B,-0.011214550849746447,,,,0.0364687733013363,0.04071629656158275,0.0030805797009859285,0.07029094807940584,0.008479813351770005
MMP1,,0.017261027605352645,,,0.18945559394755743,0.14779531183276942,0.10587343673691878,0.16215831619194593,0.03446314755292968
MATN1,-0.0019410320262560402,-0.018291405084991108,,-0.025115321006888007,-0.00633806146856422,,,0.09917887906526927,0.04167127486224949
ADAM28,0.07867436619923951,0.04677858459628426,-0.03916181494604479,0.04447514709962859,-0.0338518353624689,0.11903960576306387,0.1102571346772001,0.12724159974500285,-0.06148970741261971
TCN2,0.020562910469700334,0.01956372605335262,-0.0487881626326568,0.004768873655263887,-0.2802185988567109,0.032706849405399946,0.1488592380743412,0.11431917809044255,0.09071435161653378
THPO,,-0.023834458187347043,-0.024734022872430025,-0.008963300783708415,,,-0.04227338832021614,-0.008708008871867005,0.09574603396056613
CUBN,-0.015623120557729919,0.026874867831207655,0.02108774897346357,0.015880681790004385,0.027730263134565565,0.10599630925883823,-0.06871623137847664,0.06979786106999268,0.0848586093094785
TIMP3,0.08787274237986008,0.014970430396155043,0.046453444558512906,-0.024241805930173412,-0.01966284574403162,-0.054687753989344834,0.18964904295817422,0.0699225875773802,0.009474065944461273
PIGF,0.08231953615450015,-0.017937828432179573,-0.009784974983803896,0.03762676641943851,0.05730735555333934,0.07538758947239425,-0.00030420658249141833,0.07455283702565588,0.07118087980615209
CRH,,-0.01632218961865923,-0.012749365660514442,0.05307177269961067,,,,0.0009339984510555724,0.04235356855044451
BDNF,-0.013332147427633,0.08373243963198618,-0.02677202735202718,-0.012298168286893523,-0.008751833521254125,0.10476133956625149,0.10113445775190374,0.14073782358367726,0.199482969821762
CCL5,-0.043552652831605095,-0.020849566236632526,-0.016786363599273567,-0.07037596042728884,-0.10573545336071681,-0.003466716409352185,-0.023245049838847343,0.12336909680203983,-0.0677241852420116
GAD1,-0.03461164634088714,0.04038814107503962,0.0197386270172168,0.09747546326580656,-0.049990000019824496,0.06824852165839193,0.01531552084434424,0.003133020206837175,-0.09585628949424327
COL14A1,0.1009431134077446,-0.02188006220006366,0.004650973044253229,0.003580517476954535,-0.0067316373505928685,0.026433389692876258,0.013208842529270112,0.24210298417972625,0.16009434860430297
HLA-A,0.09959702086496386,0.013708623846858692,0.07982305104662095,-0.08153930027538141,-0.14710940922358465,0.03710360103076714,0.017258631644200273,0.058528721664239794,0.04461443728694724
CD5L,,0.06678869247006593,,,,,,,
FGF18,,-0.014768629758043121,0.14080471580642337,-0.02691205592520585,0.0713117214238811,,,0.01548906491558861,0.033672778108241604
ADM,-0.016451028740211194,0.03422828108309411,0.15927950783268147,-0.04003315892928556,0.03838660543688311,0.18066183143325737,-0.11444974484497814,0.03485194732832291,0.23429374243830595
CCL15,,-0.027232124427101535,,,,0.08454890215634349,,-0.00533322938150564,
GNAI2,0.08152920981814828,0.05650515675915264,-0.0837715306178608,-0.081964810296652,0.002648788114231972,0.07767714610859239,0.04604856871046249,0.153185664664878,0.133750890445651
HDC,,,,,,,,-0.10421624031619375,0.028379160470413816
COL11A1,,-0.02898604949755008,0.018227080436370023,-0.00961375048361456,0.010651677180963739,0.18208106921455944,0.04564635966712673,0.030841732651668726,0.18245765299551955
NUCB2,-0.0886255581906344,0.031198966227803496,0.0374812904222113,0.012009198132387943,0.0454017926667955,0.013291521717675753,0.005710151638385174,0.14665877807650773,0.049447628989605454
FGF16,,,,,,,,,0.038913141007078114
CXCL1,0.011070845390819269,0.004450246512956319,0.00016284796646951348,-0.019637498158758634,-0.07056127211417827,0.02359865678971057,0.031537295412096954,0.05269783725547579,0.02522791406768877
VCAN,0.05898821516802789,-0.022259936556735735,-0.10305974165092677,-0.038005780084309354,-0.02277697266931852,-0.15134287660364032,0.004675170389898445,0.06988808810194402,0.16363208805821797
MMP7,0.03895985430658835,0.013085352208880964,0.03391118897016087,0.06782086628253409,-0.04712593752033771,0.1966667285202597,0.0013412429149392037,0.286805341832555,0.10593462325578752
PTPN6,0.0009032894759578968,-0.03469364319157223,-0.03446199630913756,0.01028302558611761,-0.05108235552350241,0.1376569115743436,0.0019298663961666242,0.10010837359609404,0.017208382019480602
PTGS2,0.0787076048184841,-0.04244459370528143,0.06564615410724427,0.03392094752483876,-0.08228146859418914,-0.028783478353002347,0.0474613820970925,0.10223842359808356,0.12363947250237049
XCL1,,0.0015386148856416175,0.05913931793012948,0.01672006936480414,-0.008321282604492466,,,,0.041946335625650304
CD58,0.08184477646770429,-0.014440717883355493,0.022291117566556204,-0.0029532121310832907,0.008538685901443006,0.11622820647999516,0.1033903955718566,0.029977427357355823,0.10838797855004031
TNFSF14,-0.020943426683102527,-0.01802218874935618,-0.031044671547344634,-0.02110602969873377,,0.03798120167128781,0.05024345333380428,0.05805909649424213,0.081456568128145
CNTN4,-0.05372541365878265,0.013007122053350613,0.06355914196884417,0.03191449671546061,,-0.028785217798584794,,-0.002371230322624316,-0.05652021697513275
NTF4,,,-0.0164856155533673,,,,,,
INSL3,,-0.016022732674480532,-0.025031065722540078,-0.00945793564793596,,,,0.04723720490342115,
BTLA,,,-0.002112566006789796,,,,,0.05223144475914764,
MFNG,0.020414915330132167,0.039752773344583346,0.021174312572550747,0.06740835004214127,-0.03339698204705879,0.07457621812636005,0.01569690485912745,0.00870728855173274,-0.005774396597387408
ICAM1,0.05785846996497998,-0.010565524839648923,0.05315628797244797,-0.009017004073311654,-0.08935260106509893,0.13605748757837083,-0.003065615349182622,0.09553941346870838,0.11907673623857443
PROS1,0.049078582772321425,0.02291040855444588,0.042627238942645425,-0.04066283342377946,-0.020831803131474876,0.1925916211319364,0.12489623933123503,0.1923642843754477,0.25579237682413786
CLCF1,0.07431035210578613,0.009759644180338334,0.04688686849702717,-0.03702500574415808,-0.12043999349421007,0.06460761770657611,0.007429530209294102,0.19493405668607328,0.2722514205499958
PSAP,-0.029893799372697576,0.011624360944803087,0.02560731182837012,0.10009578708820345,0.31798140885348375,0.07630218094823009,-0.02310489804082698,0.1832345137334772,-0.021261052462049738
EFEMP1,0.04940676305064315,0.053126012420825985,-0.048625777357883405,0.0014859348902919406,0.04935075125102145,0.2194165277600282,0.04188410066804447,0.2798318745214434,0.30458683247462276
C1QTNF1,0.06274861720124011,0.034209514587959705,0.006066508386840895,0.0448239794699848,-0.07663407250345199,0.10200418707193344,0.009482688286746869,0.08196287255251974,0.3064031704175446
ALB,0.03483175158896453,-0.02477156282674959,0.11670979368320776,-0.012659393596364798,-0.02311249312264899,-0.01951332318467585,5.3193825606911366e-05,0.0035899929447086804,0.08314413677790515
CCL13,,,,,-0.004316293006737181,,,,
EFNA3,-0.006354849673728926,-0.02628287822664734,0.07952659242708143,0.02075546888909395,0.14099036405170193,0.05329250391789086,-0.09397980581029973,0.05141086088498136,-0.0684932653438135
DRAXIN,-0.006733211280465152,0.027138540540617245,-0.012495949397852816,-0.0794321766404767,-0.001185465386495849,0.1043801517758938,-0.07549845997204034,0.1689953440796132,0.09248808252709413
