,UKF243,UKF248,UKF259,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.04152883272831178,
BMP1,0.08839131838174233,0.02578769992861689,-0.03964519131229014,0.012291915700856542,0.21804740261264646,0.10376456235465421,0.07162822730214015,0.11339857361942748,0.14788111471373658
NDP,0.042698111339974594,0.003825330038691471,-0.026216355553349176,0.01916602882946342,-0.018249171634586888,0.09023126521254844,0.13791043866481656,-0.05776273784917032,-0.018079057800890006
TNFSF18,-0.02065293521029946,-0.02723213112352285,,0.006806313349533615,,0.053420592608436866,,0.004984915133397371,0.078576071767162
RTN4,-0.042306727503623166,0.02992486560743183,-0.04317998356996263,0.10263706130046149,0.08542910785364909,-0.038792079670772424,0.14067672132712006,0.11338148405455914,-0.22576166373089082
HEBP1,0.033327184168138305,0.027042544517179412,-0.05063167065468655,-0.02116143176452914,0.11912906950151801,0.06706798706101467,-0.07009520278711716,0.002513047211208925,0.01757713173881467
WNT7B,0.023714271135664478,0.02141985795873246,0.046134241695054624,0.06473612785857728,0.09342098606516715,0.016679884722604784,-0.04430876366797769,0.09201653285248494,-0.0003897013842420334
PTMA,-0.1391776106046836,-0.003840458451788284,0.006256942748437411,0.00968419867344879,0.03329059596665172,0.06282607814146113,-0.043588838325973274,0.07937024633623928,0.07999685058420931
FASLG,,,,,,,,0.04710793088556322,
CEACAM1,,-0.01733250514458667,0.01825510857812737,-0.01258386945198523,,,-0.0021013146515919045,0.028845887299687546,
PDAP1,-0.011145352200627259,0.007913479697184358,0.012084108572307229,0.040711664575115464,-0.040572774483874245,0.06958781760782876,0.009230582192173733,-0.0026809250585321147,0.08517531739124959
QDPR,0.004698020936528246,-0.03210637645858792,-0.025463583995116,0.02804396927696761,0.07463325580130731,0.004713466754369893,0.13433272691647502,0.026917361344721752,-0.2039451148563377
POMC,0.05289352583931248,0.02582227325342631,0.010408104788891667,0.007361471319880271,-0.019621599075834797,0.011748133293499908,-0.04726706015703036,-0.0037957370825658656,0.0426074887201855
CCL18,0.0164330185300793,-0.021629328775557188,,,-0.0025431510643351527,,0.09208578661055901,,
CCL17,,,0.008411620817718273,-0.03246257089060462,,,,0.0513911146643188,
VEGFD,0.05019753153348343,-0.021629335643882128,0.03144913005010997,0.07395825940745877,-0.04939970952216525,,0.005120441160565993,,
TNFSF13,,-0.01632219075818291,-0.003470394330927463,,,,,0.01403980520226684,-0.035778379758419424
WNT5A,0.0583674598824637,0.07204553171381917,0.006994110062639668,-0.035848600278406896,0.04544241338060604,0.09270525402355399,0.011314756161470837,0.08208364768023396,0.08162315249835826
CXCL8,-0.003930203445784754,0.015094308927576384,0.13874389649651947,-0.009900317274134606,-0.09129998798123812,,-0.06678338440895959,0.0034687765679004396,0.06991689345616343
GRN,0.06830516564021241,-0.007323000603705806,-0.031036662179935212,-0.007105254664844364,0.011132739073638497,0.13222914162631103,-0.038780943440664906,0.13975706696745688,-0.08955115680123435
MIA,0.10873561518218879,-0.0068280065549701395,0.02420955005843127,-0.028922957047721264,-0.01586893254335124,0.15985910288962077,-0.10396576212695627,-0.018459500005566145,0.11254552672270343
COL4A4,-0.014107696641663817,-0.025976648126209024,0.03180406961930702,-0.009260457633125153,,,,0.013786119887371093,0.0874696700604353
TAC1,0.02160838841111558,0.02168275508722003,0.04250321187647338,0.09568726676649583,,,,0.03842171036440365,-0.20000480215197405
RARRES2,0.05484506798558487,0.027589103102768173,-0.007465406672166644,-0.012213529479857498,-0.24023369083221396,-0.090951643081141,-0.03061078522607666,0.11879041847401839,0.1356708477845392
FGF7,0.08059751292251256,,0.0243224403794892,0.04621477645385146,-0.002741047251707925,0.09648851059058515,0.014852630266195743,0.09432362607725893,0.04641583065904004
HBEGF,0.12806095927642722,0.025333236037396116,0.02434241885737493,-0.04059481578184508,0.022481681045639777,0.16169920742246174,0.06542832082186371,0.22922067675170849,0.16403245221147134
CSF3,0.06374219307386388,,0.05935459888594142,,-0.11831696197968065,,,0.02075694427565086,0.02239120399195728
PI3,0.13608715945347918,-0.022754965802329552,0.07600842366200013,,,,0.018499979108499043,-0.03751341953631427,0.08713280428926222
PCSK1N,-0.039112965191606286,-0.006997576182839464,-0.06706802916132186,-0.04938556053642735,0.08399085954931995,0.00743832159983028,-0.04709503177530772,-0.041314178295724605,-0.23413656003162686
NTS,,,,-0.038717588465428755,,,,-0.06385875807058956,
SFRP1,0.04632644391182065,0.012177090650656341,-0.03445070353865128,0.08661895105909537,0.09599505192912712,0.030102231789225522,0.05986448936841529,0.06181258345041005,0.018684745292787172
CXCL13,,,,,0.016589527680894833,,,,0.1422000838077247
MICA,0.002524160323827401,0.03022278041356148,0.025341146663822266,-0.04299162768821983,-0.08779850853428703,0.11452229834342362,0.08349479541867118,0.14801933774898207,0.11213032851792193
TG,0.012501764576727645,-0.03406094554449231,0.01943204714100031,0.03966190162318541,0.011603299665487963,-0.034966719224784094,0.011560587322531965,0.04170543726953895,-0.04047024227342763
ADA,-0.004367100287952566,-0.002721851695988794,-0.0546058832572281,0.0008283836658228425,-0.028159482435797873,0.057767496768417595,0.039403111490162894,0.12857915708850756,0.03474802258227769
