,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1
IGFL3,,,,-0.016603066922777937,-0.023395957253568828
BMP1,0.09641872469653603,0.07465150284551068,-0.013304516344471778,-0.026182587746560362,0.09955985381804745
NDP,0.05367563364659453,0.0402919433645456,0.06118610205843315,-0.008003588661373056,-0.001803864426820473
TNFSF18,,,,-0.017122449856119656,0.0032630237843290946
RTN4,0.01332053289043635,-0.004337655046141016,0.014112181626348062,-0.005207855638531639,-0.028431209997069565
HEBP1,-0.01238145553828919,-0.022446890363599183,0.031146027399569353,0.05793849246312486,0.03458774553642508
WNT7B,0.041662692786197116,0.07216725308107301,0.0239836065825413,-0.03580442781929697,0.08616971031111909
PTMA,0.13838840661506,-0.09180589555095528,0.01005210605738082,-0.010797458761184481,0.08188992538655414
FASLG,,,,,0.04313695355708585
CEACAM1,,-0.0187637893835166,-0.015175142219476858,-0.024603172835283783,-0.028232371692954093
PDAP1,0.12350265572945275,0.03064289026005128,-0.08576990599789344,0.03415978327560905,-0.03856278590749421
QDPR,0.11782117964333068,0.06396680744749161,0.05612674430828749,-0.020324004851646083,-0.03044661876812656
POMC,0.0029457646096164485,0.0036505655339980105,-0.01132451412128745,0.08166017891376683,-0.01981703663724934
CCL18,0.09566463877040307,0.07299586648543518,-0.02537790095106141,,
CCL17,,0.052312164463597495,0.015006713035106789,0.001958543915036874,-0.018391789545546478
VEGFD,0.07402759958425979,,-0.015175142219476858,-0.023087388426986905,
TNFSF13,,0.04086855795909239,0.027129523489925342,-0.023474392142375577,-0.015392090666380066
WNT5A,0.03808239958662914,0.06995572966261765,0.013538776312100476,-0.009208394802095782,0.06060838819394033
CXCL8,0.04891901468147464,0.01316347495241357,-0.05336455741184469,-0.031079290495381752,-0.021429798459520234
GRN,0.015843872956771823,0.08709312783146227,0.026868462957720954,0.031021610557325996,0.05367567339028141
MIA,0.026035954758837573,-0.0027754685037129252,0.07305888943842559,-0.04074701743383973,0.0316891965200152
COL4A4,,-0.02212065695388704,0.010096471790868517,-0.018549856123369828,-0.005670014526729444
TAC1,,,,,-0.006272562562463805
RARRES2,-0.06916409861481636,0.05054735992275061,-0.0016378756566561446,0.033493801544998744,0.011768169842917278
FGF7,0.13479171785232247,0.01798561518535624,0.020669958635448422,-0.01488217754130087,0.02564947263356579
EFNA2,,,-0.014422957112398821,,
HBEGF,0.12325216125685066,-0.014788936323226209,-0.021610763367367083,0.02623682185559014,0.06256365804703873
CSF3,-0.014584772847490352,0.05929390556308546,-0.007367329012964697,,-0.019363717123043675
PI3,,0.013926796120755225,-0.07836939413904076,-0.01859928207815371,-0.002343722624094372
PCSK1N,0.027375423546401625,-0.07504715054983284,-0.012548031857594686,0.0533502661384943,-0.05409763579804077
NTS,,-0.031055511145936448,-0.017571636291734593,,0.0747984834221253
SFRP1,0.0073563618327412966,0.03611697027886262,0.030785781997551796,-0.035988374628122016,-0.012684819973046735
CXCL13,0.02002610672690212,0.061875154404674115,-0.014798495514698006,,
MICA,0.04965849630241373,0.02415035098527054,0.06007467919713494,0.019549814186396692,0.03312563710359795
TG,0.0015422311500600376,-0.01768832030709835,-0.021641390961751078,,0.07470295744694536
ADA,0.047450512412544055,0.12723313720566254,0.14558120343620573,0.04582393140247123,0.07910968029461404
LAMC3,0.034295876365156276,0.0868512900623582,0.10231655951619298,-0.021725950707165195,0.08045691081061282
CCL7,,-0.019951620137266056,,,0.10341930840290058
NGF,0.05159504074911834,-0.023042524010583345,-0.014229088303834524,,-0.006001288591939731
TNFSF15,-0.009865705203902397,0.22289788441739292,,,0.03861612264590931
HMGB1,0.08584109661979936,-0.010112947496414358,0.009292504983533914,0.040521074079311166,-0.11069475003097691
ITGB3BP,0.02268832064662871,0.013551899648805177,0.015725634182610762,0.007111435388086244,0.0030846771254237
AANAT,,0.007585393514244723,0.14970053459981664,-0.02707745614329784,0.1334149323944727
RELN,,,,0.015172632785209958,
IL15,0.10063750042953341,0.0109729406367608,0.061168062748186404,-0.03372005570372055,0.092761782817835
UTS2,,0.013895492058829157,,,
BSG,-0.008878538006299511,0.062045539029541893,0.057213614335906694,-0.031966068115952574,-0.005368467190727271
ADAMTS3,0.01201320625723186,0.12924306050232576,0.02277213315298839,0.0072150191584483886,0.025975459864075384
