,MGH258,UKF275,UKF334,ZH1007inf,ZH1007nec,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.02729382772522641
BMP1,-0.00840264003204366,0.002489931772604908,0.057448984024484985,0.00877335084908689,-0.04513799621699005,0.02184873785144169,-0.013722381125504116
NDP,0.07702216640757767,-0.0065745024022966815,0.0411667075266092,0.058382474511425704,0.08132455083971286,0.0018972203463901523,0.0836041330896929
TNFSF18,0.0865348543060102,-0.013259369982904992,,-0.030975987255106724,,,-0.008994800761403972
IL36G,,,0.10280408228661969,,,,
RTN4,-0.00583818557601464,0.04526207521738187,0.025279646333803606,0.0380531300037607,0.081771464840272,-0.06427738083849835,0.024004487771415218
HEBP1,-0.0034626549625978,-0.056947607184105534,0.03465485668800777,-0.0755374899112338,0.1639078781895611,-0.023561734082490987,0.04513288813294536
WNT7B,0.0121310922370408,0.00808467036411543,-0.0240373516615921,-0.03410153854394054,-0.07558061256038055,-0.03537363026265415,0.14523479024860636
PTMA,0.05115236863980909,0.011434906327612413,0.04031186488809287,0.03959973971324198,-0.059032320590286014,0.05282072679753425,-0.13806768929183255
FASLG,-0.02474316448762502,,,,,,0.012353092490224425
CEACAM1,0.04547985035855433,-0.020853830149864885,,,-0.056914096581119636,-0.023477992868805826,-0.03293601030769984
PDAP1,-0.005139980537756257,0.014776577214246646,0.07020624040410964,-0.03998402137164695,-0.05857508920152686,0.0005880908067444485,0.04519702640004434
QDPR,0.08279680871790716,0.02483870809831402,0.020671161094875472,0.045288629865982206,0.05536046915766954,0.043754869333594466,0.12488606424203749
POMC,0.002051519435961087,0.056120890699394396,-0.0013767152576499662,0.038781711234191926,-0.019233363079410103,-0.03840691213200609,-0.011254095885341733
CCL18,,,,,0.022631180226146515,0.020095104296989158,
CCL17,,-0.01653701588872413,0.04615383597631202,,,,0.0394437686956314
VEGFD,,-0.01761879170938764,-0.004976743917819788,,-0.054979626471843165,,
TNFSF13,,,,,,-0.026364212437064254,0.03945077995005338
WNT5A,-0.059440603682878575,0.027811686808823982,-0.03072653391279461,0.07529056677144447,0.08431838220540976,-0.06916912961410673,-0.035824924267108385
CXCL8,,-0.007502492264382991,-0.0017626105511457841,,-0.03114968470829293,-0.01504075363927672,-0.021610882559926572
GRN,-0.05778311584780808,0.009765878108463032,0.05775604681575807,-0.05559723226690106,0.007203389601678377,0.0587390774551645,-0.1269912799263935
MIA,0.05293446398509072,0.04745737664641046,-0.029324308972652396,0.07853457500214676,-0.008216725068263545,0.08191908768607227,0.11516554832360243
COL4A4,0.0032038397794043817,-0.01726515622113012,-0.004550251119794502,,,-0.039369626933746966,-0.03528441563762374
TAC1,-0.0247431510258873,0.03739579800596054,-0.03603027402105627,,,-0.0016065754440320113,-0.028206019376033273
RARRES2,-0.040739838539312366,-0.0421633704235415,0.03389636962489211,-0.02753205420411886,0.023449804526693523,-0.014881820146138354,0.007385553840927653
FGF7,0.056084626033534236,0.009907427614569546,0.04854378868724999,0.0227806931166173,0.026676949036801643,0.1000625604990405,0.018388758860376945
HBEGF,-0.03416096583453008,0.008865469919623222,0.04210284298041047,0.02485434463558169,0.0005916402296305733,0.027624817923288594,-0.04976764939050512
CSF3,,,,,,0.04936658826267415,0.014297672808500732
PI3,,,,,-0.0019353348813797918,0.029255818632645415,-0.049080127341713506
PCSK1N,0.01654485207880979,-0.021484674932806796,0.019018990736662272,0.03259359889581168,0.016864799961890407,0.00726211552042408,0.10853374195164482
NTS,,-0.019723434036802875,,,,0.006562607149936851,-0.03345241115566746
SFRP1,0.04044722029542438,-0.028942097262972106,0.0053059580519270256,-0.03239494351666037,0.003264360053269666,-0.03864489720588296,-0.007998951212741905
CXCL13,,,,,,0.07785006227211691,
MICA,0.11043724322178199,-0.02191609136748801,0.022382898049624737,0.029618922251057122,0.018091147149933737,0.004145925565056205,0.07525809766834048
TG,0.08337558766381943,0.01714260812240932,-0.0300107027544766,-8.050475859531943e-05,-9.978292332369537e-05,-0.0006353091706673832,0.024429476159446045
ADA,-0.0007310951445523227,-0.024125707184189202,0.02721316560020348,0.007033594948257659,0.09844821842577872,0.07203758804626571,0.01824831160637457
LAMC3,0.03136991605136868,-0.02995351000186677,0.03473856225629808,0.09686352443281503,-0.031103672146917657,0.02145467649969259,-0.08203803548578324
CCL7,,,,,,,-0.023671919057210132
NGF,,,,,,0.06924564924041908,-0.05941106891632695
TNFSF15,,,,-0.036590745437987675,,-0.02090160515841735,-0.06254530854316775
HMGB1,0.04640571769810438,-0.027813102077760842,0.047161570670622995,-0.020438146693616273,-0.02367401975211809,0.08298139053088628,0.05124442602644818
ITGB3BP,-0.030154986490573785,0.021389944173490258,0.041340678915571215,0.00040117048119873923,-0.05821531040966694,0.027733888660273702,0.017840423722328892
AANAT,,-0.014982810991896462,5.772839867365022e-05,,-0.012673564771886863,,0.059330430212414055
RELN,0.03417839038757088,0.003525118441234218,-0.029669254048440688,,,-0.025246873875758937,
IL15,0.0003698550479589576,-0.034830519829369355,0.08360914258226901,0.13935346554999994,-0.07660213459982503,0.022386762868384043,0.03918902858308327
UTS2,,,,0.03442035486368315,0.04344921885350834,,
BSG,0.008419338669257362,0.06349786327103622,0.031680063705190956,-0.005718980395805147,0.04317720997385619,0.009911919428116029,0.04748766581549652
ADAMTS3,-0.029280680705824843,-0.0018507628111559275,-0.016419992333791055,0.08435556617478283,0.04080703326372027,-0.016010855834372447,0.09738860623006626
CD34,0.007128668678366936,0.011591074548449657,0.02164639885816931,0.030528507215984855,0.0771851480992718,0.034843803612203836,-0.09392037954191972
CCL23,,,,0.008113458968508248,,,
PLAT,0.05091953948521304,-0.024793064989811424,0.03550895832386009,0.05594491892772791,-0.04732619717706305,0.09138017329649947,-0.01449312113750265
NTF3,,,,,,-0.025938945583940196,
LTA,,-0.014430008438300496,-0.011371893753976039,,,,0.09524790309447777
CKLF,-0.010919151568202033,-0.019676494722837227,0.028098363247892486,0.0780463926603108,-0.012773010891828996,0.060010012191391016,0.03637619080907616
CD24,0.045695095911500776,-0.02654783559794999,-0.010881021490123377,0.0639451277522573,0.020087793903630843,-0.05011348556134311,0.0419889763646441
HSP90AA1,-0.04466338496387761,0.0012600313205808052,-0.07821496717200739,-0.033276850398471156,-0.1147189495726335,-0.07665532856860904,-0.06220225904508609
BMP4,0.06378137153252911,0.024081943611541506,-0.005080514740480481,0.0029525868649035053,-0.005344623076258417,0.029014109797097076,0.0005240161834689715
SCGB3A1,,,-0.0173436383699539,0.029967159688503903,0.10705236757470589,-0.043406038537391056,-0.024212611685813734
IGFBP4,0.06891688423663961,0.02779454761808248,0.06549110700427667,-0.025143016158632146,0.0352208388338393,0.05240146328891594,-0.10633762157238114
RSPO4,,-0.016782978290296905,0.004022658938342983,,,-0.02923211969547343,0.005617479848398467
LEFTY2,0.05582689530794903,0.0009239091337917294,0.05990455486415963,-0.023616235796343525,0.07321232778860191,-0.030358922619220984,0.07002772390071882
PF4,,,,,,,-0.03370796885496443
