,UKF248,UKF259,UKF266,UKF269,UKF296,UKF304,ZH8812bulk,ZH916bulk
DCN,0.10555446937326386,-0.01440208357570974,0.012053045342444968,-0.0398385747141217,-0.0529573030176793,-0.08400874468841114,0.025164897306316304,-0.03317453482883126
RARRES2,-0.03717476760413281,0.029823918604835086,-0.05029046313543627,-0.05746961501628534,0.043401188472968345,0.004579100263463541,0.0032663571543102756,-0.049982979376335016
SEMA4A,0.011737243862752652,-0.03371749072168642,0.053321764549142205,0.07027630063656479,-0.022760990861926976,0.07712971239984215,-0.014935045528550524,0.013565631379464713
GDF11,-0.013512824484770848,0.03140972833581449,-0.010909185955117128,-0.021352430516024846,0.037429434551369746,0.12766032353994325,-0.044073342645946215,-0.03898405590499912
GPC3,0.031436712755330935,-0.019023801434440175,-0.011709022228578742,-0.02125894050531804,-0.038730593183516585,-0.005311848747470674,0.054615894863726894,0.0248304450172821
OSTN,,-0.024629291473870576,,0.054795171907744106,0.04693986007669837,,-0.01895086269122178,0.014825720729703524
GRN,0.11141125260718407,0.04565126813123316,-0.05729959781000864,-0.09184835346576363,-0.049765654090844554,-0.0722470610929278,0.0896647542333104,-0.014681258898140676
CALM1,-0.07110683100152781,-0.03904571305611751,0.09164031663969495,0.09842372085688611,0.05974524597579342,0.12342655259653429,-0.04763444374058437,0.09174665513586693
ANGPTL4,-0.006059470100585546,-0.014554885170437454,-0.06524442414271191,0.06557144474485216,0.011508931415064965,-0.04038260026500194,-0.03858908199772459,-0.057310809541695366
BMP8B,0.026073250257004653,-0.018787874325491935,-0.03305740967642645,-0.04410705589045785,-0.00950876013106114,-0.07862594604304513,-0.011104769974735813,0.009153188145482598
TNFSF4,-0.02627072620694841,-0.029225123840328326,-0.01831954748743061,-0.02496306539203162,0.07712481819326072,-0.04567543527945952,-0.015011142139075995,-0.03433766760104185
RBP4,0.042491361115910314,-0.024253251661743164,0.08866587868416531,0.050402805187146585,-0.0571842131865673,0.00946490654052605,0.09449176017444003,0.05785481584273397
DKK3,0.0012356283953894628,0.04747627126849559,0.039764975823748466,0.027774176742129446,0.004737479400116975,0.11099950502814883,0.05166654835573892,0.07259908296164973
COL11A1,0.09290431197981812,0.024180681145230136,-0.010847494733040688,-0.0011574405158209988,0.009724177292625927,0.08716275617260569,-0.029182840390618157,0.0006260859168134558
COL5A1,0.1440286270718542,-0.024743389029103818,0.010598282215653619,-0.05561942546726617,-0.005972662357385639,-0.06648046633127454,0.06307152515814526,-0.07537241045811799
KISS1,,0.01204966772183901,,,,,,
MEGF10,-0.026050428136349363,-0.013794611128511911,-0.005202804208245785,0.04012314312668873,0.0864529893795775,-0.04891691120112534,0.08337867891448801,0.06839139636661115
CEACAM1,0.06051565493970546,-0.023636047870691942,,0.07530317802246615,,,-0.02764670193657156,
