,UKF248,UKF266,UKF275,UKF296,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,,,,-0.015863882550400273,
BMP1,-0.018725124153353086,0.005566604125296133,0.035542048179416946,0.09304702098117526,0.04932295979217867,0.004616105710944822,-0.02710641301046216,-0.014462476668503718,-0.03942455901145353
NDP,0.009264781202719714,0.033313737878853916,0.006543387401581419,0.003771653896223725,-0.04861265444958358,0.07291220083659124,0.13962991085741414,-0.024701379109637885,-0.09048033785947837
TNFSF18,0.012735905418914497,-0.014769706636064856,0.13942957847255524,,,,,-0.016360142060256953,
RTN4,-0.03381465171391668,-0.051992838742146254,0.009644504149628119,-0.025850400388811107,-0.0024413043104648665,0.005760682979395043,-0.04787557115023623,-0.05995449539459472,-0.00036861095274955515
HEBP1,0.026475091295734724,0.06409386834514655,0.06412068481533345,0.047111824149538364,0.03160567919635041,0.009963671395456652,0.07279162385235873,-0.019588376440690083,0.005280847365907872
WNT7B,-0.029859965242859464,0.013532591490563175,0.021056565427532058,-0.013333401732465127,0.013509168377072002,-0.008534435843492652,0.019817225907234556,0.023579205417524656,0.10725508246590405
PTMA,0.10223999638971133,0.11806564412803905,-0.008568840899776893,-0.057334472569421764,0.038523368317488704,-0.06137014954618235,-0.10290885801422445,-0.024007480107537223,0.058889148091959526
CEACAM1,-0.019506065603297224,,0.0277382748542023,,,0.034503885024937134,0.003309751503783871,0.06549905815837598,0.1077585796330876
PDAP1,0.046287715589759366,0.060931053415793,0.04053876444633162,-0.003666832884297129,-0.004134064882050057,-0.06111813451633261,-0.07389229365213723,0.05137095575338814,0.005584590381548679
QDPR,-0.026894833496355113,-0.0243183570399462,-0.04092108598116925,-0.00160442165426671,0.0068927751357790255,0.03221221375089534,0.11407929634944472,-0.04457124348435944,-0.0529555362034312
POMC,0.01861814185130795,-0.02951055131179346,-0.016638026142283636,0.03695847819058773,0.03953525791632779,0.0635997605591064,0.10985375481050334,0.04705868406089153,0.01216113187694668
CCL18,0.004025722411398878,,,,0.07985321123895876,0.06458434668650799,0.03731727518062596,,0.0002419284684498214
CCL17,,,0.043299335472191815,0.018147719491915928,,-0.036588460076886695,0.0440624885382533,-0.020915612765224238,
VEGFD,-0.0243417345909209,,-0.019053594199105406,-0.012105160067877664,-0.019128433444291302,,0.10137529951988655,0.0005760908341072394,
TNFSF13,0.018016516808749734,-0.014323534302371786,,,,0.008650997787273974,0.08535266357806158,0.11283716182437356,-0.022838223186562312
WNT5A,0.0049404785599521635,0.12670487115648274,-0.02483362296472584,0.03207059176888341,0.02125444558149005,0.04579217688201067,0.04557923610637261,-0.02593836184730621,0.016431126823354885
