,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.008087856333735148,,,,,,,,,,,-0.02454493148907307,,0.01673536059132488,
BMP1,0.02082918744949071,0.04540063807568554,0.02992749266017102,-0.042910100908954654,-0.026464187700288702,-0.020519376108537022,0.01114454071817541,0.10091952613233517,0.02631358612667636,-0.008135502848945118,0.017545366773041787,0.060899985869155564,0.0759716165203727,-0.02329241406269965,-0.004958604245206445,0.047091785715525455,-0.04514660461905956,0.06325485219357965,0.03508423511186908,-0.08230090894854974,0.07039310761875096,0.008892318744365937
NDP,0.03049536997771713,-0.026738772016121754,0.04648420250207963,0.011463815320899896,0.026515773977205677,0.0012086964608427082,-0.019572842626840486,0.010342293004556127,-0.04952020001143001,-0.019277258815697595,0.024372613694126636,0.009057452145166482,0.04142346082073355,-0.10929268141851725,0.10296440721937347,-0.061139619284423935,-0.0017568849777106555,0.0113232746316219,0.05606909424778283,0.0632187147901813,0.11775234488737064,-0.05250961839266528
TNFSF18,0.12841570029054136,-0.022414951337851853,0.004015772342449973,,,,-0.01221318914711231,0.027618852845108066,-0.014682541320460497,,,,,,-0.03363635650313333,,,,-0.025312754601198032,,-0.032001263713878556,0.010475510540660572
IL36G,,,,,,,,,,,,,-0.02809194896905712,,,,,,,,,
RTN4,-0.04707332311739103,0.03631733257368911,0.040312031731410305,-0.034526020929672746,-0.03256338067445424,0.009847008732904167,-0.007768927034540415,-0.1314884744825868,0.03535197449399377,0.018694947611016585,0.039348909613839696,-0.08751701828273241,-0.007869654949633775,-0.1059004594032812,0.000693355386261553,-0.004847971941085715,0.01791691924849391,0.02030768303082314,-0.03816369266752293,0.1095836681888971,-0.013320042664700873,-0.03485732134301952
HEBP1,-0.03445917355645263,-0.010691924273437601,0.011827168062253058,-0.006942165330435471,-0.005040734299444776,0.061177583521094904,0.018524950256891205,0.04894114220770072,0.004181582585684519,-0.02538499523959835,-0.050250573921502756,0.013602235111177762,0.02851740228186603,-0.02419303673556666,0.033060887231894466,-0.04070235647721237,0.06534554617697415,-0.02358857064052233,-0.0026523920864483046,0.02904598163121338,0.09337233001843305,-0.030092136795416363
WNT7B,-0.06380277071422169,-0.012825132778634977,-0.01759317569539726,-0.03905668760853749,-0.006394719242017912,-0.0378418480734506,0.035710308912079096,-0.005470471511053192,-0.015389128694841629,0.03354949606563218,,0.0412668960995251,-0.006976670085482841,0.02226235763970388,,0.0686129634771158,-0.00911917586891591,0.043068795372730076,0.10139139614097098,0.024791312790128056,0.09510353809875616,-0.0014182858487663754
PTMA,-0.05706019405155865,-0.02865032867235352,0.017837195192799114,-0.05414994704623679,-0.012646681430234159,0.015493213413299624,-0.019328519547757272,-0.018064765103740728,0.02457735414986643,-0.01730885033025702,-0.04049792415488307,0.040330309581956214,0.06471904783821145,-0.05796358670327767,0.05316197384133293,-0.05724234189531483,-0.11693700540581825,-0.0791438126300488,-0.1190998971961845,0.043418786556475,-0.055194654757316754,0.0597829011023166
FASLG,,,,,,,,,,,,,,,,,,,,,0.10344155514984552,
CEACAM1,,-0.018959963261548324,-0.02242950052552017,,-0.02506975809846772,0.014347816556951925,,0.009440890056609478,0.06250723484870603,,,,,0.05144169940100287,-0.006218159534152351,0.10428871497380598,0.0009037300625900572,-0.003056797637126287,-0.008524376951730923,-0.021514599042484758,-0.010590587461740278,
PDAP1,0.021508670701404255,-0.030213316082480582,0.06141038300601017,0.03561780580673138,-0.02891966166152079,0.0295685322939317,-0.03401242591123992,0.10464915655959109,-0.016833861079552145,0.025769596640593296,0.06118097219787791,0.08739947312689055,-0.0030006223966297613,-0.02343883915165038,-0.05572959507194999,0.04824217490608012,-0.056013664808900354,-0.016139804069989928,0.07324778447472594,0.04969067561216135,0.04273779807806686,0.012902831814169874
QDPR,-0.0006747141250272563,-0.10728523017472316,0.01757369607282639,-0.030138209050805876,-0.042041350760945215,-0.05201270600556332,-0.007873637637223095,-0.12509470768547123,0.027510342184866584,-0.021367306872262078,-0.02109638211687773,0.04370885833449696,0.017692687985981954,-0.013897256094585274,-0.04800263719961537,-0.16137348625565737,0.04799705273048382,-0.04024484793414575,-0.04006592837823486,0.0034220906416928022,0.06513837386450497,-0.06567020689609261
