,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.016337606942429465,,,,,,,,,,,,,0.01964667477554739,
BMP1,0.05126670006043048,0.0481011905173058,0.0467708517071689,-0.07650554785713677,-0.006694934971276428,0.009226032872733356,-0.012317166532994316,-0.034714876772689494,0.003311097608926898,-0.029856098432327286,-0.013431093450285406,0.04345358833551941,-0.052212896556972754,0.05474269128991333,0.027096138498219454,0.02184125727221502,0.05362872927217704,0.00572012411071707,-0.06494656040220803,0.08914260250592285,-0.01998859744977581
NDP,0.007488507661826158,0.020338811339167213,0.1316261465577311,-0.0386075758768376,0.0038661809711859267,0.00944208172616083,0.01972923832686676,0.01891761227741947,-0.026795986057099364,-0.052315714390776855,-0.01765700651896958,0.01691106996574717,0.02822995161652781,-0.02770444177299447,-0.002598647433462253,-0.013253765155768543,-0.03229405464672766,-0.025225271451034526,0.019150029624693542,0.03886806457312866,0.03312217274067057
TNFSF18,0.052848958479947125,0.022897364893456312,,,,-0.0036754053582778467,-0.024260855841107026,-0.013506324708277803,,,,,-0.03189163120236941,-0.0041884967029840355,,,,,-0.03597298544759927,0.11128941832128081,-0.057999280492778006
IL36G,,,,,,,,,,,,-0.02397850387645048,,,,,,,,,
RTN4,0.09535627299014286,0.038103586838272155,0.03121948067847295,-0.051531984120456606,0.07784925756970483,0.04657245609574388,0.07093338440809062,-0.0027643246106852717,0.004330665803986037,0.06255197442650964,-0.03390185810539103,0.07159202398964791,0.012668187469281144,0.08779792152334268,-0.0154775686083805,-0.026783092870044746,-0.006872629858662876,0.022969984920587338,0.08578790189815069,-0.01737414744694043,0.01932601505156633
HEBP1,-0.09656508627123435,0.03677050347488236,-0.002126568274570943,-0.0012681878531227912,-0.017979060919735793,-0.04266899211056052,-0.05168165645064932,0.034336568502206705,0.05111605981062401,-0.02360919212967983,-0.03090539634270083,0.008389248869869727,0.07459500910449449,0.06282557436052516,-0.018690464756366536,0.00418113710139835,-0.0004479909205475008,0.0456328416227789,-0.050610979110064784,0.08017123813743947,-0.010671537916472342
WNT7B,0.22427286716397568,0.0044685304141977526,-0.023800152689880814,-0.02275399112242818,-0.005154891266726752,0.05412933381239615,0.06909554338489123,-0.01592380315381198,-0.017219594069275954,,0.045970236857285615,-0.02635513907656336,0.007678509246519039,,-0.013204762474131104,-0.029917929485811394,0.047920260900958196,0.004837851341169464,-0.035972948146315645,-0.025063642501534922,0.02312458504350846
PTMA,0.0003982627073918982,0.07603319485383978,0.10871614803481325,-0.006572969413464087,-0.040392309942281844,-0.045125802612561515,-0.08184351733180331,0.05180050279851454,0.005806296555695726,-0.1286184683244366,0.10905941283473171,-0.05607994504061593,-0.03740111781200516,-0.05777229738616628,-0.04315453899566183,-0.053317656996917484,-0.04922141112370874,-0.005645012138451044,0.01489706966199615,0.002752402618146644,0.050732294326267746
FASLG,,,,,,,,,,,,,,,,,,,,0.009809326572962062,
CEACAM1,,-0.03381716611433686,,0.06504968169675882,-0.021335363150465324,,0.018946038943797625,-0.00781255801735064,,,,,,-0.04562823333301279,-0.030919765424298664,0.03618385152073027,0.05653266911108068,-0.02786714199516458,,-0.02463487577481267,
PDAP1,-0.04606409696945451,0.010975810521855055,0.04653868425890208,0.05172465936992538,-0.056124849305131716,0.019608641342377546,-0.02000233922597743,0.05469385630011688,0.0353158648768717,0.006448891945460455,0.06943595592546394,-0.01802375784901042,0.011181062049433511,-0.08507628297066078,0.036696257615728325,0.018735356589291503,-0.03142222816841625,0.020743553122131966,0.059786095694032655,-0.0030872662569865405,0.011192831183800265
QDPR,0.05947473195060625,-0.031186085224858946,0.05703573378496428,0.03806064807255849,0.06570115984772228,0.02269658025853107,-0.08020315935884736,0.023171535214191987,0.024373910568876243,-0.044064507219160845,0.11086040093531488,-0.0402219620584465,0.03001248330977062,0.0018530416197552772,-0.07597783132766496,0.03955638890818898,-0.02182588136175131,0.041128016300294404,-0.009845463473543323,0.042114444968452014,0.05130718587964169
POMC,0.08216267545266943,0.022157123401202624,,0.0010158300463072182,0.00034962075045254183,0.04308481063409284,0.03109715799112741,0.019693761972241652,-0.011016120113337401,-0.008612923587232946,-0.03713194567385668,-0.051374201560098906,-0.010657292557398756,-0.017502093739750285,0.08425268023757682,-0.03685671659907843,-0.012051294118718242,0.04103161139806157,,0.022484441531046312,0.020044028014434175
CCL18,0.006948284245000512,-0.009948583704777173,,,,,,,,-0.012689976992389444,0.10657196343266603,,,,-0.021922622055537293,-0.03122449389296294,-0.03417424318744314,0.02780997458921433,,,
CCL17,,,,-0.015228930278417046,,,,0.03223775718250373,-0.02131303032412047,,,-0.006164949421937408,,,,-0.016284308463686135,-0.029992057045151288,,,0.03447953695610512,
VEGFD,-0.0294168126682511,0.010632635091506467,,-0.016966710056670317,0.05136769593048841,,0.028819177713612653,-0.002355963020559204,-0.015633365490287685,-0.03493190083931868,0.007540452810822109,-0.008728683653496567,,-7.084947900286511e-05,,,-0.020776413379758215,,,,
TNFSF13,,0.022506364075249363,,-0.010504575272528172,,0.05282427389034231,,,,,,,,,,-0.003633157317709664,0.017802678957257907,0.028102436557344634,,-0.0012407736347315416,0.026698308769995384
WNT5A,-0.03419589090722704,0.07098258669255977,0.05345255518016992,0.021031300333967887,-0.08870027804417328,0.004041308047038572,-0.04499313408324804,0.019394015604913113,-0.050938760479693736,-0.04140915297536699,-0.043820424177885675,0.04342648126162839,0.013719386331269096,0.012090805070407712,0.054652469131188666,0.02847564377593358,0.055579550501792044,0.001688146837358291,-0.0492352083380196,0.1229454819559352,-0.027938062779806167
CXCL8,-0.056100600654677785,-0.05191430282142556,-0.1256454119974772,0.07188877276310078,-0.007683007746883303,-0.017763759823947144,-0.03286010560204306,-0.030245648757527874,-0.014558469705886262,0.02444639419601815,-0.014977934244166248,0.008029321332840067,,0.038884932610663385,0.08492826332849811,-0.025080795428998468,-0.017451989270817533,-0.012368770045134595,0.009965117429875787,-0.049369460308164616,-0.05759089829575647
GRN,-0.03820448248758524,0.06639853577429645,0.10499657194399832,0.009022907047411323,-0.006780770885404459,-0.03852246934986578,-0.03397823092692518,0.0031369523035196796,0.02280155357588822,-0.05403082889069636,0.0068783568047133,0.06269802569088637,0.10524633709393648,0.06725774574669473,0.03809304147713143,0.06302329697380772,0.03546854739415037,-0.03704316588174801,-0.07126526796924312,0.12703336662136816,0.014311973536604619
MIA,-0.02126801317755879,-0.02391073004326757,0.02821443609492449,0.021704454612800784,0.014785676308224725,-0.032992053199625546,0.015394090417191288,-0.014642057873477362,-0.01777966088908601,,-0.021881430447286365,-0.03215188811890851,0.04326616056279422,0.005482729854354763,0.16545994912678263,0.025094668418389008,0.07303434687070466,0.028929679634100414,,0.12190719849561076,-0.018080159056552216
COL4A4,-0.042850008094260636,0.050271146131013675,-0.03837097645953462,-0.0052001199848961495,-0.016660421473571406,-0.03373494607878714,-0.016099498980158413,-0.017586718400826817,0.035567225380845946,,,-0.031188524281402556,,0.03967947240094242,-0.027717044073179826,-0.0010287589873644708,0.043275609784198504,-0.015766118374479696,,0.0613053270803342,-0.02333049802420237
TAC1,0.15901477585630128,0.036656850741714674,0.12564700700863457,-0.021944444578554694,0.09000928133868363,0.05744984138542696,0.06883713569517318,0.07284306964378123,0.013438655119326867,0.08987086606032892,,0.06003500043694749,,,,,,0.02119225376516179,0.0009022126443348982,0.013427681720366132,-0.003891647181608342
RARRES2,-0.020570192111350666,-0.04376505357615547,-0.10198415640935499,0.013406821297893147,-0.03560707379781147,-0.03485214030628321,-0.07172375305453177,0.04097420135818817,0.010474268759320643,-0.08151724694819494,-0.03319259639010546,-0.008519770567568688,-0.02574823598553918,0.006545235785652897,0.060689828073580185,-0.019314402946059194,0.046118001077371636,0.06609858425243761,0.056083469206788854,-0.0176699890074813,-0.02186197246752702
