,MGH258,UKF243,UKF251,UKF259,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH881inf,ZH916T1,ZH916inf
IGFL3,,,,,-0.018557933412291765,,,,,,,-0.00913992809712853,,-0.01688032160251431,
BMP1,-0.03153267156647968,0.03502485600420744,-0.0006333398650508993,0.055271682288856726,0.0647566159903686,-0.030351795255899677,0.026096188522836076,-0.008792309506399124,0.0012561704980976732,0.007823097908498932,-0.013278698433403782,0.002507293880951081,-0.0312757704497492,-0.04160593971874631,0.002871202141473335
NDP,0.022521500493640715,0.07553480256678885,0.008397761815374065,0.03919412109760002,-0.015482359849585332,-0.057317830068737134,0.013373302688763689,0.040499010154581995,0.014985678882443386,0.05695258247249915,0.02763511565127205,0.07848218481354041,0.007597359469396863,0.07296525443639525,0.01722383737699754
TNFSF18,-0.02240303189809272,0.03788010218854078,-0.02869335493250506,,0.0011316162594175643,0.04223385702148851,,,,-0.043522674970237984,,0.028266863304208415,-0.04274691069476317,-0.013252122057295214,
IL36G,,,,,,,,,-0.014714570018234861,,,,,,
RTN4,0.02223783601232051,-0.02831271177741235,-0.05082126624512691,0.01443149603364415,-0.0750872434590955,0.009484392631405233,-0.016927552007935456,-0.05598953362073931,0.029974264055548695,-0.018159151169384567,-0.035784783659874225,-0.008187900763375455,-0.09076829540465496,-0.0017398201878431093,0.07791653110660322
HEBP1,0.004378763536052942,0.0983116693656423,0.04188459572799198,-0.01155141825508545,0.0466561619094951,0.02266732766605799,-0.0007404366281727977,0.04739614866192044,0.040792824190716975,-0.038674484991573915,0.027644318473952104,0.0446046071333422,-0.007417641099068976,0.05667812159036623,0.017456722427143242
WNT7B,-0.019736369419748295,-0.04638285385923646,-0.03844887779585519,-0.02276759623904626,-0.026879822539410337,-0.006531810241928679,0.04813141711140766,,0.047028841474706824,,0.053921617180302486,0.004710406944215954,-0.04274686636942792,-0.010818029665660329,0.016032999375023286
PTMA,-0.04871172539755965,-0.03292190322621471,0.0008671674919675182,0.00901596031382186,-0.09148728443389662,0.02477929250608636,0.037201017151378385,0.06250794142525726,-0.052727187133195325,0.1071738797964739,-0.07933390439213804,-0.05777384567467492,0.03002407769643564,-0.03532037514331834,-0.0013454365410896455
FASLG,-0.019736374999169373,,,,,,,,,,,,,-0.01464029716705573,
