,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,0.17409486631190185,
BMP1,0.08608279361381536,0.09206420477180403,-0.02606564643798959,0.038299676878823546,0.0074618114261463505
NDP,0.04137297079642457,0.0845845222568923,0.045089434474809016,0.0801962353801998,0.01603906177339624
TNFSF18,0.0630453447697149,,,-0.023847361988513154,-0.03441680017704876
RTN4,-0.01749787891039232,-0.08136137690464583,-0.08302448335304245,-0.01834351702493758,-0.052669973931015183
HEBP1,-0.0029420373628443325,0.042083008055454424,0.041478251181379336,0.0745574197623009,0.024783571045091008
WNT7B,,-0.056588662374246326,-0.03925730665561448,0.0003051481364510939,-0.03798241471668512
PTMA,0.06320553108897711,-0.20160959261655775,-0.015931323778363135,-0.059615600700093176,-0.05172078589990385
FASLG,,,,-0.02551424591276711,
CEACAM1,-0.04445981489814479,0.1261536771901069,-0.019018337401778895,0.012428056654733058,
PDAP1,0.062232410829062806,0.07446899706697015,-0.025855439409355127,0.019526199632951633,0.011018964762560852
QDPR,0.06701446548143287,-0.19520213628959682,0.03878139180751592,0.05021685718679916,-0.038917716235058374
POMC,0.039601232686228165,-0.03221294851144867,0.013222070591269012,0.02903485899867307,-0.013046194766270352
CCL18,,-0.058049401053866814,0.033440792716150906,,
CCL17,,,-0.0274541639999235,-0.023125798169545384,
VEGFD,-0.010288694349769213,,0.10915381079508005,,
TNFSF13,,,0.0128049794172799,-0.014527111319224585,-0.024382497817983365
WNT5A,0.02431275935639077,0.040006525787619915,0.012699771193125906,0.006928730335661457,-0.022127877623245872
CXCL8,0.04468008642746926,-0.07343644940752542,-0.0911767360440887,0.06537790226405872,-0.05158590614514818
GRN,0.07122296936831365,0.03440107862795211,-0.05425442585074284,-0.035899965827260856,-0.031182300273655015
MIA,-0.023434036967705525,0.048285043223961314,0.12411953293377861,0.07272291782977933,0.027826487539910412
COL4A4,0.06406597120669953,-0.052100709847146445,-0.004137330168552353,0.062098192617606726,0.04334262357427126
TAC1,,,,0.12285120670998603,0.029035387207097182
RARRES2,-0.13881338696855874,0.055752634225098026,-0.07674075983590282,0.025331998896264904,-0.06836578235414457
FGF7,0.10922554362131966,-0.02172593823405279,-0.005707132135274639,0.11593821467630537,0.04969604274664734
EFNA2,,,-0.018075656934729113,,
HBEGF,0.03669607784775802,0.13009739421720484,0.019903079494316127,-0.05350926605010335,-0.019071903328280713
CSF3,,,-0.03407972624600088,0.010965691041015744,-0.008648630479000085
PI3,,,-0.13464453781150662,-0.05289989333427212,-0.008099028131530763
PCSK1N,0.022868631326702825,0.0063040684586980755,-0.042445127960843765,0.04706792093748855,-0.005383446802726367
NTS,,,-0.022021757876419547,0.04883984841506945,
SFRP1,-0.0032717274357211288,0.10674335635166657,0.0011762255047081517,0.03692932598290674,-0.0241295443604113
CXCL13,,,-0.04644151549379144,,-0.020876794325333493
MICA,0.06155515107465279,0.050555137478833855,0.0066552695328270794,0.040951726943489294,0.011910657099485964
TG,0.08287986857052947,0.011215667499839571,-0.0271222021646779,-0.04748304507530031,0.014615981176048303
ADA,0.04531384790857946,0.049961062128260576,-0.020906242081962352,0.046375403377025996,0.020964459301362072
LAMC3,0.04892392966344068,0.09335469021898113,0.02950651855648972,0.017925020622114835,0.0478391682817976
CCL7,,,,-0.025514236840205807,-0.006393350392251974
NGF,0.1535195467196314,0.010874426678495131,0.07367824977522507,0.002535991479719014,-0.039090327263013175
TNFSF15,0.0011062729654918917,-0.00017340430410490813,,0.0798656974527788,-0.048715283627293354
HMGB1,-0.015087394416295304,0.0020353091970166637,-0.025616233388275164,0.0009439303254829227,0.027221760410741837
ITGB3BP,-0.011411858990811761,0.039576939459525555,0.02851353664286219,0.038450198790852534,0.0024357384627819124
AANAT,,-0.008078798121518602,0.041358708657804555,0.053069550856450556,0.1057990546118658
RELN,0.04875410220488493,,,,-0.051559013260041024
IL15,-0.05994246739132795,0.0815111389199364,0.039624491759320146,0.042005321249035284,0.019520730896046896
BSG,0.05694615230300502,0.09764754300825329,0.02800176643791243,0.06662919718855964,0.04364796803497464
ADAMTS3,,-0.03603721010856751,0.06925723949896782,0.08306600164806185,0.0657310135548999
CD34,0.015471271470540041,0.09884678478891286,0.022670408139203492,-0.029440890517335165,-0.015878086391147832
PLAT,0.03785813816842348,0.09054890100842597,0.1342437276052273,0.0036036727987258915,0.13832515290503655
NTF3,,,0.06648784653316818,,
LTA,,,,0.010206152712689901,
CKLF,0.1692481408274593,0.06955468758897629,0.07317726291957731,0.05192091723715714,-0.023772487456886017
CD24,-0.2239327840406329,0.1430587286533912,0.03976392536533051,0.06298326549824974,0.02328150672587244
HSP90AA1,0.04486339770195029,-0.12758503197798385,-0.15747696647133705,-0.07986704586792527,-0.020653403085689
BMP4,-0.007831589402489876,0.06864168502655424,-0.011587748872885077,-0.0034848901022498063,-0.030879270538443228
SCGB3A1,0.022517001710941325,,-0.034601452427508055,-0.04518029173322692,-0.012575409220349772
IGFBP4,0.08106335610904532,0.058006738994098625,-0.08277900058408616,0.02285135945728845,0.02236634684779558
RSPO4,0.0739098915303737,,,0.0705897396931643,0.03927823179799078
LEFTY2,,-0.005104026480779191,-0.020783757873089646,-0.015414215073065275,0.10395182882587155
PF4,,,-0.01656759101670757,0.02189001769071838,0.012036755954373875
ANGPTL2,0.023510639918516894,0.06716664200756126,0.060281912602674244,0.035430057751201165,0.0604823846112053
LRIG2,-0.04014663507075577,0.1820924662785244,-0.0040190607762612286,0.0955159537387006,0.054127809911410904
ICOSLG,0.07798745024417088,-6.338585941906871e-06,0.05883275959787788,0.1138280083276229,-0.006396112821468347
WIF1,,,,,-0.007102176580697628
NPPC,-0.09770076183179444,-0.004005414406268929,0.03475690080989335,,-0.021538253144931005
LYZ,0.03930442484510162,0.04470098797441434,0.02884311803291532,-0.0003630426069988507,-0.02906126002593215
EREG,,,-0.0447032304910719,-0.009554934945353713,-0.030564779811374176
SPTAN1,-0.022342890358336982,0.09915325352477833,0.0666124041041142,0.06650416219126717,0.016440198058825472
LIPC,0.028250589222654932,0.11925745598014795,,0.10289752888928393,0.10321233533563695
COL8A1,-0.031306386575551244,0.10310570609923533,0.04138529873925572,-0.02576069595203806,0.08340566763093617
GSTM2,-0.10199670794320688,0.001150856083150744,0.09749318400484676,0.011122236704937241,0.07902974850022261
SPX,,0.003975346967606699,-0.0205707818933177,0.07636345781610476,-0.05754487941804215
MFGE8,0.06969970098836457,0.057712392936246935,0.007060858612740703,-0.021158537055909303,-0.02947186828309315
