,UKF248,UKF260,UKF269,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,-0.022523225629047905,,,,0.05119785296255861,
BMP1,0.16783664022701547,0.009699097095631016,0.1209872324404223,0.1413667917233359,0.017131633219123674,0.1460797627023168,0.22002248448278186,0.06059877523075564
NDP,-0.07624302978709474,-0.002685201562447924,0.05004228034621058,0.05193258166149617,0.0036570697215903285,-0.002825657492078372,-0.02101232542136427,-0.04927827370746763
TNFSF18,-0.024962095675926287,,0.1291906004804597,-0.04008068823769005,,,0.07970203989318184,0.013078045161531597
RTN4,-0.041390235930875444,-0.025479132166175845,-0.09847937872588913,-0.012710495185088547,-0.01568577991268896,-0.08136416945978543,-0.08053142439315727,-0.010298343554118261
HEBP1,-0.00792731544935844,0.04255081439294595,-0.013013771984169257,-0.07259098456466621,0.04501184968756377,0.016431981443193605,0.05986459520848409,-0.038486761190270204
WNT7B,0.053667420429647575,-0.010985065405486107,0.010439902857141085,-0.026764919191795345,0.07647355439566898,0.03960489513548361,0.0553739684888378,-0.0308036782512589
PTMA,0.013346530956227298,0.05954834827182373,-0.0361715857191052,0.025308705548053322,-0.06654744097097186,-0.026796164782869888,0.173379310147755,0.060355307340814165
FASLG,,,,,,,-0.02612413308058837,
CEACAM1,-0.021789332164799828,-0.014122258605221517,0.025716058267315548,,0.046803168933642135,0.056570915807092496,0.008349687081094502,
PDAP1,-0.02641161180772231,-0.017325567447057228,0.061787042638354786,0.06514462765417751,0.03710377740945198,0.024695825414085,-0.0860387215300235,-0.07517330504839832
QDPR,-0.0020363173946786528,0.016386757697559914,-0.08807327441081172,-0.029392789090841986,0.05291199392317144,-0.024532463279858575,-0.061653775016823835,-0.06610777539454994
POMC,0.037797752921428215,0.022125501064311028,0.02007406939892372,0.023393506080062142,0.11365687755918044,0.04127105808348159,0.024497825705778402,0.0626843737577642
CCL18,-0.023019270794253765,,,,0.16801173334237526,0.03774005790887117,,
CCL17,,,,,,-0.018965791140320962,0.026945994492122326,
VEGFD,0.003116673387043585,0.09372503612220948,-0.03773244464349021,,-0.06049333314848078,,,
TNFSF13,0.027459072594638013,,,,,0.01283129763944687,0.005823730166522217,-0.01870833808017028
