,MGH258,UKF243,UKF248,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH916T1
IGFL3,,,,,,,,,,0.05461658950051602
BMP1,0.026791198825512647,0.04938000163678017,0.027305378508826257,-0.008650179265005178,0.04768439842427684,0.010160122977735546,0.04350517732989268,0.14539166000023368,0.0875082684132502,0.07419201093095802
NDP,0.0412509564455389,0.10781666851509109,-0.0060783478474247974,0.01770107419954837,0.02168216627904412,0.012966108976282904,0.02512907629262584,-0.02545353583155735,-0.0016242483425311805,0.05753357982430495
TNFSF18,0.07353830317927278,-0.007055549636498664,-0.03634029091608847,0.04054350439711668,,-0.01387714612802993,,0.1443309007251761,,-0.015431231740610866
RTN4,-0.03488654668726392,-0.08618642118106226,-0.025241648533752808,-0.05086944254100289,-0.03194041361447647,-0.043329882920921804,-0.060949895412242744,-0.012299560962632822,0.048263103027596954,-0.01186839913874297
HEBP1,-0.05746657665096712,-0.014732238301081656,0.008481793725615024,-0.03545699834228632,0.0049700098912299285,0.018384251491803474,-0.01732591464733641,-0.052395026388036774,-0.038720674401369816,0.008848669965000692
WNT7B,0.04481588124422555,0.04534945648448845,0.042849775121211325,-0.000899122664331469,-0.020162230434688667,-0.038306589229750235,-0.06656658424467798,,0.0010388373597494855,0.01617567757475282
PTMA,-0.0563909008872103,-0.05998303360578338,-0.027614115960984408,-0.06857251594219517,0.14731259254261622,-0.07217275689351557,-0.07301119206676504,0.0293768555929018,-0.04935947907049545,0.003250965795350402
FASLG,-0.020783307116142697,,,,,,,,,-0.019099857241229114
CEACAM1,0.002800053633027365,,-0.02312959923708672,0.048097420303331535,,,0.13311197599762323,-0.01494541205044571,0.06802574822163225,0.03688593374849156
PDAP1,0.03891160302177492,0.011978687798108897,-0.03582241719273201,0.013693571469064546,0.03751570549653013,0.05026298496840476,0.020837232555185537,0.032946581349680766,-0.031975842456502535,-0.010533577409342973
QDPR,-0.06920178564597435,0.018586877311556848,0.01958202786534221,-0.044229342351887885,0.1054669119178337,-0.06950033694009285,0.05041702551577947,0.09978859885939259,-0.11979342681591827,0.001585511859278125
POMC,-0.024648723871653542,-0.05358986929882989,0.046325904554377476,-0.012354528249030876,-0.03358552979306641,0.03983517369629249,0.018692073459933383,0.09544076961998244,0.011837950311899091,0.028752859017137734
CCL18,,-0.03806253653849848,-0.028863554470201516,,0.1250936823529018,,-0.04298068784084992,,-0.02857416275993264,
CCL17,,,,0.007187464182587891,,,,,,-0.017311875300487393
VEGFD,,0.06676305302789108,-0.028863563635731945,-0.014148202783512946,0.09558210074950038,,0.09918773361555737,-0.0022678593585228972,,
