,MGH258,UKF243,UKF255,UKF259,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.01415862999344652,,,,,,,,,,0.11005492953297591,,,-0.018587084571874055,,
BMP1,-0.029559093909639365,-0.04261690207881953,-0.03258954928980935,0.03759146516381831,0.06126939798506073,-0.030936148304921206,0.0020511881572062808,0.11485015285332638,-0.033394397329801165,0.06312578857991448,-0.07373444298390257,0.02565847579212831,-0.030755513277140177,0.06379199359244364,0.095049515370316,-0.033413357474511164,0.06385524074211678,-0.04945510215127105,-0.05483591088040616,0.0281085674578477
NDP,-0.06463599705436399,0.04847236296104273,0.01946741405822863,0.019729523522606294,-0.033136027235345485,-0.008155442707281505,-0.03261088271157094,0.0032226154772384548,0.040847742183813866,0.059281870788358906,-0.1095372854715488,-0.06154093852264863,-0.004752562202203656,0.04839188083385453,0.02598937529538741,0.0438776451428822,0.005250328848045373,0.02361133958366074,-0.061038400062469245,0.12211104894957221
TNFSF18,-0.024051771896967784,-0.03217507203607388,,,-0.021025140486547914,-0.010647509681371023,,,,0.006181648999044505,,,,,-0.03699109039160929,,0.04901554669343377,0.035852234956444115,-0.032022992771978044,
IL36G,,,,,,,,,-0.011096277334496417,,,,,,,,,,,
RTN4,-0.015754273508484667,-0.11311851684582769,-0.017795620609138356,-0.025899503576533166,-0.07109003612907674,0.011915212277703882,0.03490815722659095,-0.0864462157899675,-0.06511940661527905,-0.06231535497362031,0.01616445153436859,0.019560410194876924,0.014756490682454484,-0.03747805634956756,-0.030037753591754524,0.08840369932933831,0.03242916563890777,0.06985346491209797,0.04204467286142525,-0.07613817937583624
HEBP1,0.011681829790902596,0.006380205306362584,-0.007268589845389982,0.013296817682865702,0.05645470905330506,-0.01348628907848325,-0.0980948586940396,0.0100428974943198,0.032209917875594476,0.011670612893588228,0.02989905529943467,-0.021373913813428617,0.04297475413971987,-0.01604127127180872,-0.03593905656860088,0.04388598306707703,0.05157467078977773,0.05282680962664042,0.04934376286558456,0.031667985128089986
WNT7B,0.0007341481861344503,-0.03998263781023425,-0.03824828099525194,-0.022753993461543644,-0.058602132256973784,0.05593723061702423,0.05840854689927947,,0.022926570292938743,-0.0269806869282233,-0.03923847372374833,0.008469734580691947,0.076587933827772,-0.0020609611330838994,-0.03405101165651802,0.02593712074789662,-0.066634001701757,0.011647874128798244,-0.05308093406492845,-0.06514304296904268
PTMA,0.005081227074748447,-0.07286883445113931,-0.01679049090647516,-0.042586025524013915,-0.08810777614450717,-0.007117505402029115,0.008829161451991774,0.06623378448943548,0.02023090550826238,0.06018361252459064,0.025451762091287456,0.0259758684285193,-0.09754618476120783,-0.0619219451464092,0.03455199564439883,0.02937899124651252,0.06786130724927077,-0.013156478803378904,0.01361788561359006,0.04765394221915218
FASLG,-0.021188863708820265,,,,,,,,,,,,,,,,,0.014282050068430611,,
