,MGH258,UKF243,UKF248,UKF251,UKF255,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.054207503485633184,,,,,,,,,,0.06155004472904178,,,0.12018616011003001,,
BMP1,0.059250458440363085,0.07956555946508702,0.07862699212495405,0.06964188531344284,0.042701586633243034,-0.029227356769965036,0.13760794407922747,0.375609932167171,0.05372461984310801,-0.08155986330729428,0.08837045395570245,0.014378089332668131,0.14085249419585985,-0.06576052839038375,0.1279391181292227,0.11017275993028242,-0.009366896355304346,0.06634439383122143,0.14952276711556758,0.048641521907286274,0.12847020086344227,0.2201847106035386,0.02781193673970405
NDP,0.013102312193308185,0.11135308368883663,0.008383431453427024,0.036465431972604545,0.04539080377935172,0.0051591094249768136,0.023453263667101477,0.038086226723807105,-0.0763841184577359,0.0022077502043286366,0.0877250804580886,0.06715771708457265,0.14653580014439901,-0.060999858767356537,0.06395157915290244,0.0898038806691738,0.08363984550038261,0.04424494708595726,-0.1278191960492369,0.07439112503166279,-0.006347868339086261,-0.045638279512682275,-0.086243170385393
TNFSF18,-0.02762335925916541,-0.033582708591162184,0.02762981162299631,0.015090182647774395,,,0.09242377301084824,0.0953320833335829,-0.022507392134402435,,,0.08456783346326233,,0.011446225037684455,,,,0.07647704352797542,,-0.07316865852334038,0.05561564398618859,0.0361246623899694,
IL36G,,,,,,,,,,,0.0010679738528182148,,,,,,,,,,,,
RTN4,-0.1719758660022135,-0.00745999424442788,0.08940920201342198,0.0253868659856712,0.03805847099209387,0.10458049565912461,-0.2024239118006083,-0.48192305688687753,-0.08099487161145798,0.15450600551648958,-0.06564480945657868,-0.03590424237726727,0.03847913134440398,0.07807969931934682,-0.03702140987905983,0.11287373438680494,0.024267913201542278,-0.09174428697119996,0.06283714583371061,0.05898325579990899,0.1349686917138178,-0.17476329316213426,-0.029440141622389646
HEBP1,0.0007029507855144068,-0.04040201044778527,0.06783744628152404,-0.021088969858604884,0.07305423351908615,-0.0007630425175063094,0.14377987101281148,0.1845595011494476,0.03923786505927241,-0.022083563972533582,0.057661709911570165,-0.01798132114557959,0.07435181812759707,0.07658778201508472,-0.010379034791211042,0.056548520526572464,-0.0006628337512013568,-0.047607777426828646,0.01717916891344448,0.03722176557342725,0.00925767362752357,-0.013619177382493205,-0.06411031987007994
WNT7B,-0.022799229365282118,0.04591226985820384,0.04596915553819778,0.025301711187880202,-0.005905279303791915,0.026096984709900576,0.007759728721528743,-0.23476051908218742,0.015307869704168928,,-0.07272365048259728,0.05077652056789044,-0.009272995294018158,,-0.03312616133406003,-0.006057464404466503,0.031873567689544885,0.04149459088457764,-0.053848493088257864,0.023455013086703533,0.1265339817295283,-0.003615215144679039,-0.046226116558518375
PTMA,-0.08565297753452224,-0.196096836566925,-0.03188961114993473,0.03493378997514828,-0.03817708409207652,-0.014110410320734585,0.25272226137025,-0.2118905806268398,-0.1512969945411675,-0.1724875040878093,0.06867452242795177,-0.08336409961852782,0.011400447161122838,-0.01532332194366439,-0.20156839189920517,-0.03642545564882644,0.025674255172164494,-0.0664157183210465,0.1409062389051133,0.029821978686437833,0.015279857471712333,0.0545359266100793,0.02596454345480452
FASLG,0.029777736992149136,,,,,,,,,,,,,,,,,,,,0.03363107475863597,,
CEACAM1,0.06662619173210224,,0.023864595427934822,-0.02301464524005289,,-0.002430126806739004,,0.12300750086363815,-0.015912196356377736,,,,0.03139114111178523,0.012659694631680497,0.09032984833437337,-0.006253737650982292,0.0054730911105047774,0.099393419180758,-0.030333117372327217,,0.00635926265921131,,
PDAP1,0.16298588135189299,-0.010827538376161116,-0.002407277925136302,0.07705518887346098,0.024200133692186945,0.061705659124953245,0.13175688259247373,0.3351947908119748,0.02250650568705247,-0.028395624794128646,0.043858582409230996,0.08995173860552841,0.15831415416896324,0.022696926052850633,0.09334415413309236,0.026512272595224182,-0.010666289181073528,0.030809959826105047,0.038274586344395484,0.12883139883889203,0.055590989468102356,0.027020851456224432,-0.0859066410233113
QDPR,-0.18727610815043969,0.10301106380111959,0.00033765316491770226,-0.012998454379268668,0.07954883512892628,-0.05902830867311392,-0.049029633553391315,-0.31232907029866386,-0.06364483625538493,-0.13800879079528128,0.029029516421321473,0.10843016664922218,0.15942307430607985,0.05243841707781349,-0.1826286737770076,-0.005772016967362827,0.08248264622094549,-0.09267464037827257,-0.09233276677488521,-0.04284953090497984,0.04004929327806947,-0.17172980597125032,0.06861677432260453
POMC,-0.005412124259786837,0.10980042539612764,0.00026834622761419174,0.007808965223752084,,0.015685599941247987,-0.0021118156504089185,0.0252620808515261,-0.02985885153733874,-0.0013997878593909091,0.044901403780358944,0.0317506965485753,-0.06686192196164108,0.03568637765089793,0.021523035504682497,0.01872941994021457,0.03080688773958682,0.009639915942651374,-0.03105798060360043,,-0.010264879190143314,0.06713853803350218,0.02188584607884052
CCL18,,0.02140795296144518,-0.04461604673280059,,,,,,,-0.06739815284348824,,,-0.07544884928419544,,-0.08812471087804645,0.03756876973966287,0.025574773342154182,,-0.06133469819048658,,,,
CCL17,,,,,,,,,0.015641886843722676,,0.04929300934324615,,,,,-0.04866957024516348,-0.0023309846490576053,0.06450009880302386,,,-0.006996833452304962,,
VEGFD,,-0.03517298552957911,-0.012238791616882395,0.04651952864622169,,0.010408655426249091,,0.05342615525449516,-0.022102329026501288,0.04418790306164747,0.05428502918373493,,-0.08157546551360205,-0.038189242627054074,,,0.03784748208567656,0.05718771695211053,,,,,
TNFSF13,,,0.008745102546434848,,,,0.043249280159860765,,,,,,,,,0.037594030563750595,-0.005945516947040308,0.05532930837401855,0.055478360194151595,,-0.043623534946796036,0.019404299613981303,
WNT5A,0.09192430321987552,0.011396533742738219,0.05371137120193357,0.03823500197127442,0.06703179235728178,-0.14228466291155537,0.19027854624487447,0.2866916260798479,0.020866500522409414,0.01353638152033891,0.053059093400915205,0.12951017501256387,0.0241948694142377,0.04405260387317118,0.10359687358507824,0.05115325310029481,0.00516773552977816,0.011649994157579807,0.09176430209283158,0.05336706107352082,-0.013706024489689248,0.16151769655177461,-0.046803780089701034
