,UKF260,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916bulk
IGFL3,,,,,-0.020719484125770554,
BMP1,0.10681893860226546,0.013822328888200706,-0.06350974332746932,0.10938772655075713,0.061179892506663135,-0.027415093496499638
NDP,-0.024411678641591713,-0.04502911640594812,-0.0655981772929314,-0.08907593368903428,0.042984130443483495,-0.005545647057238751
TNFSF18,,,,,-0.021367638258535406,-0.029161281427718098
RTN4,0.044129824108564975,0.002726672553205572,-0.005866073155694321,-0.00866754590122704,-0.09811258934631044,0.08023777810737058
HEBP1,0.012657535707950881,0.012474408953182727,-0.120268283928655,-0.002227031730122898,-0.030592739358002823,-0.08967020304847886
WNT7B,-0.03592525634276238,-0.030708120887131537,-0.001281467343022071,-0.03281365966919237,-0.04468146019555397,0.014396967357231932
PTMA,-0.005146952002239819,-0.011290447108411778,0.05345816052528003,-0.021500539462158907,-0.04568833293717865,-0.004057485803014293
CEACAM1,-0.014777320781550952,,-0.02427222487542554,-0.020944820779161877,-0.03070306536588726,
PDAP1,0.04744487534263732,-0.03920419378930869,0.05430588752533861,-0.019942076052446182,0.042822895005858,-0.10682753067324895
QDPR,-0.04987077533170928,0.009503160592180837,-0.06926848253608954,-0.09142918920715445,-0.03322439910535755,0.07005939482321943
POMC,0.03399156700827482,-0.022929640881132803,-0.021933140482485253,-0.023521322624107558,0.016036088268298963,-0.0033964842956438115
CCL18,,-0.016081507332135658,0.022134068632207866,0.053140382426220094,,
CCL17,,,-0.01721996874040741,-0.030235163698711667,0.010715724230373428,
VEGFD,0.011256997607521956,-0.015492192274553845,,-0.001637543948069176,-0.028811470810985416,
TNFSF13,,,-0.033042533533855487,-0.03286458923314024,-0.029294424796228295,0.051190111630390375
WNT5A,-0.06007942436254631,-0.04435386024396812,-0.05525411155478738,-0.007311752972473305,-0.07769225206514217,-0.025949429793597212
CXCL8,0.10052516174921598,-0.03947305449700963,0.07437793253925176,0.09182547710896483,0.04260853885828286,-0.0962657191352678
GRN,0.0088180975659021,-0.001967475498056366,-0.05738632460895085,0.005905372376846989,0.09268721698758184,0.034115454429068555
MIA,0.1024093446191591,-0.02101019594186318,-0.0795189452842868,-0.014071710665780609,0.07024683455621487,-0.03886914045383094
COL4A4,-0.017981557609297545,,-0.014595159850642693,0.07181524881859222,-0.029361740219176716,-0.035455607583222484
TAC1,-0.03946052477711896,,,,,0.0636056915718953
RARRES2,0.0692599363773554,-0.005471700780196539,-0.04287189093025359,-0.015033988640456464,0.03897351609725299,-0.08660915421566735
FGF7,0.0013225293428454135,0.052217996393847554,-0.06036412359773367,-0.0032686728766303224,-0.05934414186429586,0.053688777708658784
EFNA2,,,,-0.019906650458735894,,
HBEGF,0.07013030268459561,-0.052257999362773554,-0.039852383648690495,0.05349875262433947,0.00034995305796505703,0.06522694850008122
CSF3,0.11011522411701155,0.11254493803769812,0.03993088441059886,0.001598279968905467,,-0.009904897641134837
PI3,0.07200462361286626,,0.09886857524831276,0.06453587775902997,-0.02321062316747904,-0.05334057102528067
PCSK1N,-0.02313016396026614,0.004936466050357368,0.014284512720448393,-0.046198140230360514,-0.03716057886441107,0.08416906134701596
NTS,0.020793048578427883,,0.039386254768198604,-0.02425247602982169,,
SFRP1,-0.016129128111250647,0.07610124262444941,-0.06207919958845346,-0.053948041536918206,0.0038587008996836384,-0.04652881786213239
CXCL13,-0.015984171936624603,-0.004044878169280424,-0.038679580379227696,0.0742991908982925,,0.10524604959316519
MICA,0.11373122660380748,-0.006385266673341659,0.010644401036693006,-0.011719092231343488,-0.02433314341645824,0.012657880106261584
TG,-0.03420926176659747,-0.03306705475917773,-0.003594638864936552,0.040341685673028746,,-0.0333373181532759
ADA,0.01786961488806887,0.01909974804085661,-0.07320843083970234,-0.06533542857149878,-0.02258918389168038,0.043412528647971585
LAMC3,-0.0371559263111062,0.06017447455205062,-0.09343697593658801,-0.003527342940466341,0.11146958964708878,0.035630340624671936
CCL7,0.03137398251175164,,0.009183997390012225,,,-0.06315299706728611
NGF,-0.02262031928789698,-0.027993442129154722,-0.029807056189491938,-0.019639071585910748,,0.006122133602159466
TNFSF15,-0.015690529959371858,-0.014821548878462694,-0.025160646755920012,,,-0.02946446794784345
HMGB1,-0.029578213517924567,0.007761397151376821,0.10729022038714843,-0.048999492156576015,0.0393312567200203,-0.06324988489709452
