,UKF243,UKF248,UKF259,UKF266,UKF269,UKF275,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.005901784265861078,,,,,,-0.015310282495816594,,0.11548665100011409,
BMP1,0.03989824384230449,0.13599855190560023,-0.0035367707438772357,-0.010092337397190971,0.1928810323904828,0.010874854630240788,0.009053618465529465,0.10370323513988546,-0.03621134292138429,0.015979460111527493,0.0346099614274344,-0.005967086610442381,0.00867101668396693,0.10901022732587348
NDP,0.07595232435400946,-0.02325462504962268,0.03465821391782301,-0.025183740349735056,0.025925671314074927,0.03510643414980606,-0.014514472674563121,-0.03450511076316294,0.009250226200407283,0.11191440666279284,-2.9160572205781904e-05,0.016491671152058143,0.2918202365701604,0.1852126442533914
TNFSF18,-0.030228059010546454,0.03615488404353479,,-0.014769702898308023,0.07231805113015839,0.03920387576065575,,,,,0.0126161105314804,,0.030574861266418698,0.035983552721427885
IL36G,,,,,,,-0.013349798039920558,,,,,,,
RTN4,-0.06312427765437194,-0.02835632203898457,-0.023974266790888606,0.06943169406725927,-0.25737779976039754,-0.04011289041340964,-0.06275262518748508,0.02915333131337536,0.010740618419249372,-0.005042684838446189,-0.08284496115274957,0.032167462953984434,-0.0653712148907077,-0.1554581946433218
HEBP1,0.05833304091313392,0.04009730924695534,-0.03915686165117255,-0.010181538138518886,0.05975165821551071,0.03367371948867094,0.0059748491095664245,0.1044607899993465,0.030368314182094566,0.07431107441191726,0.05906344149426912,-0.034620569513769066,0.17035868446431132,0.030023329623483565
WNT7B,-0.07055262575079334,0.011429818340615966,0.0359086190843018,0.0476543467321831,-0.12263686804080738,-0.051710214165694116,-0.014672966495281657,-0.015502164428866606,-0.003353374461805215,0.004598992813646424,-0.01888225452826306,0.022148508482078978,0.01621099423994449,0.03501883765627677
PTMA,-0.09005017370599445,0.04596081698716249,-0.03328243777598115,-0.13992066361559996,-0.1804930987723619,-0.07828819205061782,-0.011777956709317446,-0.10435058760829302,-0.060988626811558706,-0.024053459424535115,-0.06511809508168771,-0.009910354379291515,-0.18710705495993565,-0.07116315370542195
FASLG,,,,,,,,,,,,,-0.007526583468365276,
CEACAM1,,0.057450729442043796,0.13673868630563765,,0.11773862788216885,0.008108699608287267,,0.06320763356975292,0.003296528773904253,-0.021924021795826292,0.004456951881780527,0.017635428575739763,-0.014343527542734696,
PDAP1,0.039028637074961674,0.0035801523100460406,0.003498947634794876,-0.04354955868307932,0.23563933998555558,0.032913555647951,0.022940922649921477,0.06891871874989294,-0.027903206307214188,-0.10174901241365383,0.0024617644208342463,-0.014006457169331936,0.05544960585346834,0.009797522454345708
QDPR,0.05624171465318529,-0.019436534865812104,0.02814170425424897,-0.00014744764798694886,-0.259268158867728,0.015453769067911221,-0.07323538493637134,0.050301459295354525,0.05040327016869005,0.11384428254797095,-0.01365702417209858,-0.03068318555897141,0.15842938899587172,0.021294120038496633
POMC,0.017496577699703423,0.04566034734452038,0.0015730321173396096,0.06777444950733977,-0.01796156817368615,0.03185319184699483,-0.028602085385446317,-0.054259891303985126,0.04932597886865428,0.037514516670678434,-0.026209327099459893,0.011758605098165184,0.08096590578222945,0.040910951688402725
CCL18,-0.04053831261191557,-0.053574581286413764,,,,,,0.05646109570368562,0.011130451156390844,0.036895575357756345,,0.02224729981382927,,
CCL17,,,0.019406298026012875,,,-0.005309491061319146,0.014981027706721883,,-0.02465454917436678,-0.0414523869248057,0.10254107691898932,,0.0745484167835873,
VEGFD,-0.032872648008939825,-0.00020707541665022675,0.0006583279457490936,,0.054871212148527714,0.03670236957922535,-0.013070208821815253,-0.02516703469978294,,-0.0343190490437497,-0.03335206903202893,,,
TNFSF13,,0.06326086202934064,-0.014710416233361716,-0.014323530677527398,,,,,-0.04730837669551016,0.061874022558929785,0.0009048866719049357,-0.022687219363226124,0.05033635503781131,0.0189827950335498
WNT5A,0.028481406402292346,0.03772068166527215,-0.022325925469632982,0.03049105235461417,0.18085629084450425,0.005199798662810533,0.05793123961888113,0.027177219248537974,0.02689726001870392,0.010386827276129678,0.060656938236178654,4.069737804272078e-05,0.03673380477826144,-0.08262901398502921
CXCL8,-0.028988130032423447,-0.05003544662988236,-0.007090486334750715,-0.020374293376677857,0.13378842396095195,-0.048103786533212047,0.00618887233192711,-0.040888954540743865,-0.13034909134659678,-0.17234290442717407,-0.03530038496249626,-0.017137596701356374,-0.011468579286634193,-0.08041319391868375
GRN,0.06655467782285969,0.11815101585343545,-0.05026936620171067,-0.007115425922891275,0.16711911861573014,-0.010745778736975749,-0.014221512056466726,0.05676426853749753,0.022859496412380515,-0.027261323178053604,-0.0077756107110924615,0.024116732803367968,-0.11491729952702125,-0.06941186314661184
